prob,cell_id
0.7,5564779
0.7,5564780
0.7,5568396
0.7,5568397
0.7,5572013
0.7,5572014
0.72,5568398
0.06,5575327
0.06,5575328
0.06,5578945
0.06,5575329
0.06,5575330
0.06,5575331
0.06,5578946
0.06,5578948
0.06,5578949
0.04,5575332
0.13,5586211
0.13,5586212
0.13,5589828
0.13,5589829
0.22,5589830
0.14,5593445
0.14,5593446
0.14,5593447
0.89,5633287
0.89,5636903
0.89,5636904
0.89,5640521
0.92,5636905
0.92,5640522
0.94,5651368
0.94,5651369
0.94,5651370
0.94,5654986
0.94,5654987
0.98,5647759
0.98,5651375
0.98,5651376
0.98,5651377
0.98,5654992
0.98,5654993
0.98,5654994
1,5647760
1,5662231
1,5662232
1,5665848
1,5665849
1,5687553
1,5691170
1,5691171
1,5694788
1,5687554
1,5687555
1,5691172
1,5691173
1,5694789
1,5712875
1,5709258
1,5709259
1,5709260
1,5712876
1,5712877
1,5712878
1,5716492
1,5730961
1,5716493
1,5716494
1,5716495
1,5730962
1,5745425
1,5745426
1,5745427
1,5749042
1,5749043
1,5749044
1,5749045
1,5734578
1,5734579
1,5738195
1,5738196
1,5745428
1,5734580
1,5752660
1,5752661
1,5752662
1,5781478
0.81,5799506
0.83,5799507
1,5788710
1,5785095
1,5785096
1,5788713
1,5788714
1,5792331
1,5785097
1,5785098
1,5785099
1,5788715
1,5788716
1,5788717
1,5792332
1,5792333
1,5792334
1,5792335
1,5785100
1,5785101
1,5785102
1,5788718
1,5788719
1,5788720
1,5792336
1,5792337
1,5792338
1,5795954
1,5795955
1,5788721
1,5788722
1,5788723
1,5792339
1,5792340
1,5792341
1,5795956
1,5795957
1,5795958
1,5795959
1,5788724
1,5788725
1,5792342
0.94,5803124
0.94,5806742
0.94,5817593
0.94,5817595
0.99,5803125
0.99,5803126
0.99,5803127
0.99,5806743
0.99,5806744
0.99,5806745
0.99,5810360
0.99,5810361
0.99,5810362
0.99,5810363
0.99,5813978
0.99,5813979
0.99,5817596
1,5803128
