prob,cell_id
0.75,1066501
0.75,1066502
0.75,1070119
0.75,1070120
0.14,1081981
0.14,1081982
0.14,1081983
0.14,1081984
0.14,1085597
0.14,1085598
0.14,1085599
0.14,1089212
0.14,1089213
0.14,1089214
0.14,1089215
0.14,1092827
0.14,1092828
0.14,1092829
0.14,1092830
0.14,1096442
0.14,1096443
0.14,1096444
0.14,1096445
0.12,1081989
0.12,1081990
0.12,1081991
0.12,1085604
0.12,1085605
0.12,1085607
0.12,1089219
0.12,1089220
0.12,1092834
0.14,1081992
0.14,1081993
0.14,1081994
0.14,1081995
0.15,1084608
0.15,1084609
0.15,1088226
0.15,1088227
0.15,1088228
0.15,1088229
0.15,1091848
0.5,1352082
0.04,1370182
0.04,1370183
0.04,1370184
0.04,1373800
0.04,1373801
0.04,1373802
0.04,1377419
0.04,1377420
0.04,1381038
0.36,1391893
0.36,1395510
0.36,1395511
0.36,1399127
0.36,1399128
0.36,1402745
0.36,1402746
0.36,1402747
0.36,1406363
0.36,1406364
0.36,1406365
0.52,1413592
0.52,1413593
0.52,1417210
0.52,1417211
0.52,1420827
0.52,1420828
0.52,1420829
0.52,1424445
0.52,1424446
0.52,1424447
0.52,1428064
0.52,1428065
0.19,1413594
0.19,1413595
0.19,1413596
0.19,1413597
0.19,1417212
0.19,1417213
0.19,1417214
0.19,1417215
0.19,1420831
0.19,1420832
0.19,1420833
0.19,1424448
0.19,1428066
0.44,1431683
0.44,1435299
0.44,1435300
0.44,1435301
0.44,1438916
0.44,1438917
0.44,1438918
0.44,1446156
0.51,1449768
0.51,1449769
0.51,1453386
0.51,1453387
0.51,1457003
0.51,1457004
0.51,1457005
0.51,1460621
0.51,1460622
0.51,1460623
0.51,1460624
0.51,1464239
0.51,1464240
0.51,1464241
0.51,1464242
0.51,1467859
0.51,1467860
0.05,1449773
0.05,1449774
0.05,1453390
0.05,1453391
0.05,1453392
0.05,1457008
0.05,1457009
0.05,1457010
0.05,1460626
0.05,1460627
0.05,1460628
0.05,1464243
0.05,1464246
0.05,1467861
0.05,1467862
0.02,1449781
0.02,1449782
0.02,1453397
0.02,1453398
0.02,1457015
0.02,1457016
0.02,1460633
0.02,1460634
0.02,1467869
0.46,1471479
0.46,1471480
0.46,1475097
0.46,1475098
0.46,1478715
0.46,1482333
0.46,1482336
0.46,1485951
0.46,1485954
0.57,1489569
0.57,1489571
0.57,1489572
0.57,1493187
0.57,1493188
0.57,1493189
0.57,1496807
0.57,1496808
0.57,1500424
0.57,1500425
0.57,1500426
0.57,1504042
0.57,1504043
0.57,1504044
0.57,1507660
0.57,1507661
0.57,1507662
0.24,1511278
0.24,1511279
0.24,1511280
0.24,1514896
0.24,1514897
0.24,1518513
0.24,1518514
0.24,1525749
0.2,1529364
0.2,1529365
0.2,1529366
0.2,1532983
0.2,1532984
0.2,1536600
0.2,1536601
0.2,1536602
0.2,1540218
0.2,1540219
0.2,1540220
0.2,1543836
0.2,1543837
0.2,1543838
0.2,1547454
0.2,1547455
0.2,1547456
0.33,1551071
0.33,1551072
0.33,1551073
0.33,1554689
0.33,1554690
0.33,1554691
0.33,1554692
0.33,1558307
0.33,1558308
0.33,1558309
0.33,1558310
0.33,1561928
0.33,1565546
0.33,1569164
0.15,1572782
0.15,1576399
0.15,1576400
0.15,1580014
0.15,1580017
0.15,1580018
0.15,1583632
0.15,1583634
0.15,1583635
0.15,1583636
0.15,1587252
0.15,1587253
0.7,1616184
0.7,1619801
0.7,1619802
0.7,1623418
0.7,1623419
0.7,1623420
0.7,1627036
0.7,1627038
0.7,1630653
0.7,1630654
0.7,1630655
0.43,1616185
0.43,1616186
0.43,1619803
0.43,1619804
0.43,1623421
0.43,1627039
0.43,1627040
0.43,1630657
0.43,1630658
0.43,1630660
0.65,1637879
0.65,1641496
0.65,1645114
0.65,1648731
0.65,1648732
0.72,1645115
0.72,1645119
0.72,1648733
0.72,1648734
0.72,1648735
0.72,1648736
0.72,1648737
0.39,1673993
0.39,1677611
0.39,1681229
0.39,1681230
0.39,1684846
0.39,1684848
0.39,1688464
0.39,1692082
0.16,1684907
0.16,1688524
0.16,1692141
0.16,1692142
0.25,1706583
0.25,1710200
0.25,1710201
0.16,1702970
0.25,1710227
0.2,1728301
0.2,1728302
0.2,1728303
0.2,1731917
0.2,1731918
0.2,1731919
0.27,1724686
0.27,1724687
0.27,1724688
0.27,1724689
0.27,1724690
0.27,1728304
0.27,1728305
0.27,1728306
0.27,1728307
0.25,1721073
0.25,1721074
0.25,1721075
0.25,1721076
0.25,1724691
0.25,1724692
0.25,1724693
0.25,1724694
0.25,1728310
0.25,1728311
0.25,1728312
0.25,1731927
0.25,1731928
0.25,1731929
0.25,1731930
0.02,1797079
0.02,1797080
0.06,1797085
0.06,1797086
0.06,1804321
0.06,1807938
0.06,1807939
0.06,1811555
0.06,1811556
0.65,1829647
0.65,1829648
0.65,1829649
0.65,1829650
0.65,1833265
0.65,1833266
0.65,1833267
0.65,1833268
0.65,1836883
0.65,1836884
0.65,1836885
0.37,1854871
0.56,1876576
0.56,1876577
0.56,1858490
0.56,1858491
0.29,1858499
0.29,1858500
0.29,1858502
0.29,1862119
0.29,1862120
0.29,1865737
0.29,1869355
0.29,1872972
0.29,1872973
0.64,1880194
0.36,1883825
0.36,1883826
0.36,1887442
0.36,1887443
0.36,1887444
0.36,1891059
0.36,1891060
0.36,1891061
0.36,1894676
0.36,1894677
0.36,1898293
0.36,1898294
0.04,1880223
0.04,1883840
0.04,1883841
0.04,1887458
0.04,1887459
0.04,1891076
0.04,1891077
0.04,1898311
0.66,1916380
0.65,1905529
0.65,1905530
0.65,1909146
0.65,1909147
0.65,1912764
0.65,1916381
0.26,1901916
0.26,1901917
0.26,1901918
0.26,1901919
0.26,1905533
0.26,1905534
0.26,1905535
0.26,1909151
0.26,1909152
0.26,1912769
0.26,1912770
0.26,1912771
0.26,1912772
0.26,1916389
0.27,1905623
0.09,1902006
0.09,1902007
0.09,1905624
0.55,1927233
0.55,1930850
0.55,1930851
0.59,1927234
0.59,1927237
0.59,1927238
0.59,1930854
0.59,1930855
0.59,1930856
0.64,1927239
0.64,1927242
0.64,1930858
0.64,1930859
0.64,1930860
0.64,1941710
0.64,1941711
0.64,1941712
0.64,1941713
0.33,1927248
0.33,1927249
0.33,1927250
0.33,1930866
0.33,1930867
0.33,1934483
0.33,1934484
0.33,1938101
0.33,1938102
0.33,1941719
0.61,1959797
0.61,1963414
0.72,1945327
0.72,1945328
0.72,1945329
0.72,1945330
0.72,1945331
0.72,1948945
0.72,1948946
0.72,1948947
0.72,1948948
0.72,1952565
0.72,1952566
0.72,1956183
0.72,1956184
0.72,1963415
0.66,1945332
0.66,1945333
0.66,1945334
0.66,1945335
0.66,1948950
0.66,1948951
0.66,1948952
0.66,1948953
0.66,1952567
0.66,1952568
0.66,1952569
0.66,1952570
0.66,1952571
0.66,1956185
0.66,1956187
0.66,1956188
0.23,1945336
0.23,1948954
0.27,1945420
0.27,1945421
0.74,1970645
0.69,1967028
0.69,1967029
0.69,1967031
0.69,1967032
0.69,1970646
0.69,1970648
0.69,1970649
0.69,1970650
0.69,1974266
0.69,1974267
0.69,1977881
0.69,1977882
0.69,1977883
0.69,1977884
0.69,1981500
0.69,1981501
0.27,1974363
0.87,1999583
0.87,1999584
0.07,1985117
0.07,1985118
0.07,1988734
0.07,1988735
0.92,2017670
0.88,2010435
0.88,2014053
0.88,2017677
0.88,2024911
0.88,2024912
0.88,2024913
0.89,2028527
0.89,2032143
0.89,2032144
0.89,2032145
0.89,2035759
0.89,2035760
0.89,2035761
0.89,2035762
0.89,2039376
0.89,2039377
0.89,2039378
0.89,2039379
0.89,2039380
0.89,2042994
0.89,2042995
0.89,2042996
0.89,2042997
0.89,2046612
