prob,cell_id
0.61,1390333
0.61,1390334
0.61,1393950
0.61,1397566
0.61,1397567
0.61,1401183
0.44,1408406
0.44,1408407
0.14,1408412
0.14,1412029
0.14,1412030
0.14,1412031
0.14,1415646
0.14,1415647
0.14,1419263
0.14,1422879
0.14,1422880
0.43,1462495
0.43,1466111
0.43,1466112
0.77,1466132
0.77,1466133
0.77,1466134
0.77,1466135
0.01,1484198
1,1487840
1,1487843
1,1491456
1,1491457
1,1495073
1,1498689
0.2,1487844
0.39,1509526
0.39,1509527
0.39,1509528
0.39,1513143
0.39,1513144
1,1527596
1,1527597
1,1531213
0.3,1549296
0.3,1549297
0.98,1570964
0.98,1570965
0.98,1570966
0.98,1574581
0.97,1589043
0.97,1592659
0.97,1592660
0.96,1610737
0.96,1610738
0.96,1610739
0.96,1614354
0.96,1632432
0.96,1632433
0.96,1636049
0.96,1639665
0.96,1650510
0.96,1650511
0.96,1650512
0.96,1650513
0.96,1650514
0.96,1654127
0.96,1654128
0.96,1654129
0.96,1657743
0.96,1657744
0.96,1657745
0.96,1661360
0.96,1661361
0.96,1661362
0.96,1664977
0.96,1664978
0.96,1668593
0.96,1668594
0.96,1672210
0.96,1672211
0.96,1675826
0.96,1675827
0.96,1675828
0.96,1679443
0.96,1679444
0.96,1683059
0.96,1683060
0.96,1683061
0.96,1686676
0.96,1686677
0.96,1690292
0.96,1690293
0.96,1693909
0.96,1697525
0.96,1697526
0.96,1701142
0.96,1701143
0.96,1704758
0.96,1708375
0.77,1711991
0.77,1715608
0.77,1722841
0.77,1726458
0.77,1730074
0.77,1730075
0.98,1733686
0.98,1733687
0.98,1733688
0.98,1733689
0.98,1733690
0.98,1737303
0.98,1737304
0.98,1737305
0.98,1737306
0.98,1740919
0.98,1740920
0.98,1740921
0.98,1740922
0.98,1740923
0.98,1744536
0.98,1744537
0.98,1744538
0.98,1748153
0.98,1748154
0.98,1751769
0.98,1751770
0.98,1751771
0.25,1733691
0.25,1737307
0.85,1755381
0.85,1755382
0.85,1755383
0.85,1755384
0.85,1755385
0.85,1758998
0.85,1758999
0.85,1759000
0.85,1759001
0.85,1762614
0.85,1762615
0.85,1762616
0.85,1762617
0.85,1762618
0.85,1766231
0.85,1766232
0.85,1766233
0.85,1769847
0.85,1769848
0.85,1769849
0.84,1773460
0.84,1773461
0.84,1773462
0.84,1773463
0.84,1777076
0.84,1777077
0.84,1777078
0.84,1777079
0.84,1777080
0.84,1780693
0.84,1780694
0.84,1780695
0.84,1780696
0.84,1784309
0.84,1784310
0.84,1784311
0.84,1784312
0.84,1784313
0.84,1787926
0.84,1787927
0.84,1787928
0.84,1791542
0.84,1791543
0.84,1791544
0.96,1773464
0.96,1780697
0.65,1795154
0.65,1795155
0.65,1795156
0.65,1795157
0.65,1795158
0.65,1798771
0.65,1798772
0.65,1798773
0.65,1798774
0.65,1802388
0.65,1802389
0.65,1802390
0.65,1806004
0.65,1806005
0.65,1806006
0.65,1806007
0.65,1809621
0.65,1809622
0.65,1813237
1,1795159
1,1795160
1,1798775
0.19,1816845
0.19,1816846
0.19,1816847
0.19,1816848
0.19,1820461
0.19,1820462
0.19,1820463
0.19,1820464
0.19,1820465
0.19,1824078
0.19,1824079
0.19,1824080
0.19,1824081
0.19,1824082
0.19,1827695
0.19,1827696
0.19,1827697
0.19,1827698
0.19,1831311
0.19,1831312
0.19,1834928
0.77,1816849
0.77,1816850
0.77,1816851
0.77,1816852
0.77,1816853
0.77,1820466
0.77,1820467
0.77,1820468
0.77,1824083
0.77,1824084
0.77,1827699
1,1816854
0.26,1838535
0.26,1838536
0.26,1838537
0.26,1838538
0.26,1838539
0.26,1842152
0.26,1842153
0.26,1842154
0.26,1842155
0.26,1845768
0.26,1845769
0.26,1845770
0.26,1845771
0.26,1845772
0.26,1849385
0.26,1849386
0.26,1849387
0.26,1849388
0.26,1853002
0.26,1853003
0.26,1853004
0.26,1853005
0.79,1838540
0.79,1838541
0.79,1838542
0.79,1838543
0.79,1842156
0.79,1842157
0.79,1842158
0.79,1845773
0.79,1845774
1,1838544
0.96,1856614
0.96,1856615
0.96,1856616
0.96,1856617
0.96,1860230
0.96,1860231
0.96,1860232
0.96,1860233
0.96,1860234
