prob,cell_id
0.15,175383
0.15,178999
0.16,175384
0.16,175385
0.16,179001
0.13,175386
0.6,182711
0.6,182712
0.29,182720
0.28,182721
0.28,175488
0.28,179105
0.28,182722
0.28,182723
0.26,175489
0.26,179106
0.26,179107
0.26,182724
0.26,182725
0.35,175490
0.35,179108
0.35,182726
0.26,179109
0.22,182730
0.22,182731
0.33,182732
0.29,182733
0.29,182734
0.15,175499
0.15,175500
0.15,182735
0.15,182736
0.04,182762
0.03,182763
0.18,179182
0.18,182799
0.18,182800
0.17,179183
0.17,182801
0.17,182802
0.12,179184
0.12,179185
0.12,182803
0.07,179186
0.07,182804
0.13,175569
0.13,179187
0.13,179188
0.13,182806
0.24,175570
0.24,175571
0.24,182807
0.24,182808
0.26,175572
0.26,179190
0.26,179191
0.26,182809
0.21,175573
0.21,175574
0.21,179192
0.21,182810
0.21,182811
0.08,175575
0.08,179193
0.08,179194
0.08,182812
0.08,182813
0.13,175576
0.13,175577
0.13,179195
0.13,179196
0.13,182814
0.05,175578
0.05,179197
0.13,175579
0.13,175580
0.13,179198
0.13,179199
0.13,182817
0.12,175581
0.12,179200
0.12,182818
0.12,182819
0.1,175582
0.1,175583
0.1,179201
0.1,179202
0.1,182820
0.04,175584
0.04,175585
0.04,179203
0.04,182821
0.04,175586
0.04,179204
0.03,179208
0.03,182826
0.03,182827
0.02,175591
0.02,179209
0.02,179210
0.02,182828
0.07,175592
0.07,179211
0.07,182829
0.07,182830
0.08,175593
0.08,175594
0.08,179212
0.08,179213
0.08,182831
0.09,175595
0.09,179214
0.09,182832
0.09,182833
0.09,175596
0.09,175597
0.09,179215
0.09,179216
0.09,182834
0.09,182835
0.1,175598
0.1,179217
0.1,182836
0.09,175599
0.09,175600
0.09,179218
0.09,179219
0.09,182837
0.09,182838
0.05,175601
0.05,179220
0.05,182839
0.02,175602
0.02,175603
0.02,179221
0.02,179222
0.02,182840
0.02,182841
0.13,175655
0.13,179275
0.07,175656
0.07,175657
0.07,179276
0.03,175658
0.03,179277
0.03,179278
0.03,182897
1,189936
0.84,189937
0.84,189938
0.84,193554
0.84,193555
0.37,189939
0.37,193556
0.37,193557
0.37,189940
0.37,189941
0.37,193558
0.51,189942
0.51,193559
1,193562
1,193563
1,186329
1,186330
1,193564
1,193565
1,186331
1,189949
1,193566
1,186332
1,186333
1,189950
1,193567
1,193568
0.16,186334
0.16,189951
0.16,189952
0.16,193569
0.16,193570
0.25,186335
0.25,186336
0.25,189953
0.25,189954
0.25,193571
0.25,186337
0.25,186338
0.25,189955
0.25,193572
0.25,193573
0.04,186339
0.04,189956
0.04,189957
0.01,186342
0.01,189959
0.01,189960
0.14,186343
0.14,186344
0.14,189961
0.14,189962
0.46,186345
0.46,186346
0.46,189963
0.46,193580
0.46,193581
0.48,186347
0.48,189964
0.48,189965
0.48,193582
0.48,193583
0.17,186348
0.17,186349
0.17,189966
0.17,193584
0.09,186350
0.09,189967
0.09,189968
0.09,193585
0.09,193586
0.09,186351
0.09,186352
0.09,189969
0.09,189970
0.09,193587
0.14,186353
0.14,189971
0.13,186354
0.13,186355
0.13,189972
0.13,189973
0.16,186356
0.16,186357
0.16,189974
0.2,186358
0.2,189975
0.2,189976
0.2,193593
0.2,193594
0.14,186359
0.14,186360
0.14,189977
0.14,189978
0.14,193595
0.14,193596
0.23,189979
0.23,193597
0.18,189980
0.18,189981
0.18,193598
0.18,193599
0.18,193600
0.16,193601
0.16,193602
0.08,193612
0.07,189995
0.07,193613
0.06,189996
0.06,189997
0.06,193614
0.06,193615
0.06,186380
0.06,189998
0.06,189999
0.06,193616
0.06,193617
0.06,186381
0.06,186382
0.06,190000
0.06,193618
0.07,190001
0.07,190002
0.07,193619
0.1,193626
0.09,190009
0.09,190010
0.09,193627
0.09,193628
