prob,cell_id
0.01,168415
0.01,172034
0.01,168416
0.01,172035
0.01,172036
0.02,175655
0.02,179275
0.01,175656
0.01,175657
0.01,179276
0.01,175658
0.01,179277
0.01,179278
0.01,182897
0.01,186051
0.01,186052
0.01,189666
0.01,193280
0.01,193281
0.01,186053
0.01,189667
0.01,189668
0.01,193282
0.01,193283
0.02,186054
0.02,186055
0.02,189669
0.02,189670
0.02,193284
0.01,186056
0.01,189671
0.01,193285
0.01,193286
0.01,186057
0.01,186058
0.01,189672
0.01,189673
0.01,186059
0.01,186060
0.01,186061
0.01,189675
0.01,189676
0.01,193291
0.02,186062
0.02,186063
0.02,189677
0.02,189678
0.02,193292
0.01,186064
0.01,193293
0.01,193294
0.01,186065
0.01,193295
0.01,193297
0.01,193298
0.01,193299
0.03,186513
0.03,186514
0.03,190133
0.02,186515
0.02,190134
0.02,190135
0.01,186516
0.01,186517
0.01,190136
0.01,190137
0.01,193755
0.01,193756
0.01,186518
0.01,186519
0.01,190138
0.01,193757
0.01,193758
0.01,186520
0.01,190139
0.01,190140
0.01,193759
0.02,190185
0.02,193805
0.01,186566
0.01,190186
0.01,193806
0.01,186567
0.01,186568
0.01,190187
0.01,190188
0.01,193807
0.01,193808
0.02,200498
0.02,200499
0.02,207728
0.01,200500
0.01,200501
0.01,207729
0.01,207730
0.01,200502
0.01,204116
0.01,204117
0.01,207731
0.01,207732
0.01,200503
0.01,204118
0.01,204119
0.01,207733
0.01,204120
0.01,207734
0.01,196892
0.01,196893
0.01,200507
0.01,204121
0.01,204122
0.02,196894
0.02,200508
0.02,200509
0.02,204123
0.02,204124
0.02,196895
0.02,196896
0.02,200510
0.02,200511
0.02,204125
0.02,196897
0.02,204126
0.02,196898
0.02,196899
0.03,196909
0.02,196910
0.02,196911
0.02,196912
0.02,200527
0.02,207756
0.02,207757
0.02,196913
0.02,196914
0.02,200528
0.02,200529
0.02,204143
0.02,204144
0.02,207758
0.02,207759
0.03,196915
0.03,200530
0.03,204145
0.03,207760
0.01,207761
0.06,204611
0.05,204612
0.05,204613
0.05,208231
0.05,208232
0.04,204614
0.04,208233
0.04,208234
0.03,204615
0.03,204616
0.03,208235
0.02,200998
0.02,204617
0.02,204618
0.02,208236
0.02,208237
0.01,204619
0.01,208238
0.01,208239
0.01,204620
0.01,204621
0.01,208240
0.01,204622
0.01,204623
0.01,204626
0.01,197422
0.01,197423
0.01,201042
0.01,201043
0.01,204663
0.01,208283
0.01,197424
0.01,197425
0.01,201044
0.01,201045
0.01,204664
0.01,208284
0.01,197426
0.01,201046
0.01,204665
0.01,204666
0.01,208285
0.01,208286
0.01,197427
0.01,197428
0.01,201047
0.01,201048
0.01,204667
0.01,204668
0.01,208287
0.01,208288
0.01,197434
0.01,201054
0.01,204674
0.01,208294
0.01,211305
0.01,211306
0.01,214919
0.01,214920
0.01,218534
0.01,211307
0.01,214921
0.01,214922
0.01,218535
0.01,218536
0.01,211308
0.01,211309
0.01,214923
0.01,218537
0.01,218538
0.01,211330
0.01,211331
0.01,214945
0.01,214946
0.01,218560
0.04,211332
0.04,211333
0.04,214947
0.04,218561
0.04,218562
0.06,211334
0.06,211335
0.06,214948
0.06,214949
0.06,218563
0.06,218564
0.07,211336
0.07,214950
0.07,214951
0.07,218565
0.07,218566
0.07,211337
0.07,211338
0.07,214952
0.07,214953
0.07,218567
0.05,211339
0.05,211340
0.05,214954
0.05,218568
0.05,218569
0.04,211341
0.04,214955
0.04,214956
0.04,218570
0.04,218571
0.03,211342
0.03,211343
0.03,214957
0.03,218572
0.03,211344
0.03,211345
0.03,218573
0.03,218574
0.02,211346
0.02,211347
0.02,211348
0.02,218588
0.02,218589
0.02,218590
0.02,214976
0.02,214977
0.02,218591
0.02,218592
0.02,214978
0.02,218593
0.02,214979
0.02,214980
0.02,218594
0.02,218595
0.02,214981
0.02,214982
0.02,218596
0.02,218597
0.02,214983
0.02,218598
0.02,211370
0.02,214984
0.02,214985
0.02,218599
0.02,218600
0.01,211371
0.01,211372
0.01,214986
0.01,214987
0.01,218601
0.01,218602
0.04,211373
0.04,211374
0.04,214988
0.08,211853
0.06,211854
0.06,211855
0.05,211856
0.04,211857
0.01,211865
0.01,215484
0.01,219104
0.01,219125
0.01,219126
0.01,211902
0.01,211903
0.01,211904
0.01,211905
0.01,211906
0.01,211907
0.01,219146
0.01,219147
0.01,211908
0.01,211909
0.01,215529
0.01,219148
0.01,219149
0.01,211910
0.01,211911
0.01,215530
0.01,215531
0.01,219150
0.01,219151
0.01,211912
0.01,211913
0.01,215532
0.01,211914
0.01,215533
0.01,215534
0.01,219153
0.01,219154
0.01,211915
0.01,211916
0.01,215535
0.01,215536
0.01,219155
0.01,219156
0.01,211936
0.01,215556
0.01,219176
0.01,215557
0.01,215558
0.01,219177
0.01,219178
0.01,211940
0.01,215559
0.01,215560
0.01,219179
0.01,219180
0.01,211941
0.01,215561
0.01,215562
0.01,219181
0.01,219182
0.01,211946
0.01,211947
0.01,215566
0.01,215567
0.01,219186
0.01,211948
0.01,215568
0.01,219188
0.01,219189
0.01,211949
0.01,211950
0.01,215569
0.01,215570
0.01,219190
0.01,211951
0.01,211952
0.01,215571
0.01,215572
0.01,219191
0.01,219192
0.01,222139
0.01,222140
0.01,225754
0.01,225755
0.01,229368
0.01,229369
0.01,222141
0.01,222142
0.01,225756
0.01,229370
0.01,229371
0.01,222143
0.01,222144
0.01,225757
0.01,225758
0.01,229372
0.01,222145
0.01,225759
0.01,225760
0.01,222146
0.01,222147
0.01,225761
0.01,225762
0.02,222148
0.02,222149
0.02,229378
0.02,222150
0.02,222151
0.02,229379
0.02,222152
0.02,222153
0.02,222154
0.02,225769
0.02,222155
0.02,222156
0.02,225770
0.01,222157
0.01,222158
0.01,225771
0.01,225772
0.01,229387
0.01,222159
0.01,225773
0.01,225774
0.01,229388
0.02,222160
0.02,222161
0.03,222180
0.09,222181
0.09,222182
0.07,222183
0.07,222184
0.07,225799
0.07,229413
0.05,222185
0.05,222186
0.05,225800
0.05,229414
0.05,229415
0.03,222187
0.03,225801
0.03,225802
0.03,229416
0.03,229417
0.02,222188
0.02,222189
0.02,229418
0.02,229419
0.02,229420
0.02,229421
0.02,229422
0.03,225809
0.03,229423
0.03,229424
0.04,225810
0.04,225811
0.04,229425
0.04,229426
0.04,225812
0.04,225813
0.04,229427
0.04,229428
0.04,225814
0.04,229429
0.06,222200
0.06,222201
0.06,225815
0.06,225816
0.06,229430
0.08,222202
0.08,222203
0.08,225817
0.08,225818
0.08,222204
0.08,222205
0.08,225819
0.08,225820
0.02,222724
0.02,222725
0.02,229963
0.02,229964
0.01,222726
0.01,222727
0.01,226345
0.01,226346
0.01,229965
0.01,222728
0.01,226347
0.01,229966
0.01,229967
0.01,222729
0.01,222730
0.01,226349
0.01,226350
0.01,229968
0.01,229969
0.01,222731
0.01,222732
0.01,226351
0.01,229970
0.01,229971
0.01,222733
0.01,222734
0.01,226352
0.01,226353
0.01,229972
0.01,229973
0.01,222735
0.01,226354
0.01,222736
0.01,229980
0.01,229981
0.01,222744
0.01,222745
0.01,222746
0.02,229997
0.02,230002
0.02,230003
0.01,226385
0.01,230004
0.01,230005
0.01,226386
0.01,226387
0.01,230006
0.01,230008
0.01,226390
0.01,230009
0.01,230010
0.01,226391
0.01,226392
0.01,230011
0.01,230012
0.01,222774
0.01,226393
0.01,226394
0.01,230013
0.01,222775
0.01,222776
0.01,226395
0.01,230015
0.01,222777
0.01,226396
0.01,230016
0.01,222778
0.01,222779
0.01,222780
0.01,222781
0.01,222782
0.01,222783
0.01,226402
0.02,222784
0.02,226403
0.02,226404
0.02,222785
0.02,222786
0.02,226405
0.02,226406
0.02,230026
0.01,222787
0.01,222788
0.01,226407
0.01,226408
0.01,230027
0.01,230028
0.01,226409
0.01,230029
0.01,226412
0.01,226413
0.01,230032
0.01,230033
0.02,222794
0.02,222795
0.02,226414
0.02,226415
0.02,230034
0.02,230035
0.02,222796
0.02,222797
0.02,226416
0.02,230036
0.03,222798
0.03,226417
0.03,226418
0.03,230037
0.01,222811
0.01,222812
0.01,226432
0.01,222813
0.01,222814
0.01,226433
0.01,226434
0.01,230053
0.01,230054
0.03,222815
0.03,222816
0.03,226435
0.03,226436
0.03,230055
0.03,230056
0.02,222817
0.02,226437
0.02,230057
0.01,232981
0.01,232982
0.01,236595
0.01,236596
0.01,240210
0.01,240211
0.01,243824
0.01,243825
0.01,232983
0.01,236597
0.01,236598
0.01,240212
0.02,232984
0.02,232985
0.02,236599
0.02,240213
0.02,240214
0.02,243828
0.02,243829
0.02,232986
0.02,240215
