prob,cell_id
0.24,5246862
0.24,5246863
0.24,5250477
0.24,5250478
0.24,5250479
0.26,5243248
0.26,5243249
0.26,5246864
0.26,5246865
0.26,5246866
0.26,5250480
0.27,5254093
0.27,5254094
0.27,5254095
0.27,5254096
0.27,5257710
0.27,5257711
0.27,5257712
0.27,5268561
0.27,5268562
0.35,5261338
0.35,5261339
0.35,5264954
0.35,5264955
0.35,5264956
0.35,5264957
0.35,5268571
0.35,5268572
0.35,5268573
0.35,5268574
0.36,5264960
0.36,5268576
0.36,5268577
0.25,5272078
0.25,5272079
0.25,5275695
0.25,5275696
0.25,5279312
0.25,5279313
0.25,5282926
0.25,5282927
0.25,5282928
0.25,5282929
0.25,5286543
0.25,5286544
0.25,5286545
0.25,5286546
0.25,5290160
0.25,5290161
0.25,5290162
0.25,5290163
0.24,5272080
0.24,5275697
0.24,5279314
0.4,5272189
0.4,5272190
0.6,5341036
0.6,5344652
0.6,5348268
0.6,5348269
0.58,5348274
0.6,5333818
0.6,5333819
0.6,5333820
0.6,5337434
0.6,5337435
0.6,5337436
0.6,5341050
0.6,5341051
0.6,5341052
0.6,5344667
0.6,5344668
0.65,5351883
0.65,5351884
0.65,5351885
0.65,5351886
0.65,5355500
0.65,5355501
0.65,5355502
0.65,5359117
0.65,5359118
0.65,5359119
0.65,5362733
0.65,5362734
0.65,5362735
0.65,5366349
0.65,5366350
0.65,5366351
0.44,5351887
0.44,5351890
0.44,5355503
0.44,5355504
0.44,5355506
0.44,5359120
0.44,5359121
0.44,5359122
0.44,5359123
0.44,5362736
0.44,5362737
0.44,5362738
0.44,5362739
0.44,5366352
0.44,5366353
0.44,5366354
0.44,5366355
0.32,5351891
0.32,5355507
0.32,5355508
0.32,5355509
0.32,5359124
0.32,5359125
0.32,5362740
0.32,5366356
0.32,5366357
0.32,5366358
0.29,5366361
0.29,5366362
0.29,5366363
0.66,5366364
0.61,5369966
0.61,5369967
0.61,5369968
0.61,5373582
0.61,5373583
0.61,5373584
0.61,5377198
0.61,5377199
0.61,5377200
0.61,5380814
0.61,5380815
0.61,5380816
0.61,5380817
0.61,5384432
0.61,5384433
0.38,5369977
0.38,5369978
0.38,5369979
0.38,5373593
0.38,5373594
0.38,5373595
0.38,5373596
0.38,5380826
0.38,5380827
0.38,5380828
0.38,5384442
0.38,5384443
0.38,5384444
0.38,5384445
0.68,5369980
0.68,5369981
0.68,5373597
0.68,5377213
0.68,5377214
0.68,5380829
0.68,5380830
0.68,5384446
0.73,5388046
0.73,5402509
0.72,5388048
0.72,5388049
0.72,5388050
0.72,5391664
0.72,5391665
0.72,5395281
0.72,5395282
0.72,5398898
0.7,5388051
0.7,5388052
0.7,5388053
0.7,5391667
0.7,5391668
0.7,5391669
0.7,5391670
0.7,5395283
0.7,5395284
0.7,5395285
0.69,5388055
0.69,5388056
0.69,5388057
0.69,5391671
0.69,5391672
0.69,5391673
0.69,5395287
0.69,5395288
0.69,5395289
0.69,5395290
0.69,5402520
0.7,5388058
0.7,5388059
0.7,5388060
0.7,5388061
0.7,5391675
0.7,5391676
0.7,5391677
0.7,5395291
0.7,5395292
0.7,5395293
0.75,5388062
0.79,5406131
1,5514651
1,5514652
1,5514653
1,5514654
1,5511038
1,5514655
1,5528278
1,5528279
1,5528280
1,5531896
1,5531897
1,5531898
1,5518263
1,5518264
1,5518268
1,5518269
1,5518270
1,5521885
1,5521886
1,5525502
1,5518271
1,5518272
1,5518273
1,5521887
1,5521888
1,5521889
1,5525503
1,5525504
1,5525505
1,5525506
1,5518274
1,5535513
1,5535514
1,5539131
1,5539132
1,5535515
1,5535517
1,5535518
1,5539133
1,5539134
1,5539135
1,5550012
1,5550013
1,5553629
1,5553630
1,5550014
1,5550015
1,5550016
1,5550017
1,5553631
1,5553632
1,5553633
1,5553634
1,5550018
1,5550019
1,5553635
1,5553636
1,5553637
1,5553638
1,5553639
1,5553640
1,5553641
1,5560858
1,5564475
1,5564476
1,5568092
1,5568093
1,5571710
1,5560859
1,5564477
1,5564478
1,5568094
1,5568095
1,5568096
1,5571711
1,5571712
1,5571713
1,5571714
1,5557247
1,5557248
1,5560865
1,5571715
1,5557249
1,5557250
1,5557251
1,5560866
1,5560867
1,5560868
1,5560869
1,5564485
1,5564486
1,5557252
1,5557253
1,5557254
1,5557255
1,5560870
1,5560871
1,5564487
1,5564488
1,5564489
1,5564490
1,5568106
1,5568107
1,5571724
1,5571725
1,5557256
1,5557257
1,5557258
1,5557259
1,5560875
1,5560876
1,5564493
1,5568108
1,5568109
1,5571726
1,5571727
1,5571728
1,5557260
1,5560877
1,5560878
1,5560879
1,5564494
1,5564495
1,5564496
1,5564497
1,5568112
1,5568113
1,5568114
1,5571729
1,5571731
1,5571732
1,5568115
1,5571733
1,5571734
1,5564779
1,5564780
1,5568396
1,5568397
1,5572013
1,5572014
1,5568398
1,5575327
1,5575328
1,5578945
1,5575329
1,5575330
1,5575331
1,5578946
1,5578948
1,5578949
1,5575332
1,5575341
1,5575342
1,5575343
1,5575344
1,5575345
1,5575346
1,5578962
1,5578963
1,5575347
1,5575349
1,5578964
1,5578965
1,5578967
1,5582582
1,5582583
1,5582584
1,5586199
1,5586200
1,5586201
1,5589818
1,5589819
1,5575350
1,5575351
1,5578968
1,5578969
1,5582585
1,5582586
1,5586202
1,5586203
1,5589820
1,5586211
1,5586212
1,5589828
1,5589829
1,5589830
1,5593445
1,5593446
