prob,cell_id
0.41,435966
0.4,435967
0.4,435968
0.4,435969
0.39,432353
0.39,432354
0.39,435970
0.39,435971
0.39,435972
0.39,435973
0.39,435974
0.38,432357
0.38,432358
0.38,432359
0.38,435975
0.38,435976
0.38,432360
0.38,435977
0.38,435978
0.38,435979
0.37,435983
0.37,435984
0.37,432367
0.37,432368
0.37,435985
0.37,435986
0.36,435987
0.36,435988
0.36,435989
0.36,435990
0.04,450419
0.22,450420
0.43,446809
0.43,450426
0.41,446810
0.41,446811
0.41,450427
0.41,450428
0.41,450429
0.39,439577
0.39,439578
0.39,439579
0.39,443195
0.39,443196
0.39,446812
0.39,446813
0.39,446814
0.39,450430
0.39,450431
0.38,439580
0.38,439581
0.38,443197
0.38,443198
0.38,443199
0.38,446815
0.38,446816
0.38,450432
0.38,450433
0.38,450434
0.35,439582
0.35,439583
0.35,439584
0.35,443200
0.35,443201
0.35,446817
0.35,446818
0.35,446819
0.35,450435
0.35,450436
0.33,439585
0.33,439586
0.33,443202
0.33,443203
0.33,443204
0.33,446820
0.33,446821
0.33,450437
0.33,450438
0.33,450439
0.33,439587
0.33,439588
0.33,439589
0.33,443205
0.33,443206
0.33,446822
0.33,446823
0.33,450440
0.32,439590
0.32,439591
0.32,443207
0.32,443208
0.32,443209
0.32,450443
0.32,450444
0.33,439592
0.33,439593
0.33,439594
0.33,443210
0.33,443211
0.33,446827
0.33,446828
0.33,446829
0.33,450445
0.33,450446
0.34,439595
0.34,439596
0.34,443212
0.34,443213
0.34,443214
0.34,446830
0.34,450447
0.34,450448
0.34,450449
0.35,439597
0.35,439598
0.35,439599
0.35,443215
0.35,443216
0.35,446832
0.35,446833
0.35,446834
0.35,450450
0.35,450451
0.35,439600
0.35,439601
0.35,443217
0.35,443218
0.35,443219
0.35,446835
0.35,446836
0.35,450452
0.35,450453
0.34,439605
0.34,439606
0.34,443222
0.34,443223
0.34,443224
0.34,446840
0.34,446841
0.34,450457
0.34,450458
0.34,450459
0.34,439607
0.34,439608
0.34,443225
0.34,443226
0.34,446842
0.34,439609
0.34,439610
0.34,439611
0.34,443227
0.34,443228
0.34,443229
0.34,446846
0.34,450463
0.34,443230
0.34,443231
0.34,446847
0.34,446848
0.34,446849
0.34,450465
0.34,450466
0.34,446850
0.34,446851
0.34,450467
0.34,450468
0.34,450469
0.34,450470
0.34,450471
0.45,468494
0.45,468496
0.43,464879
0.43,464880
0.43,464881
0.43,468497
0.43,468498
0.43,457648
0.43,457649
0.43,461264
0.43,461265
0.43,461266
0.43,464882
0.43,464883
0.43,468499
0.43,468500
0.43,468501
0.42,454034
0.42,457650
0.42,457651
0.42,461267
0.42,461268
0.42,464884
0.42,464885
0.42,464886
0.42,468502
0.42,468503
0.42,454035
0.42,454036
0.42,457653
0.42,461269
0.42,461270
0.42,461271
0.42,464887
0.42,464888
0.42,468504
0.42,468505
0.42,468506
0.41,461272
0.41,461273
0.41,461274
0.41,464889
0.41,464890
0.41,464891
0.41,468507
0.41,468508
0.4,457659
0.4,461275
0.4,461276
0.4,464892
0.4,464893
0.4,468509
0.4,468510
0.4,468511
0.39,454043
0.39,454044
0.39,457660
0.39,457661
0.39,461277
0.39,461278
0.39,461279
0.39,464894
0.39,464895
0.39,464896
0.39,468512
0.39,468513
0.37,454045
0.37,454046
0.37,457662
0.37,457663
0.37,457664
0.37,461280
0.37,461281
0.37,464897
0.37,464898
0.37,464899
0.37,468514
0.37,468515
0.37,468516
0.34,454047
0.34,454048
0.34,454049
0.34,457665
0.34,457666
0.34,461282
0.34,461283
0.34,461284
0.34,464900
0.34,464901
0.32,454050
0.32,454051
