prob,cell_id
0.26,4580273
0.56,4601978
0.56,4605594
0.56,4605595
0.56,4609211
0.56,4609212
0.56,4612828
0.56,4612829
0.56,4616445
0.56,4616446
0.41,4620062
0.41,4620063
0.41,4623680
0.41,4627297
0.41,4627298
0.41,4630914
0.41,4630915
0.41,4634532
0.41,4634533
0.41,4638149
0.41,4638150
0.24,4641767
0.24,4641768
0.24,4645384
0.24,4645385
0.24,4649001
0.24,4649002
0.24,4649003
0.24,4652619
0.24,4652620
0.24,4656237
0.24,4656238
0.24,4659854
0.24,4659855
0.17,4663472
0.17,4663473
0.17,4667089
0.17,4667090
0.17,4670707
0.17,4674324
0.17,4674325
0.17,4677942
0.17,4681559
0.17,4681560
0.45,4685177
0.45,4688794
0.45,4692411
0.45,4692412
0.45,4696029
0.45,4703264
0.38,4688795
0.38,4692413
0.38,4696030
0.38,4699647
0.38,4699648
0.38,4703265
0.68,4706881
0.68,4710499
0.68,4714116
0.68,4717733
0.68,4721350
0.68,4721351
0.65,4706882
0.65,4710500
0.65,4717734
0.59,4724966
0.59,4724967
0.59,4724968
0.59,4728583
0.59,4728584
0.59,4732201
0.59,4732202
0.59,4735818
0.59,4735819
0.59,4739436
0.59,4739437
0.59,4743053
0.59,4743054
0.59,4746671
0.59,4746672
0.59,4750288
0.59,4750289
0.59,4753905
0.59,4753906
0.59,4757521
0.59,4757522
0.59,4757523
0.59,4761139
0.59,4761140
0.59,4764756
0.59,4764757
0.57,4771990
0.57,4775607
0.57,4779225
0.57,4782842
0.57,4786459
0.57,4786460
0.57,4768373
0.57,4775608
0.49,4790076
0.49,4790077
0.49,4793694
0.49,4797311
0.49,4800928
0.49,4804545
0.49,4804546
0.45,4815395
0.45,4819012
0.45,4822629
0.45,4826246
0.45,4826247
0.44,4808162
0.44,4808163
0.44,4811778
0.44,4811779
0.44,4811780
0.44,4815396
0.44,4815397
0.44,4819013
0.44,4822630
0.26,4829863
0.26,4829864
0.26,4833480
0.26,4833481
0.26,4837098
0.26,4837099
0.26,4840715
0.26,4840716
0.26,4844332
0.26,4844333
0.26,4847949
0.26,4847950
0.42,4866034
0.23,4851566
0.23,4851567
0.23,4855183
0.23,4855184
0.23,4858801
0.23,4858802
0.23,4862418
0.23,4862419
0.23,4866035
0.23,4866036
0.59,4887735
0.3,4869653
0.3,4873270
0.08,4869810
0.08,4869811
0.08,4869812
0.08,4869813
0.08,4869814
0.08,4873428
0.08,4873429
0.08,4873430
0.08,4873431
0.08,4877045
0.08,4877046
0.08,4880662
0.57,4891351
0.57,4891352
0.57,4894969
0.57,4894970
0.57,4898586
0.57,4898587
0.57,4902203
0.57,4902204
0.57,4905820
0.57,4905821
0.57,4905822
0.57,4909438
0.57,4909439
0.24,4891353
0.24,4891354
0.24,4891355
0.24,4891356
0.24,4894971
0.24,4894972
0.24,4894973
0.24,4898588
0.24,4898589
0.24,4898590
0.85,4891510
0.7,4913055
0.7,4913056
0.7,4916673
0.7,4916674
0.7,4920290
0.7,4920291
0.7,4920292
0.7,4923908
0.7,4923909
0.7,4927526
0.7,4927527
0.36,4923910
0.36,4927528
0.62,4913205
0.62,4913206
0.62,4913207
0.62,4913208
0.62,4916823
0.62,4920440
1,4945610
0.62,4931144
0.62,4934762
0.62,4938379
0.62,4941993
0.62,4941994
0.62,4941995
0.62,4941996
0.62,4941997
0.62,4945611
0.62,4945612
0.62,4945613
0.62,4945614
0.62,4949228
0.62,4949229
0.62,4949230
0.62,4949231
0.62,4949232
0.46,4931145
0.46,4934763
0.46,4938380
0.46,4945615
0.63,4931288
0.63,4931289
0.63,4934905
0.63,4934906
0.63,4934907
0.63,4938523
0.63,4942140
0.45,4952846
0.45,4952847
0.45,4952848
0.45,4952849
0.45,4956465
0.45,4956466
0.45,4956467
0.45,4960083
0.45,4960084
0.45,4963702
0.45,4967319
0.45,4970937
0.54,4952850
0.54,4956468
0.54,4960085
0.54,4960086
0.54,4963703
0.54,4967320
0.54,4967321
0.54,4970938
0.54,4970939
0.39,4952984
0.39,4952985
0.39,4952986
0.39,4952987
0.39,4956601
0.39,4956602
0.39,4956603
0.39,4956604
0.39,4960218
0.39,4960219
0.39,4960220
0.39,4963836
0.39,4967453
0.39,4967454
1,4952988
0.62,4974555
0.62,4974556
0.62,4974557
0.62,4978173
0.62,4978174
0.62,4978175
0.62,4981790
0.62,4981791
0.62,4981792
0.62,4985408
0.62,4985409
0.62,4985410
0.62,4989025
0.62,4989026
0.62,4989027
0.05,4974675
0.05,4974676
0.05,4974677
0.05,4974678
0.05,4978292
0.05,4978293
0.05,4978294
0.05,4978295
0.05,4978296
0.05,4981910
0.05,4981911
0.05,4981912
0.05,4981913
0.05,4985527
0.05,4985528
0.05,4985529
0.05,4985530
0.05,4985531
0.52,4974679
0.52,4974680
0.52,4974681
0.52,4974682
0.52,4974683
0.52,4978297
0.52,4978298
0.52,4978299
0.52,4978300
0.52,4981914
0.52,4981915
0.52,4981916
0.52,4981917
0.52,4985532
0.81,4974684
0.81,4974685
0.81,4974686
0.81,4978301
0.81,4978302
0.81,4978303
0.59,4992642
0.59,4996259
0.59,4999876
0.59,4999877
0.59,5003493
0.59,5003494
0.59,5007111
0.59,5007112
0.59,5010727
0.59,5010728
0.59,5010729
0.69,4992643
0.69,4992644
0.69,4996260
0.69,4996261
0.69,4999878
0.69,5003495
0.69,5003496
0.69,5007113
0.07,4992740
0.07,4996357
0.07,4999974
0.07,4999975
0.07,5003590
0.07,5003591
0.07,5003592
0.07,5007207
0.07,5007208
0.07,5007209
0.07,5010825
0.07,5010826
0.07,5010827
0.28,4992758
0.28,4992759
0.28,4992760
0.28,4996375
0.28,4996376
0.28,4996377
0.28,4996378
0.28,4999993
0.28,4999994
0.28,5003610
0.28,5003611
0.28,5003612
0.28,5007227
0.28,5007228
0.28,5007229
0.28,5010845
0.28,5010846
0.4,5014345
0.4,5014346
0.4,5017962
0.4,5017963
0.4,5021579
0.4,5021580
0.4,5025197
0.4,5025198
0.4,5028814
0.4,5028815
0.4,5032432
0.4,5032433
0.09,5014442
0.09,5014443
0.09,5014444
0.09,5018059
0.09,5018060
0.09,5018061
0.09,5018062
0.09,5021676
0.09,5021677
0.09,5021678
0.09,5021679
0.09,5025293
0.09,5025294
0.09,5025295
0.09,5025296
0.09,5025297
0.09,5028911
0.09,5028912
0.09,5028913
0.09,5028914
0.09,5032528
0.09,5032529
0.09,5032530
0.09,5032531
0.02,5014445
0.02,5014446
0.02,5014447
0.02,5014448
0.02,5014449
0.02,5018063
0.02,5018064
0.02,5018065
0.02,5018066
0.02,5021680
0.02,5021681
0.02,5021682
0.02,5021683
0.02,5025298
0.02,5025299
0.02,5025300
0.02,5025301
0.02,5028915
0.02,5028916
0.02,5028917
0.02,5028918
0.02,5032532
0.02,5032533
0.02,5032534
0.02,5032535
0.02,5032536
0.04,5014450
0.04,5014451
0.04,5014452
0.04,5014453
0.04,5018067
0.04,5018068
0.04,5018069
0.04,5018070
0.04,5021684
0.04,5021685
0.04,5021686
0.04,5021687
0.04,5021688
0.04,5025302
0.04,5025303
0.04,5025304
0.04,5025305
0.04,5028919
0.04,5028920
0.04,5028921
0.04,5028922
0.04,5028923
0.04,5032537
0.04,5032538
0.04,5032539
0.04,5032540
0.14,5014454
0.14,5014455
0.14,5014456
0.14,5014457
0.14,5018071
0.14,5018072
0.14,5018073
0.14,5018074
0.14,5021689
0.14,5021690
0.14,5021691
0.14,5021692
0.14,5025306
0.14,5025307
0.14,5025308
0.14,5025309
0.14,5028924
0.14,5028925
0.14,5028926
0.14,5028927
0.14,5032541
0.14,5032542
0.14,5032543
0.14,5032544
0.42,5014458
0.42,5014459
0.42,5014460
0.42,5014461
0.42,5018075
0.42,5018076
0.42,5018077
0.42,5018078
0.42,5018079
0.42,5021693
0.42,5021694
0.42,5021695
0.42,5021696
0.42,5025310
0.42,5025311
0.42,5025312
0.42,5025313
0.42,5028928
0.42,5028929
0.42,5028930
0.42,5028931
0.42,5032545
0.42,5032546
0.42,5032547
0.73,5014462
0.94,5050518
0.7,5036049
0.7,5036050
0.7,5039666
0.7,5039667
0.7,5043284
0.7,5046901
0.7,5046902
0.7,5050519
0.59,5043359
0.59,5046975
0.59,5046976
0.59,5050592
0.59,5050593
0.21,5039742
0.21,5039743
0.21,5043360
0.21,5043361
0.21,5046977
0.21,5046978
0.21,5046979
0.21,5046980
0.21,5050594
0.21,5050595
0.21,5050596
0.21,5050597
0.21,5050598
0.15,5046981
0.15,5050599
0.15,5050600
0.15,5050601
0.27,5050614
0.3,5036147
0.3,5036148
0.3,5036149
0.3,5039764
0.3,5039765
0.3,5039766
0.3,5043382
0.3,5043383
0.3,5043384
0.3,5046999
0.3,5047000
0.3,5047001
0.3,5050615
0.3,5050616
0.3,5050617
0.3,5050618
0.3,5050619
0.13,5036150
0.13,5036151
0.13,5036152
0.13,5036153
0.13,5039767
0.13,5039768
0.13,5039769
0.13,5039770
0.13,5039771
0.13,5043385
0.13,5043386
0.13,5043387
0.13,5043388
0.13,5047002
0.13,5047003
0.13,5047004
0.13,5047005
0.13,5050620
0.13,5050621
0.13,5050622
0.13,5050623
0.24,5036154
0.24,5036155
0.24,5036156
0.24,5036157
0.24,5039772
0.24,5039773
0.24,5039774
0.24,5039775
0.24,5043389
0.24,5043390
0.24,5043391
0.24,5043392
0.24,5047006
0.24,5047007
0.24,5047008
0.24,5047009
0.24,5047010
0.24,5050624
0.24,5050625
0.24,5050626
0.24,5050627
0.41,5036158
0.41,5036159
0.41,5036160
0.41,5036161
0.41,5036162
0.41,5039776
0.41,5039777
0.41,5039778
0.41,5039779
0.41,5043393
0.41,5043394
0.41,5043395
0.41,5043396
0.41,5047011
0.41,5047012
0.41,5047013
0.41,5047014
0.41,5050628
0.41,5050629
0.41,5050630
0.41,5050631
0.57,5036163
0.57,5036164
0.57,5036165
0.57,5039780
0.57,5039781
0.57,5043397
0.57,5043398
0.57,5043399
0.57,5047015
0.57,5047016
0.57,5050632
1,5054135
1,5057753
0.88,5054136
0.88,5057754
0.88,5061371
0.88,5061372
0.88,5064989
0.88,5064990
0.88,5068606
0.88,5068607
0.88,5072224
0.88,5072225
0.6,5072232
0.6,5072233
0.6,5072234
0.49,5054210
0.49,5054211
0.49,5057827
0.49,5057828
0.49,5061445
0.49,5061446
0.49,5065063
0.49,5068680
0.49,5068681
0.49,5072298
0.02,5054230
0.02,5054231
0.02,5054232
0.02,5057846
0.02,5057847
0.02,5057848
0.02,5057849
0.02,5061464
0.02,5061465
0.02,5061466
0.02,5061467
0.02,5065081
0.02,5065082
0.02,5065083
0.02,5065084
0.02,5068699
0.02,5068700
0.02,5068701
0.02,5068702
0.02,5072316
0.02,5072317
0.02,5072318
0.02,5072319
0.07,5054233
0.07,5054234
0.07,5054235
0.07,5054236
0.07,5057850
0.07,5057851
0.07,5057852
0.07,5057853
0.07,5057854
0.07,5061468
0.07,5061469
0.07,5061470
0.07,5061471
0.07,5065085
0.07,5065086
0.07,5065087
0.07,5065088
0.07,5068703
0.07,5068704
0.07,5068705
0.07,5068706
0.07,5072320
0.07,5072321
0.07,5072322
0.07,5072323
0.23,5054237
0.23,5054238
0.23,5054239
0.23,5054240
0.23,5057855
0.23,5057856
0.23,5057857
0.23,5057858
0.23,5061472
0.23,5061473
0.23,5061474
0.23,5061475
0.23,5065089
0.23,5065090
0.23,5065091
0.23,5065092
0.23,5065093
0.23,5068707
0.23,5068708
0.23,5068709
0.23,5068710
0.23,5072324
0.23,5072325
0.23,5072326
0.23,5072327
0.23,5072328
0.38,5054241
0.38,5054242
0.38,5054243
0.38,5054244
0.38,5054245
0.38,5057859
0.38,5057860
0.38,5057861
0.38,5057862
0.38,5061476
0.38,5061477
0.38,5061478
