prob,cell_id
0.04,760440
0.04,760441
0.04,760442
0.04,764055
0.04,764056
0.04,764057
0.04,764058
0.04,767670
0.04,767671
0.04,771285
0.04,771286
0.04,771287
0.04,771288
0.04,774900
0.04,774901
0.04,774902
0.04,774903
0.03,995530
0.03,995531
0.03,995532
0.03,999146
0.03,999147
0.03,1002761
0.03,1002762
0.03,1002763
0.02,995533
0.02,999148
0.02,999149
0.02,999150
0.02,999151
0.02,1002764
0.02,1002765
0.02,1002766
0.02,1002767
0.27,1041148
0.27,1044764
0.27,1044765
0.27,1044766
0.27,1044767
0.27,1041149
0.27,1044768
0.27,1044769
0.27,1044770
0.02,1060330
0.02,1053104
0.02,1053105
0.02,1053106
0.02,1056719
0.02,1056720
0.02,1056721
0.02,1056722
0.02,1060335
0.02,1060336
0.02,1060337
0.14,1078366
0.14,1078367
0.14,1078368
0.09,1074755
0.09,1074756
0.09,1074757
0.09,1078370
0.09,1078371
0.09,1078372
0.09,1078373
0.1,1074758
0.1,1074759
0.1,1074760
0.1,1074761
0.1,1078374
0.1,1078375
0.1,1078376
0.05,1063924
0.05,1063925
0.05,1063926
0.05,1067539
0.05,1067540
0.05,1067541
0.05,1067542
0.05,1071154
0.05,1071155
0.05,1071156
0.05,1071157
0.05,1074769
0.05,1074770
0.05,1074771
0.05,1074772
0.05,1078385
0.05,1078386
0.05,1078387
0.02,1071162
0.02,1071163
0.02,1074777
0.02,1074778
0.02,1074779
0.02,1074780
0.02,1078392
0.02,1078393
0.02,1078394
0.02,1078395
0.02,1063938
0.02,1063939
0.02,1067554
0.02,1067555
0.02,1071169
0.02,1071170
0.02,1071171
0.02,1071172
0.14,1082007
0.14,1082008
0.14,1082009
0.02,1082322
0.02,1082323
0.3,1088222
0.01,1532891
0.01,1536507
0.01,1536508
0.01,1536509
0.01,1540124
0.01,1540125
0.01,1543742
0.05,1608957
0.03,1616184
0.03,1619801
0.03,1619802
0.03,1623418
0.03,1623419
0.03,1623420
0.03,1627036
0.03,1627038
0.03,1630653
0.03,1630654
0.03,1630655
0.02,1616185
0.02,1616186
0.02,1619803
0.02,1619804
0.02,1623421
0.02,1627039
0.02,1627040
0.02,1630657
0.02,1630658
0.02,1630660
0.12,1637879
0.12,1641496
0.12,1645114
0.12,1648731
0.12,1648732
0.12,1645115
0.12,1645119
0.12,1648733
0.12,1648734
0.12,1648735
0.12,1648736
0.12,1648737
0.01,1634271
0.01,1634272
0.01,1634273
0.01,1634274
0.01,1637889
0.01,1637890
0.01,1637891
0.01,1637892
0.01,1641506
0.01,1641507
0.01,1641508
0.01,1641509
0.16,1673993
0.16,1677611
0.16,1681229
0.16,1681230
0.16,1684846
0.16,1684848
0.16,1688464
0.16,1692082
0.08,1684907
0.08,1688524
0.08,1692141
0.08,1692142
0.03,1674093
0.03,1677711
0.16,1706583
0.16,1710200
0.16,1710201
0.19,1702970
0.09,1710227
0.12,1713789
0.12,1713790
0.12,1717407
0.12,1721024
0.12,1721025
0.12,1724642
0.12,1728260
0.12,1731878
0.13,1728295
0.13,1728296
0.13,1731913
0.13,1731914
0.13,1731915
0.13,1731916
0.12,1728301
0.12,1728302
0.12,1728303
0.12,1731917
0.12,1731918
0.12,1731919
0.17,1724686
0.17,1724687
0.17,1724688
0.17,1724689
0.17,1724690
0.17,1728304
0.17,1728305
0.17,1728306
0.17,1728307
0.07,1757295
0.02,1789846
0.37,1775377
0.37,1775378
0.37,1775379
0.37,1778995
0.37,1778996
0.37,1782612
0.37,1782613
0.37,1786230
0.37,1789847
0.37,1789850
0.37,1793467
0.37,1793468
0.25,1797079
0.25,1797080
0.03,1818740
0.03,1818741
0.03,1818742
0.03,1818743
0.03,1822357
0.03,1822360
0.03,1822361
0.16,1818757
0.16,1818758
0.16,1818759
0.16,1818760
0.16,1818761
0.16,1822376
0.16,1822377
0.61,1829647
0.61,1829648
0.61,1829649
0.61,1829650
0.61,1833265
0.61,1833266
0.61,1833267
0.61,1833268
0.61,1836883
0.61,1836884
0.61,1836885
0.49,1854871
0.3,1840432
0.3,1840433
0.3,1840435
0.3,1840436
0.3,1844050
0.3,1844053
0.3,1844054
0.3,1847668
0.3,1847671
0.3,1851289
0.29,1840437
0.29,1840438
0.29,1840439
0.29,1844055
0.29,1844056
0.29,1844058
0.29,1847672
0.29,1847673
0.29,1847674
0.29,1847675
0.29,1847676
0.29,1851290
0.29,1851291
0.29,1851292
0.29,1851293
0.29,1851294
0.05,1840441
0.05,1840442
0.05,1844059
0.05,1844060
0.05,1847677
0.69,1876576
0.69,1876577
0.32,1858490
0.32,1858491
0.55,1858499
0.55,1858500
0.55,1858502
0.55,1862119
0.55,1862120
0.55,1865737
0.55,1869355
0.55,1872972
0.55,1872973
0.23,1858517
0.23,1858518
0.23,1858519
0.23,1862135
0.23,1862136
0.23,1865752
0.23,1865753
0.23,1865754
0.23,1869370
0.23,1869371
0.23,1872987
0.23,1872988
0.23,1876605
0.23,1876606
0.74,1880194
0.58,1883825
0.58,1883826
0.58,1887442
0.58,1887443
0.58,1887444
0.58,1891059
0.58,1891060
0.58,1891061
0.58,1894676
0.58,1894677
0.58,1898293
0.58,1898294
0.28,1880223
0.28,1883840
0.28,1883841
0.28,1887458
0.28,1887459
0.28,1891076
0.28,1891077
0.28,1898311
0.21,1916380
0.73,1905529
0.73,1905530
0.73,1909146
0.73,1909147
0.73,1912764
0.73,1916381
0.46,1901916
0.46,1901917
0.46,1901918
0.46,1901919
0.46,1905533
0.46,1905534
0.46,1905535
0.46,1909151
0.46,1909152
0.46,1912769
0.46,1912770
0.46,1912771
0.46,1912772
0.46,1916389
0.26,1901925
0.26,1901926
0.26,1901927
0.26,1901928
0.26,1905542
0.26,1905543
0.26,1905544
0.26,1905545
0.26,1909160
0.26,1909161
0.26,1909162
0.26,1912777
0.26,1912778
0.26,1916395
0.05,1905623
0.21,1927233
0.21,1930850
0.21,1930851
0.67,1927234
0.67,1927237
0.67,1927238
0.67,1930854
0.67,1930855
0.67,1930856
0.74,1927239
0.74,1927242
0.74,1930858
0.74,1930859
0.74,1930860
0.74,1941710
0.74,1941711
0.74,1941712
0.74,1941713
0.54,1927248
0.54,1927249
0.54,1927250
0.54,1930866
0.54,1930867
0.54,1934483
0.54,1934484
0.54,1938101
0.54,1938102
0.54,1941719
0.27,1959797
0.27,1963414
0.31,1945327
0.31,1945328
0.31,1945329
0.31,1945330
0.31,1945331
0.31,1948945
0.31,1948946
0.31,1948947
0.31,1948948
0.31,1952565
0.31,1952566
0.31,1956183
0.31,1956184
0.31,1963415
0.54,1945332
0.54,1945333
0.54,1945334
0.54,1945335
0.54,1948950
0.54,1948951
0.54,1948952
0.54,1948953
0.54,1952567
0.54,1952568
0.54,1952569
0.54,1952570
0.54,1952571
0.54,1956185
0.54,1956187
0.54,1956188
0.4,1945336
0.4,1948954
0.26,1945420
0.26,1945421
0.37,1964790
0.37,1964791
0.37,1964792
0.37,1968407
0.37,1968408
0.37,1968409
0.37,1972024
0.37,1972025
0.37,1972026
0.37,1975642
0.37,1975643
0.37,1979260
0.35,1970645
0.43,1967028
0.43,1967029
0.43,1967031
0.43,1967032
0.43,1970646
0.43,1970648
0.43,1970649
0.43,1970650
0.43,1974266
0.43,1974267
0.43,1977881
0.43,1977882
0.43,1977883
0.43,1977884
0.43,1981500
0.43,1981501
0.33,1974363
0.87,1999583
0.87,1999584
0.55,2004535
0.55,2004536
0.55,2004537
0.55,2008152
0.55,2008153
0.55,2008154
0.55,2011769
0.55,2011770
0.73,2004592
0.73,2004593
0.73,2008206
0.73,2008208
0.73,2008209
0.73,2008210
0.73,2011823
0.73,2011824
0.73,2011825
0.73,2011826
0.73,2015439
0.73,2015440
0.73,2015441
0.73,2015442
0.73,2015443
0.73,2019056
0.73,2019057
0.73,2019058
0.73,2019059
0.73,2022676
0.43,2017670
0.42,2010435
0.42,2014053
0.65,2017677
0.65,2024911
0.65,2024912
0.65,2024913
0.77,2025678
0.77,2025679
0.77,2029295
0.77,2029296
0.77,2032912
0.77,2032913
0.38,2026284
0.38,2026285
0.38,2029901
0.38,2029902
0.38,2033518
0.38,2033519
0.38,2037135
0.38,2040751
0.38,2040752
0.38,2044368
0.38,2044369
1,2026293
1,2026294
1,2026295
1,2026296
1,2029910
1,2029911
1,2029912
1,2029913
1,2033526
1,2033527
1,2033528
1,2033529
1,2033530
1,2037143
1,2037144
1,2037145
1,2037146
1,2040762
1,2040763
0.6,2029914
0.6,2033531
0.6,2037147
0.6,2037148
0.6,2040764
0.6,2040765
0.6,2044380
0.6,2044381
0.6,2044382
0.39,2028527
0.39,2032143
0.39,2032144
0.39,2032145
0.39,2035759
0.39,2035760
0.39,2035761
0.39,2035762
0.39,2039376
0.39,2039377
0.39,2039378
0.39,2039379
0.39,2039380
0.39,2042994
0.39,2042995
0.39,2042996
0.39,2042997
0.39,2046612
0.39,2046613
0.39,2046614
0.85,2028528
0.85,2028529
0.85,2028530
0.85,2032146
0.85,2032147
0.85,2032149
0.85,2035763
0.85,2035764
0.85,2035766
0.85,2035767
0.85,2039381
0.85,2039383
0.85,2039384
0.34,2032150
0.34,2032151
0.34,2035768
0.34,2039385
0.16,2047399
0.16,2047400
0.16,2051014
0.16,2051015
0.16,2051016
0.16,2054631
0.16,2058247
0.16,2058248
0.66,2047984
0.66,2047985
0.66,2051601
0.66,2051602
0.66,2055218
0.66,2055219
0.66,2058835
0.66,2058836
0.66,2062452
0.66,2062453
0.49,2048001
0.49,2048002
0.49,2048003
0.49,2051618
0.49,2051619
0.49,2051620
0.49,2051621
0.49,2051622
0.49,2055235
0.49,2055236
0.49,2055237
0.49,2055238
0.49,2058852
0.49,2058853
0.49,2058854
0.49,2058855
0.49,2062469
0.49,2062470
0.49,2062471
0.49,2066087
0.85,2053838
0.85,2053839
