prob,cell_id
0.56,1041148
0.56,1044764
0.56,1044765
0.56,1044766
0.56,1044767
0.58,1041149
0.58,1044768
0.58,1044769
0.58,1044770
0.11,1048381
0.11,1048382
0.11,1052000
0.11,1052001
0.3,1066501
0.3,1066502
0.3,1070119
0.3,1070120
0.28,1066503
0.28,1066504
0.28,1070121
0.2,1077368
0.2,1080987
0.2,1080988
0.16,1077370
0.16,1077371
0.16,1077372
0.16,1077373
0.16,1080989
0.16,1080990
0.16,1080991
0.1,1080992
0.1,1080993
0.1,1080994
0.12,1080996
0.12,1080997
0.12,1080998
0.49,1088222
0.02,1084608
0.02,1084609
0.02,1088226
0.02,1088227
0.02,1088228
0.02,1088229
0.02,1091848
0.01,1102710
0.01,1102711
0.01,1102712
0.01,1106330
0.08,1102716
0.08,1102717
0.08,1102718
0.08,1106335
0.13,1352082
0.12,1370182
0.12,1370183
0.12,1370184
0.12,1373800
0.12,1373801
0.12,1373802
0.12,1377419
0.12,1377420
0.12,1381038
0.12,1413592
0.12,1413593
0.12,1417210
0.12,1417211
0.12,1420827
0.12,1420828
0.12,1420829
0.12,1424445
0.12,1424446
0.12,1424447
0.12,1428064
0.12,1428065
0.07,1431683
0.07,1435299
0.07,1435300
0.07,1435301
0.07,1438916
0.07,1438917
0.07,1438918
0.07,1446156
0.1,1449768
0.1,1449769
0.1,1453386
0.1,1453387
0.1,1457003
0.1,1457004
0.1,1457005
0.1,1460621
0.1,1460622
0.1,1460623
0.1,1460624
0.1,1464239
0.1,1464240
0.1,1464241
0.1,1464242
0.1,1467859
0.1,1467860
0.07,1471479
0.07,1471480
0.07,1475097
0.07,1475098
0.07,1478715
0.07,1482333
0.07,1482336
0.07,1485951
0.07,1485954
0.02,1471486
0.02,1475102
0.02,1475103
0.02,1478719
0.02,1478720
0.02,1478721
0.02,1478722
0.02,1482337
0.02,1482338
0.02,1482339
0.02,1482340
0.02,1485955
0.02,1485958
0.11,1489569
0.11,1489571
0.11,1489572
0.11,1493187
0.11,1493188
0.11,1493189
0.11,1496807
0.11,1496808
0.11,1500424
0.11,1500425
0.11,1500426
0.11,1504042
0.11,1504043
0.11,1504044
0.11,1507660
0.11,1507661
0.11,1507662
0.27,1616184
0.27,1619801
0.27,1619802
0.27,1623418
0.27,1623419
0.27,1623420
0.27,1627036
0.27,1627038
0.27,1630653
0.27,1630654
0.27,1630655
0.04,1616185
0.04,1616186
0.04,1619803
0.04,1619804
0.04,1623421
0.04,1627039
0.04,1627040
0.04,1630657
0.04,1630658
0.04,1630660
0.23,1637879
0.23,1641496
0.23,1645114
0.23,1648731
0.23,1648732
0.3,1645115
0.3,1645119
0.3,1648733
0.3,1648734
0.3,1648735
0.3,1648736
0.3,1648737
0.13,1706583
0.13,1710200
0.13,1710201
0.11,1695733
0.11,1695734
0.11,1699349
0.11,1699350
0.11,1699351
0.11,1699352
0.11,1702966
0.11,1702967
0.11,1702968
0.11,1702969
0.11,1706584
0.11,1706585
0.11,1706586
0.11,1706587
0.11,1710202
0.11,1710203
0.32,1702970
0.18,1829647
0.18,1829648
0.18,1829649
0.18,1829650
0.18,1833265
0.18,1833266
0.18,1833267
0.18,1833268
0.18,1836883
0.18,1836884
0.18,1836885
0.01,1838179
0.01,1841796
0.17,1854871
0.22,1876576
0.22,1876577
0.06,1858490
0.06,1858491
0.32,1858590
0.32,1858591
0.32,1858592
0.32,1862207
0.32,1862208
0.32,1862209
0.18,1880194
0.4,1880298
0.19,1916380
0.18,1905529
0.18,1905530
0.18,1909146
0.18,1909147
0.18,1912764
0.18,1916381
0.27,1905623
0.49,1902006
0.49,1902007
0.49,1905624
0.05,1927233
0.05,1930850
0.05,1930851
0.1,1927234
0.1,1927237
0.1,1927238
0.1,1930854
0.1,1930855
0.1,1930856
0.18,1927239
0.18,1927242
0.18,1930858
0.18,1930859
0.18,1930860
0.18,1941710
0.18,1941711
0.18,1941712
0.18,1941713
0.51,1941803
0.51,1941804
0.12,1959797
0.12,1963414
0.26,1945327
0.26,1945328
0.26,1945329
0.26,1945330
0.26,1945331
0.26,1948945
0.26,1948946
0.26,1948947
0.26,1948948
0.26,1952565
0.26,1952566
0.26,1956183
0.26,1956184
0.26,1963415
0.16,1945332
0.16,1945333
0.16,1945334
0.16,1945335
0.16,1948950
0.16,1948951
0.16,1948952
0.16,1948953
0.16,1952567
0.16,1952568
0.16,1952569
0.16,1952570
