prob,cell_id
0.2,1881608
0.2,1881609
0.2,1885225
0.2,1885226
0.2,1885227
0.2,1888842
0.2,1888843
0.2,1888844
0.2,1888845
0.2,1892458
0.2,1892459
0.2,1892460
0.2,1892461
0.2,1896074
0.2,1896075
0.2,1896076
0.2,1896077
0.24,1892462
0.24,1892463
0.24,1892466
0.24,1896078
0.24,1896079
0.24,1896080
0.24,1896082
0.23,1892467
0.23,1896083
0.23,1896084
0.23,1896085
0.22,1899691
0.22,1899692
0.22,1899693
0.22,1899694
0.22,1903307
0.22,1903308
0.22,1903309
0.22,1903310
0.22,1906923
0.22,1906924
0.22,1906925
0.22,1906926
0.22,1906927
0.22,1910540
0.22,1910541
0.22,1910542
0.22,1910543
0.22,1914156
0.22,1914157
0.22,1914158
0.22,1917773
0.22,1917774
0.22,1917775
0.15,1899695
0.15,1899696
0.15,1899697
0.15,1899698
0.15,1903314
0.15,1903315
0.11,1899699
0.11,1899700
0.11,1899701
0.11,1899702
0.11,1903316
0.11,1903317
0.11,1903318
0.11,1903319
0.11,1906933
0.11,1906934
0.11,1906935
0.11,1906936
0.11,1910549
0.11,1910550
0.11,1910551
0.11,1910552
0.11,1914167
0.11,1914168
0.11,1914169
0.11,1917785
0.11,1906937
0.11,1906938
0.11,1910553
0.11,1910554
0.11,1910555
0.11,1910556
0.11,1914170
0.11,1914171
0.11,1914172
0.11,1914173
0.11,1917786
0.11,1917787
0.11,1917788
0.11,1917789
0.09,1921390
0.09,1921391
0.09,1921392
0.09,1925007
0.09,1925008
0.09,1925009
0.09,1928624
0.09,1928625
0.09,1932240
0.09,1932241
0.09,1935857
0.09,1935858
0.09,1939473
0.09,1939474
0.12,1921402
0.12,1921403
0.12,1921404
0.12,1921405
0.12,1921406
0.12,1925021
0.12,1925022
0.12,1928638
0.12,1932254
0.12,1932255
0.12,1935871
0.12,1935872
0.12,1939487
0.12,1939488
0.19,1939489
0.15,1943090
0.15,1943091
0.15,1946706
0.15,1946707
0.15,1950323
0.15,1950324
0.15,1953939
0.15,1953940
0.15,1957556
0.15,1957557
0.15,1961173
0.08,1961174
0.08,1961175
0.22,1943105
0.22,1943106
0.22,1946722
0.22,1946723
0.22,1950339
0.22,1950340
0.22,1953956
0.22,1953957
0.22,1957572
0.22,1957573
0.22,1961189
0.22,1961190
0.08,1964790
0.08,1964791
0.08,1964792
0.08,1968407
0.08,1968408
0.08,1968409
0.08,1972024
0.08,1972025
0.08,1972026
0.08,1975642
0.08,1975643
0.08,1979260
0.08,1979261
0.08,1979263
0.08,1979264
0.13,1979265
0.2,1964805
0.2,1964806
0.2,1968422
0.2,1968423
0.2,1972040
0.2,1975656
0.2,1975657
