prob,cell_id
0.01,1006911
0.01,1006912
0.01,1006913
0.01,1006914
0.01,1010528
0.01,1010529
0.01,1014144
0.01,1028602
0.01,1028603
0.01,1046714
0.01,1046715
0.01,1046716
0.01,1050330
0.01,1050331
0.01,1050332
0.01,1053946
0.01,1053947
0.01,1053948
0.01,1057563
0.01,1057564
0.01,1057565
0.01,1061179
0.01,1061180
0.01,1061181
0.01,1064796
0.01,1064797
0.01,1064798
0.01,1068412
0.01,1068413
0.01,1068414
0.01,1068415
0.01,1072030
0.01,1072031
0.01,1075646
0.01,1075647
0.01,1075648
0.01,1079261
0.01,1079262
0.01,1079263
0.01,1079264
0.01,1079265
0.01,1079266
0.01,1079267
0.06,1090106
0.06,1093721
0.06,1093722
0.06,1097337
0.06,1097338
0.06,1097339
0.04,1082877
0.04,1086492
0.04,1086493
0.04,1090107
0.04,1090108
0.04,1090109
0.04,1090110
0.04,1093723
0.04,1093724
0.04,1093725
0.04,1093726
0.04,1097340
0.04,1097341
0.04,1097342
0.04,1097343
0.03,1082878
0.03,1082879
0.03,1082880
0.03,1086494
0.03,1086495
0.03,1086496
0.03,1086497
0.03,1090111
0.03,1090112
0.03,1090113
0.03,1093727
0.03,1093728
0.03,1093729
0.03,1093730
0.03,1097344
0.03,1097345
0.03,1097346
0.02,1082881
0.02,1082882
0.02,1082883
0.02,1082884
0.02,1086498
0.02,1086499
0.02,1086500
0.02,1090114
0.02,1090115
0.02,1093731
0.02,1097347
0.02,1097348
0.14,1108172
0.14,1108173
0.14,1111788
0.14,1111789
0.14,1111790
0.14,1115403
0.14,1115404
0.14,1115405
0.14,1115406
0.15,1104559
0.15,1104560
0.15,1108174
0.15,1108175
0.15,1108176
0.15,1108177
0.15,1111791
0.15,1111792
0.15,1115407
0.15,1115408
0.14,1100946
0.14,1100947
0.14,1100948
0.14,1104561
0.14,1104562
0.14,1104563
0.14,1104564
0.14,1108178
0.14,1108179
0.09,1100949
0.09,1100950
0.09,1100951
0.09,1104565
0.09,1104566
0.09,1104567
0.09,1104568
0.09,1108184
0.09,1111798
0.09,1111799
0.09,1111800
0.09,1111801
0.09,1115414
0.09,1115415
0.09,1115416
0.09,1115417
0.09,1100952
0.09,1100953
0.09,1100954
0.09,1100955
0.09,1104569
0.09,1104570
0.09,1104571
0.09,1104572
0.09,1108185
0.09,1108186
0.09,1108187
0.09,1111802
0.09,1111803
0.09,1115418
0.09,1115419
0.08,1100956
0.08,1100957
0.08,1100958
0.08,1104575
0.08,1108192
0.08,1100961
0.08,1100962
0.08,1100963
0.08,1104576
0.08,1104577
0.08,1104578
0.08,1104579
0.08,1108193
0.08,1108194
0.08,1108195
0.08,1108196
0.08,1111809
0.08,1111810
0.08,1111811
0.08,1111812
0.08,1115427
0.08,1115428
0.05,1100964
0.05,1100965
0.05,1104580
0.05,1104581
0.05,1115429
0.17,1133481
0.17,1119019
0.17,1122635
0.17,1126250
0.17,1126251
0.17,1129865
0.17,1129866
0.17,1129867
0.17,1129868
0.17,1133482
0.17,1133483
0.17,1133484
0.18,1119020
0.18,1119021
0.18,1119022
0.18,1122636
0.18,1122637
0.18,1126252
0.18,1126253
0.18,1126254
0.18,1129869
0.18,1129870
0.18,1129871
0.18,1133486
0.18,1133487
0.18,1133488
0.01,1126258
0.15,1119028
0.15,1119030
0.15,1122644
0.15,1122645
0.15,1122646
0.15,1126260
0.15,1126261
0.15,1126263
0.15,1133496
0.15,1119031
0.15,1119032
0.15,1119033
0.15,1119034
0.15,1122647
0.15,1122648
0.15,1122649
0.15,1122650
0.15,1126264
0.15,1126265
0.15,1126266
0.15,1126267
0.15,1129880
0.15,1129881
0.15,1129882
0.15,1133497
0.15,1133498
0.15,1133499
0.13,1119035
0.13,1122651
0.11,1122657
0.11,1122658
0.11,1126273
0.11,1126274
0.11,1129890
0.11,1129891
0.11,1133505
0.11,1133506
0.11,1133507
0.1,1119042
0.1,1119043
0.1,1119044
0.1,1119045
0.1,1122659
0.1,1122660
0.1,1122661
0.1,1126275
0.1,1126276
0.1,1126277
0.1,1126278
0.1,1129892
0.1,1129893
0.1,1129894
0.1,1133508
0.08,1119046
0.08,1122662
0.08,1126279
0.08,1129895
0.08,1129896
0.08,1147932
0.08,1147933
0.08,1147934
0.08,1147935
0.08,1151549
0.08,1151550
0.08,1151551
0.08,1155165
0.08,1155166
0.08,1155167
0.08,1155168
0.18,1144320
0.18,1147936
0.18,1147937
0.18,1147938
0.18,1147939
0.18,1151552
0.18,1151553
0.18,1151554
0.18,1151555
0.18,1155169
0.22,1144323
0.22,1144324
0.22,1144325
0.22,1144326
0.22,1147940
0.22,1147941
0.22,1147942
0.22,1151556
0.22,1151557
0.22,1151558
0.22,1151559
0.22,1155173
0.22,1155174
0.22,1155175
0.18,1137096
0.18,1137097
0.18,1140711
0.18,1140712
0.18,1140713
0.18,1144327
0.18,1144328
0.18,1144329
0.18,1147943
0.18,1147944
0.18,1147945
0.18,1151560
0.18,1151561
0.18,1151562
0.18,1155178
0.22,1137098
0.22,1137099
0.22,1137100
0.22,1140714
0.22,1140717
0.22,1144334
0.14,1137102
0.14,1137103
0.14,1140718
0.23,1137112
0.23,1140728
0.23,1140729
0.23,1144344
0.23,1144345
0.23,1147960
0.23,1147961
0.23,1151576
0.23,1151577
0.23,1151578
0.23,1155192
0.23,1155193
0.23,1155194
0.19,1137113
0.19,1137114
0.19,1144346
0.19,1147962
0.16,1144353
0.16,1147969
0.16,1151584
0.16,1151585
0.16,1155200
0.16,1155201
0.16,1155202
0.15,1137121
0.15,1137122
0.15,1137123
0.15,1140737
0.15,1140738
0.15,1140739
0.15,1144354
0.15,1144355
0.15,1147970
0.15,1147971
0.15,1147972
0.15,1147973
0.15,1151586
0.15,1151587
0.15,1151588
0.15,1151589
0.15,1155203
0.15,1155204
0.15,1155205
0.15,1155206
0.14,1144357
0.14,1144358
0.14,1144359
0.14,1147974
0.14,1147975
0.14,1147976
0.14,1151590
0.14,1151591
0.14,1151592
0.14,1151593
0.14,1155207
0.14,1155208
0.14,1155209
0.14,1155210
0.13,1155211
0.01,1158778
0.01,1158779
0.01,1158780
