prob,cell_id
0.01,1064796
0.01,1064797
0.01,1064798
0.01,1068412
0.01,1068413
0.01,1068414
0.01,1068415
0.01,1072030
0.01,1072031
0.01,1075646
0.01,1075647
0.01,1075648
0.01,1079261
0.01,1079262
0.01,1079263
0.01,1079264
0.01,1090106
0.01,1093721
0.01,1093722
0.01,1097337
0.01,1097338
0.01,1097339
0.01,1082877
0.01,1086492
0.01,1086493
0.01,1090107
0.01,1090108
0.01,1090109
0.01,1090110
0.01,1093723
0.01,1093724
0.01,1093725
0.01,1093726
0.01,1097340
0.01,1097341
0.01,1097342
0.01,1097343
0.01,1082878
0.01,1082879
0.01,1082880
0.01,1086494
0.01,1086495
0.01,1086496
0.01,1086497
0.01,1090111
0.01,1090112
0.01,1090113
0.01,1093727
0.01,1093728
0.01,1093729
0.01,1093730
0.01,1097344
0.01,1097345
0.01,1097346
0.01,1082881
0.01,1082882
0.01,1082883
0.01,1082884
0.01,1086498
0.01,1086499
0.01,1086500
0.01,1090114
0.01,1090115
0.01,1093731
0.01,1097347
0.01,1097348
0.02,1108172
0.02,1108173
0.02,1111788
0.02,1111789
0.02,1111790
0.02,1115403
0.02,1115404
0.02,1115405
0.02,1115406
0.06,1104559
0.06,1104560
0.06,1108174
0.06,1108175
0.06,1108176
0.06,1108177
0.06,1111791
0.06,1111792
0.06,1115407
0.06,1115408
0.06,1100946
0.06,1100947
0.06,1100948
0.06,1104561
0.06,1104562
0.06,1104563
0.06,1104564
0.06,1108178
0.06,1108179
0.04,1100949
0.04,1100950
0.04,1100951
0.04,1104565
0.04,1104566
0.04,1104567
0.04,1104568
0.04,1108184
0.04,1111798
0.04,1111799
0.04,1111800
0.04,1111801
0.04,1115414
0.04,1115415
0.04,1115416
0.04,1115417
0.02,1100952
0.02,1100953
0.02,1100954
0.02,1100955
0.02,1104569
0.02,1104570
0.02,1104571
0.02,1104572
0.02,1108185
0.02,1108186
0.02,1108187
0.02,1111802
0.02,1111803
0.02,1115418
0.02,1115419
0.03,1100961
0.03,1100962
0.03,1100963
0.03,1104576
0.03,1104577
0.03,1104578
0.03,1104579
0.03,1108193
0.03,1108194
0.03,1108195
0.03,1108196
0.03,1111809
0.03,1111810
0.03,1111811
0.03,1111812
0.03,1115427
0.03,1115428
0.02,1100964
0.02,1100965
0.02,1104580
0.02,1104581
0.02,1115429
0.02,1133481
0.06,1119019
0.06,1122635
0.06,1126250
0.06,1126251
0.06,1129865
0.06,1129866
0.06,1129867
0.06,1129868
0.06,1133482
0.06,1133483
0.06,1133484
0.07,1119020
0.07,1119021
0.07,1119022
0.07,1122636
0.07,1122637
0.07,1126252
0.07,1126253
0.07,1126254
0.07,1129869
0.07,1129870
0.07,1129871
0.07,1133486
0.07,1133487
0.07,1133488
0.08,1126258
0.08,1119028
0.08,1119030
0.08,1122644
0.08,1122645
0.08,1122646
0.08,1126260
0.08,1126261
0.08,1126263
0.08,1133496
0.06,1119031
0.06,1119032
0.06,1119033
0.06,1119034
0.06,1122647
0.06,1122648
0.06,1122649
0.06,1122650
0.06,1126264
0.06,1126265
0.06,1126266
0.06,1126267
0.06,1129880
0.06,1129881
0.06,1129882
0.06,1133497
0.06,1133498
0.06,1133499
0.05,1122657
0.05,1122658
0.05,1126273
0.05,1126274
0.05,1129890
0.05,1129891
0.05,1133505
0.05,1133506
0.05,1133507
0.04,1119042
0.04,1119043
0.04,1119044
0.04,1119045
0.04,1122659
0.04,1122660
0.04,1122661
0.04,1126275
0.04,1126276
0.04,1126277
0.04,1126278
0.04,1129892
0.04,1129893
0.04,1129894
0.04,1133508
0.03,1119046
0.03,1122662
0.03,1126279
0.03,1129895
0.03,1129896
0.01,1144282
0.01,1144283
0.01,1144284
0.01,1147898
0.01,1147899
0.01,1147900
0.01,1147901
0.01,1151514
0.01,1151515
0.01,1151516
0.01,1144285
0.01,1144286
0.01,1144287
0.01,1144288
0.01,1147902
0.01,1147903
0.01,1147904
0.01,1147905
0.01,1151519
0.01,1144289
0.01,1144290
0.01,1144291
0.01,1144292
0.01,1147906
0.01,1147907
0.01,1147908
0.02,1144293
0.02,1144294
0.02,1144295
0.02,1144296
0.02,1147909
0.02,1147910
0.02,1147911
0.02,1147912
0.02,1151526
0.02,1151527
0.02,1151528
0.02,1151529
0.02,1155142
0.02,1155143
0.02,1155144
0.02,1155145
0.01,1144297
0.01,1144298
0.01,1144299
0.01,1144300
0.01,1147913
0.01,1147914
0.01,1147915
0.01,1147916
0.01,1151530
0.01,1151531
0.01,1151532
0.01,1155147
0.02,1144302
0.02,1144303
0.02,1147917
0.02,1147918
0.02,1147919
0.02,1147920
0.02,1151533
0.02,1151534
0.02,1151535
0.02,1151536
0.02,1144304
0.02,1144305
0.02,1144306
0.02,1144307
0.02,1147921
0.02,1147922
0.02,1147923
0.02,1147924
0.02,1151537
0.02,1151538
0.02,1151539
0.02,1151540
0.03,1144308
0.03,1144309
0.03,1147925
0.03,1147926
0.03,1147927
0.03,1151541
0.03,1151542
0.03,1151543
0.03,1151544
0.03,1155160
0.02,1147928
0.02,1147929
0.02,1147930
0.02,1147931
0.02,1151545
0.02,1151546
0.02,1151547
0.02,1151548
0.02,1155161
0.02,1155162
0.02,1155163
0.02,1155164
0.03,1147932
0.03,1147933
0.03,1147934
0.03,1147935
0.03,1151549
0.03,1151550
0.03,1151551
0.03,1155165
0.03,1155166
0.03,1155167
0.03,1155168
0.05,1144320
0.05,1147936
0.05,1147937
0.05,1147938
0.05,1147939
0.05,1151552
0.05,1151553
0.05,1151554
0.05,1151555
0.05,1155169
0.05,1144323
0.05,1144324
0.05,1144325
0.05,1144326
