prob,cell_id
0.62,435966
0.55,435967
0.55,435968
0.55,435969
0.5,432353
0.5,432354
0.5,435970
0.5,435971
0.46,435972
0.46,435973
0.46,435974
0.49,432357
0.49,432358
0.49,432359
0.49,435975
0.49,435976
0.45,432360
0.45,435977
0.45,435978
0.45,435979
0.58,435983
0.58,435984
0.59,432367
0.59,432368
0.59,435985
0.59,435986
0.58,435987
0.58,435988
0.58,435989
0.58,435990
0.44,450419
0.44,450420
0.66,446809
0.66,450426
0.51,446810
0.51,446811
0.51,450427
0.51,450428
0.51,450429
0.29,439577
0.29,439578
0.29,439579
0.29,443195
0.29,443196
0.29,446812
0.29,446813
0.29,446814
0.29,450430
0.29,450431
0.29,439580
0.29,439581
0.29,443197
0.29,443198
0.29,443199
0.29,446815
0.29,446816
0.29,450432
0.29,450433
0.29,450434
0.34,439582
0.34,439583
0.34,439584
0.34,443200
0.34,443201
0.34,446817
0.34,446818
0.34,446819
0.34,450435
0.34,450436
0.08,439585
0.08,439586
0.08,443202
0.08,443203
0.08,443204
0.08,446820
0.08,446821
0.08,450437
0.08,450438
0.08,450439
0.1,439590
0.1,439591
0.1,443207
0.1,443208
0.1,443209
0.1,450443
0.1,450444
0.22,439592
0.22,439593
0.22,439594
0.22,443210
0.22,443211
0.22,446827
0.22,446828
0.22,446829
0.22,450445
0.22,450446
0.32,439595
0.32,439596
0.32,443212
0.32,443213
0.32,443214
0.32,446830
0.32,450447
0.32,450448
0.32,450449
0.31,439597
0.31,439598
0.31,439599
0.31,443215
0.31,443216
0.31,446832
0.31,446833
0.31,446834
0.31,450450
0.31,450451
0.28,439600
0.28,439601
0.28,443217
0.28,443218
0.28,443219
0.28,446835
0.28,446836
0.28,450452
0.28,450453
0.21,439605
0.21,439606
0.21,443222
0.21,443223
0.21,443224
0.21,446840
0.21,446841
0.21,450457
0.21,450458
0.21,450459
0.2,439607
0.2,439608
0.2,443225
0.2,443226
0.2,446842
0.49,439609
0.49,439610
0.49,439611
0.49,443227
0.49,443228
0.49,443229
0.49,446846
0.49,450463
0.54,443230
0.54,443231
0.54,446847
0.54,446848
0.54,446849
0.54,450465
0.54,450466
0.52,446850
0.52,446851
0.52,450467
0.52,450468
0.52,450469
0.5,450470
0.5,450471
0.56,468493
0.58,468494
0.58,468496
0.36,464879
0.36,464880
0.36,464881
0.36,468497
0.36,468498
0.34,457648
0.34,457649
0.34,461264
0.34,461265
0.34,461266
0.34,464882
0.34,464883
0.34,468499
0.34,468500
0.34,468501
0.44,454034
0.44,457650
0.44,457651
0.44,461267
0.44,461268
0.44,464884
0.44,464885
0.44,464886
0.44,468502
0.44,468503
0.57,454035
0.57,454036
0.57,457653
0.57,461269
0.57,461270
0.57,461271
0.57,464887
0.57,464888
0.57,468504
