prob,cell_id
0.02,189939
0.02,193556
0.02,193557
0.02,189940
0.02,189941
0.02,193558
0.02,193563
0.01,186329
0.01,186330
0.01,193564
0.01,193565
0.18,200779
0.18,200780
0.18,204397
0.18,208014
0.18,208015
0.13,200781
0.13,200782
0.13,204398
0.13,204399
0.13,208016
0.11,197165
0.11,197166
0.11,200783
0.11,204401
0.1,197167
0.1,197168
0.1,200784
0.1,200785
0.1,204402
0.1,208020
0.09,197169
0.09,200786
0.09,200787
0.09,204403
0.09,204404
0.09,208021
0.09,197170
0.09,197171
0.09,200788
0.09,204405
0.09,204406
0.09,208023
0.08,197172
0.08,200789
0.08,200790
0.08,204407
0.08,208024
0.08,208025
0.09,197173
0.09,197174
0.09,200791
0.09,200792
0.09,204408
0.09,204409
0.09,208026
0.08,197175
0.08,200793
0.08,204411
0.08,200794
0.08,200795
0.08,204412
0.08,208029
0.08,208030
0.03,197178
0.03,197179
0.03,200796
0.03,200797
0.03,204413
0.03,204414
0.03,208031
0.03,208032
0.02,197182
0.02,200800
0.01,197183
0.01,197184
0.01,208037
0.28,211631
0.28,211632
0.28,215249
0.28,218866
0.28,218867
0.22,211633
0.22,215250
0.22,215251
0.22,218868
0.19,211635
0.19,215252
0.19,215253
0.19,218869
0.19,218870
0.19,211636
0.19,215254
0.19,218871
0.19,218872
0.16,211642
0.16,215260
0.11,211647
0.03,211648
0.03,211649
0.03,215266
0.03,215267
0.03,218883
0.03,218884
0.03,211650
0.03,215268
0.03,218885
0.03,218886
0.01,211655
0.01,211656
0.35,222482
0.35,226099
0.35,226100
0.35,229717
0.32,222483
0.32,222484
0.32,226101
0.32,229718
0.32,229719
0.28,222485
0.28,222486
0.28,226102
0.28,226103
0.28,229720
0.25,222487
0.25,222488
0.25,226104
0.25,226105
0.25,229721
0.25,229722
0.24,222489
0.24,229723
0.24,229724
0.2,229731
0.18,226115
0.18,229732
0.18,229733
0.15,226116
0.15,226117
0.15,229734
0.15,229735
0.09,226118
0.06,222502
0.06,222503
0.06,226121
0.06,229738
0.03,222504
0.03,226122
0.03,229739
0.03,229740
0.35,233337
0.35,233338
0.35,236954
0.35,236955
0.33,233339
0.33,233340
0.33,236956
0.33,236957
0.33,240573
0.33,240574
0.29,233341
0.29,236958
0.29,236959
0.29,240575
0.29,240576
0.27,233342
0.27,233343
0.27,236960
0.27,236961
0.27,240577
0.27,240578
0.26,233344
0.26,240579
0.26,240580
0.26,244197
0.25,240581
0.25,240582
0.25,244198
0.25,244199
0.24,233349
0.24,236965
0.24,236966
0.24,240583
0.24,244200
0.24,244201
0.23,233350
0.23,236967
0.23,236968
0.23,240584
0.23,240585
0.23,244202
0.23,244203
0.22,233351
0.22,233352
0.22,236969
0.22,236970
0.22,240586
0.22,240587
0.13,233353
0.13,233354
0.13,236971
0.13,240588
0.09,233355
0.09,233356
0.09,236972
0.09,236973
0.06,233357
0.06,236974
0.06,236975
0.27,247814
0.27,251431
0.27,251432
0.27,255048
0.27,255049
0.29,247815
0.29,247816
0.29,251433
0.29,251434
0.29,255050
0.29,255051
0.28,247818
0.28,251435
0.28,251436
0.28,255052
0.28,255053
0.27,251437
0.27,255054
0.27,255055
0.24,247822
0.24,251438
0.24,251439
0.24,255056
0.24,255057
0.18,247823
0.18,251440
0.18,251441
0.18,255058
0.18,255059
0.12,247825
0.12,247826
0.12,251442
0.12,251443
0.08,247827
0.08,251444
0.08,251445
0.01,247833
0.01,255068
0.01,247841
0.01,247842
0.01,251459
0.01,251460
0.01,255076
0.01,255077
0.34,258668
0.34,258669
0.34,262285
0.34,262286
0.34,265903
0.34,262287
0.34,262288
0.34,265904
0.34,265905
0.34,269522
0.34,269523
0.31,258671
0.31,258672
0.31,265906
0.31,265907
0.31,269524
0.27,258673
0.27,258674
0.27,265908
0.27,269525
0.27,269526
0.23,258675
0.23,258676
0.23,269527
0.23,269528
0.17,258677
0.17,258678
0.17,269529
0.17,269530
0.06,265917
0.06,269533
0.06,269534
0.02,258683
0.02,258684
0.02,262300
0.02,262301
0.02,265918
0.02,269535
0.01,258685
0.01,258686
0.01,262303
0.01,265921
0.01,258694
0.01,258695
0.01,262312
0.01,262313
0.01,265930
0.01,269547
0.01,269548
0.29,273143
0.29,273144
0.29,276761
0.29,280378
0.29,280379
0.29,273145
0.29,273146
0.29,276762
0.29,276763
0.29,280380
0.29,280381
0.29,283997
0.29,283998
0.23,273147
0.23,273148
0.23,276764
0.23,280382
0.23,280383
0.23,283999
0.23,284000
0.16,276767
0.16,280385
0.16,284001
0.16,284002
0.07,273151
0.07,273152
0.07,276768
0.07,276769
0.07,280386
0.07,284003
0.07,284004
0.02,273168
0.02,273169
0.02,276786
0.02,276787
0.03,273170
0.03,273171
0.01,273180
0.01,273181
0.01,276797
0.01,276798
0.01,280415
0.01,280416
0.01,284033
0.01,284034
0.03,276955
0.03,280573
0.03,280574
0.03,284191
0.03,284192
0.03,276956
0.03,280575
0.03,284193
0.03,284194
0.02,276959
0.02,280576
0.02,280577
0.02,284195
0.02,284196
0.24,287618
0.24,287619
0.04,287650
0.04,287651
0.04,291268
0.04,291269
0.02,287652
0.02,287653
0.07,295025
0.07,295026
0.06,295027
0.06,295028
0.06,287793
0.06,291410
0.06,291411
0.06,295029
0.06,295030
0.06,287794
0.06,287795
0.06,291412
0.06,291413
0.06,295031
0.06,295032
0.03,287796
0.03,287797
0.03,291414
0.03,291415
0.03,295033
0.02,287798
0.02,287799
0.02,291416
0.02,291417
0.01,287800
0.01,287801
0.01,291418
0.01,291419
0.01,287802
0.01,287803
0.01,291420
0.01,291421
0.01,291422
0.01,287804
0.01,287805
0.01,291423
0.01,287806
0.01,287807
0.01,287808
0.01,287809
0.08,305875
0.08,309493
0.08,309494
0.09,302258
0.09,302259
0.09,305876
0.09,305877
0.09,309495
0.05,298641
0.05,298642
0.05,302260
0.05,302261
0.05,305878
0.04,298643
0.04,298644
0.04,302262
0.03,298645
0.03,298646
0.03,312949
0.03,312950
0.03,316566
0.03,316567
0.03,320184
0.03,320185
0.03,323801
0.03,323802
0.11,316722
0.11,320340
0.11,323958
0.11,323959
0.12,316723
0.12,316724
0.12,320341
0.12,320342
