prob,cell_id
0.34,760434
0.34,760435
0.34,760436
0.34,764049
0.34,764050
0.34,764051
0.34,767664
0.34,767665
0.34,767666
0.34,771279
0.34,771280
0.34,771281
0.34,774894
0.34,774895
0.34,774896
0.37,760437
0.37,760438
0.37,760439
0.37,764052
0.37,764053
0.37,764054
0.37,767667
0.37,767668
0.37,767669
0.37,771282
0.37,771283
0.37,771284
0.37,774897
0.37,774898
0.37,774899
0.41,760440
0.41,760441
0.41,760442
0.41,764055
0.41,764056
0.41,764057
0.41,764058
0.41,767670
0.41,767671
0.41,771285
0.41,771286
0.41,771287
0.41,771288
0.41,774900
0.41,774901
0.41,774902
0.41,774903
0.44,760443
0.44,760444
0.44,760445
0.44,760446
0.44,764059
0.44,764060
0.44,764061
0.44,767674
0.44,767675
0.44,767676
0.44,771290
0.44,771291
0.44,774904
0.44,774905
0.44,774906
0.37,778509
0.37,778510
0.37,778511
0.37,782124
0.37,782125
0.37,782126
0.37,785739
0.37,785740
0.37,785741
0.37,789354
0.37,789355
0.37,789356
0.39,778512
0.39,778513
0.39,778514
0.39,782127
0.39,782128
0.39,782129
0.39,785742
0.39,785743
0.39,785744
0.39,785745
0.39,789357
0.39,789358
0.39,789359
0.39,789360
0.43,778515
0.43,778516
0.43,778517
0.43,778518
0.43,782130
0.43,782131
0.43,782132
0.43,782133
0.43,785746
0.43,785747
0.43,785748
0.43,789361
0.43,789362
0.43,789363
0.46,778519
0.46,778520
0.46,778521
0.46,782134
0.46,782135
0.46,782136
0.46,785749
0.46,785750
0.46,785751
0.46,789364
0.46,789365
0.46,778522
0.46,778523
0.46,778524
0.46,782137
0.46,782138
0.46,782139
0.46,785752
0.46,785753
0.45,778525
0.45,778526
0.45,778527
0.45,782140
0.45,782141
0.45,782142
0.23,778528
0.23,778529
0.23,778530
0.23,778531
0.23,782143
0.23,782144
0.23,782145
0.23,782146
0.23,785760
0.23,785761
0.37,792960
0.37,792961
0.37,792962
0.37,796574
0.37,796575
0.37,796576
0.37,796577
0.37,800190
0.37,800191
0.37,800192
0.37,803805
0.37,803806
0.37,803807
0.37,807420
0.37,807421
0.37,807422
0.39,792963
0.39,792964
0.39,792965
0.39,796578
0.39,796579
0.39,796580
0.39,800193
0.39,800194
0.39,800195
0.39,803808
0.39,803809
0.39,807423
0.41,792966
0.41,792967
0.41,792968
0.41,796581
0.41,796582
0.41,796583
0.41,800196
0.41,792969
0.41,792970
0.41,792971
0.41,796584
0.41,796585
0.41,796586
0.41,800202
0.42,792972
0.42,792973
0.42,792974
0.42,792975
0.42,796587
0.42,796588
0.42,796589
0.42,796590
0.42,800203
0.42,800204
0.42,800205
0.46,792976
0.46,792977
0.46,792978
0.46,796591
0.46,796592
0.46,796593
0.46,800206
0.46,800207
0.46,800208
0.49,807443
0.48,792992
0.48,792993
0.48,792994
0.48,796607
0.48,796608
0.48,796609
0.48,800224
0.49,792995
0.49,792996
0.49,792997
0.49,796610
0.49,796611
0.49,796612
0.49,800225
0.49,800226
0.49,800227
0.52,792998
0.52,792999
0.52,793000
0.52,793001
0.52,796613
0.26,793009
0.26,793010
0.51,793011
0.51,793012
0.51,793013
0.51,793014
0.51,796626
0.51,796627
0.51,796628
0.51,796629
0.51,800243
0.51,800244
0.5,793015
0.5,793016
0.5,796630
0.5,796631
