prob,cell_id
0.66,760434
0.66,760435
0.66,760436
0.66,764049
0.66,764050
0.66,764051
0.66,767664
0.66,767665
0.66,767666
0.66,771279
0.66,771280
0.66,771281
0.66,774894
0.66,774895
0.66,774896
0.67,760437
0.67,760438
0.67,760439
0.67,764052
0.67,764053
0.67,764054
0.67,767667
0.67,767668
0.67,767669
0.67,771282
0.67,771283
0.67,771284
0.67,774897
0.67,774898
0.67,774899
0.7,760440
0.7,760441
0.7,760442
0.7,764055
0.7,764056
0.7,764057
0.7,764058
0.7,767670
0.7,767671
0.7,771285
0.7,771286
0.7,771287
0.7,771288
0.7,774900
0.7,774901
0.7,774902
0.7,774903
0.72,760443
0.72,760444
0.72,760445
0.72,760446
0.72,764059
0.72,764060
0.72,764061
0.72,767674
0.72,767675
0.72,767676
0.72,771290
0.72,771291
0.72,774904
0.72,774905
0.72,774906
0.69,778509
0.69,778510
0.69,778511
0.69,782124
0.69,782125
0.69,782126
0.69,785739
0.69,785740
0.69,785741
0.69,789354
0.69,789355
0.69,789356
0.7,778512
0.7,778513
0.7,778514
0.7,782127
0.7,782128
0.7,782129
0.7,785742
0.7,785743
0.7,785744
0.7,785745
0.7,789357
0.7,789358
0.7,789359
0.7,789360
0.72,778515
0.72,778516
0.72,778517
0.72,778518
0.72,782130
0.72,782131
0.72,782132
0.72,782133
0.72,785746
0.72,785747
0.72,785748
0.72,789361
0.72,789362
0.72,789363
0.73,778519
0.73,778520
0.73,778521
0.73,782134
0.73,782135
0.73,782136
0.73,785749
0.73,785750
0.73,785751
0.73,789364
0.73,789365
0.73,778522
0.73,778523
0.73,778524
0.73,782137
0.73,782138
0.73,782139
0.73,785752
0.73,785753
0.73,778525
0.73,778526
0.73,778527
0.73,782140
0.73,782141
0.73,782142
0.52,778528
0.52,778529
0.52,778530
0.52,778531
0.52,782143
0.52,782144
0.52,782145
0.52,782146
0.52,785760
0.52,785761
0.23,778532
0.23,778533
0.23,782147
0.23,782148
0.23,785762
0.23,785763
0.23,785764
0.23,789379
0.69,792960
0.69,792961
0.69,792962
0.69,796574
0.69,796575
0.69,796576
0.69,796577
0.69,800190
0.69,800191
0.69,800192
0.69,803805
0.69,803806
0.69,803807
0.69,807420
0.69,807421
0.69,807422
0.7,792963
0.7,792964
0.7,792965
0.7,796578
0.7,796579
0.7,796580
0.7,800193
0.7,800194
0.7,800195
0.7,803808
0.7,803809
0.7,807423
0.71,792966
0.71,792967
0.71,792968
0.71,796581
0.71,796582
0.71,796583
0.71,800196
0.71,792969
0.71,792970
0.71,792971
0.71,796584
0.71,796585
0.71,796586
0.71,800202
0.71,792972
0.71,792973
0.71,792974
0.71,792975
0.71,796587
0.71,796588
0.71,796589
0.71,796590
0.71,800203
0.71,800204
0.71,800205
0.73,792976
0.73,792977
0.73,792978
0.73,796591
0.73,796592
0.73,796593
0.73,800206
0.73,800207
0.73,800208
0.75,807443
0.74,792992
0.74,792993
0.74,792994
0.74,796607
0.74,796608
0.74,796609
0.74,800224
0.75,792995
0.75,792996
0.75,792997
0.75,796610
0.75,796611
0.75,796612
0.75,800225
0.75,800226
0.75,800227
0.76,792998
0.76,792999
0.76,793000
0.76,793001
0.76,796613
0.44,793009
0.44,793010
0.75,793011
0.75,793012
0.75,793013
0.75,793014
