prob,cell_id
0.65,1733691
0.65,1737307
0.37,1755381
0.37,1755382
0.37,1755383
0.37,1755384
0.37,1755385
0.37,1758998
0.37,1758999
0.37,1759000
0.37,1759001
0.37,1762614
0.37,1762615
0.37,1762616
0.37,1762617
0.37,1762618
0.37,1766231
0.37,1766232
0.37,1766233
0.37,1769847
0.37,1769848
0.37,1769849
0.47,1773460
0.47,1773461
0.47,1773462
0.47,1773463
0.47,1777076
0.47,1777077
0.47,1777078
0.47,1777079
0.47,1777080
0.47,1780693
0.47,1780694
0.47,1780695
0.47,1780696
0.47,1784309
0.47,1784310
0.47,1784311
0.47,1784312
0.47,1784313
0.47,1787926
0.47,1787927
0.47,1787928
0.47,1791542
0.47,1791543
0.47,1791544
0.16,1795150
0.16,1795151
0.16,1795152
0.16,1795153
0.16,1798767
0.16,1798768
0.16,1798769
0.16,1798770
0.16,1802383
0.16,1802384
0.16,1802385
0.16,1802386
0.16,1802387
0.16,1806000
0.16,1806001
0.16,1806002
0.16,1806003
0.16,1809616
0.16,1809617
0.16,1809618
0.16,1809619
0.16,1809620
0.16,1813233
0.16,1813234
0.16,1813235
0.16,1813236
0.7,1795154
0.7,1795155
0.7,1795156
0.7,1795157
0.7,1795158
0.7,1798771
0.7,1798772
0.7,1798773
0.7,1798774
0.7,1802388
0.7,1802389
0.7,1802390
0.7,1806004
0.7,1806005
0.7,1806006
0.7,1806007
0.7,1809621
0.7,1809622
0.7,1813237
0.35,1816845
0.35,1816846
0.35,1816847
0.35,1816848
0.35,1820461
0.35,1820462
0.35,1820463
0.35,1820464
0.35,1820465
0.35,1824078
0.35,1824079
0.35,1824080
0.35,1824081
0.35,1824082
0.35,1827695
0.35,1827696
0.35,1827697
0.35,1827698
0.35,1831311
0.35,1831312
0.35,1834928
0.78,1816849
0.78,1816850
0.78,1816851
0.78,1816852
0.78,1816853
0.78,1820466
0.78,1820467
0.78,1820468
0.78,1824083
0.78,1824084
0.78,1827699
0.33,1838535
0.33,1838536
0.33,1838537
0.33,1838538
0.33,1838539
0.33,1842152
0.33,1842153
0.33,1842154
0.33,1842155
0.33,1845768
0.33,1845769
0.33,1845770
0.33,1845771
0.33,1845772
0.33,1849385
0.33,1849386
0.33,1849387
0.33,1849388
0.33,1853002
0.33,1853003
0.33,1853004
0.33,1853005
0.05,1856609
0.05,1856610
0.05,1856611
0.05,1856612
0.05,1856613
0.05,1860226
0.05,1860227
0.05,1860228
0.05,1860229
0.05,1863842
0.05,1863843
0.05,1863844
0.05,1863845
0.05,1863846
0.05,1867459
