prob,cell_id
0.05,753214
0.05,753215
0.05,753216
0.05,756828
0.05,756829
0.05,756830
0.05,756831
0.04,753217
0.04,756833
0.11,760434
0.11,760435
0.11,760436
0.11,764049
0.11,764050
0.11,764051
0.11,767664
0.11,767665
0.11,767666
0.11,771279
0.11,771280
0.11,771281
0.11,774894
0.11,774895
0.11,774896
0.12,760437
0.12,760438
0.12,760439
0.12,764052
0.12,764053
0.12,764054
0.12,767667
0.12,767668
0.12,767669
0.12,771282
0.12,771283
0.12,771284
0.12,774897
0.12,774898
0.12,774899
0.13,760440
0.13,760441
0.13,760442
0.13,764055
0.13,764056
0.13,764057
0.13,764058
0.13,767670
0.13,767671
0.13,771285
0.13,771286
0.13,771287
0.13,771288
0.13,774900
0.13,774901
0.13,774902
0.13,774903
0.13,760443
0.13,760444
0.13,760445
0.13,760446
0.13,764059
0.13,764060
0.13,764061
0.13,767674
0.13,767675
0.13,767676
0.13,771290
0.13,771291
0.13,774904
0.13,774905
0.13,774906
0.08,760447
0.08,764062
0.08,764063
0.08,764064
0.08,767677
0.08,767678
0.08,767679
0.08,771292
0.08,771293
0.08,771294
0.08,774907
0.08,774908
0.08,774909
0.02,767680
0.02,767681
0.02,771295
0.02,771296
0.02,771297
0.02,774910
0.02,774911
0.02,774912
0.04,789348
0.04,789349
0.14,778509
0.14,778510
0.14,778511
0.14,782124
0.14,782125
0.14,782126
0.14,785739
0.14,785740
0.14,785741
0.14,789354
0.14,789355
0.14,789356
0.14,778512
0.14,778513
0.14,778514
0.14,782127
0.14,782128
0.14,782129
0.14,785742
0.14,785743
0.14,785744
0.14,785745
0.14,789357
0.14,789358
0.14,789359
0.14,789360
0.16,778515
0.16,778516
0.16,778517
0.16,778518
0.16,782130
0.16,782131
0.16,782132
0.16,782133
0.16,785746
0.16,785747
0.16,785748
0.16,789361
0.16,789362
0.16,789363
0.18,778519
0.18,778520
0.18,778521
0.18,782134
0.18,782135
0.18,782136
0.18,785749
0.18,785750
0.18,785751
0.18,789364
0.18,789365
0.17,778522
0.17,778523
0.17,778524
0.17,782137
0.17,782138
0.17,782139
0.17,785752
0.17,785753
0.12,778525
0.12,778526
0.12,778527
0.12,782140
0.12,782141
0.12,782142
0.01,789384
0.01,789385
0.04,789386
0.04,789387
0.04,789388
0.04,789389
0.07,789390
0.07,789391
0.07,789392
0.09,789393
0.09,789394
0.11,789399
0.11,789400
0.11,789401
0.07,789411
0.15,792960
0.15,792961
0.15,792962
0.15,796574
0.15,796575
0.15,796576
0.15,796577
0.15,800190
0.15,800191
0.15,800192
0.15,803805
0.15,803806
0.15,803807
0.15,807420
0.15,807421
0.15,807422
0.18,792963
0.18,792964
0.18,792965
0.18,796578
0.18,796579
0.18,796580
0.18,800193
0.18,800194
0.18,800195
0.18,803808
0.18,803809
0.18,807423
0.19,792966
0.19,792967
0.19,792968
0.19,796581
0.19,796582
0.19,796583
0.19,800196
0.19,792969
0.19,792970
0.19,792971
0.19,796584
0.19,796585
0.19,796586
0.19,800202
0.2,792972
0.2,792973
0.2,792974
0.2,792975
0.2,796587
0.2,796588
0.2,796589
0.2,796590
0.2,800203
0.2,800204
0.2,800205
0.22,792976
0.22,792977
0.22,792978
0.22,796591
0.22,796592
0.22,796593
0.22,800206
0.22,800207
0.22,800208
0.14,792992
0.14,792993
0.14,792994
0.14,796607
0.14,796608
0.14,796609
0.14,800224
0.12,792995
0.12,792996
0.12,792997
0.12,796610
0.12,796611
0.12,796612
0.12,800225
0.12,800226
0.12,800227
0.18,792998
0.18,792999
0.18,793000
0.18,793001
0.18,796613
0.2,793011
0.2,793012
0.2,793013
0.2,793014
0.2,796626
0.2,796627
0.2,796628
0.2,796629
0.2,800243
0.2,800244
0.16,793015
0.16,793016
0.16,796630
0.16,796631
0.16,800245
0.16,800246
0.16,800247
0.16,800248
0.16,803865
0.16,803866
0.15,800252
0.15,800253
0.15,800254
0.15,803867
0.15,803868
0.15,803869
0.15,807484
0.14,793025
0.14,793026
0.14,793027
0.14,796639
0.14,796640
0.14,796641
0.14,796642
0.14,800255
0.14,800256
0.14,800257
0.14,803870
0.14,803871
0.14,803872
0.14,807485
0.14,807486
0.14,807487
0.1,793028
0.1,796643
0.1,796644
0.1,796645
0.1,800258
0.1,800259
0.1,800260
0.1,803873
0.1,803874
0.1,803875
0.1,807488
0.1,807489
0.1,807490
0.07,811022
0.07,811023
0.07,811024
0.07,814637
0.07,814638
0.07,818252
0.07,818254
0.07,821867
0.07,821868
0.07,821869
0.07,825482
0.07,825483
0.07,825484
0.15,811025
0.15,811026
0.15,814640
0.15,814642
0.15,818255
0.15,818256
0.15,818257
0.15,821870
0.15,821871
0.15,821872
0.15,825485
0.15,825486
0.15,825487
0.18,811029
0.18,811030
0.18,814643
0.18,814644
0.18,814645
0.18,814646
0.18,818258
0.18,818259
0.18,818260
0.18,818261
0.18,821873
0.18,821874
0.18,821875
0.19,811031
0.19,811032
0.19,811033
0.19,811034
0.19,814647
0.19,814648
0.19,814649
0.19,818262
0.22,811058
0.22,811059
0.22,814673
0.22,814674
0.22,814675
0.16,811102
0.16,811103
0.16,814718
0.05,814719
0.05,814720
0.05,818335
0.05,818336
0.05,821951
0.11,818337
0.11,821952
0.11,821953
0.11,821954
0.11,821955
0.11,825570
0.09,821956
0.09,825571
0.09,825572
0.01,811130
0.01,814745
0.01,814746
0.01,818360
0.01,818361
0.01,821976
0.01,821977
0.01,825591
0.01,825592
0.01,825593
0.04,829087
0.04,829088
0.04,829089
0.04,832702
0.04,832703
0.04,832704
0.04,836317
0.04,836318
0.04,836319
0.04,839932
0.04,839933
0.04,839934
0.04,839935
0.04,843547
0.04,843548
0.04,843550
0.1,829093
0.1,832705
0.1,836322
0.1,836323
0.1,839936
0.1,839937
0.1,839938
0.1,843551
0.1,843552
0.1,843553
0.12,829094
0.12,829095
0.12,829096
0.12,832709
0.12,832710
0.12,832711
0.12,836324
0.12,839939
0.12,839940
0.12,843554
0.12,843555
0.12,843556
0.16,829097
0.16,832712
0.16,832713
0.11,832805
0.11,836420
0.11,836421
0.11,840035
0.11,840036
0.11,840037
0.11,840038
0.11,843652
0.11,843653
0.1,829195
0.1,832810
0.1,840039
0.1,843654
0.09,829196
0.09,829197
0.09,829198
0.09,832811
0.09,832812
0.09,832813
0.09,832814
0.09,836429
0.09,840044
0.07,829199
0.07,829201
0.07,829202
0.07,832815
0.07,832816
0.07,832817
0.07,836430
0.07,836431
0.07,836432
0.07,840045
0.07,840046
0.07,840047
0.07,840048
0.07,843662
0.07,843663
0.07,829203
0.07,832818
0.07,832819
0.07,832820
0.07,836433
0.07,840049
0.07,843664
0.07,843665
0.07,843666
0.07,829206
0.07,829207
0.07,829208
0.07,832822
0.07,832823
0.07,832824
0.07,836437
0.07,836438
0.07,836439
0.07,840053
0.07,840054
0.07,843669
0.07,843670
0.02,850770
0.02,854385
0.02,857998
0.02,857999
0.02,858000
0.02,861613
0.02,861614
0.02,861615
0.08,847158
0.08,850771
0.08,850772
0.08,850773
0.08,854386
0.08,854387
0.08,854388
0.08,858001
0.08,858002
0.08,858003
0.08,861616
0.08,861617
0.08,861618
0.09,847159
0.09,847160
0.09,847161
0.09,850774
0.09,850775
0.09,854389
0.09,854390
0.09,854391
0.09,854392
0.09,858004
0.09,858005
0.09,858006
0.09,858007
0.09,861619
0.09,861620
0.09,861621
0.09,861622
0.1,847164
0.1,847165
0.1,850777
0.1,850778
0.1,850779
0.1,850780
0.1,854393
0.1,854394
0.1,854395
0.1,858008
0.1,858009
0.1,858010
0.1,861623
0.1,861624
0.1,861625
0.12,847166
0.12,847167
0.12,847168
0.12,850781
0.12,850782
0.12,850783
0.12,854396
0.12,854397
0.12,854398
0.12,858011
0.12,858012
0.12,858013
0.12,861626
0.12,861627
0.12,861628
0.12,861629
0.14,847169
0.14,847170
0.14,847171
0.14,850784
0.14,850785
0.14,850786
0.14,850787
0.14,854399
0.14,854400
0.14,854401
0.14,854402
0.14,858014
0.14,858015
0.14,858016
0.14,858017
0.14,861630
0.14,861631
0.14,861632
0.16,847172
0.16,850788
0.16,854403
0.16,854404
0.16,854405
0.16,858018
0.16,858019
0.16,858020
0.21,847269
0.21,847270
0.21,847271
0.21,847272
0.21,850886
0.21,850887
0.14,847274
0.14,847275
0.14,850888
0.14,850889
0.14,850890
0.14,854503
0.14,854504
0.14,854505
0.14,854506
0.14,858119
0.14,858120
0.14,858121
0.14,861735
0.14,861736
0.05,847276
0.05,847278
0.05,850891
0.05,850892
0.05,850893
0.05,850894
0.05,854507
0.05,854508
0.05,854509
0.05,858122
0.05,858123
0.05,858124
0.05,861737
0.05,861738
0.05,861740
0.06,847279
0.06,847280
0.06,847281
0.06,847282
0.06,850895
0.06,850896
0.06,850897
0.06,854510
0.06,854511
0.06,854512
0.06,858127
0.06,858128
0.06,861741
0.06,861742
0.06,861743
0.05,847283
0.05,847284
0.05,847285
0.05,850898
0.05,850899
0.05,850900
0.05,854513
0.05,854514
0.05,854515
0.05,854516
0.05,858129
0.05,858130
0.05,858131
0.05,861744
0.01,847286
0.01,847287
0.01,847288
0.01,850901
0.01,850902
0.01,850903
0.01,850904
0.01,854517
0.01,854518
0.01,854519
0.01,858132
0.01,858133
0.01,858134
0.01,861747
0.01,861748
0.01,861749
0.01,865201
0.01,865202
0.01,865203
0.01,868816
0.01,868817
0.01,868818
0.01,872431
0.01,872432
0.01,872433
0.01,876046
0.01,876047
0.01,876048
0.01,879661
0.01,879662
0.01,879663
0.01,879664
0.04,868837
0.04,868838
0.04,872452
0.04,872453
0.04,872454
0.04,876066
0.04,876067
0.04,876068
0.04,876069
0.04,879681
0.04,879682
0.04,879683
0.04,879684
0.11,865225
0.11,865226
0.11,865227
0.11,868840
0.11,868841
0.11,868842
0.11,872455
0.11,872456
0.11,872457
0.11,876070
0.11,876071
0.11,879685
0.1,865228
0.1,865229
0.1,865230
0.1,868843
0.1,868844
0.1,872460
0.1,876073
0.1,876074
0.1,876075
0.1,876076
0.1,879688
0.1,879689
0.1,879690
0.1,879691
0.1,865231
0.1,865233
0.1,865234
0.1,868848
0.1,868849
0.1,872461
0.1,872462
0.1,872463
0.1,872464
0.1,876077
0.1,876078
0.1,876079
0.1,879692
0.1,879694
0.12,865235
0.12,865236
0.12,865237
0.12,868850
0.12,868851
0.12,868852
0.12,872465
0.12,872466
0.12,872467
0.12,876080
0.12,876081
0.12,876082
0.12,879695
0.12,879696
0.12,879697
0.12,865238
0.12,865239
0.12,865240
0.12,868853
0.12,868854
0.12,868855
0.12,872468
0.12,872469
0.12,872470
0.12,872471
0.12,876083
0.12,876084
0.12,879700
0.12,879701
0.14,865241
0.14,865242
0.14,865243
0.14,865244
0.14,868856
0.14,868857
0.14,868858
0.14,868859
0.14,872472
0.14,872473
0.14,872474
0.14,879702
0.14,879703
0.14,879704
0.16,865245
0.16,865246
0.16,868860
0.16,868861
0.16,868862
0.16,872475
0.16,872476
0.16,872477
0.16,876090
0.16,876091
0.16,876092
0.16,879705
0.16,879706
0.16,879707
0.16,879708
0.17,865351
0.17,865352
0.17,868966
0.17,868967
0.13,865353
0.13,865354
0.13,865355
0.13,868968
0.13,868969
0.13,872583
0.13,872584
0.13,872585
0.13,876199
0.13,876200
0.13,876201
0.13,879815
0.13,879816
0.09,865357
0.09,865358
0.09,868971
0.09,872587
0.09,872588
0.09,872589
0.09,876202
0.09,876203
0.09,876204
0.09,879817
0.09,879818
