prob,cell_id
0.13,764046
0.13,764047
0.13,764048
0.13,767661
0.13,767662
0.13,767663
0.13,771278
0.13,774891
0.13,774892
0.13,774893
0.2,760434
0.2,760435
0.2,760436
0.2,764049
0.2,764050
0.2,764051
0.2,767664
0.2,767665
0.2,767666
0.2,771279
0.2,771280
0.2,771281
0.2,774894
0.2,774895
0.2,774896
0.26,760437
0.26,760438
0.26,760439
0.26,764052
0.26,764053
0.26,764054
0.26,767667
0.26,767668
0.26,767669
0.26,771282
0.26,771283
0.26,771284
0.26,774897
0.26,774898
0.26,774899
0.34,760440
0.34,760441
0.34,760442
0.34,764055
0.34,764056
0.34,764057
0.34,764058
0.34,767670
0.34,767671
0.34,771285
0.34,771286
0.34,771287
0.34,771288
0.34,774900
0.34,774901
0.34,774902
0.34,774903
0.38,760443
0.38,760444
0.38,760445
0.38,760446
0.38,764059
0.38,764060
0.38,764061
0.38,767674
0.38,767675
0.38,767676
0.38,771290
0.38,771291
0.38,774904
0.38,774905
0.38,774906
0.11,789353
0.24,778509
0.24,778510
0.24,778511
0.24,782124
0.24,782125
0.24,782126
0.24,785739
0.24,785740
0.24,785741
0.24,789354
0.24,789355
0.24,789356
0.28,778512
0.28,778513
0.28,778514
0.28,782127
0.28,782128
0.28,782129
0.28,785742
0.28,785743
0.28,785744
0.28,785745
0.28,789357
0.28,789358
0.28,789359
0.28,789360
0.37,778515
0.37,778516
0.37,778517
0.37,778518
0.37,782130
0.37,782131
0.37,782132
0.37,782133
0.37,785746
0.37,785747
0.37,785748
0.37,789361
0.37,789362
0.37,789363
0.42,778519
0.42,778520
0.42,778521
0.42,782134
0.42,782135
0.42,782136
0.42,785749
0.42,785750
0.42,785751
0.42,789364
0.42,789365
0.43,778522
0.43,778523
0.43,778524
0.43,782137
0.43,782138
0.43,782139
0.43,785752
0.43,785753
0.4,778525
0.4,778526
0.4,778527
0.4,782140
0.4,782141
0.4,782142
0.38,778528
0.38,778529
0.38,778530
0.38,778531
0.38,782143
0.38,782144
0.38,782145
0.38,782146
0.38,785760
0.38,785761
0.38,778532
0.38,778533
0.38,782147
0.38,782148
0.38,785762
0.38,785763
0.38,785764
0.38,789379
0.23,792960
0.23,792961
0.23,792962
0.23,796574
0.23,796575
0.23,796576
0.23,796577
0.23,800190
0.23,800191
0.23,800192
0.23,803805
0.23,803806
0.23,803807
0.23,807420
0.23,807421
0.23,807422
0.29,792963
0.29,792964
0.29,792965
0.29,796578
0.29,796579
0.29,796580
0.29,800193
0.29,800194
0.29,800195
0.29,803808
0.29,803809
0.29,807423
0.32,792966
0.32,792967
0.32,792968
0.32,796581
0.32,796582
0.32,796583
0.32,800196
0.32,792969
0.32,792970
0.32,792971
0.32,796584
0.32,796585
0.32,796586
0.32,800202
0.35,792972
0.35,792973
0.35,792974
0.35,792975
0.35,796587
0.35,796588
0.35,796589
0.35,796590
0.35,800203
0.35,800204
0.35,800205
0.43,792976
0.43,792977
0.43,792978
0.43,796591
0.43,796592
0.43,796593
0.43,800206
0.43,800207
0.43,800208
0.19,807443
0.48,792992
0.48,792993
0.48,792994
0.48,796607
0.48,796608
0.48,796609
0.48,800224
0.49,792995
0.49,792996
0.49,792997
0.49,796610
