prob,cell_id
0.09,1268055
0.09,1268056
0.09,1268057
0.09,1268058
0.11,1264445
0.11,1268059
0.11,1268060
0.11,1268061
0.11,1268062
0.18,1260829
0.18,1260830
0.18,1260831
0.18,1260832
0.18,1264446
0.18,1264447
0.18,1264448
0.18,1264449
0.18,1268063
0.18,1268064
0.18,1268065
0.18,1268066
0.25,1260833
0.25,1260834
0.25,1264450
0.25,1264451
0.25,1264452
0.25,1268067
0.25,1268068
0.25,1268069
0.25,1268070
0.22,1286089
0.22,1289705
0.22,1289706
0.22,1289707
0.21,1278859
0.21,1282476
0.21,1286090
0.21,1286091
0.21,1286092
0.21,1286093
0.21,1289708
0.21,1289709
0.21,1289710
0.21,1289711
0.19,1271627
0.19,1271628
0.19,1275245
0.19,1275246
0.19,1278860
0.19,1278862
0.19,1278863
0.19,1282477
0.19,1282480
0.19,1286094
0.19,1286095
0.19,1286096
0.19,1286097
0.19,1289712
0.19,1289713
0.19,1289714
0.19,1289715
0.16,1271629
0.16,1282481
0.16,1286098
0.16,1286099
0.16,1286100
0.16,1289716
0.16,1289717
0.16,1289718
0.16,1289719
0.09,1286128
0.09,1286129
0.09,1289744
0.09,1289745
0.09,1289746
0.25,1282515
0.25,1282516
0.25,1286130
0.25,1286131
0.25,1286132
0.25,1286133
0.25,1289747
0.25,1289748
0.25,1289749
0.25,1289750
0.23,1278900
0.23,1278901
0.23,1278902
0.23,1282517
0.23,1282518
0.23,1282519
0.23,1282520
0.23,1286134
0.23,1286135
0.23,1286136
0.23,1286137
0.23,1289751
0.23,1289752
0.23,1289753
0.23,1289754
0.22,1271672
0.22,1275286
0.22,1275287
0.22,1275288
0.22,1275289
0.22,1278903
0.22,1278904
0.22,1278905
0.22,1278906
0.22,1282521
0.22,1282522
0.22,1282523
0.22,1282524
0.22,1286138
0.22,1286139
0.22,1286140
0.22,1286141
0.22,1289755
0.22,1289756
0.22,1289757
0.22,1289758
0.22,1271673
0.22,1271674
0.22,1271675
0.22,1271676
0.22,1275290
0.22,1275291
0.22,1275292
0.22,1275293
0.22,1278907
0.22,1278908
0.22,1278909
0.22,1278910
0.22,1282525
0.22,1282526
0.22,1282527
0.22,1282528
0.22,1286142
0.22,1286143
0.22,1286144
0.22,1286145
0.22,1289759
0.22,1289760
0.22,1289761
0.22,1289762
0.22,1271677
0.22,1271678
0.22,1271679
0.22,1271680
0.22,1275294
0.22,1275295
0.22,1275296
0.22,1275297
0.22,1278911
0.22,1278912
0.22,1278913
0.22,1278914
0.22,1282529
0.22,1282530
0.22,1282531
0.22,1282532
0.22,1286146
0.22,1286148
0.22,1286149
