prob,cell_id
0.03,2156512
0.03,2156513
0.03,2156514
0.03,2156515
0.03,2160130
0.03,2160131
0.03,2160132
0.03,2163748
0.06,2156516
0.06,2156517
0.06,2156518
0.06,2160133
0.06,2160134
0.06,2160135
0.06,2160136
0.06,2163749
0.06,2163750
0.06,2163751
0.06,2163752
0.06,2163753
0.06,2167366
0.06,2167367
0.06,2167368
0.06,2167369
0.06,2170982
0.06,2170983
0.06,2170984
0.06,2170985
0.06,2170986
0.06,2174599
0.06,2174600
0.06,2174601
0.06,2174602
0.07,2163754
0.07,2163755
0.07,2167370
0.07,2167371
0.07,2167372
0.07,2170987
0.07,2170988
0.07,2170989
0.07,2170990
0.07,2170991
0.07,2174603
0.07,2174604
0.07,2174605
0.07,2174606
0.07,2174607
0.16,2178220
0.16,2178221
0.16,2178222
0.16,2178223
0.16,2178224
0.16,2181837
0.16,2181838
0.16,2181839
0.16,2181840
0.16,2185455
0.16,2185456
0.16,2185457
0.16,2189073
0.16,2192690
0.16,2196307
0.16,2181841
0.16,2185458
0.16,2189074
0.16,2192691
0.16,2192692
0.16,2196308
0.16,2196309
0.16,2196310
0.16,2196311
0.01,2199905
0.01,2199906
0.01,2203522
0.01,2203523
0.01,2207138
0.01,2207139
0.01,2207140
0.01,2210755
0.01,2210756
0.01,2210757
0.01,2214372
0.01,2214373
0.01,2214374
0.01,2217988
0.01,2217989
0.01,2217990
0.25,2199924
0.25,2199925
0.25,2199926
0.25,2199927
0.25,2199928
0.25,2203541
0.25,2203542
0.25,2203543
0.25,2203544
0.25,2203545
0.25,2207157
0.25,2207158
0.25,2207159
0.25,2207160
0.25,2207161
0.25,2210775
0.25,2210776
0.25,2210777
0.25,2210778
0.25,2214393
0.25,2214394
0.25,2218010
0.25,2218011
0.3,2199929
0.3,2207162
0.3,2210779
0.3,2210780
0.3,2214395
0.3,2214396
0.3,2214397
0.3,2214398
0.3,2218012
0.3,2218013
0.3,2218014
0.3,2218015
0.3,2218016
0.01,2221606
0.01,2221607
0.01,2225223
0.01,2225224
0.01,2228840
0.01,2228841
0.01,2232457
0.01,2232458
0.01,2236074
0.01,2236075
0.02,2236076
0.02,2239692
0.02,2239693
0.29,2221628
0.29,2221629
0.29,2221630
0.29,2221631
0.29,2221632
0.29,2225246
0.29,2225247
0.29,2225248
0.29,2225249
0.29,2228863
0.29,2228864
0.29,2228865
0.29,2232482
0.29,2236099
0.46,2221633
0.46,2225250
0.46,2228866
0.46,2228867
0.46,2232483
0.46,2232484
0.46,2236100
0.46,2236101
0.46,2236102
0.46,2239717
0.46,2239718
0.46,2239719
0.01,2243309
0.01,2243310
0.01,2246926
0.01,2246927
0.01,2250542
0.01,2250543
0.01,2254159
0.01,2254160
0.01,2257775
0.01,2257776
0.24,2243334
0.24,2243335
0.24,2243336
0.24,2243337
0.24,2246951
0.24,2246952
0.24,2246953
0.24,2250569
0.24,2250570
0.24,2254186
0.24,2261420
0.58,2246954
0.58,2250571
0.58,2254187
0.58,2254188
0.58,2257804
0.58,2257805
0.58,2257806
0.58,2261421
0.58,2261422
0.58,2261423
0.55,2265037
0.55,2265038
0.55,2265039
0.55,2265040
0.55,2268656
0.55,2268657
0.55,2268658
0.55,2272273
0.55,2272274
0.55,2275890
0.55,2275891
0.55,2279506
0.55,2279507
0.55,2283123
0.55,2283124
0.72,2272275
0.72,2272276
0.72,2275892
0.72,2275893
0.72,2279508
0.72,2279509
0.72,2279510
0.72,2283125
0.72,2283126
0.72,2283127
0.63,2286740
0.63,2286741
0.63,2290355
0.63,2290356
0.63,2290357
0.63,2293972
0.63,2293973
0.63,2293974
0.63,2297590
0.63,2297591
0.63,2301206
0.63,2301207
0.63,2304824
0.85,2286742
0.85,2286743
0.85,2286744
0.85,2290358
0.85,2290359
0.85,2290360
0.85,2290361
0.85,2293975
0.85,2293976
0.85,2293977
0.85,2293978
0.85,2297592
0.85,2297593
0.85,2297594
0.85,2297595
0.85,2301208
0.85,2301209
0.85,2301210
0.85,2301211
0.85,2304825
0.85,2304826
0.85,2304827
0.85,2304828
0.22,2312050
0.22,2312051
0.22,2315667
0.22,2315668
0.22,2315669
0.22,2319284
0.22,2319285
0.22,2319286
0.22,2322901
0.22,2322902
0.22,2326518
0.22,2326519
0.76,2308440
0.76,2315672
0.76,2322903
0.76,2322904
0.76,2326520
0.76,2326521
0.76,2326522
1,2308441
1,2308442
1,2308443
1,2308444
1,2308445
1,2312058
1,2312059
1,2312060
1,2312061
1,2312062
1,2315675
1,2315676
1,2315677
1,2315678
1,2319291
1,2319292
1,2319293
1,2319294
1,2319295
1,2322910
1,2322911
1,2322912
1,2326527
1,2326528
0.94,2315679
0.94,2319296
0.94,2322913
0.94,2322914
0.94,2326529
0.94,2326530
0.94,2326531
0.94,2326532
0.44,2330136
0.44,2330137
0.44,2330138
0.44,2333753
0.44,2333754
0.44,2333755
0.44,2333756
0.44,2337371
0.44,2337372
0.44,2337373
0.96,2330146
0.96,2330147
0.96,2330148
0.96,2330149
0.96,2333763
0.96,2333764
0.96,2333765
0.96,2337380
0.96,2337381
0.96,2337382
0.96,2340997
0.96,2340998
0.96,2344613
0.96,2344614
0.96,2344615
0.96,2348229
0.96,2348230
0.96,2348231
0.95,2351845
0.95,2355461
0.95,2355462
0.95,2359077
0.95,2359078
0.95,2362694
0.95,2362695
0.95,2369927
0.95,2369928
1,2351846
1,2351847
1,2355463
1,2359079
1,2359080
1,2362696
1,2362697
1,2362698
1,2366313
1,2366314
1,2366315
1,2369929
1,2369930
1,2369931
0.65,2373543
0.65,2373544
0.65,2377160
0.65,2380777
0.65,2380778
0.65,2384394
0.65,2384395
0.65,2388011
0.65,2388012
0.65,2391628
1,2391629
0.98,2395246
0.98,2398863
0.98,2402480
0.98,2406097
0.98,2406098
0.98,2409714
0.98,2409715
0.98,2409716
0.98,2413331
0.98,2413332
0.98,2413333
0.01,2420510
0.01,2420511
0.01,2424127
0.01,2424128
0.67,2416949
0.67,2416950
0.67,2420566
0.85,2420567
0.85,2424184
0.85,2424185
0.85,2424186
0.85,2427802
0.85,2427803
0.85,2427804
0.85,2431420
0.85,2431421
1,2431422
1,2431423
1,2431424
1,2435039
1,2435040
1,2435041
0.02,2442209
0.02,2442210
0.02,2445826
0.02,2445827
0.02,2449443
0.02,2449444
0.96,2438657
0.96,2438658
0.96,2438659
0.96,2438660
0.96,2442276
1,2442277
1,2445894
1,2445895
1,2449512
1,2449513
1,2453129
1,2453130
1,2456746
1,2456747
0.99,2460364
0.99,2460365
0.99,2463981
0.99,2467598
0.97,2463982
0.97,2467599
0.97,2467600
0.97,2467601
0.97,2471216
0.97,2471217
0.97,2471218
0.97,2471219
0.97,2471220
0.97,2474834
0.97,2474835
0.97,2474836
1,2474837
1,2474838
1,2474839
1,2478454
1,2478455
1,2478456
1,2478457
1,2478458
1,2478459
1,2482076
1,2482077
1,2482078
1,2482079
1,2485694
1,2485695
1,2485696
0.97,2482080
0.97,2482081
0.97,2485697
0.97,2485698
0.97,2485699
0.97,2489315
0.97,2489316
0.97,2492933
0.97,2492934
0.97,2496550
0.97,2496551
0.97,2500168
1,2496552
1,2500169
1,2503786
1,2503787
1,2503788
1,2507404
1,2507405
1,2507406
1,2511022
1,2511023
1,2514639
1,2514640
1,2514641
1,2514642
1,2518257
1,2518258
1,2518259
1,2518260
1,2518261
1,2521877
1,2521878
1,2521879
1,2521880
1,2521881
1,2525497
1,2525498
1,2525499
1,2525500
1,2529115
1,2529116
1,2529117
1,2529118
1,2532734
1,2532735
1,2532736
1,2536351
1,2536352
1,2536353
1,2536354
1,2536355
1,2539969
1,2539970
1,2539971
1,2536356
1,2539972
1,2539973
1,2539974
1,2539975
1,2539976
1,2543591
1,2543592
1,2543593
1,2543594
1,2543595
1,2543596
0.96,2547211
0.96,2547212
0.96,2547213
0.96,2550829
0.96,2550830
0.96,2550831
0.96,2554446
0.96,2554447
0.96,2554448
0.96,2558063
0.96,2558064
0.96,2558065
0.97,2554449
0.97,2554450
0.97,2558066
0.97,2558067
0.97,2558068
0.97,2558069
0.97,2561685
0.97,2561686
0.97,2561687
0.97,2565303
1,2565304
1,2565305
1,2550866
1,2554482
1,2558098
1,2558099
1,2561713
1,2561714
1,2561715
1,2561716
1,2565329
1,2565330
1,2565331
1,2565332
1,2565333
1,2547251
1,2550867
1,2550868
1,2550869
1,2550870
1,2554483
1,2554484
1,2554485
1,2554486
1,2554487
1,2558100
1,2558101
1,2558102
1,2558103
1,2558104
1,2561717
1,2561718
1,2561719
1,2561720
1,2561721
1,2565334
1,2565335
1,2565336
1,2565337
1,2565338
1,2554488
1,2554489
1,2558105
1,2558106
1,2558107
1,2558108
1,2561722
1,2561723
1,2561724
1,2561725
1,2561726
1,2565339
1,2565340
1,2565341
1,2565342
0.94,2568922
0.94,2568923
0.94,2568924
0.94,2568925
0.94,2572540
0.94,2572541
0.94,2572542
0.97,2568926
0.97,2568927
0.97,2568928
0.97,2572543
0.97,2572544
0.97,2572545
0.97,2572546
0.97,2576163
0.97,2579780
0.99,2576164
0.99,2576165
0.99,2579781
0.99,2579782
0.99,2579783
0.99,2579784
0.99,2583400
0.99,2583401
0.99,2583402
1,2576173
1,2579786
1,2579788
1,2579789
1,2579790
1,2583403
1,2583404
1,2583405
1,2583406
1,2568944
1,2572558
1,2572559
1,2572560
1,2572561
1,2576174
1,2576175
1,2576176
1,2579791
1,2568945
1,2568946
1,2568947
1,2568948
1,2568949
1,2572562
1,2568955
1,2568956
1,2568957
1,2568958
1,2568959
1,2572572
1,2572573
1,2572574
1,2572575
1,2572576
1,2576191
1,2576192
1,2576193
1,2579807
1,2579808
1,2579809
1,2583426
0.92,2568960
0.92,2568961
0.92,2572577
0.92,2572578
0.92,2572579
0.92,2576194
0.92,2576195
0.92,2576196
0.92,2576197
