prob,cell_id
0.72,760434
0.72,760435
0.72,760436
0.72,764049
0.72,764050
0.72,764051
0.72,767664
0.72,767665
0.72,767666
0.72,771279
0.72,771280
0.72,771281
0.72,774894
0.72,774895
0.72,774896
0.74,760437
0.74,760438
0.74,760439
0.74,764052
0.74,764053
0.74,764054
0.74,767667
0.74,767668
0.74,767669
0.74,771282
0.74,771283
0.74,771284
0.74,774897
0.74,774898
0.74,774899
0.76,760440
0.76,760441
0.76,760442
0.76,764055
0.76,764056
0.76,764057
0.76,764058
0.76,767670
0.76,767671
0.76,771285
0.76,771286
0.76,771287
0.76,771288
0.76,774900
0.76,774901
0.76,774902
0.76,774903
0.78,760443
0.78,760444
0.78,760445
0.78,760446
0.78,764059
0.78,764060
0.78,764061
0.78,767674
0.78,767675
0.78,767676
0.78,771290
0.78,771291
0.78,774904
0.78,774905
0.78,774906
0.73,778509
0.73,778510
0.73,778511
0.73,782124
0.73,782125
0.73,782126
0.73,785739
0.73,785740
0.73,785741
0.73,789354
0.73,789355
0.73,789356
0.74,778512
0.74,778513
0.74,778514
0.74,782127
0.74,782128
0.74,782129
0.74,785742
0.74,785743
0.74,785744
0.74,785745
0.74,789357
0.74,789358
0.74,789359
0.74,789360
0.77,778515
0.77,778516
0.77,778517
0.77,778518
0.77,782130
0.77,782131
0.77,782132
0.77,782133
0.77,785746
0.77,785747
0.77,785748
0.77,789361
0.77,789362
0.77,789363
0.79,778519
0.79,778520
0.79,778521
0.79,782134
0.79,782135
0.79,782136
0.79,785749
0.79,785750
0.79,785751
0.79,789364
0.79,789365
0.8,778522
0.8,778523
0.8,778524
0.8,782137
0.8,782138
0.8,782139
0.8,785752
0.8,785753
0.79,778525
0.79,778526
0.79,778527
0.79,782140
0.79,782141
0.79,782142
0.53,778528
0.53,778529
0.53,778530
0.53,778531
0.53,782143
0.53,782144
0.53,782145
0.53,782146
0.53,785760
0.53,785761
0.05,778532
0.05,778533
0.05,782147
0.05,782148
0.05,785762
0.05,785763
0.05,785764
0.05,789379
0.73,792960
0.73,792961
0.73,792962
0.73,796574
0.73,796575
0.73,796576
0.73,796577
0.73,800190
0.73,800191
0.73,800192
0.73,803805
0.73,803806
0.73,803807
0.73,807420
0.73,807421
0.73,807422
0.74,792963
0.74,792964
0.74,792965
0.74,796578
0.74,796579
0.74,796580
0.74,800193
0.74,800194
0.74,800195
0.74,803808
0.74,803809
0.74,807423
0.76,792966
0.76,792967
0.76,792968
0.76,796581
0.76,796582
0.76,796583
0.76,800196
0.76,792969
0.76,792970
0.76,792971
0.76,796584
0.76,796585
0.76,796586
0.76,800202
0.77,792972
0.77,792973
0.77,792974
0.77,792975
0.77,796587
0.77,796588
0.77,796589
0.77,796590
0.77,800203
0.77,800204
0.77,800205
0.79,792976
0.79,792977
0.79,792978
0.79,796591
0.79,796592
0.79,796593
0.79,800206
0.79,800207
0.79,800208
0.55,807442
0.81,807443
0.81,792992
0.81,792993
0.81,792994
0.81,796607
0.81,796608
0.81,796609
0.81,800224
0.82,792995
0.82,792996
0.82,792997
0.82,796610
0.82,796611
0.82,796612
0.82,800225
0.82,800226
0.82,800227
0.84,792998
0.84,792999
0.84,793000
0.84,793001
0.84,796613
0.84,793009
0.84,793010
0.83,793011
0.83,793012
0.83,793013
0.83,793014
0.83,796626
0.83,796627
0.83,796628
0.83,796629
0.83,800243
0.83,800244
0.83,793015
0.83,793016
0.83,796630
0.83,796631
0.83,800245
0.83,800246
0.83,800247
0.8,800252
0.8,800253
0.8,800254
0.8,803867
0.8,803868
0.8,803869
0.8,807484
0.78,793025
0.78,793026
0.78,793027
0.78,796639
0.78,796640
0.78,796641
0.78,796642
0.78,800255
0.78,800256
0.78,800257
0.78,803870
0.78,803871
0.78,803872
0.78,807485
0.78,807486
0.78,807487
0.68,811025
0.68,811026
0.68,814640
0.68,814642
0.68,818255
0.68,818256
0.68,818257
0.68,821870
0.68,821871
0.68,821872
0.68,825485
0.68,825486
0.68,825487
0.72,811029
0.72,811030
0.72,814643
0.72,814644
0.72,814645
0.72,814646
0.72,818258
0.72,818259
0.72,818260
0.72,818261
0.72,821873
0.72,821874
0.72,821875
0.74,811031
0.74,811032
0.74,811033
0.74,811034
0.74,814647
0.74,814648
0.74,814649
0.74,818262
0.82,811058
0.82,811059
0.82,814673
0.82,814674
0.82,814675
0.86,811102
0.86,811103
0.86,814718
0.56,814719
0.56,814720
0.56,818335
0.56,818336
0.56,821951
0.83,829187
0.83,829188
0.83,829189
0.83,832803
0.83,832804
0.83,836419
0.82,832805
0.82,836420
0.82,836421
0.82,840035
0.82,840036
0.82,840037
0.82,840038
0.82,843652
0.82,843653
0.78,829195
0.78,832810
0.78,840039
0.78,843654
0.7,829199
0.7,829201
0.7,829202
0.7,832815
0.7,832816
0.7,832817
0.7,836430
0.7,836431
0.7,836432
0.7,840045
0.7,840046
0.7,840047
0.7,840048
0.7,843662
0.7,843663
0.71,829206
0.71,829207
0.71,829208
0.71,832822
0.71,832823
0.71,832824
0.71,836437
0.71,836438
0.71,836439
0.71,840053
0.71,840054
0.71,843669
0.71,843670
0.89,847262
0.89,850877
0.85,847269
0.85,847270
0.85,847271
0.85,847272
0.85,850886
0.85,850887
0.8,847274
0.8,847275
0.8,850888
0.8,850889
0.8,850890
0.8,854503
0.8,854504
0.8,854505
0.8,854506
0.8,858119
0.8,858120
0.8,858121
0.8,861735
0.8,861736
0.74,847276
0.74,847278
0.74,850891
0.74,850892
0.74,850893
0.74,850894
0.74,854507
0.74,854508
0.74,854509
0.74,858122
0.74,858123
0.74,858124
0.74,861737
0.74,861738
0.74,861740
0.71,847279
0.71,847280
0.71,847281
0.71,847282
0.71,850895
0.71,850896
0.71,850897
0.71,854510
0.71,854511
0.71,854512
0.71,858127
0.71,858128
0.71,861741
0.71,861742
0.71,861743
0.72,847283
0.72,847284
0.72,847285
0.72,850898
0.72,850899
0.72,850900
0.72,854513
0.72,854514
0.72,854515
0.72,854516
0.72,858129
0.72,858130
0.72,858131
0.72,861744
0.43,847286
0.43,847287
0.43,847288
0.43,850901
0.43,850902
0.43,850903
0.43,850904
0.43,854517
0.43,854518
0.43,854519
0.43,858132
0.43,858133
0.43,858134
0.43,861747
0.43,861748
0.43,861749
0.87,865351
0.87,865352
0.87,868966
0.87,868967
0.83,865353
0.83,865354
0.83,865355
0.83,868968
0.83,868969
0.83,872583
0.83,872584
0.83,872585
0.83,876199
0.83,876200
0.83,876201
0.83,879815
0.83,879816
0.78,865357
0.78,865358
0.78,868971
0.78,872587
0.78,872588
0.78,872589
0.78,876202
0.78,876203
0.78,876204
0.78,879817
0.78,879818
0.78,879819
0.78,879820
0.74,865359
0.74,865361
0.74,865362
0.74,868975
0.74,868976
0.74,868977
0.74,872591
0.74,872592
0.74,876205
0.74,876206
0.74,879821
0.74,879822
0.74,879823
0.53,883432
0.53,887047
0.53,890662
0.53,894278
0.84,883433
0.84,883434
0.84,883435
0.84,887048
0.84,887049
0.84,887050
0.84,890663
0.84,890664
0.84,890665
0.84,890666
0.84,894279
0.84,894280
0.84,894281
0.67,883436
0.67,883437
0.67,883438
0.67,887054
0.67,890667
0.67,890668
0.67,894282
0.67,894283
0.87,897894
0.87,897895
0.87,897896
0.87,897897
0.87,901511
0.87,901512
0.87,905127
0.87,908742
0.87,908743
0.87,912358
0.84,897898
0.84,897899
0.84,897900
0.84,901513
0.84,901514
0.84,905128
0.84,905129
0.84,905130
0.84,905131
0.84,908744
0.84,908745
0.84,908746
0.84,912359
0.84,912360
0.84,912361
0.84,912362
0.25,897902
0.25,897903
0.25,901517
0.25,901518
0.25,901519
0.25,905133
0.25,905134
0.25,908747
0.25,908748
0.25,908749
0.25,908750
0.25,912363
0.25,912364
0.25,912365
0.16,897904
0.16,897905
0.16,897906
0.16,897907
0.16,901520
0.16,901521
0.16,901522
0.16,905135
0.16,905136
0.16,905137
0.16,905138
0.16,908751
0.16,908752
0.16,908753
0.16,912366
0.16,912367
0.16,912368
0.16,912369
0.09,897908
0.09,901523
0.09,901524
0.09,905139
0.09,905140
0.09,905141
0.09,908754
0.09,908755
0.09,908756
0.09,912370
0.09,912371
0.09,912372
0.7,915978
0.7,915979
0.7,915980
0.7,919593
0.7,919594
0.7,919595
0.7,919596
0.7,923209
0.7,923210
0.7,923211
0.7,926825
0.7,926826
0.7,926827
0.5,915981
0.5,915982
0.5,915983
0.5,915984
0.5,919597
0.5,919598
0.5,919599
0.5,923212
0.5,923213
0.5,923214
0.5,923215
0.5,926828
0.5,926829
0.5,926830
0.5,930443
0.5,930444
0.5,930445
0.5,930446
0.25,915985
0.25,915986
0.25,915987
0.25,919600
0.25,919601
0.25,919602
0.25,919603
0.25,923216
0.25,923217
0.25,923218
0.25,926831
0.25,926832
0.25,926833
0.25,926834
0.25,930447
0.25,930448
0.25,930449
0.07,915988
0.07,915989
0.07,915990
0.07,915991
0.07,919604
0.07,919605
0.07,919606
0.07,923219
0.07,923220
0.07,923221
0.07,923222
0.07,926835
0.07,926837
0.07,930450
0.07,930451
0.07,930452
0.07,930453
0.03,915992
0.03,915993
0.03,915994
0.03,919607
0.03,919608
0.03,919609
0.03,919610
0.03,923223
0.03,923224
0.03,923225
0.03,926838
0.03,926839
0.03,926840
0.03,926841
0.03,930454
0.03,930455
0.03,930456
0.01,915995
0.01,915996
0.01,915997
0.01,919611
0.01,919612
0.01,919613
0.01,923226
0.01,923227
0.01,923228
0.01,923229
0.01,926842
0.01,926843
0.01,926844
0.01,930457
0.01,930458
0.01,930459
0.01,930460
0.88,934058
0.88,937673
0.75,934059
0.75,934060
0.75,934061
0.75,937674
0.75,937675
0.75,937676
0.75,937677
0.75,941290
0.75,941291
0.75,941292
0.05,934070
0.05,934071
0.05,934072
0.05,937687
0.05,941303
0.05,944918
0.05,948531
0.05,948532
0.05,948533
0.05,948534
0.01,934073
0.01,934074
0.01,934075
0.01,937688
0.01,937689
0.01,937690
0.01,937691
0.01,941304
0.01,941305
0.01,941306
0.01,944919
0.01,944920
0.01,944921
0.01,944922
0.01,948535
0.01,948536
0.01,948537
0.14,934076
0.14,934077
0.14,934078
0.14,934079
0.14,937692
0.14,937693
0.14,937694
0.14,941307
0.14,941308
0.14,941309
0.14,941310
0.14,944923
0.14,944924
0.14,944925
0.14,948538
0.14,948539
0.14,948540
0.63,952140
0.63,952141
0.63,952142
0.63,955755
0.63,955756
0.63,955757
0.63,955758
0.63,959371
0.63,959372
0.63,959373
0.63,962987
0.63,962988
0.63,962989
0.65,952143
0.65,952144
0.65,952145
0.65,952146
0.65,955759
0.65,955760
0.65,955761
0.65,959374
0.65,959375
0.65,959376
0.65,959377
0.65,962990
0.65,962991
0.65,962992
0.65,966605
0.65,966606
0.65,966607
0.65,966608
0.45,952148
0.45,952149
0.45,955762
0.45,955765
0.45,959378
0.45,959379
0.45,962993
0.45,962994
0.45,962995
0.45,962996
0.45,966609
0.45,966610
0.45,966611
0.38,952150
0.38,952151
0.38,952152
0.38,952153
0.38,955766
0.38,955767
0.38,955768
0.38,959382
0.38,959383
0.38,959384
0.38,962998
0.38,962999
0.38,966612
0.38,966614
0.38,966615
0.4,952154
0.4,952155
0.4,952156
0.4,955769
0.4,955770
0.4,955771
0.4,955772
0.4,959385
0.4,959386
0.4,959387
0.4,963000
0.4,963001
0.4,963002
0.4,963003
0.4,966616
0.4,966617
0.4,966618
0.24,952157
0.24,952158
0.24,952159
0.24,952160
0.24,955773
0.24,955774
0.24,955775
0.24,959388
0.24,959389
0.24,959390
0.24,959391
0.24,963004
0.24,963005
0.24,963006
0.24,966619
0.24,966620
0.24,966621
0.24,966622
0.1,952161
0.1,952162
0.1,955776
0.1,955777
0.1,955778
0.1,959392
0.1,959393
0.1,959394
0.1,963007
0.1,963008
0.1,963009
0.1,963010
0.1,966623
0.1,966624
0.1,966625
0.13,952166
0.13,952167
0.13,955782
0.13,959395
0.13,959396
0.13,959397
0.13,959398
0.13,963012
0.13,963013
0.13,966627
0.13,966628
0.13,966629
0.24,952168
0.24,952169
0.24,952170
0.24,955783
0.24,955784
0.24,955785
0.24,955786
0.24,959399
0.24,959400
0.24,959401
0.24,963014
0.24,963015
0.24,963016
0.24,966630
0.24,966631
0.92,970220
0.92,973834
0.92,973835
0.92,977450
0.92,977451
0.86,970221
0.86,970222
0.86,970223
0.86,973836
0.86,973838
0.86,973839
0.86,977452
0.86,977454
0.86,981067
0.86,981068
0.78,970224
0.78,970225
0.78,970226
0.78,970227
0.78,973840
0.78,973841
0.78,973842
0.78,977455
0.78,977456
0.78,977457
0.78,977458
0.78,981071
0.78,981072
0.78,981073
0.78,984688
0.78,984689
0.61,970228
0.61,970229
0.61,970230
0.61,973843
0.61,973844
0.61,973846
0.61,977459
0.61,977460
0.61,977461
0.61,981074
0.61,981075
0.61,981076
0.61,981077
0.61,984690
0.47,970231
0.47,970232
0.47,970233
0.47,970234
0.47,973847
0.47,973848
0.47,973849
0.47,977462
0.47,977463
0.47,981078
0.47,981079
0.19,970235
0.19,970236
0.19,970237
0.19,973850
0.19,973851
0.19,973852
0.19,973853
0.19,977466
0.19,977467
0.19,977468
0.19,981082
0.19,981083
0.19,981084
0.19,984699
0.01,970242
0.01,970243
0.01,970244
0.01,973857
0.01,973858
0.01,973859
0.01,973860
0.01,977473
0.01,977474
0.01,977475
0.01,981088
0.01,981089
0.01,981090
0.01,981091
0.01,984704
0.01,984705
0.01,984707
0.24,970245
0.24,970246
0.24,970247
0.24,970248
0.24,973861
0.24,977476
0.24,984708
0.48,1002520
0.48,1002521
0.48,1002522
0.93,995530
0.93,995531
0.93,995532
0.93,999146
0.93,999147
0.93,1002761
0.93,1002762
0.93,1002763
0.91,995533
0.91,999148
0.91,999149
0.91,999150
0.91,999151
0.91,1002764
0.91,1002765
0.91,1002766
0.91,1002767
0.79,999152
0.79,999153
0.79,999154
0.79,999155
0.79,1002768
0.79,1002769
0.79,1002770
0.64,995542
0.64,995543
0.64,999156
0.64,999157
0.64,999158
0.64,1002771
0.64,1002772
0.64,1002773
0.64,1002774
0.49,988315
0.49,991931
0.49,995544
0.49,995545
0.49,995546
0.49,999159
0.49,999160
0.49,999161
0.49,999162
0.49,1002775
0.49,1002776
0.49,1002777
0.22,988316
0.22,988317
0.22,988318
0.22,988319
0.22,991932
0.22,991933
0.22,991934
0.22,995547
0.22,995548
0.22,995549
0.22,995550
0.22,999163
0.22,999164
0.22,999165
0.22,1002778
0.22,1002779
0.22,1002780
0.22,1002781
0.26,988320
0.26,988321
