prob,cell_id
0.08,1318502
0.08,1318503
0.08,1318504
0.08,1318505
0.08,1322119
0.08,1322120
0.08,1322121
0.08,1322122
0.08,1325736
0.08,1325737
0.08,1325738
0.08,1325739
0.08,1329353
0.08,1329354
0.08,1329355
0.08,1329356
0.38,1318506
0.38,1318507
0.38,1322123
0.38,1322124
0.38,1325740
0.38,1325741
0.38,1325742
0.38,1329357
0.38,1329358
0.31,1332970
0.31,1332971
0.31,1332972
0.31,1332973
0.31,1336587
0.31,1336588
0.31,1336589
0.31,1336590
0.31,1340204
0.31,1340205
0.31,1340206
0.31,1340207
0.31,1343821
0.31,1343822
0.31,1343823
0.31,1343824
0.31,1343825
0.31,1347439
0.31,1347440
0.31,1347441
0.31,1347442
0.73,1332974
0.73,1336591
0.73,1336592
0.73,1340208
0.73,1340209
0.73,1343826
0.73,1343827
0.73,1347443
0.73,1347444
0.95,1336597
0.95,1336598
0.95,1340214
0.95,1340215
0.95,1343831
0.95,1343832
0.95,1343833
0.95,1347447
0.95,1347448
0.95,1347449
0.95,1347450
0.86,1336599
0.86,1340216
0.86,1340217
0.86,1343834
0.86,1343835
0.86,1343836
0.86,1347451
0.86,1347452
0.86,1347453
0.48,1351056
0.48,1351057
0.48,1351058
0.48,1351059
0.48,1354673
0.48,1354674
0.48,1354675
0.48,1354676
0.48,1358290
0.48,1358291
0.48,1358292
0.48,1358293
0.48,1361907
0.48,1361908
0.48,1361909
0.48,1361910
0.48,1365524
0.48,1365525
0.48,1365526
0.48,1365527
0.93,1351060
0.93,1351061
0.93,1351062
0.93,1354677
0.93,1354678
0.93,1354679
0.93,1354680
0.93,1358294
0.93,1358295
0.93,1358296
0.93,1358297
0.93,1361911
0.93,1361912
0.93,1361913
0.93,1361914
0.93,1365528
0.93,1365529
0.93,1365530
0.93,1365531
1,1351064
1,1351065
1,1351066
1,1351067
1,1354681
1,1354682
1,1354683
1,1354684
1,1358298
1,1358299
1,1358300
1,1358301
1,1361915
1,1361916
1,1361917
1,1361918
1,1365532
1,1365533
1,1365534
1,1365535
0.91,1351068
0.91,1351069
0.91,1351070
0.91,1351071
0.91,1354685
0.91,1354686
0.91,1354687
0.91,1354688
0.91,1358302
0.91,1358303
0.91,1358304
0.91,1358305
0.91,1361919
0.91,1361920
0.91,1361921
0.91,1361922
0.91,1365536
0.91,1365537
0.91,1365538
0.91,1365539
1,1376338
1,1379954
1,1379955
1,1383570
1,1383571
1,1383572
1,1387187
1,1387188
0.91,1372722
0.91,1372723
0.91,1372724
0.91,1372725
0.91,1376339
0.91,1376340
0.91,1376341
0.91,1376342
0.91,1379956
0.92,1372726
0.92,1376343
0.92,1376344
0.92,1376345
0.92,1376346
0.92,1379961
0.92,1379962
0.92,1379963
0.92,1383580
0.8,1379964
0.8,1383581
0.8,1383582
0.8,1383583
0.8,1383584
0.8,1387199
0.8,1387200
0.8,1387201
0.29,1387202
0.29,1387203
0.02,1369137
0.02,1369138
0.02,1369139
0.02,1369140
0.02,1372754
0.02,1372755
0.02,1372756
0.02,1372757
0.02,1376371
0.02,1376372
0.02,1376373
0.02,1376374
0.02,1379988
0.02,1379989
0.02,1379990
0.02,1379991
0.02,1379992
0.02,1383606
0.02,1383607
0.02,1383608
0.02,1383609
0.02,1387223
0.02,1387224
0.02,1387225
0.02,1387226
0.73,1369141
