prob,cell_id
0.05,338270
0.1,345505
0.03,341888
0.03,341889
0.03,345506
0.03,345507
0.03,349123
0.03,349124
0.01,341893
0.01,345510
0.18,421601
0.12,421606
0.12,421607
0.1,421608
0.1,421609
0.1,421610
0.08,414376
0.08,417993
0.73,435966
0.71,435967
0.71,435968
0.71,435969
0.7,432353
0.7,432354
0.7,435970
0.7,435971
0.69,435972
0.69,435973
0.69,435974
0.68,432357
0.68,432358
0.68,432359
0.68,435975
0.68,435976
0.68,432360
0.68,435977
0.68,435978
0.68,435979
0.67,435983
0.67,435984
0.66,432367
0.66,432368
0.66,435985
0.66,435986
0.65,435987
0.65,435988
0.64,435989
0.64,435990
0.15,425219
0.13,425223
0.11,425224
0.11,425225
0.09,425226
0.09,425227
0.09,428844
0.03,439425
0.03,439426
0.03,443042
0.07,439427
0.8,450419
0.79,450420
0.76,446809
0.76,450426
0.73,446810
0.73,446811
0.73,450427
0.73,450428
0.73,450429
0.7,439577
0.7,439578
0.7,439579
0.7,443195
0.7,443196
0.7,446812
0.7,446813
0.7,446814
0.7,450430
0.7,450431
0.67,439580
0.67,439581
0.67,443197
0.67,443198
0.67,443199
0.67,446815
0.67,446816
0.67,450432
0.67,450433
0.67,450434
0.63,439582
0.63,439583
0.63,439584
0.63,443200
0.63,443201
0.63,446817
0.63,446818
0.63,446819
0.63,450435
0.63,450436
0.6,439585
0.6,439586
0.6,443202
0.6,443203
0.6,443204
0.6,446820
0.6,446821
0.6,450437
0.6,450438
0.6,450439
0.31,439587
0.31,439588
0.31,439589
0.31,443205
0.31,443206
0.31,446822
0.31,446823
0.31,450440
0.59,439590
0.59,439591
0.59,443207
0.59,443208
0.59,443209
0.59,450443
0.59,450444
0.59,439592
0.59,439593
0.59,439594
0.59,443210
0.59,443211
0.59,446827
0.59,446828
0.59,446829
0.59,450445
0.59,450446
0.61,439595
0.61,439596
0.61,443212
0.61,443213
0.61,443214
0.61,446830
0.61,450447
0.61,450448
0.61,450449
0.63,439597
0.63,439598
0.63,439599
0.63,443215
0.63,443216
0.63,446832
0.63,446833
0.63,446834
0.63,450450
0.63,450451
0.62,439600
0.62,439601
0.62,443217
0.62,443218
0.62,443219
0.62,446835
0.62,446836
0.62,450452
0.62,450453
0.61,439605
0.61,439606
0.61,443222
0.61,443223
0.61,443224
0.61,446840
0.61,446841
0.61,450457
0.61,450458
0.61,450459
0.61,439607
0.61,439608
0.61,443225
0.61,443226
0.61,446842
0.62,439609
0.62,439610
0.62,439611
0.62,443227
0.62,443228
0.62,443229
0.62,446846
0.62,450463
0.62,443230
0.62,443231
0.62,446847
0.62,446848
0.62,446849
0.62,450465
0.62,450466
0.62,446850
0.62,446851
0.62,450467
0.62,450468
0.62,450469
0.61,450470
0.61,450471
0.83,468493
0.8,468494
0.8,468496
0.77,464879
0.77,464880
0.77,464881
0.77,468497
0.77,468498
0.75,457648
0.75,457649
0.75,461264
0.75,461265
0.75,461266
0.75,464882
0.75,464883
0.75,468499
0.75,468500
0.75,468501
0.75,454034
0.75,457650
0.75,457651
0.75,461267
0.75,461268
0.75,464884
0.75,464885
0.75,464886
0.75,468502
0.75,468503
0.75,454035
0.75,454036
0.75,457653
0.75,461269
0.75,461270
0.75,461271
0.75,464887
0.75,464888
0.75,468504
0.75,468505
0.75,468506
0.74,461272
0.74,461273
0.74,461274
0.74,464889
0.74,464890
0.74,464891
0.74,468507
0.74,468508
0.72,457659
0.72,461275
0.72,461276
0.72,464892
0.72,464893
0.72,468509
0.72,468510
0.72,468511
0.69,454043
0.69,454044
0.69,457660
0.69,457661
0.69,461277
0.69,461278
0.69,461279
0.69,464894
0.69,464895
0.69,464896
0.69,468512
0.69,468513
0.66,454045
0.66,454046
0.66,457662
0.66,457663
0.66,457664
0.66,461280
0.66,461281
0.66,464897
0.66,464898
0.66,464899
0.66,468514
0.66,468515
0.66,468516
0.62,454047
0.62,454048
0.62,454049
0.62,457665
0.62,457666
0.62,461282
0.62,461283
0.62,461284
0.62,464900
0.62,464901
0.58,454050
0.58,454051
0.58,457667
0.58,457668
0.58,457669
0.58,461285
0.58,461286
0.58,464902
0.58,464903
0.58,468519
0.58,468520
0.58,468521
0.5,454060
0.5,454061
0.5,457677
0.5,457678
0.5,457679
0.5,461295
0.5,461296
0.5,464912
0.5,464913
0.51,454062
0.51,454063
0.51,457680
0.51,461297
0.15,454067
0.15,454068
0.15,454069
0.15,457685
0.55,454077
0.55,464930
0.55,464931
0.55,468549
0.56,464932
0.56,464933
0.56,464934
0.56,468550
0.56,468551
0.56,468552
0.56,454084
0.56,464935
0.56,464936
0.56,468553
0.56,468554
0.57,454085
0.57,454086
0.57,464937
0.57,464938
0.57,464939
0.57,468555
0.57,468556
0.59,454087
0.59,454088
0.59,454089
0.59,457706
0.59,461322
0.59,461323
0.59,461324
0.59,464940
0.59,454090
0.59,457707
0.59,457708
0.59,461325
0.59,468562
0.59,468564
0.58,468565
0.58,468566
0.58,468567
0.18,454145
0.18,454146
0.18,457764
0.17,454147
0.17,454148
0.17,457765
0.17,457766
0.06,468646
0.04,461412
0.04,465030
0.04,468647
0.04,468648
0.02,457795
0.02,457796
0.02,457797
0.02,461413
0.02,461414
0.02,461415
0.02,465031
0.02,465032
0.02,465033
0.02,468649
0.02,468650
0.02,468651
0.01,457798
0.01,457799
0.01,461416
0.01,461417
0.01,465034
0.01,465035
0.01,468652
0.01,468653
0.87,479340
0.87,482957
0.83,479341
0.83,479342
0.83,479343
0.83,482958
0.83,482959
0.83,482960
0.78,479344
0.78,479345
0.78,482961
0.78,482962
0.72,472112
0.72,472113
0.72,475729
0.72,475730
0.72,479346
0.72,479347
0.72,479348
0.72,482963
0.72,482964
0.72,482965
0.67,472114
0.67,472115
0.67,472116
0.67,475731
0.67,475732
0.67,475733
0.67,479349
0.67,479350
0.67,482966
0.67,482967
0.67,482968
0.55,472118
0.55,475734
0.55,475735
0.55,479351
0.55,482969
0.64,472119
0.64,472120
0.64,472121
0.64,475736
0.64,475737
0.64,475738
0.64,479354
0.64,479355
0.64,482971
0.64,482972
0.64,482973
0.64,472122
0.64,472123
0.64,475739
0.64,475740
0.64,475741
0.64,479356
0.64,479357
0.64,479358
0.64,482975
0.63,472124
0.63,472125
0.63,472126
0.63,475742
0.63,475743
0.63,479359
0.63,482976
0.63,482977
0.63,482978
0.61,472127
0.61,472128
0.61,475744
0.55,472129
0.55,472130
0.55,472131
0.55,475748
0.5,472170
0.5,472171
0.5,472172
0.5,475788
0.5,475789
0.5,479405
0.52,472173
0.52,472174
0.52,475790
0.52,475791
0.52,475792
0.52,479408
0.52,479409
0.54,472175
0.54,472176
0.54,472177
0.54,475793
0.54,475794
0.55,472178
0.55,472179
0.55,475795
0.55,475796
0.55,475797
0.55,479414
0.55,472180
0.55,472181
0.55,472182
0.55,475798
0.55,475799
0.55,479415
0.55,479416
0.55,479417
0.55,483035
0.55,472183
0.55,472184
0.55,475800
0.55,475801
0.55,475802
0.55,479418
0.55,479419
0.55,479420
0.55,483036
0.55,483037
0.55,472185
0.55,472186
0.55,472187
0.55,475803
0.55,475804
0.55,475805
0.55,479421
0.55,479422
0.55,483038
0.55,483039
0.55,483040
0.55,472188
0.55,475806
0.55,475807
0.55,479423
0.55,479424
0.55,483041
0.55,483042
0.55,483043
0.55,483044
0.2,479476
0.2,483092
0.2,483093
0.2,483094
0.18,479477
0.18,483095
0.04,479494
0.04,483110
0.04,483111
0.04,483112
0.02,472261
0.02,475877
0.02,475878
0.02,475879
0.02,479495
0.02,479496
0.02,479497
0.02,483113
0.02,483114
0.02,483115
0.01,472262
0.01,472263
0.01,475880
0.01,475881
0.01,479498
0.01,479499
0.01,483116
0.01,483117
0.93,497416
0.9,493801
0.9,497417
0.9,497418
0.9,497419
0.86,490185
0.86,490186
0.86,490187
0.86,493802
0.86,493803
0.86,493804
0.86,497420
0.86,497421
0.83,486570
0.83,486571
0.83,490188
0.83,490189
0.83,493805
0.83,497422
0.83,497423
0.83,497424
0.8,486574
0.8,486575
0.8,490191
0.8,490192
0.8,493808
0.8,493809
0.8,497425
0.8,497426
0.8,497427
0.78,486576
0.78,486577
0.78,490193
0.78,493810
0.78,493811
0.78,493812
0.78,497428
0.78,497429
0.28,486578
0.28,486579
0.28,486580
0.28,490197
0.28,493813
0.28,493814
0.28,497430
0.56,486581
0.56,486582
0.56,490198
0.56,490200
0.56,493815
0.56,493816
0.55,486583
0.55,486584
0.55,486585
0.55,490201
0.55,490202
0.17,486586
0.17,486587
0.17,486588
0.17,490203
0.17,490204
0.17,490205
0.17,493822
0.56,486591
0.56,486592
0.56,490208
0.52,486658
0.52,486659
0.52,486660
0.52,490277
0.52,490278
0.52,493895
0.52,497511
0.52,497512
0.52,497513
0.52,486661
0.52,486662
0.52,486663
0.52,490279
0.52,490280
0.52,493896
0.52,486664
0.52,486665
0.52,490281
0.52,490282
0.52,490283
0.52,486666
0.52,490284
0.52,490285
0.52,493903
0.52,490286
0.52,490287
0.52,490288
0.52,493904
0.52,493905
0.51,490289
0.51,490290
0.51,490291
0.51,493907
0.51,493908
0.5,490292
0.5,493909
0.5,493910
0.5,493911
0.5,497527
0.5,497528
0.49,497529
0.49,497530
0.49,497531
0.47,497532
0.16,486709
0.13,486710
0.13,486711
0.13,486712
0.13,490328
0.13,490329
0.13,490330
0.13,493947
0.13,497563
0.13,497564
0.13,497565
0.11,486713
0.11,486714
0.11,490331
0.11,490332
0.11,493948
0.11,493949
0.11,493950
0.11,497566
0.11,497567
0.11,497568
0.09,490333
0.09,490334
0.09,490335
0.09,493951
0.09,493952
0.09,493953
0.09,497569
0.09,497570
0.07,490336
0.07,490337
0.07,493954
0.07,493955
0.07,497571
0.07,497572
0.07,497573
0.05,493956
0.05,493957
0.05,497574
0.05,497575
0.05,497576
0.02,486726
0.02,486727
0.02,490343
0.02,490344
0.02,490345
0.02,493962
0.02,493963
0.02,497581
0.01,486728
0.01,486729
0.01,486730
0.01,490346
0.01,490347
0.01,490348
0.01,493964
0.01,493965
0.01,493966
0.01,497582
0.01,497583
0.88,504648
0.88,508265
0.88,511882
0.83,501032
0.83,501033
0.83,504649
0.83,504650
0.83,504651
0.83,508266
0.83,508267
0.83,508268
0.83,511883
0.83,511884
0.83,511885
0.8,501034
0.8,501035
0.8,501036
0.8,504652
0.8,504653
0.8,508269
0.8,508270
0.8,508271
0.8,511886
0.8,511887
0.8,511888
0.79,501037
0.79,501038
0.79,501039
0.79,504654
0.79,504656
0.79,508272
0.79,508273
0.79,511889
0.79,511890
0.78,501040
0.78,501041
0.78,504657
0.78,504658
0.78,504659
0.78,508274
0.78,508275
0.78,508276
0.78,511891
0.78,511892
0.78,511893
0.76,501042
0.76,501043
0.76,501044
0.76,504660
0.76,504661
0.76,508277
0.76,508278
0.76,511894
0.74,501045
0.74,501046
0.74,504662
0.74,504663
0.74,504664
0.74,508279
0.74,508280
0.74,508281
0.74,511897
0.43,501147
0.43,501148
0.43,501149
0.46,501150
0.46,501151
0.46,504767
0.46,504768
0.46,504769
0.46,508387
0.45,504770
0.45,504771
0.45,508388
0.45,508389
0.45,512007
0.43,508390
0.43,508391
0.43,512008
0.43,512009
0.43,512010
0.22,508408
0.22,512024
0.22,512025
0.22,512026
0.17,508409
0.17,508410
0.17,508411
0.17,512027
0.17,512028
0.13,504794
0.13,504795
0.13,508412
0.13,508413
0.13,512029
0.13,512030
0.13,512031
0.08,501179
0.08,501180
0.08,504796
0.08,504797
0.08,504798
0.08,508414
0.08,508415
0.08,508416
0.08,512032
0.08,512033
0.08,512034
0.05,501181
0.05,501182
0.05,501183
0.05,504799
0.05,504800
0.05,504801
0.05,508417
0.05,508418
0.05,512035
0.05,512036
0.04,501184
0.04,501185
0.04,501186
0.04,504802
0.04,504803
0.04,508419
0.04,508420
