prob,cell_id
0.01,1509493
0.01,1509494
0.01,1509495
0.01,1509496
0.01,1513109
0.01,1513110
0.01,1513111
0.01,1513112
0.01,1516725
0.01,1516726
0.01,1516727
0.01,1516729
0.01,1520342
0.01,1520343
0.01,1523958
0.01,1523959
0.01,1509497
0.01,1509498
0.01,1509499
0.01,1509500
0.01,1513113
0.01,1513114
0.01,1513115
0.01,1513116
0.01,1516730
0.01,1516731
0.01,1516732
0.01,1516733
0.01,1520346
0.01,1520347
0.01,1520348
0.01,1520349
0.03,1527558
0.03,1527559
0.03,1527560
0.03,1527561
0.03,1531175
0.03,1531176
0.03,1531177
0.03,1531178
0.03,1534791
0.03,1534792
0.03,1534793
0.03,1534794
0.03,1538407
0.03,1538408
0.03,1538409
0.03,1538410
0.03,1538411
0.03,1542024
0.03,1542025
0.03,1542026
0.03,1542027
0.03,1545640
0.03,1545641
0.03,1545642
0.03,1545643
0.03,1545644
0.07,1527562
0.07,1527563
0.07,1527564
0.07,1527565
0.07,1527566
0.07,1531179
0.07,1531180
0.07,1531181
0.07,1531182
0.07,1534795
0.07,1534796
0.07,1534797
0.07,1534798
0.07,1538412
0.07,1538413
0.07,1538414
0.07,1538415
0.07,1542028
0.07,1542029
0.07,1542030
0.07,1542031
0.07,1545645
0.07,1545646
0.07,1545647
0.07,1545648
0.08,1527567
0.08,1527568
0.08,1527569
0.08,1527570
0.08,1531183
0.08,1531184
0.08,1531185
0.08,1531186
0.08,1534799
0.08,1534800
0.08,1534801
0.08,1534802
0.08,1534803
0.08,1538416
0.08,1538417
0.08,1538418
0.08,1538419
0.08,1542032
0.08,1542033
0.08,1542034
0.08,1542035
0.08,1542036
0.08,1545649
0.08,1545650
0.08,1545651
0.08,1545652
0.1,1527571
0.1,1527572
0.1,1527573
0.1,1527574
0.1,1531187
0.1,1531188
0.1,1531189
0.1,1531190
0.1,1534804
0.1,1534805
0.1,1534806
0.1,1538420
0.1,1538421
0.1,1538422
0.1,1538423
0.1,1545653
0.07,1527596
0.07,1527597
0.07,1531213
0.01,1549255
0.01,1549256
0.01,1552872
0.01,1556488
0.01,1556489
0.01,1560104
0.01,1560105
0.01,1563719
0.01,1563720
0.01,1563721
0.01,1563722
0.01,1567335
0.01,1567336
0.01,1567337
0.01,1567338
0.13,1549261
0.13,1549262
0.13,1549263
0.13,1549264
0.13,1552878
0.13,1552879
0.13,1552880
0.13,1552881
0.13,1556494
0.13,1556495
0.13,1556496
0.13,1556497
0.13,1560111
0.13,1560112
0.13,1560113
0.13,1560114
0.13,1563727
0.13,1563728
0.13,1563729
0.13,1563730
0.13,1567344
0.13,1567345
0.13,1567346
0.13,1567347
0.16,1549265
0.16,1549266
0.16,1549267
0.16,1549268
0.16,1549269
0.16,1552882
0.16,1552883
0.16,1552884
0.16,1552885
0.16,1556498
0.16,1556500
0.16,1556501
0.16,1556502
0.16,1560115
0.16,1563731
0.16,1563732
0.16,1567348
0.16,1567349
0.11,1570952
0.11,1570953
0.11,1570954
0.11,1570955
0.11,1574568
0.11,1574569
0.11,1574570
0.11,1574571
0.11,1578185
0.11,1578186
0.11,1578187
0.11,1578188
0.11,1581801
0.11,1581802
0.11,1581803
0.11,1581804
0.11,1585418
0.11,1585419
0.11,1585420
0.11,1585421
0.15,1570956
0.15,1570957
0.15,1570958
0.15,1570959
0.15,1574572
0.15,1574573
0.15,1574574
0.15,1574575
0.15,1574576
0.15,1578189
0.15,1578190
0.15,1578191
0.15,1578192
0.15,1581805
0.15,1581806
0.15,1581807
0.15,1581808
0.15,1581809
0.15,1585422
0.15,1585423
0.15,1585424
0.15,1585425
0.19,1570960
0.19,1570961
0.19,1570962
0.19,1570963
0.19,1574577
0.19,1574578
0.19,1574579
0.19,1574580
0.19,1578193
0.19,1578194
0.19,1578195
0.19,1581810
0.19,1581811
0.19,1585426
0.19,1585427
0.19,1585428
0.23,1570964
0.23,1570965
0.23,1570966
0.23,1574581
0.18,1589034
0.18,1589035
0.18,1589036
0.18,1589037
0.18,1592651
0.18,1592652
0.18,1592653
0.18,1592654
0.18,1596267
0.18,1596268
0.18,1596269
0.18,1596270
0.18,1599884
0.18,1599885
0.18,1599886
0.18,1599887
0.18,1603500
0.18,1603501
0.18,1603502
0.18,1603503
0.18,1607117
0.18,1607118
0.18,1607119
0.18,1607120
0.22,1589038
0.22,1589039
0.22,1589040
0.22,1589041
0.22,1589042
0.22,1592655
0.22,1592656
0.22,1592657
0.22,1592658
0.22,1596271
0.22,1596272
0.22,1596273
0.22,1596274
0.22,1596275
0.22,1599888
0.22,1599889
0.22,1599890
0.22,1599891
0.22,1603504
0.22,1603505
0.22,1603506
0.22,1603507
0.22,1607121
0.22,1607122
0.22,1607123
0.26,1589043
0.26,1592659
0.26,1592660
0.23,1610733
0.23,1610734
0.23,1610735
0.23,1610736
0.23,1614350
0.23,1614351
0.23,1614352
0.23,1614353
0.23,1617966
0.23,1617967
0.23,1617968
0.23,1621583
0.23,1621584
0.23,1621585
0.23,1625199
0.23,1625200
0.23,1625201
0.23,1628816
0.29,1610737
0.29,1610738
0.29,1610739
0.29,1614354
0.25,1632428
0.25,1632429
0.25,1632430
0.25,1632431
0.25,1636044
0.25,1636045
0.25,1636046
0.25,1636047
0.25,1636048
0.25,1639661
0.25,1639662
0.25,1639663
0.25,1639664
0.25,1643277
0.25,1643278
0.25,1643279
0.25,1643280
0.25,1643281
0.25,1646894
0.25,1646895
0.25,1646896
0.25,1646897
0.31,1632432
0.31,1632433
0.31,1636049
0.31,1639665
0.31,1650510
0.31,1650511
0.31,1650512
0.31,1650513
0.31,1650514
0.31,1654127
0.31,1654128
0.31,1654129
0.31,1657743
0.31,1657744
0.31,1657745
0.31,1661360
0.31,1661361
0.31,1661362
0.31,1664977
0.31,1664978
0.31,1668593
0.31,1668594
0.17,1672201
0.17,1672202
0.17,1672203
0.17,1672204
0.17,1675817
0.17,1675818
0.17,1675819
0.17,1675820
0.17,1675821
0.17,1679434
0.17,1679435
0.17,1679436
0.17,1679437
0.17,1683050
0.17,1683051
0.17,1683052
0.17,1683053
0.17,1683054
0.17,1686667
0.17,1686668
0.17,1686669
0.17,1686670
0.17,1690283
0.17,1690284
0.17,1690285
0.17,1690286
0.17,1690287
0.39,1672210
0.39,1672211
0.39,1675826
0.39,1675827
0.39,1675828
0.39,1679443
0.39,1679444
0.39,1683059
0.39,1683060
0.39,1683061
0.39,1686676
0.39,1686677
0.39,1690292
0.39,1690293
0.16,1697514
0.16,1697516
0.16,1701130
0.16,1701131
0.16,1701132
0.16,1704745
0.16,1704746
0.16,1704747
0.16,1704748
0.16,1704749
0.16,1708362
0.16,1708363
0.16,1708364
0.16,1708365
0.41,1693904
0.41,1693905
0.41,1693906
0.41,1693907
0.41,1693908
0.41,1697521
0.41,1697522
0.41,1697523
0.41,1697524
0.41,1701137
0.41,1701138
0.41,1701139
0.41,1701140
0.41,1701141
0.41,1704754
0.41,1704755
0.41,1704756
0.41,1704757
0.41,1708371
0.41,1708372
0.41,1708373
0.41,1708374
0.53,1693909
0.53,1697525
0.53,1697526
0.53,1701142
0.53,1701143
0.53,1704758
0.53,1708375
0.36,1711976
0.36,1711977
0.36,1730059
0.36,1730060
0.55,1711978
0.55,1711979
0.55,1711980
0.55,1711981
0.55,1711982
0.55,1715596
0.55,1715597
0.55,1715598
0.55,1719214
0.55,1719215
0.55,1722831
0.55,1726448
0.55,1730061
0.54,1711983
0.54,1711984
0.54,1711985
0.54,1711986
0.54,1715599
0.54,1715600
0.54,1715601
0.54,1715602
0.54,1715603
0.54,1719217
0.54,1719218
0.54,1719219
0.54,1722832
0.54,1722834
0.54,1722835
0.54,1722836
0.54,1726449
0.54,1726450
0.54,1726451
0.54,1726452
0.54,1730065
0.54,1730066
0.54,1730067
0.54,1730068
0.54,1730069
0.6,1711987
0.6,1711988
0.6,1711989
0.6,1711990
0.6,1715604
0.6,1715605
0.6,1715606
0.6,1715607
0.6,1719220
0.6,1719221
0.6,1719222
0.6,1719223
0.6,1719224
0.6,1722837
0.6,1722838
0.6,1722839
0.6,1722840
0.6,1726453
0.6,1726454
0.6,1726455
0.6,1726456
0.6,1726457
0.6,1730070
0.6,1730071
0.6,1730072
0.6,1730073
0.76,1711991
0.76,1715608
0.76,1722841
0.76,1726458
0.76,1730074
0.76,1730075
0.75,1733678
