prob,cell_id
0.41,764046
0.41,764047
0.41,764048
0.41,767661
0.41,767662
0.41,767663
0.41,771278
0.41,774891
0.41,774892
0.41,774893
0.44,760434
0.44,760435
0.44,760436
0.44,764049
0.44,764050
0.44,764051
0.44,767664
0.44,767665
0.44,767666
0.44,771279
0.44,771280
0.44,771281
0.44,774894
0.44,774895
0.44,774896
0.46,760437
0.46,760438
0.46,760439
0.46,764052
0.46,764053
0.46,764054
0.46,767667
0.46,767668
0.46,767669
0.46,771282
0.46,771283
0.46,771284
0.46,774897
0.46,774898
0.46,774899
0.5,760440
0.5,760441
0.5,760442
0.5,764055
0.5,764056
0.5,764057
0.5,764058
0.5,767670
0.5,767671
0.5,771285
0.5,771286
0.5,771287
0.5,771288
0.5,774900
0.5,774901
0.5,774902
0.5,774903
0.52,760443
0.52,760444
0.52,760445
0.52,760446
0.52,764059
0.52,764060
0.52,764061
0.52,767674
0.52,767675
0.52,767676
0.52,771290
0.52,771291
0.52,774904
0.52,774905
0.52,774906
0.24,789353
0.47,778509
0.47,778510
0.47,778511
0.47,782124
0.47,782125
0.47,782126
0.47,785739
0.47,785740
0.47,785741
0.47,789354
0.47,789355
0.47,789356
0.49,778512
0.49,778513
0.49,778514
0.49,782127
0.49,782128
0.49,782129
0.49,785742
0.49,785743
0.49,785744
0.49,785745
0.49,789357
0.49,789358
0.49,789359
0.49,789360
0.54,778515
0.54,778516
0.54,778517
0.54,778518
0.54,782130
0.54,782131
0.54,782132
0.54,782133
0.54,785746
0.54,785747
0.54,785748
0.54,789361
0.54,789362
0.54,789363
0.57,778519
0.57,778520
0.57,778521
0.57,782134
0.57,782135
0.57,782136
0.57,785749
0.57,785750
0.57,785751
0.57,789364
0.57,789365
0.57,778522
0.57,778523
0.57,778524
0.57,782137
0.57,782138
0.57,782139
0.57,785752
0.57,785753
0.54,778525
0.54,778526
0.54,778527
0.54,782140
0.54,782141
0.54,782142
0.43,778528
0.43,778529
0.43,778530
0.43,778531
0.43,782143
0.43,782144
0.43,782145
0.43,782146
0.43,785760
0.43,785761
0.29,778532
0.29,778533
0.29,782147
0.29,782148
0.29,785762
0.29,785763
0.29,785764
0.29,789379
0.48,792960
0.48,792961
0.48,792962
0.48,796574
0.48,796575
0.48,796576
0.48,796577
0.48,800190
0.48,800191
0.48,800192
0.48,803805
0.48,803806
0.48,803807
0.48,807420
0.48,807421
0.48,807422
0.51,792963
0.51,792964
0.51,792965
0.51,796578
0.51,796579
0.51,796580
0.51,800193
0.51,800194
0.51,800195
0.51,803808
0.51,803809
0.51,807423
0.52,792966
0.52,792967
0.52,792968
0.52,796581
0.52,796582
0.52,796583
0.52,800196
0.52,792969
0.52,792970
0.52,792971
0.52,796584
0.52,796585
0.52,796586
0.52,800202
0.54,792972
0.54,792973
0.54,792974
0.54,792975
0.54,796587
0.54,796588
0.54,796589
0.54,796590
0.54,800203
0.54,800204
0.54,800205
0.57,792976
0.57,792977
0.57,792978
0.57,796591
0.57,796592
0.57,796593
0.57,800206
0.57,800207
0.57,800208
0.2,807443
0.59,792992
0.59,792993
0.59,792994
0.59,796607
0.59,796608
0.59,796609
0.59,800224
0.59,792995
0.59,792996
0.59,792997
0.59,796610
0.59,796611
0.59,796612
0.59,800225
0.59,800226
0.59,800227
0.62,792998
0.62,792999
0.62,793000
0.62,793001
0.62,796613
0.61,793011
0.61,793012
0.61,793013
0.61,793014
0.61,796626
0.61,796627
0.61,796628
0.61,796629
0.61,800243
0.61,800244
0.61,793015
0.61,793016
0.61,796630
0.61,796631
0.61,800245
0.61,800246
0.61,800247
0.56,800252
0.56,800253
0.56,800254
0.56,803867
0.56,803868
0.56,803869
0.56,807484
0.54,793025
0.54,793026
0.54,793027
0.54,796639
0.54,796640
0.54,796641
0.54,796642
0.54,800255
0.54,800256
0.54,800257
0.54,803870
0.54,803871
0.54,803872
0.54,807485
0.54,807486
0.54,807487
0.42,811025
0.42,811026
0.42,814640
0.42,814642
0.42,818255
0.42,818256
0.42,818257
0.42,821870
0.42,821871
0.42,821872
0.42,825485
0.42,825486
0.42,825487
0.47,811029
0.47,811030
0.47,814643
0.47,814644
0.47,814645
0.47,814646
0.47,818258
0.47,818259
0.47,818260
0.47,818261
0.47,821873
0.47,821874
0.47,821875
0.49,811031
0.49,811032
0.49,811033
0.49,811034
0.49,814647
0.49,814648
0.49,814649
0.49,818262
0.6,811058
0.6,811059
0.6,814673
0.6,814674
0.6,814675
0.63,811102
0.63,811103
0.63,814718
0.49,814719
0.49,814720
0.49,818335
0.49,818336
0.49,821951
0.26,829187
0.26,829188
0.26,829189
0.26,832803
0.26,832804
0.26,836419
0.56,832805
0.56,836420
0.56,836421
0.56,840035
0.56,840036
0.56,840037
0.56,840038
0.56,843652
0.56,843653
0.52,829195
0.52,832810
0.52,840039
0.52,843654
0.44,829199
0.44,829201
0.44,829202
0.44,832815
0.44,832816
0.44,832817
0.44,836430
0.44,836431
0.44,836432
0.44,840045
0.44,840046
0.44,840047
0.44,840048
0.44,843662
0.44,843663
0.45,829206
0.45,829207
0.45,829208
0.45,832822
0.45,832823
0.45,832824
0.45,836437
0.45,836438
0.45,836439
0.45,840053
0.45,840054
0.45,843669
0.45,843670
0.64,847269
0.64,847270
0.64,847271
0.64,847272
0.64,850886
0.64,850887
0.58,847274
0.58,847275
0.58,850888
0.58,850889
0.58,850890
0.58,854503
0.58,854504
0.58,854505
0.58,854506
0.58,858119
0.58,858120
0.58,858121
0.58,861735
0.58,861736
0.47,847276
0.47,847278
0.47,850891
0.47,850892
0.47,850893
0.47,850894
0.47,854507
0.47,854508
0.47,854509
0.47,858122
0.47,858123
0.47,858124
0.47,861737
0.47,861738
0.47,861740
0.44,847279
0.44,847280
0.44,847281
0.44,847282
0.44,850895
0.44,850896
0.44,850897
0.44,854510
0.44,854511
0.44,854512
0.44,858127
0.44,858128
0.44,861741
0.44,861742
0.44,861743
0.43,847283
0.43,847284
0.43,847285
0.43,850898
0.43,850899
0.43,850900
0.43,854513
0.43,854514
0.43,854515
0.43,854516
0.43,858129
0.43,858130
0.43,858131
0.43,861744
0.34,847286
0.34,847287
0.34,847288
0.34,850901
0.34,850902
0.34,850903
0.34,850904
0.34,854517
0.34,854518
0.34,854519
0.34,858132
0.34,858133
0.34,858134
0.34,861747
0.34,861748
0.34,861749
0.22,847291
0.22,847292
0.22,850905
0.22,850906
0.22,850907
0.22,854520
0.22,854521
0.22,854522
0.22,858136
0.22,858137
0.22,858138
0.22,861751
0.22,861752
0.22,861753
0.67,865351
0.67,865352
0.67,868966
0.67,868967
0.62,865353
0.62,865354
0.62,865355
0.62,868968
0.62,868969
0.62,872583
0.62,872584
0.62,872585
0.62,876199
0.62,876200
0.62,876201
0.62,879815
0.62,879816
0.55,865357
0.55,865358
0.55,868971
0.55,872587
0.55,872588
0.55,872589
0.55,876202
0.55,876203
0.55,876204
0.55,879817
0.55,879818
0.55,879819
0.55,879820
0.5,865359
0.5,865361
0.5,865362
0.5,868975
0.5,868976
0.5,868977
0.5,872591
0.5,872592
0.5,876205
0.5,876206
0.5,879821
0.5,879822
0.5,879823
0.22,865363
0.22,865364
0.22,868978
0.22,868979
0.22,868980
0.22,872593
0.22,872594
0.22,872595
0.22,876209
0.22,876210
0.22,876211
0.22,879824
0.22,879825
0.22,879826
0.17,865366
0.17,865367
0.17,865368
0.17,868983
0.17,868984
0.17,872598
0.17,872599
0.17,879827
0.17,879828
0.17,879829
0.17,879830
0.15,865369
0.15,865370
0.15,865371
0.15,865372
0.15,868985
0.15,868986
0.15,868987
0.15,872600
0.15,872601
0.15,872602
0.15,876215
0.15,876216
0.15,876217
0.15,876218
0.15,879831
0.15,879832
0.15,879833
0.63,883433
0.63,883434
0.63,883435
0.63,887048
0.63,887049
0.63,887050
0.63,890663
0.63,890664
0.63,890665
0.63,890666
0.63,894279
0.63,894280
0.63,894281
0.48,883436
0.48,883437
0.48,883438
0.48,887054
0.48,890667
0.48,890668
0.48,894282
0.48,894283
0.22,883439
0.22,883440
0.22,883441
0.22,883442
0.22,887055
0.22,887056
0.22,887057
0.22,890670
0.22,890671
0.22,890672
0.22,890673
0.22,894286
0.22,894287
0.22,894288
0.2,883443
0.2,883444
0.2,883445
0.2,887058
0.2,887059
0.2,887060
0.2,887061
0.2,890674
0.2,890675
0.2,890676
0.2,894289
0.2,894290
0.2,894291
0.15,883446
0.15,883447
0.15,883448
0.15,883449
0.15,887062
0.15,887063
0.15,887064
0.15,890677
0.15,890678
0.15,890679
0.15,894292
0.15,894293
0.15,894294
0.15,894295
0.16,883450
0.16,883451
0.16,883452
0.16,887065
0.16,887066
0.16,887067
0.16,890680
0.16,890681
0.16,890682
0.16,894296
0.16,894297
0.16,894298
0.67,897894
0.67,897895
0.67,897896
0.67,897897
0.67,901511
0.67,901512
0.67,905127
0.67,908742
0.67,908743
0.67,912358
0.59,897898
0.59,897899
0.59,897900
0.59,901513
0.59,901514
0.59,905128
0.59,905129
0.59,905130
0.59,905131
0.59,908744
0.59,908745
0.59,908746
0.59,912359
0.59,912360
0.59,912361
0.59,912362
0.32,897902
0.32,897903
0.32,901517
0.32,901518
0.32,901519
0.32,905133
0.32,905134
0.32,908747
0.32,908748
0.32,908749
0.32,908750
0.32,912363
0.32,912364
0.32,912365
0.29,897904
0.29,897905
0.29,897906
0.29,897907
0.29,901520
0.29,901521
0.29,901522
0.29,905135
0.29,905136
0.29,905137
0.29,905138
0.29,908751
0.29,908752
0.29,908753
0.29,912366
0.29,912367
0.29,912368
0.29,912369
0.26,897908
0.26,901523
0.26,901524
0.26,905139
0.26,905140
0.26,905141
0.26,908754
0.26,908755
0.26,908756
0.26,912370
0.26,912371
0.26,912372
0.24,897911
0.24,897912
0.24,897913
0.24,897914
0.24,901528
0.24,901529
0.24,905142
0.24,905143
0.24,905144
0.24,905145
0.24,908758
0.24,908759
0.24,908760
0.24,912375
0.24,897915
0.24,897916
0.24,901530
0.24,901531
0.24,905146
0.24,905147
0.24,905148
0.24,908761
0.24,908762
0.24,908763
0.24,912376
0.24,912377
0.24,912378
0.24,912379
0.51,915978
0.51,915979
0.51,915980
0.51,919593
0.51,919594
0.51,919595
0.51,919596
0.51,923209
0.51,923210
0.51,923211
0.51,926825
0.51,926826
0.51,926827
0.41,915981
0.41,915982
0.41,915983
0.41,915984
0.41,919597
0.41,919598
0.41,919599
0.41,923212
0.41,923213
0.41,923214
0.41,923215
0.41,926828
0.41,926829
0.41,926830
0.41,930443
0.41,930444
0.41,930445
0.41,930446
0.33,915985
0.33,915986
0.33,915987
0.33,919600
0.33,919601
0.33,919602
0.33,919603
0.33,923216
0.33,923217
0.33,923218
0.33,926831
0.33,926832
0.33,926833
0.33,926834
0.33,930447
0.33,930448
0.33,930449
0.29,915988
0.29,915989
0.29,915990
0.29,915991
0.29,919604
0.29,919605
0.29,919606
0.29,923219
0.29,923220
0.29,923221
0.29,923222
0.29,926835
0.29,926837
0.29,930450
0.29,930451
0.29,930452
0.29,930453
0.3,915992
0.3,915993
0.3,915994
0.3,919607
0.3,919608
0.3,919609
0.3,919610
0.3,923223
0.3,923224
0.3,923225
0.3,926838
0.3,926839
0.3,926840
0.3,926841
0.3,930454
0.3,930455
0.3,930456
0.31,915995
0.31,915996
0.31,915997
0.31,919611
0.31,919612
0.31,919613
0.31,923226
0.31,923227
0.31,923228
0.31,923229
0.31,926842
0.31,926843
0.31,926844
0.31,930457
0.31,930458
0.31,930459
0.31,930460
0.68,934058
0.68,937673
0.55,934059
0.55,934060
