prob,cell_id
0.37,1041148
0.37,1044764
0.37,1044765
0.37,1044766
0.37,1044767
0.39,1041149
0.39,1044768
0.39,1044769
0.39,1044770
0.18,1048381
0.18,1048382
0.18,1052000
0.18,1052001
0.01,1078365
0.09,1066501
0.09,1066502
0.09,1070119
0.09,1070120
0.4,1066503
0.4,1066504
0.4,1070121
0.3,1077368
0.3,1080987
0.3,1080988
0.22,1077370
0.22,1077371
0.22,1077372
0.22,1077373
0.22,1080989
0.22,1080990
0.22,1080991
0.13,1080992
0.13,1080993
0.13,1080994
0.16,1080996
0.16,1080997
0.16,1080998
0.32,1088222
0.08,1102716
0.08,1102717
0.08,1102718
0.08,1106335
0.07,1564581
0.07,1564582
0.07,1564583
0.07,1568197
0.07,1568198
0.07,1568199
0.07,1568200
0.1,1829647
0.1,1829648
0.1,1829649
0.1,1829650
0.1,1833265
0.1,1833266
0.1,1833267
0.1,1833268
0.1,1836883
0.1,1836884
0.1,1836885
0.01,1838179
0.01,1841796
0.08,1854871
0.09,1876576
0.09,1876577
0.25,1858590
0.25,1858591
0.25,1858592
0.25,1862207
0.25,1862208
0.25,1862209
0.06,1880194
0.34,1880298
0.1,1916380
0.1,1905529
0.1,1905530
0.1,1909146
0.1,1909147
0.1,1912764
0.1,1916381
0.32,1905623
0.35,1902006
0.35,1902007
0.35,1905624
0.03,1927234
0.03,1927237
0.03,1927238
0.03,1930854
0.03,1930855
0.03,1930856
0.06,1927239
0.06,1927242
0.06,1930858
0.06,1930859
0.06,1930860
0.06,1941710
0.06,1941711
0.06,1941712
0.06,1941713
0.39,1941803
0.39,1941804
0.05,1959797
0.05,1963414
0.17,1945327
0.17,1945328
0.17,1945329
0.17,1945330
0.17,1945331
0.17,1948945
0.17,1948946
0.17,1948947
0.17,1948948
0.17,1952565
0.17,1952566
0.17,1956183
0.17,1956184
0.17,1963415
0.03,1945332
0.03,1945333
0.03,1945334
0.03,1945335
0.03,1948950
0.03,1948951
0.03,1948952
0.03,1948953
0.03,1952567
0.03,1952568
0.03,1952569
0.03,1952570
0.03,1952571
0.03,1956185
0.03,1956187
0.03,1956188
0.18,1945336
0.18,1948954
0.39,1945420
0.39,1945421
0.02,1964790
0.02,1964791
0.02,1964792
0.02,1968407
0.02,1968408
0.02,1968409
0.02,1972024
0.02,1972025
0.02,1972026
0.02,1975642
0.02,1975643
0.02,1979260
0.92,1979265
0.2,1970645
0.14,1967028
0.14,1967029
0.14,1967031
0.14,1967032
0.14,1970646
0.14,1970648
0.14,1970649
0.14,1970650
0.14,1974266
0.14,1974267
0.14,1977881
0.14,1977882
0.14,1977883
0.14,1977884
0.14,1981500
0.14,1981501
0.44,1974363
0.18,1993685
0.18,1993686
0.18,1993687
0.18,1997302
0.18,1997303
0.18,1997304
0.18,2000918
0.18,2000919
0.18,2000920
0.1,1982877
0.1,1982878
0.1,1982879
0.1,1982880
0.1,1982881
0.1,1986495
0.1,1986496
0.1,1986497
0.1,1990112
0.1,1990113
0.1,1990114
0.1,1993729
0.1,1993730
0.1,1997346
0.1,1997347
0.1,2000963
0.49,1982882
0.49,1982883
0.49,1986499
0.49,1986500
0.49,1990115
0.49,1990116
0.49,1990117
0.49,1993731
0.49,1993733
0.49,1993734
0.49,1997348
0.49,1997349
0.49,1997350
0.49,1997351
0.49,2000964
0.49,2000965
0.49,2000966
0.49,2000967
0.49,2000968
0.69,1993739
0.69,1997356
0.69,2000972
0.24,1999583
0.24,1999584
0.27,1985117
0.27,1985118
0.27,1988734
0.27,1988735
0.3,2004535
0.3,2004536
0.3,2004537
0.3,2008152
0.3,2008153
0.3,2008154
0.3,2011769
0.3,2011770
0.05,2004592
0.05,2004593
0.05,2008206
0.05,2008208
0.05,2008209
0.05,2008210
0.05,2011823
0.05,2011824
0.05,2011825
0.05,2011826
0.05,2015439
0.05,2015440
0.05,2015441
0.05,2015442
0.05,2015443
0.05,2019056
0.05,2019057
0.05,2019058
0.05,2019059
0.05,2022676
0.39,2017670
0.35,2010435
0.35,2014053
0.09,2017677
0.09,2024911
0.09,2024912
0.09,2024913
1,2025678
1,2025679
1,2029295
1,2029296
1,2032912
1,2032913
1,2036536
1,2036537
1,2040153
1,2040154
0.29,2026284
0.29,2026285
0.29,2029901
0.29,2029902
0.29,2033518
0.29,2033519
0.29,2037135
0.29,2040751
0.29,2040752
0.29,2044368
0.29,2044369
0.28,2026293
0.28,2026294
0.28,2026295
0.28,2026296
0.28,2029910
0.28,2029911
0.28,2029912
0.28,2029913
0.28,2033526
0.28,2033527
0.28,2033528
0.28,2033529
0.28,2033530
0.28,2037143
0.28,2037144
0.28,2037145
0.28,2037146
0.28,2040762
0.28,2040763
0.02,2029914
0.02,2033531
0.02,2037147
0.02,2037148
0.02,2040764
0.02,2040765
0.02,2044380
0.02,2044381
0.02,2044382
0.02,2028527
0.02,2032143
0.02,2032144
0.02,2032145
0.02,2035759
0.02,2035760
0.02,2035761
0.02,2035762
0.02,2039376
0.02,2039377
0.02,2039378
0.02,2039379
0.02,2039380
0.02,2042994
0.02,2042995
0.02,2042996
0.02,2042997
0.02,2046612
0.02,2046613
0.02,2046614
0.2,2028528
0.2,2028529
0.2,2028530
0.2,2032146
0.2,2032147
0.2,2032149
0.2,2035763
0.2,2035764
0.2,2035766
0.2,2035767
0.2,2039381
0.2,2039383
0.2,2039384
0.31,2032150
0.31,2032151
0.31,2035768
0.31,2039385
1,2047399
1,2047400
1,2051014
1,2051015
1,2051016
1,2054631
1,2058247
1,2058248
0.05,2047984
0.05,2047985
0.05,2051601
0.05,2051602
0.05,2055218
0.05,2055219
0.05,2058835
0.05,2058836
0.05,2062452
0.05,2062453
0.08,2062454
0.08,2066071
0.01,2048001
0.01,2048002
0.01,2048003
0.01,2051618
0.01,2051619
0.01,2051620
0.01,2051621
0.01,2051622
0.01,2055235
0.01,2055236
0.01,2055237
0.01,2055238
0.01,2058852
0.01,2058853
0.01,2058854
0.01,2058855
0.01,2062469
0.01,2062470
0.01,2062471
0.01,2066087
0.47,2053838
0.47,2053839
0.47,2053840
0.47,2057456
0.47,2057457
0.5,2050228
0.5,2053844
0.5,2053845
0.5,2057462
0.5,2057463
0.5,2061079
0.5,2061080
0.5,2061081
0.5,2064697
0.5,2064698
0.42,2050229
0.42,2050230
0.42,2050231
0.42,2053846
0.42,2053847
0.42,2057464
0.42,2057465
0.42,2061082
0.42,2064699
0.7,2057585
0.7,2057586
0.7,2061202
0.7,2061203
0.7,2064820
0.7,2064821
0.7,2064822
0.7,2068438
0.7,2068439
0.01,2069688
0.01,2073304
0.01,2073305
0.01,2076922
0.01,2076923
0.01,2080538
0.01,2080539
0.01,2080540
0.01,2084156
0.01,2087773
0.65,2069691
0.65,2069692
0.65,2073308
0.65,2073309
0.65,2080541
0.65,2084157
0.65,2084158
0.65,2087774
0.01,2076938
0.01,2080555
0.01,2080556
0.01,2084171
0.01,2084172
0.01,2084173
0.01,2084174
0.01,2084175
0.01,2087789
0.01,2087790
0.01,2087791
0.38,2086394
0.38,2090011
0.38,2090012
0.47,2071929
0.47,2075546
0.47,2079164
0.47,2086395
0.47,2086396
0.47,2086399
0.47,2090013
0.47,2090015
0.47,2090016
0.51,2071930
0.51,2071931
0.51,2071932
0.51,2075547
0.51,2075548
0.51,2075549
0.51,2079165
0.51,2086400
0.51,2090017
0.88,2079279
0.88,2079280
0.88,2082896
0.88,2082897
0.88,2082898
0.84,2072057
0.84,2082909
0.84,2082910
0.84,2086526
0.84,2086527
0.84,2086528
0.84,2090144
0.84,2090145
0.84,2090146
0.88,2091390
0.88,2091391
0.88,2091392
0.88,2095007
0.88,2095008
0.88,2095009
0.88,2098624
0.88,2098625
0.88,2098626
0.88,2098627
0.88,2102240
0.88,2102241
0.88,2102243
0.88,2105857
0.88,2105858
0.88,2105859
0.88,2105860
0.88,2109475
0.34,2108092
0.34,2108093
0.34,2108094
0.34,2111709
0.34,2111710
0.34,2111711
0.02,2093628
0.02,2093629
0.02,2097247
0.02,2100863
0.02,2100864
0.02,2104480
0.02,2104481
0.02,2104482
0.02,2108098
0.02,2108099
0.02,2108100
0.02,2111716
0.02,2111717
0.01,2093630
0.01,2093632
0.01,2093633
0.01,2093634
0.01,2097249
0.01,2097250
0.01,2097251
0.01,2100865
0.01,2100866
0.01,2100867
0.01,2100868
0.01,2100869
0.01,2104483
0.01,2104484
0.01,2104485
0.01,2104486
0.01,2108102
0.01,2108103
0.01,2111718
0.01,2111719
0.01,2111720
0.88,2100997
0.88,2100998
0.88,2104614
0.88,2104615
0.88,2104616
0.88,2108232
0.88,2108233
0.88,2111850
0.88,2111851
1,2123356
1,2123357
1,2126972
1,2126973
1,2130588
1,2130589
1,2123358
1,2123359
1,2126974
1,2126975
1,2126978
1,2130590
1,2130591
1,2130594
1,2126979
1,2126980
1,2130595
1,2130596
1,2131181
0.36,2115323
0.36,2115324
0.36,2115325
0.36,2118940
0.36,2118941
0.36,2118942
0.36,2118943
0.36,2122557
0.36,2122558
0.36,2122559
0.01,2118944
0.01,2118945
0.01,2122563
0.01,2122564
0.01,2122565
0.01,2126181
0.01,2126182
0.01,2126183
0.01,2129798
0.01,2129799
0.01,2133417
0.56,2115336
0.56,2118953
0.56,2122571
0.62,2133454
0.62,2133455
1,2134206
1,2134207
1,2134210
1,2134211
1,2134212
0.83,2137843
0.83,2137844
0.83,2141459
0.83,2141460
0.83,2141461
0.83,2145076
0.83,2145077
0.75,2148702
0.75,2148703
0.75,2148704
0.75,2152318
0.75,2152319
0.75,2152320
1,2145097
1,2148712
1,2148713
1,2152328
1,2152329
1,2145098
1,2148714
1,2152330
0.2,2134812
0.2,2138429
0.2,2142045
0.2,2142046
0.2,2145662
0.2,2145663
0.2,2145664
0.2,2149278
0.2,2149279
0.2,2149280
0.2,2149281
0.2,2149282
0.2,2152896
0.2,2152897
0.2,2152898
0.2,2144233
0.2,2147850
0.25,2136999
0.25,2137000
0.25,2137001
0.25,2140616
0.25,2140617
0.25,2144234
0.25,2144235
0.25,2147851
0.25,2147852
0.22,2140622
0.22,2140625
0.24,2137008
0.24,2137009
0.24,2140626
0.77,2137071
0.77,2137072
0.77,2140688
0.77,2140689
0.77,2144305
0.77,2144306
1,2155253
1,2155254
1,2155933
1,2155934
1,2155935
1,2155936
1,2159550
1,2159551
1,2159552
1,2159553
1,2163168
1,2163169
1,2155937
1,2155945
1,2155946
1,2159561
1,2159562
0.97,2155947
0.82,2170423
0.82,2170424
0.82,2170425
0.82,2174039
0.82,2174040
0.82,2174041
1,2170426
1,2174042
0.8,2174534
0.8,2174535
0.73,2156512
0.73,2156513
0.73,2156514
0.73,2156515
0.73,2160130
0.73,2160131
0.73,2160132
0.73,2163748
0.28,2173190
0.28,2173191
0.28,2176807
0.28,2176808
1,2158870
1,2158871
1,2162487
1,2162488
0.89,2177657
0.89,2177658
0.89,2181273
0.89,2181274
0.89,2184890
1,2177659
1,2181275
1,2181276
1,2184891
1,2188508
1,2188509
1,2192124
1,2192125
1,2195740
1,2195741
1,2178151
1,2178152
0.05,2178183
0.05,2178184
0.05,2178185
0.05,2178186
0.05,2181799
0.05,2181800
0.05,2181801
0.05,2181802
0.05,2181803
0.05,2185416
0.05,2185417
0.05,2185418
0.05,2185419
0.05,2189034
0.05,2189035
0.05,2189036
0.05,2192651
0.05,2192652
0.05,2196268
0.05,2196269
0.01,2178199
