prob,cell_id
0.1,1878313
0.11,1900008
0.11,1900009
0.11,1900010
0.11,1903625
0.11,1907241
0.11,1907242
0.11,1910858
0.11,1910859
0.11,1914474
0.11,1914475
0.11,1918091
0.17,1965102
0.17,1965103
0.17,1965104
0.17,1968719
0.17,1968720
0.17,1968721
0.17,1972335
0.17,1972336
0.17,1972337
0.17,1975952
0.17,1975953
0.17,1975954
0.17,1979569
0.17,1979570
0.33,2069986
0.33,2069987
0.33,2069988
0.33,2073603
0.33,2073604
0.33,2073605
0.33,2077220
0.33,2077221
0.33,2080836
0.33,2080837
0.33,2080838
0.33,2084454
0.33,2084455
0.33,2088071
1,2088072
1,2073613
1,2073614
1,2077230
1,2077231
1,2080846
1,2080847
1,2084463
1,2084464
1,2088080
1,2088081
0.91,2073615
0.91,2073616
0.91,2073617
0.91,2073618
0.91,2073619
0.91,2077232
0.91,2077233
0.91,2077234
0.91,2077235
0.91,2080848
0.91,2080849
0.91,2080850
0.91,2080851
0.91,2080852
0.91,2084465
0.91,2084466
0.91,2084467
0.91,2084468
0.91,2084469
0.91,2088082
0.91,2088083
0.91,2088084
0.91,2088085
0.66,2077236
0.66,2077237
0.66,2077238
0.66,2080853
0.66,2080854
0.66,2080855
0.66,2080856
0.66,2080857
0.66,2084470
0.66,2084471
0.66,2084472
0.66,2084473
0.66,2088086
0.66,2088087
0.66,2088088
0.66,2088089
0.66,2088090
0.48,2084474
0.48,2088091
0.48,2088092
0.48,2088093
0.48,2088094
1,2091687
1,2091688
1,2095305
1,2098921
1,2102538
1,2106155
1,2109771
1,2091689
1,2098922
1,2102539
1,2109772
1,2091698
1,2091699
1,2091700
1,2091701
1,2091702
1,2095315
1,2095316
1,2095317
1,2095318
1,2095319
1,2098932
1,2098933
1,2098934
1,2098935
1,2102548
1,2102549
1,2102550
1,2102551
1,2102552
1,2106165
1,2106166
1,2106167
1,2106168
1,2106169
1,2109782
1,2109783
1,2109784
1,2109785
0.9,2091703
0.9,2091704
0.9,2091705
0.9,2091706
0.9,2091707
0.9,2095320
0.9,2095321
0.9,2095322
0.9,2095323
0.9,2098936
0.9,2098937
0.9,2098938
0.9,2098939
0.9,2098940
0.9,2102553
0.9,2102554
0.9,2102555
0.9,2102556
0.9,2102557
0.9,2106170
0.9,2106171
0.9,2106172
0.9,2106173
0.9,2109786
0.9,2109787
0.9,2109788
0.59,2091708
0.59,2091709
0.59,2091710
0.59,2091711
0.59,2095324
0.59,2095325
0.59,2095326
0.59,2095327
0.59,2095328
0.59,2098941
0.59,2098942
0.59,2098943
0.59,2098944
0.59,2098945
0.59,2102558
0.59,2102559
