prob,cell_id
1,1733691
1,1737307
0.38,1755381
0.38,1755382
0.38,1755383
0.38,1755384
0.38,1755385
0.38,1758998
0.38,1758999
0.38,1759000
0.38,1759001
0.38,1762614
0.38,1762615
0.38,1762616
0.38,1762617
0.38,1762618
0.38,1766231
0.38,1766232
0.38,1766233
0.38,1769847
0.38,1769848
0.38,1769849
0.81,1773460
0.81,1773461
0.81,1773462
0.81,1773463
0.81,1777076
0.81,1777077
0.81,1777078
0.81,1777079
0.81,1777080
0.81,1780693
0.81,1780694
0.81,1780695
0.81,1780696
0.81,1784309
0.81,1784310
0.81,1784311
0.81,1784312
0.81,1784313
0.81,1787926
0.81,1787927
0.81,1787928
0.81,1791542
0.81,1791543
0.81,1791544
1,1773464
1,1780697
1,1795154
1,1795155
1,1795156
1,1795157
1,1795158
1,1798771
1,1798772
1,1798773
1,1798774
1,1802388
1,1802389
1,1802390
1,1806004
1,1806005
1,1806006
1,1806007
1,1809621
1,1809622
1,1813237
1,1795159
1,1795160
1,1798775
0.3,1816845
0.3,1816846
0.3,1816847
0.3,1816848
0.3,1820461
0.3,1820462
0.3,1820463
0.3,1820464
0.3,1820465
0.3,1824078
0.3,1824079
0.3,1824080
0.3,1824081
0.3,1824082
0.3,1827695
0.3,1827696
0.3,1827697
0.3,1827698
0.3,1831311
0.3,1831312
0.3,1834928
1,1816849
1,1816850
1,1816851
1,1816852
1,1816853
1,1820466
1,1820467
1,1820468
1,1824083
1,1824084
1,1827699
1,1816854
0.23,1838535
0.23,1838536
0.23,1838537
0.23,1838538
0.23,1838539
0.23,1842152
0.23,1842153
0.23,1842154
0.23,1842155
0.23,1845768
0.23,1845769
0.23,1845770
0.23,1845771
0.23,1845772
0.23,1849385
0.23,1849386
0.23,1849387
0.23,1849388
0.23,1853002
0.23,1853003
0.23,1853004
0.23,1853005
1,1838540
1,1838541
1,1838542
1,1838543
1,1842156
1,1842157
1,1842158
1,1845773
1,1845774
1,1838544
1,1856614
1,1856615
1,1856616
1,1856617
1,1860230
1,1860231
1,1860232
1,1860233
1,1860234
1,1863847
1,1863848
1,1863849
1,1863850
1,1867463
1,1867464
1,1867465
1,1867466
