prob,cell_id
0.01,1318506
0.01,1318507
0.01,1322123
0.01,1322124
0.01,1325740
0.01,1325741
0.01,1325742
0.01,1329357
0.01,1329358
0.03,1332970
0.03,1332971
0.03,1332972
0.03,1332973
0.03,1336587
0.03,1336588
0.03,1336589
0.03,1336590
0.03,1340204
0.03,1340205
0.03,1340206
0.03,1340207
0.03,1343821
0.03,1343822
0.03,1343823
0.03,1343824
0.03,1343825
0.03,1347439
0.03,1347440
0.03,1347441
0.03,1347442
0.59,1332974
0.59,1336591
0.59,1336592
0.59,1340208
0.59,1340209
0.59,1343826
0.59,1343827
0.59,1347443
0.59,1347444
0.95,1336597
0.95,1336598
0.95,1340214
0.95,1340215
0.95,1343831
0.95,1343832
0.95,1343833
0.95,1347447
0.95,1347448
0.95,1347449
0.95,1347450
0.62,1336599
0.62,1340216
0.62,1340217
0.62,1343834
0.62,1343835
0.62,1343836
0.62,1347451
0.62,1347452
0.62,1347453
0.01,1351056
0.01,1351057
0.01,1351058
0.01,1351059
0.01,1354673
0.01,1354674
0.01,1354675
0.01,1354676
0.01,1358290
0.01,1358291
0.01,1358292
0.01,1358293
0.01,1361907
0.01,1361908
0.01,1361909
0.01,1361910
0.01,1365524
0.01,1365525
0.01,1365526
0.01,1365527
0.64,1351060
0.64,1351061
0.64,1351062
0.64,1354677
0.64,1354678
0.64,1354679
0.64,1354680
0.64,1358294
0.64,1358295
0.64,1358296
0.64,1358297
0.64,1361911
0.64,1361912
0.64,1361913
0.64,1361914
0.64,1365528
0.64,1365529
0.64,1365530
0.64,1365531
0.87,1351064
0.87,1351065
0.87,1351066
0.87,1351067
0.87,1354681
0.87,1354682
0.87,1354683
0.87,1354684
0.87,1358298
0.87,1358299
0.87,1358300
0.87,1358301
0.87,1361915
0.87,1361916
0.87,1361917
0.87,1361918
0.87,1365532
0.87,1365533
0.87,1365534
0.87,1365535
0.95,1351068
0.95,1351069
0.95,1351070
0.95,1351071
0.95,1354685
0.95,1354686
0.95,1354687
0.95,1354688
0.95,1358302
0.95,1358303
0.95,1358304
0.95,1358305
0.95,1361919
0.95,1361920
0.95,1361921
0.95,1361922
0.95,1365536
0.95,1365537
0.95,1365538
0.95,1365539
0.16,1365540
1,1376338
1,1379954
1,1379955
1,1383570
1,1383571
1,1383572
1,1387187
1,1387188
0.9,1372722
0.9,1372723
0.9,1372724
0.9,1372725
0.9,1376339
0.9,1376340
0.9,1376341
0.9,1376342
0.9,1379956
0.91,1372726
0.91,1376343
0.91,1376344
0.91,1376345
0.91,1376346
0.91,1379961
0.91,1379962
0.91,1379963
0.91,1383580
0.93,1379964
0.93,1383581
0.93,1383582
0.93,1383583
0.93,1383584
0.93,1387199
0.93,1387200
0.93,1387201
0.43,1369141
0.43,1369142
0.43,1369143
0.43,1369144
0.43,1372758
0.43,1372759
0.43,1372760
0.43,1372761
0.43,1376375
0.43,1376376
0.43,1376377
0.43,1376378
0.43,1379993
0.43,1379994
0.43,1379995
0.43,1379996
0.43,1383610
0.43,1383611
0.43,1383612
0.43,1387227
0.43,1387228
0.43,1387229
0.95,1369149
0.95,1369150
0.95,1369151
0.95,1369152
0.95,1372766
0.95,1372767
0.95,1372768
0.95,1372769
0.95,1372770
0.95,1376384
0.95,1376385
0.95,1376386
0.95,1376387
1,1369153
1,1369154
1,1369155
1,1369156
1,1372771
1,1372772
1,1372773
1,1372774
1,1376388
1,1376389
1,1376390
1,1376391
1,1380005
1,1380006
1,1380007
1,1380008
1,1383623
1,1383624
1,1383625
1,1387241
1,1387242
1,1369157
1,1369158
1,1372775
1,1372776
1,1372777
1,1376392
1,1376393
1,1376394
1,1376395
1,1380009
1,1380010
1,1380011
1,1383626
1,1383627
1,1383628
1,1387243
1,1387244
1,1387245
1,1387246
1,1405262
1,1398031
1,1398032
1,1401647
1,1401648
1,1401649
1,1405263
1,1405264
1,1405265
1,1394418
1,1394419
1,1398033
1,1398034
1,1398035
1,1398036
1,1390803
1,1390804
1,1394420
1,1394421
0.92,1390817
0.92,1390818
0.92,1394435
0.92,1401670
0.92,1405287
1,1390819
1,1390820
1,1390821
1,1394436
1,1394437
1,1394438
1,1398053
1,1398054
1,1398055
1,1401671
1,1401672
1,1405288
1,1405289
1,1405290
0.03,1390841
0.03,1390842
0.03,1390843
0.03,1394460
0.29,1390844
0.29,1390845
0.29,1390846
0.29,1390847
0.29,1394461
0.29,1394462
0.29,1394463
0.29,1394464
0.29,1398078
0.29,1398079
0.29,1398080
0.29,1398081
0.29,1401697
0.29,1401698
0.61,1394465
0.61,1394466
0.61,1398082
0.61,1398083
0.61,1398084
0.61,1401699
0.61,1401700
0.61,1401701
0.61,1401702
0.61,1405316
0.61,1405317
0.61,1405318
0.61,1405319
1,1390859
1,1390860
1,1390861
1,1390862
1,1390863
1,1394477
1,1394478
1,1394479
1,1394480
1,1398096
1,1398097
1,1401715
1,1390864
1,1394481
1,1394482
1,1398098
1,1398099
1,1398100
1,1398101
1,1401716
1,1401717
1,1401718
1,1401719
1,1405333
1,1405334
1,1405335
1,1405336
1,1405339
1,1405340
0.81,1416083
0.81,1416084
0.81,1419699
0.81,1419700
0.81,1419701
0.81,1423316
0.81,1423317
0.81,1423318
0.81,1426932
0.81,1426933
0.81,1426934
0.81,1426935
0.88,1408853
0.88,1408854
0.88,1412469
0.88,1412470
0.88,1412471
0.88,1416085
0.88,1416086
0.88,1416087
0.88,1416088
0.88,1416089
0.88,1419702
0.88,1419703
0.88,1419704
0.88,1419705
0.88,1419706
0.88,1423319
0.88,1423320
0.88,1423321
0.88,1426936
1,1419719
1,1419720
1,1423336
1,1423337
1,1423338
1,1423339
1,1426953
1,1426954
1,1426955
1,1426956
1,1423340
1,1423341
1,1423342
1,1423343
1,1426957
1,1426958
1,1426959
1,1426960
0.94,1408879
0.94,1412494
0.94,1412495
0.94,1412496
0.94,1416110
0.94,1416111
0.94,1416112
0.94,1419727
0.94,1419728
0.94,1419729
0.94,1423344
0.94,1423345
0.94,1423346
0.94,1426961
0.91,1426984
0.91,1426985
0.93,1408904
0.93,1423370
0.93,1423371
0.93,1423372
0.93,1426986
0.93,1426987
0.93,1426988
0.93,1426989
1,1408905
1,1408906
1,1408907
1,1412523
1,1412524
1,1412525
1,1416141
1,1416142
1,1419758
1,1419759
1,1423376
1,1426993
1,1416143
1,1419760
1,1423377
1,1426994
0.71,1408934
0.71,1408935
0.71,1408936
0.71,1408937
0.71,1412551
0.71,1412552
0.71,1412553
0.71,1412554
0.71,1416169
0.71,1416170
0.71,1416171
0.71,1419786
0.71,1419787
0.71,1419788
0.71,1423404
0.71,1423405
0.71,1427021
0.71,1427022
0.98,1416172
0.98,1419789
0.98,1423406
0.98,1427023
0.98,1427024
1,1408952
1,1408953
1,1427037
1,1427039
1,1408954
1,1408955
1,1408956
1,1408957
1,1412571
1,1412572
1,1412573
1,1412574
1,1416189
1,1416190
1,1416191
1,1419807
1,1419808
1,1423422
1,1423423
1,1423424
1,1423425
1,1423426
1,1427040
1,1427041
1,1427042
1,1427043
1,1408958
1,1408959
1,1412575
1,1412576
1,1412577
1,1412578
1,1416192
1,1416193
1,1416194
1,1416195
1,1419809
1,1419810
1,1419811
1,1419812
1,1419813
1,1423427
1,1423428
1,1423429
1,1423430
1,1427044
1,1427045
1,1427046
1,1427047
1,1416196
1,1419814
1,1419815
1,1423431
1,1423432
1,1423433
1,1427048
1,1427049
1,1427050
1,1427051
0.87,1430549
0.87,1430550
0.87,1430551
0.87,1430552
0.87,1434166
0.87,1434167
0.87,1434168
0.87,1437783
0.87,1437784
0.87,1437785
0.87,1441400
0.87,1441401
0.87,1445017
0.87,1445018
0.87,1445019
0.87,1445020
1,1441447
1,1441448
1,1441449
1,1445064
1,1445065
1,1430601
1,1430602
1,1434218
1,1434219
1,1437833
1,1437834
1,1437835
1,1437836
1,1441450
1,1441452
1,1441453
1,1430603
1,1430605
1,1430606
1,1434220
1,1434223
1,1437837
1,1437840
1,1441454
1,1445071
1,1445072
0.89,1430610
0.89,1434224
0.89,1434225
0.89,1434226
0.89,1434227
0.89,1437841
0.89,1437842
0.89,1437843
0.89,1437844
0.89,1441458
0.89,1441459
0.89,1441460
0.89,1441461
0.89,1441462
0.89,1445075
0.89,1445076
1,1430611
1,1430612
1,1430613
1,1434228
1,1434229
1,1434230
1,1437845
1,1437846
1,1437847
1,1437848
1,1437849
1,1441465
1,1441466
1,1445083
1,1441467
1,1445084
1,1445085
0.89,1430639
0.89,1434256
0.89,1437873
0.89,1441491
0.98,1430640
0.98,1430641
0.98,1434257
0.98,1434258
0.98,1437874
0.98,1437875
0.98,1437876
0.98,1441492
0.98,1441493
0.98,1445109
0.98,1445110
0.98,1445111
1,1430656
1,1430657
1,1430658
1,1430661
1,1430662
1,1430663
1,1430664
1,1434278
1,1434279
1,1434280
1,1434281
1,1437895
1,1437897
1,1437898
1,1441514
1,1441515
1,1430665
1,1430666
1,1430667
1,1430668
1,1434282
1,1434283
1,1434284
1,1434285
1,1437899
1,1437901
1,1437902
1,1441519
1,1430669
1,1430670
1,1434286
1,1434287
1,1434288
1,1434289
1,1437903
1,1437904
1,1437905
1,1437906
1,1441520
1,1441521
1,1441522
1,1441523
1,1441524
1,1445141
1,1437907
1,1441525
1,1441526
1,1445142
1,1445143
1,1445144
1,1448635
1,1448636
1,1448637
1,1452252
1,1452253
1,1452254
1,1455870
1,1455871
1,1459486
1,1459487
1,1459488
1,1463103
1,1463104
1,1466721
1,1466722
1,1448680
1,1448681
1,1452297
1,1452298
1,1455914
1,1455915
1,1459531
1,1459532
1,1463148
1,1463149
1,1463150
1,1466765
1,1466766
1,1466767
1,1455922
1,1463156
1,1466773
0.91,1448688
0.91,1448689
0.91,1448692
0.91,1452305
0.91,1452306
0.91,1455923
0.91,1459540
0.91,1463157
0.91,1466774
0.88,1448693
0.88,1452310
0.88,1452311
0.88,1452312
0.88,1455928
0.88,1455929
0.89,1452316
0.89,1452317
0.89,1455933
0.89,1455934
1,1448701
1,1448702
1,1452318
1,1452319
1,1452320
1,1452321
1,1455935
1,1455936
1,1455938
1,1459553
1,1459555
1,1452322
1,1455939
1,1455940
1,1459556
1,1459557
1,1459558
1,1463174
1,1463175
1,1466792
1,1466793
1,1466794
1,1448727
1,1448728
1,1448729
1,1452345
1,1452346
1,1455963
1,1448730
1,1452347
1,1452348
1,1455964
1,1455965
1,1455966
1,1455967
1,1459581
1,1459582
1,1459583
1,1459584
1,1463200
1,1463201
1,1466817
1,1466818
1,1466819
1,1463202
1,1463206
1,1466820
1,1466821
1,1466822
1,1466823
1,1455974
1,1459591
1,1466824
1,1466825
1,1466826
1,1466827
1,1452361
1,1466828
1,1466829
1,1448760
1,1448761
1,1448762
1,1452378
1,1452379
1,1448763
1,1448764
1,1452380
1,1452381
1,1455997
1,1455998
1,1455999
1,1456000
1,1459616
1,1459617
1,1459618
1,1463234
1,1463235
1,1466852
1,1463236
1,1466853
1,1466854
1,1484800
1,1477570
1,1481185
1,1481186
1,1481187
1,1484801
1,1484802
1,1484803
1,1470338
1,1470339
1,1473954
1,1473955
1,1477571
1,1477572
1,1470382
1,1470383
1,1470384
1,1474000
1,1474001
1,1477617
1,1477618
1,1481234
1,1481235
1,1481236
1,1481237
1,1484852
1,1484853
0.99,1470390
0.99,1474007
0.99,1477624
0.99,1481240
0.99,1481241
0.99,1484857
0.99,1484858
0.08,1470410
0.08,1470411
0.08,1474028
1,1470412
1,1474029
1,1474030
1,1477647
1,1477648
1,1481264
1,1481265
1,1481266
1,1484882
1,1484883
1,1484884
1,1470437
1,1470438
1,1470439
1,1470440
1,1470441
1,1470442
1,1470443
1,1470444
1,1481295
1,1484912
1,1484913
1,1470445
1,1470446
1,1470447
1,1474063
1,1474064
1,1474065
1,1477680
1,1477681
1,1477682
1,1481296
1,1481297
1,1481298
1,1481299
1,1484914
1,1484915
1,1484916
1,1484917
0.76,1470470
0.76,1470471
0.76,1470472
0.76,1474088
0.76,1474089
0.76,1474090
0.76,1477707
0.76,1477708
0.76,1481324
0.76,1481325
0.76,1484941
0.76,1484942
1,1474091
1,1474092
1,1477709
1,1481326
1,1484943
0.18,1506489
0.55,1502874
0.55,1502875
0.55,1502876
0.55,1506490
0.55,1506491
0.55,1506492
1,1499260
1,1499261
1,1499262
1,1499263
1,1502877
1,1502878
1,1502879
1,1502880
1,1488415
1,1488416
1,1488417
1,1492032
1,1492033
1,1492034
1,1495647
1,1495648
1,1495649
1,1499264
1,1499265
1,1502881
0.97,1502933
0.97,1502934
0.97,1502935
0.97,1506550
0.97,1506551
0.97,1506552
1,1488469
1,1488470
1,1488471
1,1492088
1,1495705
1,1499322
1,1502939
1,1506553
1,1506555
1,1506556
1,1488472
1,1488473
1,1488474
1,1488475
1,1492089
1,1492090
1,1492091
1,1492092
1,1495706
1,1495707
1,1495708
1,1495709
1,1499323
1,1499324
1,1499325
1,1499326
1,1502940
1,1502941
1,1502943
1,1506561
0.99,1488476
0.99,1492093
0.99,1495710
0.99,1495711
0.99,1499327
0.99,1499328
0.99,1502944
0.99,1502945
0.99,1502946
0.99,1506562
0.99,1506563
1,1488501
1,1488502
1,1492118
1,1492119
1,1492120
1,1492121
1,1492122
1,1495738
1,1495739
1,1499355
1,1499356
1,1495741
1,1495742
1,1495743
1,1499357
1,1499358
1,1499359
1,1499360
1,1502974
1,1502975
1,1502977
1,1499361
1,1499362
1,1499363
1,1502978
1,1502979
1,1502980
1,1502981
1,1506597
1,1506598
1,1488531
1,1488532
1,1488533
1,1488534
1,1492148
1,1492149
1,1492150
1,1492151
1,1495766
1,1495767
1,1495768
1,1492152
1,1495769
1,1495770
1,1499386
1,1499387
1,1499388
1,1499389
1,1503005
1,1503006
1,1503007
1,1503008
1,1503009
1,1506625
1,1506626
1,1506627
1,1488558
1,1488559
1,1492175
1,1492176
1,1495792
1,1495793
1,1499410
1,1503027
1,1506644
1,1506645
1,1495794
1,1499411
1,1503028
0.38,1510107
1,1510166
1,1510167
1,1510168
1,1510169
1,1513784
1,1513785
1,1513786
1,1517400
1,1517401
1,1521017
1,1521018
1,1524634
1,1524635
1,1524636
1,1510170
1,1510171
1,1510172
1,1510173
1,1513787
1,1513788
0.99,1510179
0.99,1510180
0.99,1510181
0.99,1513796
0.99,1513797
0.99,1513798
0.99,1517414
0.99,1517415
0.99,1521031
0.99,1521032
0.99,1524649
0.99,1524650
0.93,1510206
0.93,1510207
0.93,1513823
0.93,1513824
0.98,1510208
0.98,1513828
0.98,1517445
1,1510215
1,1513829
1,1513833
1,1517446
1,1517448
1,1517449
1,1517450
1,1521065
1,1521066
1,1521067
1,1510216
1,1513834
1,1513835
1,1513836
1,1517451
1,1517452
1,1517453
1,1517454
1,1521070
1,1521071
1,1524686
1,1524687
1,1524688
1,1521072
1,1521073
1,1521074
1,1524689
1,1524690
1,1524691
1,1524692
1,1510243
1,1510244
1,1510245
1,1513862
1,1513863
1,1513864
1,1517480
1,1517481
1,1517482
1,1517483
1,1521099
1,1521100
1,1521101
1,1524718
1,1517484
1,1521102
1,1524719
1,1524720
1,1510261
1,1510262
1,1513877
1,1513878
1,1513879
1,1517494
1,1517495
1,1521112
1,1524729
1,1524730
0.14,1521142
0.14,1521143
0.14,1524758
0.14,1524759
0.14,1524760
0.98,1528187
0.98,1531804
0.98,1535420
0.98,1535421
0.98,1539036
0.98,1539037
0.98,1539038
0.98,1542653
0.98,1542654
0.98,1542655
0.98,1546269
0.98,1546270
0.98,1546271
0.98,1546272
1,1528188
1,1528189
1,1528190
1,1531805
1,1531806
1,1531807
1,1535422
1,1535423
1,1539039
1,1542656
1,1546276
0.25,1546295
1,1542684
1,1542685
1,1546300
1,1546301
1,1546302
1,1542686
1,1542687
1,1546303
1,1546304
1,1546305
1,1528252
1,1528253
1,1528254
1,1531870
1,1531871
1,1535488
1,1535489
1,1539105
1,1539106
1,1542722
1,1542723
1,1546338
1,1546339
1,1546340
0.95,1528266
0.95,1528267
0.95,1531882
0.95,1531883
0.95,1531884
0.95,1535499
0.95,1535500
0.95,1539116
0.95,1539117
0.95,1542733
0.95,1542734
0.95,1546351
1,1528309
1,1531926
1,1531927
1,1535543
1,1535544
1,1539159
1,1539160
1,1539161
1,1542778
1,1528310
1,1542779
1,1542780
1,1546397
1,1546398
1,1546399
1,1546400
1,1546401
0.78,1528326
0.78,1531943
0.78,1535559
0.78,1535560
0.78,1539176
0.78,1539177
0.78,1542792
0.78,1542793
0.78,1542794
0.78,1546409
0.78,1546410
0.82,1528327
0.82,1528328
0.82,1528329
0.82,1528330
0.82,1531944
0.82,1531945
0.82,1531946
0.82,1531947
0.82,1535563
0.82,1535564
0.82,1535565
0.82,1539182
0.87,1535566
0.87,1535567
0.87,1535568
0.87,1539183
0.87,1539184
0.87,1539185
0.87,1539186
0.87,1542802
0.87,1542803
0.87,1546420
1,1528336
1,1528337
1,1528338
1,1531954
1,1531955
1,1531956
1,1535572
1,1535573
1,1539190
1,1542804
1,1542808
1,1546421
1,1546425
1,1535574
1,1539191
1,1542809
1,1546426
1,1528346
1,1528347
1,1531963
1,1531964
1,1531965
1,1535580
1,1535581
1,1535582
1,1539198
1,1539199
1,1542816
1,1528348
1,1539200
1,1542817
1,1542818
1,1542819
1,1546435
1,1546436
1,1546437
0.29,1528374
0.29,1528375
0.29,1528376
0.29,1528377
0.29,1531991
0.29,1531992
0.29,1531993
0.29,1531994
0.29,1535609
0.29,1535610
0.29,1535611
0.29,1539225
0.29,1539226
0.29,1539227
0.29,1539228
0.29,1539229
0.29,1542842
0.29,1542843
0.29,1542844
0.29,1546460
0.29,1546461
0.22,1531995
0.22,1535612
0.22,1535613
0.22,1535616
0.22,1539230
0.22,1539231
0.22,1539232
0.22,1539233
0.22,1542848
0.22,1542849
0.22,1542850
0.22,1546465
0.22,1546466
0.22,1546467
1,1549885
1,1553501
1,1553502
1,1557118
1,1557119
1,1560734
1,1560735
1,1560736
1,1564351
1,1564352
1,1564353
1,1567967
1,1567968
1,1567969
1,1567970
1,1549886
1,1549887
1,1549888
1,1553503
1,1553504
1,1557120
1,1549891
1,1553507
1,1553508
1,1557124
1,1557125
1,1557140
1,1560756
1,1560757
1,1564373
1,1564374
1,1567990
1,1567991
1,1549909
1,1549910
1,1553525
1,1553526
1,1553527
1,1557141
1,1557142
1,1560758
1,1564376
1,1567992
1,1567993
1,1567994
1,1549911
1,1549912
1,1549913
1,1553528
1,1553529
1,1553530
1,1553531
1,1557146
1,1557147
1,1557148
1,1564382
1,1567998
1,1567999
1,1549917
1,1549918
1,1549919
1,1553534
1,1553535
1,1553536
1,1557149
1,1557150
1,1557151
1,1560766
1,1560767
1,1564383
1,1564384
1,1568000
1,1568001
1,1549921
1,1549922
1,1553537
1,1553538
1,1553539
1,1553540
1,1557154
1,1557155
1,1557156
1,1549955
1,1549956
1,1553572
1,1553573
1,1553574
1,1557190
1,1557191
1,1560807
1,1560808
1,1564425
1,1568041
1,1568042
1,1553575
1,1557192
1,1560809
1,1549967
1,1549968
1,1553585
1,1557201
1,1557202
1,1560818
1,1560819
1,1564435
1,1564436
1,1568052
1,1568053
0.94,1550014
0.94,1550015
0.94,1550016
0.94,1550017
0.94,1550018
0.94,1550019
0.94,1553635
0.94,1553636
0.94,1557253
0.94,1557254
0.94,1560870
0.94,1560871
0.94,1564487
0.94,1564488
0.94,1568105
0.94,1568106
0.77,1550026
0.77,1550027
0.77,1553643
0.77,1553644
0.77,1557260
0.77,1560877
0.77,1560878
0.77,1560879
0.77,1564494
0.77,1564495
0.77,1564496
0.77,1564497
0.77,1564498
0.77,1568114
0.77,1568115
0.82,1568116
0.97,1550039
0.97,1550042
0.97,1553656
0.97,1553657
0.97,1553658
0.97,1553659
0.97,1557273
0.97,1557274
0.97,1557275
0.97,1557276
0.98,1553667
0.98,1557285
1,1550053
1,1550054
1,1550055
1,1553668
1,1553669
1,1553670
1,1553671
1,1553672
1,1557286
1,1557287
1,1557288
1,1557289
1,1560903
1,1560904
1,1560905
1,1560906
1,1564520
1,1564521
1,1564522
1,1564523
1,1568139
1,1568140
1,1560907
1,1560908
1,1564524
1,1564525
1,1568141
1,1568142
1,1568143
0.29,1550077
0.29,1550078
0.29,1550079
0.29,1553695
0.29,1553696
0.29,1553697
0.29,1557313
0.29,1557314
0.29,1560931
0.29,1560932
0.29,1564548
0.29,1564549
0.29,1568166
0.16,1550083
0.16,1550084
0.16,1553701
0.16,1564550
0.16,1568167
0.16,1568168
1,1571584
1,1571585
1,1571586
1,1575201
1,1575202
1,1575203
1,1578819
1,1578820
1,1582436
1,1582437
1,1582438
1,1586053
1,1586054
1,1586055
1,1582449
1,1582450
1,1586066
1,1586067
1,1582451
1,1582452
1,1586068
1,1586069
1,1586070
1,1571609
1,1571610
1,1571611
1,1575227
1,1575228
1,1575229
1,1578845
1,1578846
1,1582463
1,1586080
1,1571615
1,1571616
1,1575230
1,1575231
1,1575232
1,1575233
1,1578847
1,1578848
1,1582464
1,1586081
1,1571658
1,1571659
1,1575275
1,1575276
1,1578891
1,1578892
1,1578893
1,1582508
1,1582509
1,1582510
1,1586125
1,1586126
1,1586127
1,1578898
1,1582511
1,1582515
1,1586128
1,1586132
1,1578899
1,1578900
1,1578901
1,1582516
1,1582517
1,1582518
1,1582519
1,1586133
1,1586134
1,1586135
1,1586136
1,1571669
1,1571670
1,1575286
1,1575287
1,1578903
1,1578904
1,1582520
1,1582521
1,1586137
1,1571724
1,1575341
1,1578958
1,1582576
1,1586193
0.86,1571733
0.86,1571734
0.86,1575350
0.86,1575351
0.86,1578967
0.86,1578968
0.86,1582585
0.86,1586202
0.86,1586203
0.94,1571756
0.94,1571757
0.94,1575374
0.94,1575375
0.99,1571758
0.99,1571759
0.99,1571760
0.99,1575376
0.99,1575377
0.99,1575378
0.99,1578993
0.99,1578994
0.99,1578995
0.99,1578996
0.99,1582610
0.99,1582611
0.99,1582613
1,1582614
1,1586231
1,1586232
1,1586233
1,1586234
1,1586235
1,1586236
0.2,1575400
0.2,1579016
0.2,1579017
0.2,1582634
0.2,1586252
0.17,1571784
0.17,1571785
0.17,1571786
0.17,1575401
0.17,1575402
0.17,1575403
0.17,1575404
0.17,1579018
0.17,1579019
0.17,1579020
0.17,1579021
0.17,1579022
0.17,1582635
0.17,1582636
0.17,1582637
0.17,1582638
0.17,1582639
0.17,1586253
0.17,1586254
0.17,1586255
0.17,1586256
0.12,1571792
0.12,1575408
0.12,1575409
0.12,1579023
0.12,1579024
0.12,1579025
0.12,1579026
0.12,1582640
0.12,1582641
0.12,1582642
0.12,1582643
0.12,1586257
0.12,1586258
0.12,1586259
0.12,1586260
0.12,1571793
0.12,1575410
0.12,1575411
0.12,1575412
0.12,1579027
0.12,1586261
0.12,1586262
0.21,1571800
0.21,1586265
0.46,1571809
0.46,1575425
0.46,1575426
0.46,1579042
0.46,1579043
0.46,1582659
0.46,1582660
0.46,1586276
0.46,1586277
0.42,1571810
0.42,1571811
0.42,1571812
0.42,1571813
0.42,1575427
0.42,1575428
0.42,1575429
0.42,1575430
0.42,1579044
0.42,1579045
0.42,1579046
0.42,1579047
0.42,1582662
0.42,1582663
0.42,1586278
0.42,1586279
0.42,1586282
0.4,1571814
0.4,1571815
0.4,1571816
0.4,1575431
0.4,1575432
0.4,1575433
0.4,1579048
0.4,1579049
0.4,1579050
0.4,1582665
0.4,1582666
0.4,1582667
0.4,1582668
0.4,1586283
0.4,1586284
0.4,1586285
0.98,1589671
0.98,1589672
0.98,1593288
0.98,1593289
0.98,1604140
0.98,1607755
0.98,1607756
0.98,1607757
0.97,1589673
0.97,1593290
0.97,1593291
0.97,1596907
0.97,1596908
0.97,1596909
0.97,1600524
0.97,1600525
0.97,1600526
0.97,1604141
0.97,1604142
0.97,1589682
0.97,1589683
0.97,1593299
0.97,1593300
0.97,1593301
0.97,1596916
0.97,1596917
0.97,1596918
0.97,1596919
0.97,1600535
0.97,1600536
0.97,1604152
0.97,1604153
0.97,1607769
0.97,1607770
0.97,1589685
0.97,1589686
0.97,1589687
0.97,1593302
0.97,1593303
0.97,1600537
0.97,1604154
0.97,1589743
0.97,1589744
0.97,1593361
0.97,1593362
1,1589745
1,1589746
1,1589749
1,1593363
1,1593364
1,1593365
1,1593366
1,1596980
1,1596981
1,1596982
1,1589750
1,1593367
1,1604263
1,1604264
1,1607880
1,1607881
1,1604265
1,1604266
1,1604267
1,1604268
1,1604269
1,1607882
1,1607883
1,1607884
1,1607885
1,1607886
1,1593419
1,1593420
1,1597036
1,1597037
1,1600653
1,1600654
1,1604270
1,1607887
1,1597043
1,1600659
1,1600660
1,1604276
1,1604277
1,1607893
1,1607894
1,1589810
1,1589811
1,1593427
1,1593428
1,1597044
1,1597045
1,1600661
1,1600662
0.89,1593432
0.89,1593433
0.89,1593434
0.89,1597048
0.89,1597049
0.89,1597050
0.89,1600665
0.89,1600666
0.89,1604282
0.89,1604283
0.89,1607900
0.94,1589819
0.94,1589820
0.94,1593435
0.94,1593436
0.94,1593437
1,1589849
1,1589850
1,1589851
1,1589852
1,1593466
1,1593467
1,1593468
1,1593469
1,1597083
1,1597084
1,1597085
1,1600700
1,1600701
1,1600702
1,1600703
1,1604317
1,1604318
1,1604319
1,1604320
1,1607934
1,1607935
1,1607936
1,1607937
1,1589853
1,1593470
1,1593471
1,1604321
1,1607938
1,1607939
1,1607941
0.46,1589869
0.46,1593483
0.46,1593484
0.46,1593485
0.46,1593486
0.46,1597100
0.46,1597101
0.46,1597102
0.46,1597103
0.19,1589870
0.19,1589871
0.19,1589872
0.19,1589873
0.19,1593487
0.19,1593488
0.19,1593490
0.19,1597104
0.19,1597105
0.19,1597106
0.19,1600721
0.19,1600722
0.19,1600723
0.19,1600724
0.19,1600725
0.19,1604339
0.19,1604340
0.19,1604341
0.19,1604342
0.19,1607958
0.19,1607959
0.2,1589874
0.2,1593491
0.2,1597108
0.2,1597109
0.2,1597110
0.2,1600727
0.2,1600728
0.2,1600729
0.2,1607960
0.25,1589881
0.25,1589882
0.25,1593498
0.25,1593499
0.25,1597115
0.25,1597116
0.25,1600730
0.25,1600731
0.25,1600732
0.25,1600733
0.25,1604348
0.25,1604349
0.25,1607965
0.25,1607966
0.41,1589883
0.41,1593500
0.41,1593501
0.41,1597117
0.41,1597118
0.41,1597119
0.41,1600734
0.41,1600735
0.96,1604360
0.96,1604361
0.96,1604362
0.96,1604363
0.96,1607977
0.96,1607978
0.96,1607979
0.96,1607980
1,1589896
1,1589897
1,1589898
1,1589899
1,1593515
1,1593516
1,1600749
1,1600750
1,1604364
1,1604365
1,1604366
1,1604367
1,1607981
1,1607982
1,1607983
1,1607984
0.88,1589900
0.88,1589901
0.88,1589902
0.88,1593517
0.88,1593518
0.88,1593519
0.88,1593520
0.88,1597135
0.88,1597136
0.88,1597137
0.88,1600751
0.88,1600752
0.88,1600753
0.88,1600754
0.88,1604368
0.88,1604369
0.88,1604370
0.88,1604371
0.88,1607986
0.88,1607987
0.88,1607988
0.88,1607989
0.68,1593521
0.68,1597138
0.93,1622220
0.93,1625837
0.93,1629453
0.93,1629454
0.92,1611371
0.92,1611372
0.92,1611373
0.92,1611374
0.92,1614987
0.92,1614988
0.92,1614989
0.92,1618604
