prob,cell_id
0.01,1509493
0.01,1509494
0.01,1509495
0.01,1509496
0.01,1513109
0.01,1513110
0.01,1513111
0.01,1513112
0.01,1516725
0.01,1516726
0.01,1516727
0.01,1516729
0.01,1520342
0.01,1520343
0.01,1523958
0.01,1523959
0.01,1509497
0.01,1509498
0.01,1509499
0.01,1509500
0.01,1513113
0.01,1513114
0.01,1513115
0.01,1513116
0.01,1516730
0.01,1516731
0.01,1516732
0.01,1516733
0.01,1520346
0.01,1520347
0.01,1520348
0.01,1520349
0.03,1527558
0.03,1527559
0.03,1527560
0.03,1527561
0.03,1531175
0.03,1531176
0.03,1531177
0.03,1531178
0.03,1534791
0.03,1534792
0.03,1534793
0.03,1534794
0.03,1538407
0.03,1538408
0.03,1538409
0.03,1538410
0.03,1538411
0.03,1542024
0.03,1542025
0.03,1542026
0.03,1542027
0.03,1545640
0.03,1545641
0.03,1545642
0.03,1545643
0.03,1545644
0.06,1527562
0.06,1527563
0.06,1527564
0.06,1527565
0.06,1527566
0.06,1531179
0.06,1531180
0.06,1531181
0.06,1531182
0.06,1534795
0.06,1534796
0.06,1534797
0.06,1534798
0.06,1538412
0.06,1538413
0.06,1538414
0.06,1538415
0.06,1542028
0.06,1542029
0.06,1542030
0.06,1542031
0.06,1545645
0.06,1545646
0.06,1545647
0.06,1545648
0.08,1527567
0.08,1527568
0.08,1527569
0.08,1527570
0.08,1531183
0.08,1531184
0.08,1531185
0.08,1531186
0.08,1534799
0.08,1534800
0.08,1534801
0.08,1534802
0.08,1534803
0.08,1538416
0.08,1538417
0.08,1538418
0.08,1538419
0.08,1542032
0.08,1542033
0.08,1542034
0.08,1542035
0.08,1542036
0.08,1545649
0.08,1545650
0.08,1545651
0.08,1545652
0.09,1527571
0.09,1527572
0.09,1527573
0.09,1527574
0.09,1531187
0.09,1531188
0.09,1531189
0.09,1531190
0.09,1534804
0.09,1534805
0.09,1534806
0.09,1538420
0.09,1538421
0.09,1538422
0.09,1538423
0.09,1545653
0.07,1527596
0.07,1527597
0.07,1531213
0.07,1549255
0.07,1549256
0.07,1552872
0.07,1556488
0.07,1556489
0.07,1560104
0.07,1560105
0.07,1563719
0.07,1563720
0.07,1563721
0.07,1563722
0.07,1567335
0.07,1567336
0.07,1567337
0.07,1567338
0.09,1549257
0.09,1549258
0.09,1549259
0.09,1549260
0.09,1552873
0.09,1552874
0.09,1552875
0.09,1552876
0.09,1552877
0.09,1556490
0.09,1556491
0.09,1556492
0.09,1556493
0.09,1560106
0.09,1560107
0.09,1560108
0.09,1560109
0.09,1560110
0.09,1563723
0.09,1563724
0.09,1563725
0.09,1563726
0.09,1567339
0.09,1567340
0.09,1567341
0.09,1567342
0.09,1567343
0.12,1549261
0.12,1549262
0.12,1549263
0.12,1549264
0.12,1552878
0.12,1552879
0.12,1552880
0.12,1552881
0.12,1556494
0.12,1556495
0.12,1556496
0.12,1556497
0.12,1560111
0.12,1560112
0.12,1560113
0.12,1560114
0.12,1563727
0.12,1563728
0.12,1563729
0.12,1563730
0.12,1567344
0.12,1567345
0.12,1567346
0.12,1567347
0.15,1549265
0.15,1549266
0.15,1549267
0.15,1549268
0.15,1549269
0.15,1552882
0.15,1552883
0.15,1552884
0.15,1552885
0.15,1556498
0.15,1556500
0.15,1556501
0.15,1556502
0.15,1560115
0.15,1563731
0.15,1563732
0.15,1567348
0.15,1567349
0.07,1549296
0.07,1549297
0.11,1570952
0.11,1570953
0.11,1570954
0.11,1570955
0.11,1574568
0.11,1574569
0.11,1574570
0.11,1574571
0.11,1578185
0.11,1578186
0.11,1578187
0.11,1578188
0.11,1581801
0.11,1581802
0.11,1581803
0.11,1581804
0.11,1585418
0.11,1585419
0.11,1585420
0.11,1585421
0.14,1570956
0.14,1570957
0.14,1570958
0.14,1570959
0.14,1574572
0.14,1574573
0.14,1574574
0.14,1574575
0.14,1574576
0.14,1578189
0.14,1578190
0.14,1578191
0.14,1578192
0.14,1581805
0.14,1581806
0.14,1581807
0.14,1581808
0.14,1581809
0.14,1585422
0.14,1585423
0.14,1585424
0.14,1585425
0.18,1570960
0.18,1570961
0.18,1570962
0.18,1570963
0.18,1574577
0.18,1574578
0.18,1574579
0.18,1574580
0.18,1578193
0.18,1578194
0.18,1578195
0.18,1581810
0.18,1581811
0.18,1585426
0.18,1585427
0.18,1585428
0.22,1570964
0.22,1570965
0.22,1570966
0.22,1574581
0.01,1589026
0.01,1589027
0.01,1589028
0.01,1589029
0.01,1592643
0.01,1592644
0.01,1592645
0.01,1596261
0.01,1596262
0.01,1599878
0.01,1603493
0.01,1603494
0.01,1603495
0.01,1607110
0.01,1607111
0.1,1589030
0.1,1589031
0.1,1589032
0.1,1589033
0.1,1592646
0.1,1592647
0.1,1592648
0.1,1592649
0.1,1592650
0.1,1596263
0.1,1596264
0.1,1596265
0.1,1596266
0.1,1599879
0.1,1599880
0.1,1599881
0.1,1599882
0.1,1599883
0.1,1603496
0.1,1603497
0.1,1603498
0.1,1603499
0.1,1607112
0.1,1607113
0.1,1607114
0.1,1607115
0.1,1607116
0.17,1589034
0.17,1589035
0.17,1589036
0.17,1589037
0.17,1592651
0.17,1592652
0.17,1592653
0.17,1592654
0.17,1596267
0.17,1596268
0.17,1596269
0.17,1596270
0.17,1599884
0.17,1599885
0.17,1599886
0.17,1599887
0.17,1603500
0.17,1603501
0.17,1603502
0.17,1603503
0.17,1607117
0.17,1607118
0.17,1607119
0.17,1607120
0.21,1589038
0.21,1589039
0.21,1589040
0.21,1589041
0.21,1589042
0.21,1592655
0.21,1592656
0.21,1592657
0.21,1592658
0.21,1596271
0.21,1596272
0.21,1596273
0.21,1596274
0.21,1596275
0.21,1599888
0.21,1599889
0.21,1599890
0.21,1599891
0.21,1603504
0.21,1603505
0.21,1603506
0.21,1603507
0.21,1607121
0.21,1607122
0.21,1607123
0.24,1589043
0.24,1592659
0.24,1592660
0.07,1610727
0.07,1610728
0.07,1614344
0.07,1617959
0.07,1617960
0.07,1617961
0.07,1621575
0.07,1621576
0.07,1621577
0.07,1625191
0.07,1625192
0.07,1625193
0.07,1625194
0.07,1628807
0.07,1628808
0.07,1628809
0.07,1628810
0.18,1610729
0.18,1610730
0.18,1610731
0.18,1610732
0.18,1614345
0.18,1614346
0.18,1614347
0.18,1614348
0.18,1614349
0.18,1617962
0.18,1617963
0.18,1617964
0.18,1617965
0.18,1621578
0.18,1621579
0.18,1621580
0.18,1621581
0.18,1621582
0.18,1625195
0.18,1625196
0.18,1625197
0.18,1625198
0.18,1628811
0.18,1628812
0.18,1628813
0.18,1628814
0.18,1628815
0.23,1610733
0.23,1610734
0.23,1610735
0.23,1610736
0.23,1614350
0.23,1614351
0.23,1614352
0.23,1614353
0.23,1617966
0.23,1617967
0.23,1617968
0.23,1621583
0.23,1621584
0.23,1621585
0.23,1625199
0.23,1625200
0.23,1625201
0.23,1628816
0.27,1610737
0.27,1610738
0.27,1610739
0.27,1614354
0.21,1632424
0.21,1632425
0.21,1632426
0.21,1632427
0.21,1636040
0.21,1636041
0.21,1636042
0.21,1636043
0.21,1639657
0.21,1639658
0.21,1639659
0.21,1639660
0.21,1643273
0.21,1643274
0.21,1643275
0.21,1643276
0.21,1646890
0.21,1646891
0.21,1646892
0.21,1646893
0.25,1632428
0.25,1632429
0.25,1632430
0.25,1632431
0.25,1636044
0.25,1636045
0.25,1636046
0.25,1636047
0.25,1636048
0.25,1639661
0.25,1639662
0.25,1639663
0.25,1639664
0.25,1643277
0.25,1643278
0.25,1643279
0.25,1643280
0.25,1643281
0.25,1646894
0.25,1646895
0.25,1646896
0.25,1646897
0.29,1632432
0.29,1632433
0.29,1636049
0.29,1639665
0.06,1650502
0.06,1650503
0.06,1650504
0.06,1650505
0.06,1654118
0.06,1654119
0.06,1654120
0.06,1654121
0.06,1654122
0.06,1657735
0.06,1657736
0.06,1657737
0.06,1657738
0.06,1661351
0.06,1661352
0.06,1661353
0.06,1661354
0.06,1661355
0.06,1664968
0.06,1664969
0.06,1664970
0.06,1664971
0.06,1668584
0.06,1668585
0.06,1668586
0.06,1668587
0.06,1668588
0.27,1650506
0.27,1650507
0.27,1650508
0.27,1650509
0.27,1654123
0.27,1654124
0.27,1654125
0.27,1654126
0.27,1657739
0.27,1657740
0.27,1657741
0.27,1657742
0.27,1661356
0.27,1661357
0.27,1661358
