prob,cell_id
0.39,1041148
0.39,1044764
0.39,1044765
0.39,1044766
0.39,1044767
0.39,1041149
0.39,1044768
0.39,1044769
0.39,1044770
0.31,1048381
0.31,1048382
0.31,1052000
0.31,1052001
0.54,1048390
0.54,1048391
0.54,1055628
0.54,1055629
0.54,1055630
0.54,1059247
0.54,1059248
0.54,1059249
0.54,1062865
0.54,1062866
0.54,1062867
0.54,1062868
0.63,1052014
0.63,1052015
0.63,1055631
0.63,1055632
0.63,1055633
0.63,1059250
0.63,1059251
0.63,1059252
0.63,1062869
0.63,1062870
0.03,1078365
0.4,1078366
0.4,1078367
0.4,1078368
0.45,1074755
0.45,1074756
0.45,1074757
0.45,1078370
0.45,1078371
0.45,1078372
0.45,1078373
0.45,1074758
0.45,1074759
0.45,1074760
0.45,1074761
0.45,1078374
0.45,1078375
0.45,1078376
0.35,1071149
0.35,1074762
0.35,1074763
0.35,1074764
0.35,1074765
0.35,1078377
0.35,1078378
0.35,1078379
0.35,1078380
0.54,1066482
0.54,1066483
0.54,1070100
0.54,1070101
0.54,1070102
0.61,1066501
0.61,1066502
0.61,1070119
0.61,1070120
0.52,1066503
0.52,1066504
0.52,1070121
0.39,1077368
0.39,1080987
0.39,1080988
0.32,1077370
0.32,1077371
0.32,1077372
0.32,1077373
0.32,1080989
0.32,1080990
0.32,1080991
0.24,1080992
0.24,1080993
0.24,1080994
0.27,1080996
0.27,1080997
0.27,1080998
0.25,1085581
0.25,1096426
0.67,1085582
0.67,1085583
0.67,1089197
0.67,1089198
0.67,1089199
0.67,1089200
0.67,1092814
0.67,1092815
0.67,1096427
0.67,1096428
0.67,1096429
0.67,1096430
0.62,1081970
0.62,1081971
0.62,1081972
0.62,1081973
0.62,1085587
0.62,1085588
0.62,1089201
0.62,1089202
0.62,1089203
0.62,1092816
0.62,1092818
0.62,1092819
0.62,1096431
0.62,1096433
0.62,1096434
0.39,1081981
0.39,1081982
0.39,1081983
0.39,1081984
0.39,1085597
0.39,1085598
0.39,1085599
0.39,1089212
0.39,1089213
0.39,1089214
0.39,1089215
0.39,1092827
0.39,1092828
0.39,1092829
0.39,1092830
0.39,1096442
0.39,1096443
0.39,1096444
0.39,1096445
0.42,1081989
0.42,1081990
0.42,1081991
0.42,1085604
0.42,1085605
0.42,1085607
0.42,1089219
0.42,1089220
0.42,1092834
0.7,1081992
0.7,1081993
0.7,1081994
0.7,1081995
0.64,1088222
0.18,1084608
0.18,1084609
0.18,1088226
0.18,1088227
0.18,1088228
0.18,1088229
0.18,1091848
0.34,1084615
0.34,1084616
0.34,1088234
0.34,1091855
0.34,1095471
0.34,1095472
0.34,1095473
0.34,1095474
0.34,1099090
0.34,1099091
0.34,1099092
0.34,1099093
0.35,1084621
0.35,1088239
0.35,1088240
0.35,1095475
0.35,1095476
0.35,1095477
0.35,1099094
0.35,1099095
0.35,1099096
0.35,1099097
0.26,1084622
0.26,1084623
0.26,1084624
0.26,1084625
0.26,1088241
0.26,1088242
0.27,1100040
0.27,1100041
0.27,1100042
0.27,1103654
0.27,1103655
0.27,1103656
0.27,1103657
0.27,1107270
0.27,1107271
0.27,1107272
0.27,1110887
0.27,1103658
0.27,1103659
0.27,1107273
0.27,1107274
0.27,1107275
0.27,1110888
0.27,1110889
0.57,1100046
0.57,1100047
0.27,1102710
0.27,1102711
0.27,1102712
0.27,1106330
0.42,1102716
0.42,1102717
0.42,1102718
0.42,1106335
0.46,1449781
0.46,1449782
0.46,1453397
0.46,1453398
0.46,1457015
0.46,1457016
0.46,1460633
0.46,1460634
0.46,1467869
0.56,1449784
0.56,1449785
0.56,1449786
0.56,1453404
0.27,1449787
0.27,1449788
0.27,1449789
0.27,1453405
0.27,1453406
0.27,1453407
0.27,1453408
0.27,1457024
0.27,1457025
0.27,1457026
0.27,1457027
0.27,1460643
0.27,1460644
0.27,1460645
0.27,1464263
0.02,1471487
0.02,1471488
0.02,1471489
0.02,1475105
0.02,1475106
0.02,1475107
0.02,1475108
0.02,1478723
0.02,1478724
0.02,1478725
0.02,1482341
0.02,1485959
0.02,1485960
0.56,1551092
0.56,1554710
0.56,1554711
0.56,1558328
0.56,1558329
0.56,1561946
0.56,1561947
0.56,1565564
0.56,1565565
0.56,1569182
0.56,1569183
0.7,1572800
0.7,1576418
0.7,1580036
0.7,1583654
0.1,1590886
0.1,1590887
0.1,1590888
0.1,1594504
0.1,1594505
0.1,1598121
0.1,1598122
0.1,1598123
0.1,1601739
0.1,1601740
0.1,1605357
0.1,1605358
0.1,1608975
0.1,1608976
0.39,1612593
0.39,1612594
0.39,1616211
0.39,1616212
0.39,1619829
0.39,1619830
0.03,1634190
0.03,1634191
0.03,1634192
0.03,1637808
0.03,1637809
0.03,1641427
0.44,1652386
0.44,1652387
0.44,1656004
0.44,1656005
0.44,1659622
0.44,1663240
0.44,1666857
0.44,1666858
0.44,1670475
0.44,1670476
0.25,1674058
0.25,1674059
0.25,1674061
0.25,1674062
0.25,1677676
0.25,1677677
0.25,1677678
0.25,1677679
0.25,1681294
0.25,1681295
0.25,1681296
0.25,1681297
0.78,1674093
0.78,1677711
0.01,1713789
0.01,1713790
0.01,1717407
0.01,1721024
0.01,1721025
0.01,1724642
0.01,1728260
0.01,1731878
0.75,1728361
0.46,1735593
0.46,1735594
0.46,1735595
0.46,1739210
0.46,1739211
0.46,1739212
0.46,1739214
0.46,1742828
0.46,1742829
0.46,1746446
0.63,1757280
0.63,1757281
0.63,1760897
0.63,1760898
0.63,1760899
0.63,1764515
0.63,1764516
0.63,1768131
0.63,1768132
0.63,1768133
0.63,1771749
0.63,1771750
0.63,1771751
0.09,1757282
0.09,1757283
0.09,1757284
0.09,1760901
0.09,1760902
0.09,1764518
0.09,1764519
0.09,1768136
0.09,1768137
0.09,1768138
0.09,1768139
0.09,1771754
0.09,1771755
0.09,1771756
0.09,1771757
0.42,1757287
0.42,1757288
0.42,1760904
0.42,1760905
0.42,1760907
0.42,1760908
0.42,1764522
0.42,1764524
0.42,1764525
0.42,1768140
0.42,1768141
0.42,1768142
0.42,1768143
0.42,1771759
0.68,1757291
0.68,1757292
0.68,1757293
0.68,1757294
0.68,1760909
0.68,1760910
0.68,1760911
0.68,1760912
