prob,cell_id
0.04,204396
0.04,208013
0.05,218863
0.04,218864
0.04,218865
0.04,211631
0.04,211632
0.04,215249
0.04,218866
0.04,218867
0.01,211633
0.01,215250
0.01,215251
0.01,218868
0.01,211635
0.01,215252
0.01,215253
0.01,218869
0.01,218870
0.05,222482
0.05,226099
0.05,226100
0.05,229717
0.03,222483
0.03,222484
0.03,226101
0.03,229718
0.03,229719
0.02,222485
0.02,222486
0.02,226102
0.02,226103
0.02,229720
0.01,222487
0.01,222488
0.01,226104
0.01,226105
0.01,229721
0.01,229722
0.01,222489
0.01,229723
0.01,229724
0.1,233336
0.1,236953
0.07,233337
0.07,233338
0.07,236954
0.07,236955
0.05,233339
0.05,233340
0.05,236956
0.05,236957
0.05,240573
0.05,240574
0.04,233341
0.04,236958
0.04,236959
0.04,240575
0.04,240576
0.03,233342
0.03,233343
0.03,236960
0.03,236961
0.03,240577
0.03,240578
0.03,233344
0.03,240579
0.03,240580
0.03,244197
0.03,240581
0.03,240582
0.03,244198
0.03,244199
0.02,233349
0.02,236965
0.02,236966
0.02,240583
0.02,244200
0.02,244201
0.01,233350
0.01,236967
0.01,236968
0.01,240584
0.01,240585
0.01,244202
0.01,244203
0.01,233351
0.01,233352
0.01,236969
0.01,236970
0.01,240586
0.01,240587
0.03,247812
0.03,247813
0.03,251430
0.02,247814
0.02,251431
0.02,251432
0.02,255048
0.02,255049
0.02,247815
0.02,247816
0.02,251433
0.02,251434
0.02,255050
0.02,255051
0.02,247818
0.02,251435
0.02,251436
0.02,255052
0.02,255053
0.01,251437
0.01,255054
0.01,255055
0.07,258668
0.07,258669
0.07,262285
0.07,262286
0.07,265903
0.01,262287
0.01,262288
0.01,265904
0.01,265905
0.01,269522
0.01,269523
0.02,258671
0.02,258672
0.02,265906
0.02,265907
0.02,269524
0.01,258673
0.01,258674
0.01,265908
0.01,269525
0.01,269526
0.05,273142
0.05,276758
0.03,273143
0.03,273144
0.03,276761
0.03,280378
0.03,280379
0.01,273145
0.01,273146
0.01,276762
0.01,276763
0.01,280380
0.01,280381
0.01,283997
0.01,283998
0.06,287616
0.06,287617
0.04,287618
0.04,287619
0.02,287620
0.02,316564
0.02,316565
0.02,320182
0.02,320183
0.02,323800
0.09,338270
0.03,338271
0.03,338272
0.01,327422
0.01,331038
0.01,331039
0.01,334655
0.01,334656
0.01,334657
0.01,338273
0.01,338274
0.01,327425
0.01,327426
0.01,331042
0.01,331043
0.01,334660
0.01,334661
0.01,327427
0.01,327428
0.01,331044
0.01,331045
0.01,331046
0.01,334662
0.01,334663
0.07,345505
0.04,341888
0.04,341889
0.04,345506
0.04,345507
0.04,349123
0.04,349124
0.04,341890
0.04,341891
0.04,341892
0.04,345508
0.04,345509
0.04,349125
0.04,341893
0.04,345510
0.01,345658
0.01,349276
0.01,374598
0.01,374599
0.01,378216
0.01,378217
0.01,385451
0.01,389069
0.01,392686
0.01,392687
0.1,421601
0.08,421606
0.08,421607
0.05,421608
0.05,421609
0.05,421610
0.03,414376
0.03,417993
0.01,421626
0.06,435806
0.06,435807
0.07,432191
0.07,432192
0.07,432193
0.07,435808
0.07,435809
0.07,432194
0.07,435810
0.07,435811
0.42,435966
0.41,435967
0.41,435968
0.41,435969
0.39,432353
0.39,432354
0.39,435970
0.39,435971
0.36,435972
0.36,435973
0.36,435974
0.38,432357
0.38,432358
0.38,432359
0.38,435975
0.38,435976
0.35,432360
0.35,435977
0.35,435978
0.35,435979
0.4,435983
0.4,435984
0.39,432367
0.39,432368
0.39,435985
0.39,435986
0.39,435987
0.39,435988
0.38,435989
0.38,435990
0.12,425219
0.08,425223
0.07,425224
0.07,425225
0.07,425226
0.07,425227
0.07,428844
0.1,439421
0.1,443038
0.1,446655
0.1,439422
0.1,439423
0.1,439424
0.1,443039
0.1,443040
0.1,443041
0.1,446656
0.12,439425
0.12,439426
0.12,443042
0.14,439427
0.33,450419
0.33,450420
0.44,446809
0.44,450426
0.4,446810
0.4,446811
0.4,450427
0.4,450428
0.4,450429
0.22,439577
0.22,439578
0.22,439579
0.22,443195
0.22,443196
0.22,446812
0.22,446813
0.22,446814
0.22,450430
0.22,450431
0.21,439580
0.21,439581
0.21,443197
0.21,443198
0.21,443199
0.21,446815
0.21,446816
0.21,450432
0.21,450433
0.21,450434
0.26,439582
0.26,439583
0.26,439584
0.26,443200
0.26,443201
0.26,446817
0.26,446818
0.26,446819
0.26,450435
0.26,450436
0.04,439585
0.04,439586
0.04,443202
0.04,443203
0.04,443204
0.04,446820
0.04,446821
0.04,450437
0.04,450438
0.04,450439
0.06,439590
0.06,439591
0.06,443207
0.06,443208
0.06,443209
0.06,450443
0.06,450444
0.15,439592
0.15,439593
0.15,439594
0.15,443210
0.15,443211
0.15,446827
0.15,446828
0.15,446829
0.15,450445
0.15,450446
0.23,439595
0.23,439596
0.23,443212
0.23,443213
0.23,443214
0.23,446830
0.23,450447
0.23,450448
0.23,450449
0.23,439597
0.23,439598
0.23,439599
0.23,443215
0.23,443216
0.23,446832
0.23,446833
0.23,446834
0.23,450450
0.23,450451
0.2,439600
0.2,439601
0.2,443217
0.2,443218
0.2,443219
0.2,446835
0.2,446836
0.2,450452
0.2,450453
0.15,439605
0.15,439606
0.15,443222
0.15,443223
0.15,443224
0.15,446840
0.15,446841
0.15,450457
0.15,450458
0.15,450459
0.14,439607
0.14,439608
0.14,443225
0.14,443226
0.14,446842
0.37,439609
0.37,439610
0.37,439611
0.37,443227
0.37,443228
0.37,443229
0.37,446846
0.37,450463
0.37,443230
0.37,443231
0.37,446847
0.37,446848
0.37,446849
0.37,450465
0.37,450466
0.37,446850
0.37,446851
0.37,450467
0.37,450468
0.37,450469
0.37,450470
0.37,450471
0.43,468493
0.45,468494
0.45,468496
0.27,464879
0.27,464880
0.27,464881
0.27,468497
0.27,468498
0.25,457648
0.25,457649
0.25,461264
0.25,461265
0.25,461266
0.25,464882
0.25,464883
0.25,468499
0.25,468500
0.25,468501
0.34,454034
0.34,457650
0.34,457651
0.34,461267
0.34,461268
0.34,464884
0.34,464885
0.34,464886
0.34,468502
0.34,468503
0.43,454035
0.43,454036
0.43,457653
0.43,461269
0.43,461270
0.43,461271
0.43,464887
0.43,464888
0.43,468504
0.43,468505
0.43,468506
0.36,461272
0.36,461273
0.36,461274
0.36,464889
0.36,464890
0.36,464891
0.36,468507
0.36,468508
0.35,457659
0.35,461275
0.35,461276
0.35,464892
0.35,464893
0.35,468509
0.35,468510
0.35,468511
0.36,454043
0.36,454044
0.36,457660
0.36,457661
0.36,461277
0.36,461278
0.36,461279
0.36,464894
0.36,464895
0.36,464896
0.36,468512
0.36,468513
0.31,454045
0.31,454046
0.31,457662
0.31,457663
0.31,457664
0.31,461280
0.31,461281
0.31,464897
0.31,464898
0.31,464899
0.31,468514
0.31,468515
0.31,468516
0.18,454047
0.18,454048
0.18,454049
0.18,457665
0.18,457666
0.18,461282
0.18,461283
0.18,461284
0.18,464900
0.18,464901
0.07,454060
0.07,454061
0.07,457677
0.07,457678
0.07,457679
0.07,461295
0.07,461296
0.07,464912
0.07,464913
0.07,454062
0.07,454063
0.07,457680
0.07,461297
0.05,454077
0.05,464930
0.05,464931
0.05,468549
0.02,464932
0.02,464933
0.02,464934
0.02,468550
0.02,468551
0.02,468552
0.2,454084
0.2,464935
0.2,464936
0.2,468553
0.2,468554
0.28,454085
0.28,454086
0.28,464937
0.28,464938
0.28,464939
0.28,468555
0.28,468556
0.3,454087
0.3,454088
0.3,454089
0.3,457706
0.3,461322
0.3,461323
0.3,461324
0.3,464940
0.33,454090
0.33,457707
0.33,457708
0.33,461325
0.33,468562
0.36,468564
0.34,468565
0.34,468566
0.34,468567
0.06,454145
0.06,454146
0.06,457764
0.05,454147
0.05,454148
0.05,457765
0.05,457766
0.02,468646
0.02,461412
0.02,465030
0.02,468647
0.02,468648
0.01,457795
0.01,457796
0.01,457797
0.01,461413
0.01,461414
0.01,461415
0.01,465031
0.01,465032
0.01,465033
0.01,468649
0.01,468650
0.01,468651
0.48,479340
0.48,482957
0.47,479341
0.47,479342
0.47,479343
0.47,482958
0.47,482959
0.47,482960
0.44,479344
0.44,479345
0.44,482961
0.44,482962
0.18,472112
0.18,472113
0.18,475729
0.18,475730
0.18,479346
0.18,479347
0.18,479348
0.18,482963
0.18,482964
0.18,482965
0.09,472119
0.09,472120
0.09,472121
0.09,475736
0.09,475737
0.09,475738
0.09,479354
0.09,479355
0.09,482971
0.09,482972
0.09,482973
0.13,472122
0.13,472123
0.13,475739
0.13,475740
0.13,475741
0.13,479356
0.13,479357
0.13,479358
0.13,482975
0.01,472124
0.01,472125
0.01,472126
0.01,475742
0.01,475743
0.01,479359
0.01,482976
0.01,482977
0.01,482978
0.18,472170
0.18,472171
0.18,472172
0.18,475788
0.18,475789
0.18,479405
0.26,472173
0.26,472174
0.26,475790
0.26,475791
0.26,475792
0.26,479408
0.26,479409
0.29,472175
0.29,472176
0.29,472177
0.29,475793
0.29,475794
0.27,472178
0.27,472179
0.27,475795
0.27,475796
0.27,475797
0.27,479414
0.15,472180
0.15,472181
0.15,472182
0.15,475798
0.15,475799
0.15,479415
0.15,479416
0.15,479417
0.15,483035
0.13,472183
0.13,472184
0.13,475800
0.13,475801
0.13,475802
0.13,479418
0.13,479419
0.13,479420
0.13,483036
0.13,483037
0.23,472185
0.23,472186
0.23,472187
0.23,475803
0.23,475804
