prob,cell_id
0.42,1376338
0.42,1379954
0.42,1379955
0.42,1383570
0.42,1383571
0.42,1383572
0.42,1387187
0.42,1387188
0.9,1372722
0.9,1372723
0.9,1372724
0.9,1372725
0.9,1376339
0.9,1376340
0.9,1376341
0.9,1376342
0.9,1379956
0.91,1372726
0.91,1376343
0.91,1376344
0.91,1376345
0.91,1376346
0.91,1379961
0.91,1379962
0.91,1379963
0.91,1383580
1,1398031
1,1398032
1,1401647
1,1401648
1,1401649
1,1405263
1,1405264
1,1405265
1,1394418
1,1394419
1,1398033
1,1398034
1,1398035
1,1398036
0.97,1390803
0.97,1390804
0.97,1394420
0.97,1394421
0.39,1419719
0.39,1419720
0.39,1423336
0.39,1423337
0.39,1423338
0.39,1423339
0.39,1426953
0.39,1426954
0.39,1426955
0.39,1426956
0.21,1423340
0.21,1423341
0.21,1423342
0.21,1423343
0.21,1426957
0.21,1426958
0.21,1426959
0.21,1426960
0.94,1408879
0.94,1412494
0.94,1412495
0.94,1412496
0.94,1416110
0.94,1416111
0.94,1416112
0.94,1419727
0.94,1419728
0.94,1419729
0.94,1423344
0.94,1423345
0.94,1423346
0.94,1426961
0.94,1408880
0.94,1408881
0.91,1426984
0.91,1426985
0.96,1430571
0.96,1430575
0.96,1430576
0.96,1430577
1,1441447
1,1441448
1,1441449
1,1445064
1,1445065
0.87,1430601
0.87,1430602
0.87,1434218
0.87,1434219
0.87,1437833
0.87,1437834
0.87,1437835
0.87,1437836
0.87,1441450
0.87,1441452
0.87,1441453
0.91,1448680
0.91,1448681
0.91,1452297
0.91,1452298
0.91,1455914
0.91,1455915
0.91,1459531
0.91,1459532
0.91,1463148
0.91,1463149
0.91,1463150
0.91,1466765
0.91,1466766
0.91,1466767
0.71,1452316
0.71,1452317
0.71,1455933
0.71,1455934
0.48,1448760
0.48,1448761
0.48,1448762
0.48,1452378
0.48,1452379
0.52,1477570
0.52,1481185
0.52,1481186
0.52,1481187
0.52,1484801
0.52,1484802
0.52,1484803
0.77,1470338
0.77,1470339
0.77,1473954
0.77,1473955
0.77,1477571
0.77,1477572
0.9,1473999
0.99,1470382
0.99,1470383
0.99,1470384
0.99,1474000
0.99,1474001
0.99,1477617
0.99,1477618
0.99,1481234
0.99,1481235
0.99,1481236
0.99,1481237
0.99,1484852
0.99,1484853
0.76,1470410
0.76,1470411
0.76,1474028
0.32,1499260
0.32,1499261
0.32,1499262
0.32,1499263
0.32,1502877
0.32,1502878
0.32,1502879
0.32,1502880
0.96,1488415
0.96,1488416
0.96,1488417
0.96,1492032
0.96,1492033
0.96,1492034
0.96,1495647
0.96,1495648
0.96,1495649
0.96,1499264
0.96,1499265
0.96,1502881
0.97,1488418
0.97,1502933
0.97,1502934
0.97,1502935
0.97,1506550
0.97,1506551
0.97,1506552
1,1488469
1,1488470
1,1488471
1,1492088
1,1495705
1,1499322
1,1502939
1,1506553
1,1506555
1,1506556
1,1488500
1,1488501
1,1488502
1,1492118
1,1492119
1,1492120
1,1492121
1,1492122
1,1495738
1,1495739
1,1499355
1,1499356
1,1510166
1,1510167
1,1510168
1,1510169
1,1513784
1,1513785
1,1513786
1,1517400
1,1517401
1,1521017
1,1521018
1,1524634
1,1524635
1,1524636
0.86,1510206
0.86,1510207
0.86,1513823
0.86,1513824
0.98,1510208
0.98,1513828
0.98,1517445
1,1510215
1,1513829
1,1513833
1,1517446
1,1517448
1,1517449
1,1517450
1,1521065
1,1521066
1,1521067
0.1,1510216
0.1,1513834
0.1,1513835
0.1,1513836
0.1,1517451
0.1,1517452
0.1,1517453
0.1,1517454
0.1,1521070
0.1,1521071
0.1,1524686
0.1,1524687
0.1,1524688
0.97,1546295
1,1542684
1,1542685
1,1546300
1,1546301
1,1546302
0.97,1542686
0.97,1542687
0.97,1546303
0.97,1546304
0.97,1546305
0.76,1528252
0.76,1528253
0.76,1528254
0.76,1531870
0.76,1531871
0.76,1535488
0.76,1535489
0.76,1539105
0.76,1539106
0.76,1542722
0.76,1542723
0.76,1546338
0.76,1546339
0.76,1546340
0.95,1528266
0.95,1528267
0.95,1531882
0.95,1531883
0.95,1531884
0.95,1535499
0.95,1535500
0.95,1539116
0.95,1539117
0.95,1542733
0.95,1542734
0.95,1546351
1,1528304
1,1528305
0.96,1528309
0.96,1531926
0.96,1531927
0.96,1535543
0.96,1535544
0.96,1539159
0.96,1539160
0.96,1539161
0.96,1542778
0.98,1528327
0.98,1528328
0.98,1528329
0.98,1528330
0.98,1531944
0.98,1531945
0.98,1531946
0.98,1531947
0.98,1535563
0.98,1535564
0.98,1535565
0.98,1539182
0.54,1535566
0.54,1535567
0.54,1535568
0.54,1539183
0.54,1539184
0.54,1539185
0.54,1539186
0.54,1542802
0.54,1542803
0.54,1546420
0.34,1528346
0.34,1528347
0.34,1531963
0.34,1531964
0.34,1531965
0.34,1535580
0.34,1535581
0.34,1535582
0.34,1539198
0.34,1539199
0.34,1542816
0.37,1528387
0.37,1532004
0.37,1532005
0.37,1535621
0.37,1535622
0.37,1535623
0.37,1539238
0.37,1539239
0.37,1539240
0.37,1539241
0.37,1542855
0.37,1542856
0.37,1542857
0.37,1542858
0.37,1546472
0.37,1546473
0.37,1546474
0.37,1546475
0.03,1528391
0.03,1528392
0.03,1542859
0.03,1546480
0.1,1549886
0.1,1549887
0.1,1549888
0.1,1553503
0.1,1553504
0.1,1557120
0.81,1549891
0.81,1553507
0.81,1553508
0.81,1557124
0.81,1557125
1,1557140
1,1560756
1,1560757
1,1564373
1,1564374
1,1567990
1,1567991
0.83,1549909
0.83,1549910
0.83,1553525
0.83,1553526
0.83,1553527
0.83,1557141
0.83,1557142
0.83,1560758
0.83,1564376
0.83,1567992
0.83,1567993
0.83,1567994
1,1549917
1,1549918
1,1549919
1,1553534
1,1553535
1,1553536
1,1557149
1,1557150
1,1557151
1,1560766
1,1560767
1,1564383
1,1564384
1,1568000
1,1568001
0.96,1549921
0.96,1549922
0.96,1553537
0.96,1553538
0.96,1553539
0.96,1553540
0.96,1557154
0.96,1557155
0.96,1557156
0.88,1549955
0.88,1549956
0.88,1553572
0.88,1553573
0.88,1553574
0.88,1557190
0.88,1557191
0.88,1560807
0.88,1560808
0.88,1564425
0.88,1568041
0.88,1568042
1,1549967
1,1549968
1,1553585
1,1557201
1,1557202
1,1560818
1,1560819
1,1564435
1,1564436
1,1568052
1,1568053
0.94,1550014
0.94,1550015
0.94,1550016
0.68,1550017
0.68,1550018
0.68,1550019
0.68,1553635
0.68,1553636
0.68,1557253
0.68,1557254
0.68,1560870
0.68,1560871
0.68,1564487
0.68,1564488
0.68,1568105
0.68,1568106
0.93,1568116
0.92,1550037
0.92,1550038
0.92,1553655
1,1550039
1,1550042
1,1553656
1,1553657
1,1553658
1,1553659
1,1557273
1,1557274
1,1557275
1,1557276
0.61,1553667
0.61,1557285
0.75,1550053
0.75,1550054
0.75,1550055
0.75,1553668
0.75,1553669
0.75,1553670
0.75,1553671
0.75,1553672
0.75,1557286
0.75,1557287
0.75,1557288
0.75,1557289
0.75,1560903
0.75,1560904
0.75,1560905
0.75,1560906
0.75,1564520
0.75,1564521
0.75,1564522
0.75,1564523
0.75,1568139
0.75,1568140
0.84,1550085
0.84,1550086
0.84,1550087
0.84,1550088
0.84,1550089
0.84,1553702
0.84,1553703
0.84,1553704
0.84,1553705
0.84,1553706
0.79,1550090
0.79,1564559
0.79,1568176
0.21,1550097
0.21,1564566
0.21,1568183
1,1582449
1,1582450
1,1586066
1,1586067
0.89,1582451
0.89,1582452
0.89,1586068
0.89,1586069
0.89,1586070
0.17,1571607
0.17,1571608
0.97,1571615
0.97,1571616
