prob,cell_id
0.01,1090106
0.01,1093721
0.01,1093722
0.01,1097337
0.01,1097338
0.01,1097339
0.01,1082877
0.01,1086492
0.01,1086493
0.01,1090107
0.01,1090108
0.01,1090109
0.01,1090110
0.01,1093723
0.01,1093724
0.01,1093725
0.01,1093726
0.01,1097340
0.01,1097341
0.01,1097342
0.01,1097343
0.01,1082878
0.01,1082879
0.01,1082880
0.01,1086494
0.01,1086495
0.01,1086496
0.01,1086497
0.01,1090111
0.01,1090112
0.01,1090113
0.01,1093727
0.01,1093728
0.01,1093729
0.01,1093730
0.01,1097344
0.01,1097345
0.01,1097346
0.01,1082881
0.01,1082882
0.01,1082883
0.01,1082884
0.01,1086498
0.01,1086499
0.01,1086500
0.01,1090114
0.01,1090115
0.01,1093731
0.01,1097347
0.01,1097348
0.01,1108172
0.01,1108173
0.01,1111788
0.01,1111789
0.01,1111790
0.01,1115403
0.01,1115404
0.01,1115405
0.01,1115406
0.03,1104559
0.03,1104560
0.03,1108174
0.03,1108175
0.03,1108176
0.03,1108177
0.03,1111791
0.03,1111792
0.03,1115407
0.03,1115408
0.03,1100946
0.03,1100947
0.03,1100948
0.03,1104561
0.03,1104562
0.03,1104563
0.03,1104564
0.03,1108178
0.03,1108179
0.02,1100949
0.02,1100950
0.02,1100951
0.02,1104565
0.02,1104566
0.02,1104567
0.02,1104568
0.02,1108184
0.02,1111798
0.02,1111799
0.02,1111800
0.02,1111801
0.02,1115414
0.02,1115415
0.02,1115416
0.02,1115417
0.01,1100952
0.01,1100953
0.01,1100954
0.01,1100955
0.01,1104569
0.01,1104570
0.01,1104571
0.01,1104572
0.01,1108185
0.01,1108186
0.01,1108187
0.01,1111802
0.01,1111803
0.01,1115418
0.01,1115419
0.01,1100956
0.01,1100957
0.01,1100958
0.01,1104575
0.01,1108192
0.02,1100961
0.02,1100962
0.02,1100963
0.02,1104576
0.02,1104577
0.02,1104578
0.02,1104579
0.02,1108193
0.02,1108194
0.02,1108195
0.02,1108196
0.02,1111809
0.02,1111810
0.02,1111811
0.02,1111812
0.02,1115427
0.02,1115428
0.01,1100964
0.01,1100965
0.01,1104580
0.01,1104581
0.01,1115429
0.01,1133481
0.02,1119019
0.02,1122635
0.02,1126250
0.02,1126251
0.02,1129865
0.02,1129866
0.02,1129867
0.02,1129868
0.02,1133482
0.02,1133483
0.02,1133484
0.03,1119020
0.03,1119021
0.03,1119022
0.03,1122636
0.03,1122637
0.03,1126252
0.03,1126253
0.03,1126254
0.03,1129869
0.03,1129870
0.03,1129871
0.03,1133486
0.03,1133487
0.03,1133488
0.03,1126258
0.03,1119028
0.03,1119030
0.03,1122644
0.03,1122645
0.03,1122646
0.03,1126260
0.03,1126261
0.03,1126263
0.03,1133496
0.02,1119031
0.02,1119032
0.02,1119033
0.02,1119034
0.02,1122647
0.02,1122648
0.02,1122649
0.02,1122650
0.02,1126264
0.02,1126265
0.02,1126266
0.02,1126267
0.02,1129880
0.02,1129881
0.02,1129882
0.02,1133497
0.02,1133498
0.02,1133499
0.01,1119035
0.01,1122651
0.03,1122657
0.03,1122658
0.03,1126273
0.03,1126274
0.03,1129890
0.03,1129891
0.03,1133505
0.03,1133506
0.03,1133507
0.03,1119042
0.03,1119043
0.03,1119044
0.03,1119045
0.03,1122659
0.03,1122660
0.03,1122661
0.03,1126275
0.03,1126276
0.03,1126277
0.03,1126278
0.03,1129892
0.03,1129893
0.03,1129894
0.03,1133508
0.02,1119046
0.02,1122662
0.02,1126279
0.02,1129895
0.02,1129896
0.01,1144320
0.01,1147936
0.01,1147937
0.01,1147938
0.01,1147939
0.01,1151552
0.01,1151553
0.01,1151554
0.01,1151555
0.01,1155169
0.02,1144323
0.02,1144324
0.02,1144325
0.02,1144326
0.02,1147940
0.02,1147941
0.02,1147942
0.02,1151556
0.02,1151557
0.02,1151558
0.02,1151559
0.02,1155173
0.02,1155174
0.02,1155175
0.02,1137098
0.02,1137099
0.02,1137100
0.02,1140714
0.02,1140717
0.02,1144334
0.03,1137102
0.03,1137103
0.03,1140718
0.04,1137112
0.04,1140728
0.04,1140729
0.04,1144344
0.04,1144345
0.04,1147960
0.04,1147961
0.04,1151576
0.04,1151577
0.04,1151578
0.04,1155192
0.04,1155193
0.04,1155194
0.02,1137113
0.02,1137114
0.02,1144346
0.02,1147962
0.03,1144353
0.03,1147969
0.03,1151584
0.03,1151585
0.03,1155200
0.03,1155201
0.03,1155202
0.03,1137121
0.03,1137122
0.03,1137123
0.03,1140737
0.03,1140738
0.03,1140739
0.03,1144354
0.03,1144355
0.03,1147970
0.03,1147971
0.03,1147972
0.03,1147973
0.03,1151586
0.03,1151587
0.03,1151588
0.03,1151589
0.03,1155203
0.03,1155204
0.03,1155205
0.03,1155206
0.04,1144357
0.04,1144358
0.04,1144359
0.04,1147974
0.04,1147975
0.04,1147976
0.04,1151590
0.04,1151591
0.04,1151592
0.04,1151593
0.04,1155207
0.04,1155208
0.04,1155209
0.04,1155210
0.04,1155211
0.05,1158807
0.05,1162423
0.05,1166039
0.05,1166040
0.05,1169655
0.05,1169656
0.05,1173271
0.05,1173272
0.05,1173273
0.02,1158808
0.02,1158809
0.02,1158810
0.02,1162424
0.02,1162425
0.02,1162426
0.02,1166041
0.02,1169657
0.02,1173274
0.02,1173275
0.04,1158817
0.04,1158818
0.04,1162432
0.04,1162433
0.04,1162434
0.04,1162435
0.04,1166049
0.04,1166050
0.04,1166051
0.04,1169666
0.04,1169667
0.04,1173282
0.04,1173283
0.02,1158819
0.02,1158820
0.02,1158821
0.02,1158822
0.02,1162436
0.02,1166055
0.02,1169671
0.02,1169672
0.02,1173288
0.05,1158824
0.05,1158825
0.05,1158826
0.05,1162440
0.05,1162441
0.05,1162442
0.05,1162443
0.05,1166056
0.05,1166057
0.05,1166058
0.05,1169673
0.05,1169674
0.05,1169675
0.05,1173289
0.05,1173290
0.05,1173291
0.05,1173292
0.05,1158827
0.05,1158828
0.05,1162444
0.05,1169676
0.05,1169677
0.05,1169678
0.05,1173293
0.05,1173294
0.05,1173295
0.05,1173296
0.05,1166066
0.05,1166067
0.05,1169680
0.05,1169681
0.05,1169682
0.05,1169683
0.05,1173297
0.05,1173298
0.05,1173299
0.05,1173300
0.05,1162452
0.05,1162453
0.05,1162454
0.05,1166068
0.05,1166069
0.05,1166070
0.05,1169684
0.05,1169685
0.05,1169686
0.05,1169687
0.05,1173301
0.05,1173302
0.05,1173303
0.05,1162455
0.05,1166071
0.05,1166072
0.05,1169688
0.05,1169689
0.05,1173304
0.05,1173305
0.05,1173306
0.05,1173307
0.05,1166077
0.05,1187735
0.05,1191348
0.05,1191349
0.05,1191350
0.05,1191351
0.05,1176886
0.05,1176887
0.05,1176888
0.05,1176889
0.05,1180503
0.05,1180504
0.05,1180505
0.05,1184119
0.05,1184120
0.05,1184121
0.05,1184122
0.05,1187736
0.05,1187737
0.05,1187738
0.05,1187739
0.05,1191352
0.05,1191353
0.05,1191354
0.05,1191355
0.01,1176913
0.01,1176914
0.01,1176915
0.01,1176916
0.01,1180530
0.01,1180531
0.01,1180532
0.01,1180533
0.01,1184146
0.01,1184147
0.01,1184148
0.03,1176921
0.03,1176922
0.03,1176923
0.03,1176924
0.03,1180539
0.03,1180540
0.03,1184157
0.03,1187773
0.03,1191387
0.03,1191388
0.03,1191389
0.03,1191390
0.06,1180541
0.06,1180542
0.06,1184158
0.06,1184159
0.06,1187774
0.06,1187775
0.06,1191391
0.01,1194946
0.05,1194963
0.05,1194964
0.05,1198580
0.05,1202195
0.05,1202196
0.05,1202197
0.05,1205812
0.05,1205813
0.05,1209428
0.05,1209429
0.05,1209430
0.04,1194965
0.04,1194966
0.04,1194967
0.04,1194968
0.04,1198581
0.04,1198582
0.04,1198583
0.04,1198584
0.04,1202198
0.04,1202199
0.04,1202200
0.04,1202201
0.04,1205814
0.04,1205815
0.04,1205816
0.04,1205817
0.04,1209431
0.04,1209432
0.04,1209433
0.01,1194971
0.01,1194972
0.01,1198585
0.02,1195004
0.02,1195005
0.02,1195006
0.02,1198620
0.02,1198621
0.02,1198622
0.02,1198623
0.02,1202236
0.02,1202237
0.02,1202238
0.02,1202239
0.02,1205853
0.02,1205854
0.02,1205855
0.02,1205856
0.02,1209469
0.02,1209470
0.02,1209471
0.02,1209472
0.07,1195007
0.07,1202242
0.07,1202243
0.07,1205857
0.07,1205858
0.07,1205859
0.07,1205860
0.07,1209473
0.07,1209474
0.07,1209475
0.07,1209476
0.06,1209477
0.05,1213044
0.05,1213045
0.05,1213046
0.05,1216661
0.05,1216662
0.05,1216663
0.05,1223895
0.05,1223896
0.05,1227510
0.05,1227511
0.05,1227512
0.05,1231126
0.05,1231127
0.05,1231128
0.03,1213047
0.03,1213048
0.03,1213049
0.03,1213050
0.03,1216664
0.03,1216665
0.03,1216666
0.03,1220280
0.03,1220281
0.03,1220282
0.03,1223897
0.03,1223898
0.03,1227513
0.01,1213051
0.01,1213052
0.01,1216667
0.05,1213086
0.05,1213087
0.05,1213088
0.05,1213089
0.05,1216702
0.05,1216703
0.05,1216704
0.05,1216705
0.05,1220322
0.05,1223935
0.05,1223936
0.05,1223937
0.05,1223938
0.05,1227552
0.05,1227553
0.05,1227554
0.05,1227555
0.05,1231169
0.05,1231170
0.05,1231171
0.08,1213090
0.08,1213091
0.08,1213093
0.08,1216707
0.08,1216708
0.08,1216709
0.08,1220323
0.08,1220324
0.08,1220325
0.08,1220326
0.08,1223939
0.08,1223940
0.08,1223941
0.08,1223942
0.08,1227556
0.08,1227557
0.08,1227558
0.08,1227559
0.08,1231172
0.08,1231173
0.08,1231174
0.08,1231175
0.07,1213094
0.07,1216710
0.07,1223943
0.07,1223944
0.07,1227560
0.07,1227561
0.07,1231176
0.07,1231177
0.07,1231178
0.04,1238358
0.06,1234742
0.06,1234743
0.06,1238359
0.06,1241975
0.06,1241976
0.06,1245592
0.06,1245593
0.06,1249209
0.06,1249210
0.06,1249211
0.07,1245597
0.07,1245598
0.07,1249212
0.07,1249213
0.07,1249214
0.07,1249215
0.08,1241983
0.08,1241984
0.08,1245599
0.08,1245600
0.08,1245601
0.08,1245602
0.08,1249216
0.08,1249217
0.09,1245603
0.09,1245604
0.09,1245605
0.09,1245606
0.09,1249220
0.09,1249221
0.09,1249222
0.09,1249223
0.1,1245607
0.1,1245608
0.1,1245609
0.1,1249224
0.1,1249225
0.1,1249226
0.1,1249227
0.11,1245612
0.11,1245613
0.11,1245614
0.11,1249228
0.11,1249229
0.11,1249230
0.12,1238384
0.12,1241999
0.12,1242000
0.12,1242001
0.12,1245615
0.12,1245616
0.12,1245617
0.12,1245618
0.12,1249231
0.12,1249232
0.12,1249233
0.12,1249234
0.04,1234770
0.04,1234771
0.04,1238386
0.04,1238387
0.04,1242002
0.04,1242003
0.04,1245619
0.04,1245620
0.04,1245621
0.04,1245622
0.04,1249235
0.04,1249236
0.04,1249237
0.04,1249238
0.1,1242006
0.1,1242007
0.1,1242009
0.1,1245623
0.1,1245624
0.1,1245625
0.1,1245626
0.1,1249239
0.1,1249240
0.1,1249241
0.1,1249242
0.09,1242010
0.09,1245627
0.09,1245628
0.09,1245629
0.09,1249243
0.09,1249244
0.09,1249246
0.08,1234782
0.08,1234783
0.08,1238399
0.08,1238400
0.08,1238401
0.08,1242015
0.08,1242016
0.08,1242017
0.08,1245631
0.08,1245632
0.08,1245633
0.08,1245634
0.08,1249247
0.08,1249248
0.08,1249249
0.08,1249250
0.09,1234786
0.09,1234787
0.09,1234788
0.09,1238402
0.09,1238403
0.09,1238404
0.09,1242018
0.09,1242019
0.09,1242020
0.09,1242021
0.09,1245635
0.09,1245636
0.09,1245637
0.09,1249251
0.09,1249252
0.09,1249253
0.09,1249254
0.09,1234789
0.09,1234790
0.09,1234792
0.09,1238405
0.09,1238406
0.09,1238408
0.09,1242022
0.09,1242024
0.09,1242025
0.09,1245638
0.09,1245640
0.09,1245641
0.09,1249256
0.09,1249257
0.09,1249258
0.08,1234793
0.08,1238409
0.08,1238410
0.08,1238411
0.08,1242026
0.08,1242027
0.08,1242028
0.08,1245642
0.08,1245643
0.08,1245644
0.08,1245645
0.08,1249259
0.08,1249260
0.08,1249261
0.08,1249262
0.12,1252840
0.12,1252841
0.12,1252842
0.12,1252845
0.12,1252846
0.12,1267313
0.12,1252849
0.12,1252850
0.12,1252851
0.12,1260084
0.12,1263697
0.12,1263698
0.12,1263699
0.12,1267314
0.12,1267315
0.12,1267316
0.12,1267317
0.12,1252852
0.12,1252853
0.12,1252854
0.12,1252855
0.12,1256468
0.12,1256469
0.12,1256470
0.12,1256471
0.12,1260085
0.12,1260086
0.12,1260088
0.12,1263702
0.12,1263703
0.12,1263704
0.12,1267318
0.12,1267319
0.12,1267320
0.12,1267321
0.11,1252856
0.11,1252857
0.11,1252858
0.11,1252859
0.11,1256472
0.11,1256473
0.11,1256474
0.11,1260089
0.11,1260090
0.11,1260092
0.11,1263705
0.11,1263706
0.11,1263708
0.11,1267324
0.11,1267325
0.11,1252860
0.11,1252861
0.11,1252862
0.11,1252863
0.11,1256476
0.11,1256477
0.11,1256478
0.11,1256479
0.11,1260093
0.11,1260094
0.11,1260095
0.11,1260096
0.11,1263709
0.11,1263710
0.11,1263711
0.11,1267326
0.1,1252864
0.1,1252865
0.1,1252866
0.1,1252867
0.1,1256480
0.1,1256481
0.1,1256482
0.1,1256483
0.1,1260099
0.1,1260100
0.1,1263715
0.1,1263716
0.1,1267331
0.1,1267332
0.1,1267333
0.06,1252868
0.06,1256484
0.06,1256485
0.06,1260101
0.06,1263717
0.06,1263719
0.06,1263720
0.06,1267335
0.06,1267336
0.06,1267337
0.09,1252875
0.09,1252877
0.09,1252878
0.09,1256493
0.09,1256494
0.09,1256495
0.09,1260109
0.09,1260110
0.09,1260111
0.09,1263726
0.09,1263727
0.09,1267342
0.09,1267343
0.09,1252879
0.13,1285390
0.13,1285391
0.13,1285392
0.13,1289006
0.13,1289007
0.13,1289008
0.13,1274546
0.13,1278163
0.13,1281779
0.13,1285393
0.13,1285394
0.13,1285395
0.13,1289009
0.13,1289010
0.13,1289011
0.12,1270930
0.12,1270931
0.12,1270932
0.12,1270933
0.12,1274547
0.12,1274548
0.12,1274549
0.12,1274550
0.12,1278164
0.12,1278165
0.12,1278166
0.12,1281780
0.12,1281781
0.12,1281782
0.12,1281783
0.12,1285397
0.12,1285398
0.12,1270934
0.12,1270935
0.12,1274551
0.12,1274552
0.12,1274553
0.12,1274554
0.12,1278168
0.12,1278169
0.12,1278170
0.12,1270940
0.12,1270941
0.12,1274555
0.12,1274556
0.12,1274557
0.12,1274558
0.12,1278171
0.12,1278172
0.12,1278173
0.12,1270942
0.12,1270947
0.12,1270948
0.12,1270949
0.12,1274564
0.12,1274565
0.12,1278180
0.12,1278181
0.12,1278182
0.12,1281797
0.12,1281798
0.12,1281799
0.12,1285415
0.12,1289031
0.12,1289032
0.09,1270951
0.09,1270952
0.09,1270953
0.09,1274567
0.09,1274568
0.09,1274569
0.09,1274570
0.09,1278183
0.09,1278184
0.09,1278185
0.09,1278186
0.09,1281800
0.09,1281801
0.09,1281802
0.09,1281803
0.09,1285416
0.09,1285417
0.09,1285418
0.09,1285419
0.09,1289033
0.09,1289034
0.09,1289035
0.09,1289036
0.05,1281804
0.05,1281805
0.05,1281807
0.05,1285420
0.05,1285421
0.05,1285422
0.05,1285423
0.05,1289037
0.05,1289038
0.05,1289039
0.05,1289040
0.1,1270958
0.1,1270959
0.1,1270960
0.1,1274575
0.1,1274576
0.1,1278191
0.1,1278192
0.1,1281808
0.1,1285424
0.1,1285425
0.1,1289041
0.09,1285450
0.09,1289068
0.08,1289069
0.01,1303455
0.01,1303456
0.01,1307072
0.1,1303463
0.14,1292622
0.14,1292623
0.14,1292624
0.14,1292625
0.14,1296240
0.14,1296241
0.14,1299857
0.14,1299858
0.14,1303474
0.14,1292626
0.14,1292627
0.14,1292628
0.14,1292629
0.14,1296242
0.14,1296243
0.14,1296244
0.14,1296245
0.14,1299859
0.14,1299860
0.14,1299861
0.14,1299862
0.14,1303475
0.14,1303476
0.14,1303477
0.14,1303478
0.14,1307092
0.14,1307093
0.14,1307094
0.14,1307095
0.14,1299863
0.14,1299864
0.14,1299865
0.14,1303479
0.14,1303480
0.14,1303481
0.14,1307096
0.14,1307097
0.14,1307098
0.14,1307099
0.13,1299867
0.13,1299868
0.13,1303484
0.13,1303485
0.13,1307103
0.12,1292648
0.12,1292653
0.12,1292654
0.12,1292655
0.12,1292656
0.11,1296286
0.12,1292674
0.12,1292675
0.12,1292676
0.12,1296291
0.1,1292677
0.09,1292681
0.09,1292682
0.09,1292683
0.09,1292684
0.09,1303537
0.09,1303538
0.09,1307154
0.09,1307155
0.09,1299922
0.09,1303539
0.04,1310688
0.04,1310689
0.04,1310690
0.04,1314305
0.07,1314312
0.1,1328779
0.16,1310709
0.16,1310710
0.16,1310711
0.16,1314325
0.16,1314326
0.16,1314327
0.16,1314328
0.16,1317943
0.16,1317944
0.16,1321560
0.16,1321561
0.15,1310712
0.15,1310713
0.15,1310714
0.15,1310715
0.15,1314329
0.15,1314330
0.15,1314331
0.15,1314332
0.15,1317945
0.15,1317946
0.15,1317947
0.15,1317948
0.15,1321562
0.15,1321563
0.15,1321564
0.15,1321565
0.15,1325178
0.15,1325179
0.15,1325180
0.15,1325181
0.15,1328796
0.15,1328797
0.15,1328798
0.09,1310716
0.09,1310717
0.09,1310718
0.09,1314333
0.09,1314334
0.09,1314335
0.09,1314336
0.09,1317949
0.09,1317950
0.09,1317951
0.09,1317952
0.09,1321566
0.09,1321567
0.09,1321568
0.09,1321569
0.09,1325182
0.09,1325183
0.09,1325184
0.09,1325185
0.09,1328799
0.09,1328800
0.09,1328801
0.09,1328802
0.14,1321570
0.13,1310725
0.13,1317958
0.13,1317959
0.13,1321574
0.13,1321575
0.11,1321587
0.11,1321590
0.11,1321601
0.11,1321612
0.11,1321613
0.11,1328846
0.11,1314384
0.11,1318000
0.11,1321614
0.11,1321615
0.11,1321616
0.11,1321617
0.11,1325231
0.11,1325233
0.11,1328847
0.11,1328848
0.09,1310770
0.09,1310771
0.09,1314385
0.09,1314386
0.09,1314387
0.09,1314388
0.09,1318001
0.09,1318002
0.09,1318003
0.09,1321618
0.09,1321619
0.09,1321620
0.09,1321621
0.09,1325237
0.15,1321622
0.01,1332375
0.01,1332376
0.01,1332377
0.01,1335992
0.01,1335993
0.01,1339608
0.01,1339609
0.01,1343229
0.1,1332396
0.12,1346865
0.12,1346868
0.17,1332413
0.17,1332414
0.17,1336030
0.17,1336031
0.16,1332415
0.16,1332416
0.16,1332417
0.16,1332418
0.16,1336032
0.16,1336033
0.16,1336034
0.16,1336035
0.14,1346919
0.14,1346925
0.14,1332463
0.14,1336078
0.14,1336079
0.14,1339696
0.14,1343312
0.14,1346926
0.14,1346927
0.14,1346928
0.14,1346929
0.09,1332464
0.09,1339697
0.09,1339698
0.09,1339699
0.09,1343313
0.09,1343314
0.09,1343315
0.09,1343316
0.09,1346930
0.09,1346931
0.09,1346932
0.09,1346933
0.05,1350407
0.05,1350408
0.05,1354024
0.05,1354025
0.05,1357641
0.05,1361254
0.05,1361255
0.05,1361256
0.05,1361257
0.05,1361258
0.05,1364871
0.05,1364872
0.05,1364873
0.05,1364874
0.06,1350409
0.06,1350410
0.06,1350411
0.06,1350412
0.06,1354026
0.06,1354027
0.06,1357642
0.06,1357643
0.06,1357644
0.06,1361259
0.06,1361260
0.06,1361261
0.06,1364875
0.06,1364876
0.06,1364877
0.06,1364878
0.02,1350413
0.02,1350414
0.02,1361266
0.02,1364881
0.02,1364882
0.04,1357672
0.04,1357673
0.04,1361287
0.04,1361288
0.04,1361289
0.04,1361290
0.04,1364903
0.04,1364904
0.04,1364905
0.04,1364906
0.04,1354060
0.04,1354061
0.04,1357674
0.04,1357675
0.04,1357676
0.04,1357677
0.04,1357678
0.04,1361291
0.04,1361292
0.04,1361293
0.04,1361294
0.04,1364907
0.04,1364908
0.04,1350446
0.04,1350447
0.04,1350448
0.04,1350449
0.04,1354062
0.04,1354063
0.04,1354064
0.04,1354065
0.04,1357679
0.04,1357680
0.04,1350450
0.04,1350451
0.04,1350452
0.04,1350453
0.04,1354066
0.04,1354067
0.07,1361318
0.07,1364933
0.07,1364934
0.07,1364935
0.09,1364936
0.09,1364937
0.09,1364938
0.09,1364939
0.11,1361323
0.11,1364940
0.11,1364942
0.11,1364943
0.13,1357712
0.13,1361327
0.13,1361328
0.13,1361329
0.13,1361331
0.13,1364944
0.13,1364945
0.13,1364946
0.13,1364947
0.11,1350483
0.11,1350484
0.11,1350485
0.11,1354098
0.11,1354099
0.11,1354100
0.11,1354101
0.11,1357715
0.11,1357716
0.11,1357717
0.11,1357718
0.11,1361332
0.11,1361333
0.11,1361334
0.11,1361335
0.11,1364948
0.11,1364949
0.11,1364950
0.11,1364951
0.16,1350486
0.16,1354102
0.16,1354103
0.16,1357719
0.16,1357720
0.16,1361336
0.16,1364952
0.16,1364953
0.14,1354144
0.14,1354145
0.14,1354146
0.14,1361377
0.14,1361378
0.14,1361379
0.16,1354147
0.16,1354148
0.13,1354154
0.13,1361387
0.15,1350538
0.15,1350539
0.15,1350540
0.15,1350541
0.15,1350542
0.15,1354155
0.15,1354156
0.15,1354157
0.15,1354158
0.15,1357772
0.15,1357773
0.15,1357774
0.15,1357775
0.15,1361388
0.15,1361389
0.15,1361390
0.15,1361391
0.15,1365005
0.15,1365006
0.15,1365007
0.15,1365008
0.16,1350543
0.16,1350544
0.16,1350545
0.16,1350546
0.16,1354159
0.16,1354160
0.16,1354161
0.16,1354162
0.16,1357776
0.16,1357777
0.16,1357778
0.16,1357779
0.16,1361392
0.16,1361393
0.16,1361394
0.16,1361395
0.16,1365009
0.16,1365010
0.16,1365011
0.16,1365012
0.12,1350547
0.12,1350548
0.12,1350549
0.12,1354163
0.12,1354164
0.12,1354165
0.12,1354166
0.12,1357780
0.12,1357781
0.12,1357782
0.12,1357783
0.12,1361396
0.12,1361397
0.12,1361398
0.12,1361399
0.12,1365013
0.12,1365014
0.12,1365015
0.12,1365016
0.18,1354167
0.18,1357784
0.18,1357785
0.18,1361400
0.18,1361401
0.18,1361402
0.18,1361403
0.18,1365017
0.18,1365018
0.18,1365019
0.04,1368475
0.04,1368476
0.04,1368477
0.04,1372092
0.04,1372093
0.04,1372094
0.04,1372095
0.04,1375708
0.04,1375709
0.04,1375710
0.04,1375711
0.04,1379325
0.04,1379326
0.04,1379327
0.04,1379328
0.04,1382941
0.04,1382942
0.04,1382943
0.04,1382944
0.04,1386557
0.04,1386558
0.04,1386559
0.04,1386560
0.04,1386561
0.11,1368479
0.11,1368480
0.11,1368481
0.11,1368482
0.11,1372096
0.11,1372097
0.11,1372098
0.11,1372099
0.11,1375712
0.11,1375713
0.11,1375714
0.11,1375715
0.11,1379329
0.11,1379330
0.11,1379331
0.11,1379332
0.11,1382945
0.11,1382946
0.11,1382947
0.11,1386562
0.11,1386563
0.11,1386564
0.15,1368483
0.15,1368484
0.15,1368485
0.15,1368486
0.15,1372100
0.15,1372101
0.15,1372102
0.15,1372103
0.15,1375716
0.15,1375717
0.15,1375718
0.15,1375719
0.15,1379333
0.15,1379334
0.16,1368487
0.16,1368488
0.16,1368489
0.16,1368490
0.16,1372104
0.16,1375720
0.13,1368491
0.13,1368492
0.13,1368493
0.1,1368497
0.1,1368498
0.1,1368499
0.1,1372112
0.1,1372113
0.1,1372114
0.1,1372115
0.1,1375729
0.1,1375730
0.1,1375731
0.1,1379345
0.1,1379346
0.1,1379347
0.1,1379348
0.1,1382961
0.1,1382962
0.1,1382963
0.1,1382964
0.1,1386579
0.1,1386580
0.01,1382976
0.01,1382977
0.01,1386592
0.01,1386593
0.07,1368512
0.07,1368513
0.07,1368514
0.07,1368515
0.07,1372129
0.07,1372130
0.07,1372131
0.07,1375745
0.07,1375746
