prob,cell_id
1,1041148
1,1044764
1,1044765
1,1044766
1,1044767
1,1041149
1,1044768
1,1044769
1,1044770
0.33,1052014
0.33,1052015
0.33,1055631
0.33,1055632
0.33,1055633
0.33,1059250
0.33,1059251
0.33,1059252
0.33,1062869
0.33,1062870
0.95,1078366
0.95,1078367
0.95,1078368
0.78,1074755
0.78,1074756
0.78,1074757
0.78,1078370
0.78,1078371
0.78,1078372
0.78,1078373
0.81,1074758
0.81,1074759
0.81,1074760
0.81,1074761
0.81,1078374
0.81,1078375
0.81,1078376
1,1088222
0.02,1532891
0.02,1536507
0.02,1536508
0.02,1536509
0.02,1540124
0.02,1540125
0.02,1543742
0.01,1551071
0.01,1551072
0.01,1551073
0.01,1554689
0.01,1554690
0.01,1554691
0.01,1554692
0.01,1558307
0.01,1558308
0.01,1558309
0.01,1558310
0.01,1561928
0.01,1565546
0.01,1569164
0.02,1572782
0.02,1576399
0.02,1576400
0.02,1580014
0.02,1580017
0.02,1580018
0.02,1583632
0.02,1583634
0.02,1583635
0.02,1583636
0.02,1587252
0.02,1587253
0.09,1608957
0.03,1590869
0.03,1590870
0.03,1590871
0.03,1594487
0.03,1594488
0.03,1594489
0.03,1598105
0.03,1598106
0.03,1601723
0.03,1605340
0.03,1608958
0.09,1616184
0.09,1619801
0.09,1619802
0.09,1623418
0.09,1623419
0.09,1623420
0.09,1627036
0.09,1627038
0.09,1630653
0.09,1630654
0.09,1630655
0.05,1616185
0.05,1616186
0.05,1619803
0.05,1619804
0.05,1623421
0.05,1627039
0.05,1627040
0.05,1630657
0.05,1630658
0.05,1630660
0.15,1637879
0.15,1641496
0.15,1645114
0.15,1648731
0.15,1648732
0.15,1645115
0.15,1645119
0.15,1648733
0.15,1648734
0.15,1648735
0.15,1648736
0.15,1648737
0.03,1634271
0.03,1634272
0.03,1634273
0.03,1634274
0.03,1637889
0.03,1637890
0.03,1637891
0.03,1637892
0.03,1641506
0.03,1641507
0.03,1641508
0.03,1641509
0.12,1652349
0.12,1652350
0.12,1655966
0.12,1655967
0.12,1655968
0.12,1659583
0.12,1659584
0.12,1663201
0.12,1663202
0.12,1663204
0.12,1666818
0.12,1666819
0.12,1666820
0.12,1666821
0.12,1666822
0.12,1670437
0.12,1670438
0.12,1670439
0.12,1670440
0.16,1673993
0.16,1677611
0.16,1681229
0.16,1681230
0.16,1684846
0.16,1684848
0.16,1688464
0.16,1692082
0.11,1684907
0.11,1688524
0.11,1692141
0.11,1692142
0.02,1674093
0.02,1677711
0.11,1706583
0.11,1710200
0.11,1710201
0.13,1702970
0.11,1710227
0.12,1713789
0.12,1713790
0.12,1717407
0.12,1721024
0.12,1721025
0.12,1724642
0.12,1728260
0.12,1731878
0.24,1713818
0.24,1713819
0.24,1731906
0.24,1731907
0.24,1731908
0.26,1728295
0.26,1728296
0.26,1731913
0.26,1731914
0.26,1731915
0.26,1731916
0.18,1728301
0.18,1728302
0.18,1728303
0.18,1731917
0.18,1731918
0.18,1731919
0.29,1724686
0.29,1724687
0.29,1724688
0.29,1724689
0.29,1724690
0.29,1728304
0.29,1728305
0.29,1728306
0.29,1728307
0.18,1713844
0.18,1713845
0.18,1717462
0.18,1717463
0.18,1721080
0.18,1721081
0.18,1724698
0.18,1728313
0.18,1728314
0.18,1728315
0.18,1728316
0.18,1731931
0.18,1731932
0.18,1731933
0.01,1728361
0.25,1757295
0.1,1775369
0.46,1789846
0.79,1775377
0.79,1775378
0.79,1775379
0.79,1778995
0.79,1778996
0.79,1782612
0.79,1782613
0.79,1786230
0.79,1789847
0.79,1789850
0.79,1793467
0.79,1793468
1,1797079
1,1797080
0.41,1797085
0.41,1797086
0.41,1804321
0.41,1807938
0.41,1807939
0.41,1811555
0.41,1811556
0.17,1797087
0.17,1797088
0.17,1800704
0.17,1800705
0.17,1800706
0.17,1804322
0.17,1804323
0.26,1818740
0.26,1818741
0.26,1818742
0.26,1818743
0.26,1822357
0.26,1822360
0.26,1822361
0.23,1818744
0.23,1818746
0.23,1818747
0.23,1822362
0.23,1822363
0.23,1822364
0.23,1825979
0.23,1825980
0.23,1825981
0.23,1829597
0.23,1829598
0.96,1818757
0.96,1818758
0.96,1818759
0.96,1818760
0.96,1818761
0.96,1822376
0.96,1822377
0.77,1829647
0.77,1829648
0.77,1829649
0.77,1829650
0.77,1833265
0.77,1833266
0.77,1833267
0.77,1833268
0.77,1836883
0.77,1836884
0.77,1836885
0.97,1854871
1,1840403
1,1840404
1,1844020
1,1844021
1,1844022
1,1847636
1,1847637
1,1847638
1,1847639
1,1847640
1,1851254
1,1851255
1,1851256
1,1851257
1,1851258
1,1854872
1,1854873
1,1854874
1,1854875
1,1840405
1,1840406
1,1840407
1,1840408
1,1840409
1,1844023
1,1844024
1,1844025
1,1844026
1,1844027
1,1847641
0.76,1840432
0.76,1840433
0.76,1840435
0.76,1840436
0.76,1844050
0.76,1844053
0.76,1844054
0.76,1847668
0.76,1847671
0.76,1851289
0.84,1840437
0.84,1840438
0.84,1840439
0.84,1844055
0.84,1844056
0.84,1844058
0.84,1847672
0.84,1847673
0.84,1847674
0.84,1847675
0.84,1847676
0.84,1851290
0.84,1851291
0.84,1851292
0.84,1851293
0.84,1851294
0.23,1840441
0.23,1840442
0.23,1844059
0.23,1844060
0.23,1847677
1,1876576
1,1876577
0.74,1858490
0.74,1858491
1,1858499
1,1858500
1,1858502
1,1862119
1,1862120
1,1865737
1,1869355
1,1872972
1,1872973
0.58,1858517
0.58,1858518
0.58,1858519
0.58,1862135
0.58,1862136
0.58,1865752
0.58,1865753
0.58,1865754
0.58,1869370
0.58,1869371
0.58,1872987
0.58,1872988
0.58,1876605
0.58,1876606
1,1880194
1,1883825
1,1883826
1,1887442
1,1887443
1,1887444
1,1891059
1,1891060
1,1891061
1,1894676
1,1894677
1,1898293
1,1898294
0.79,1880223
0.79,1883840
0.79,1883841
0.79,1887458
0.79,1887459
0.79,1891076
0.79,1891077
0.79,1898311
0.87,1916380
0.77,1905529
0.77,1905530
0.77,1909146
0.77,1909147
0.77,1912764
0.77,1916381
1,1901916
1,1901917
1,1901918
1,1901919
1,1905533
1,1905534
1,1905535
1,1909151
1,1909152
1,1912769
1,1912770
1,1912771
1,1912772
1,1916389
1,1901920
1,1901921
1,1901922
1,1905537
1,1905538
1,1905539
1,1905540
1,1909155
1,1909156
1,1909157
1,1912773
1,1912774
1,1912775
1,1916390
1,1916391
1,1916392
1,1916393
1,1916394
1,1920008
1,1920009
1,1920010
1,1920011
1,1920012
0.79,1901925
0.79,1901926
0.79,1901927
0.79,1901928
0.79,1905542
0.79,1905543
0.79,1905544
0.79,1905545
0.79,1909160
0.79,1909161
0.79,1909162
0.79,1912777
0.79,1912778
0.79,1916395
0.33,1902006
0.33,1902007
0.33,1905624
0.76,1927233
0.76,1930850
0.76,1930851
0.82,1927234
0.82,1927237
0.82,1927238
0.82,1930854
0.82,1930855
0.82,1930856
1,1927239
1,1927242
1,1930858
1,1930859
1,1930860
1,1941710
1,1941711
1,1941712
1,1941713
1,1923626
1,1923627
1,1930864
1,1930865
1,1934481
1,1934482
1,1938099
1,1938100
1,1941714
1,1941715
1,1941717
1,1941718
1,1927248
1,1927249
1,1927250
1,1930866
1,1930867
1,1934483
1,1934484
1,1938101
1,1938102
1,1941719
0.18,1941803
0.18,1941804
0.75,1959797
0.75,1963414
0.73,1945327
0.73,1945328
0.73,1945329
0.73,1945330
0.73,1945331
0.73,1948945
0.73,1948946
0.73,1948947
0.73,1948948
0.73,1952565
0.73,1952566
0.73,1956183
0.73,1956184
0.73,1963415
0.99,1945332
0.99,1945333
0.99,1945334
0.99,1945335
0.99,1948950
0.99,1948951
0.99,1948952
0.99,1948953
0.99,1952567
0.99,1952568
0.99,1952569
0.99,1952570
0.99,1952571
0.99,1956185
0.99,1956187
0.99,1956188
1,1945336
1,1948954
0.77,1966978
0.77,1966979
0.77,1966980
0.77,1966981
0.77,1966982
0.77,1970596
0.77,1970597
0.77,1970598
0.77,1970599
0.77,1974213
0.77,1974214
0.77,1974215
0.77,1974216
0.77,1974217
0.77,1977831
0.77,1977832
0.77,1977833
0.77,1977834
0.77,1981448
0.77,1981449
0.77,1981450
0.77,1981451
0.77,1981452
0.77,1966983
0.77,1966984
0.77,1966985
0.77,1966986
0.77,1970600
0.77,1970601
0.77,1970602
0.77,1970603
0.77,1970604
0.77,1974218
0.77,1974219
0.77,1974220
0.77,1974221
0.77,1977835
0.77,1977836
0.77,1977837
0.77,1977838
0.77,1977839
0.77,1981453
0.77,1981454
0.77,1981455
0.77,1981456
0.77,1981457
0.81,1970645
0.74,1967028
0.74,1967029
0.74,1967031
0.74,1967032
0.74,1970646
0.74,1970648
0.74,1970649
0.74,1970650
0.74,1974266
0.74,1974267
0.74,1977881
0.74,1977882
0.74,1977883
0.74,1977884
0.74,1981500
0.74,1981501
1,1974363
1,1999583
1,1999584
0.27,1985117
0.27,1985118
0.27,1988734
0.27,1988735
0.77,2017670
0.77,2010435
0.77,2014053
1,2017677
1,2024911
1,2024912
1,2024913
0.62,2025678
0.62,2025679
0.62,2029295
0.62,2029296
0.62,2032912
0.62,2032913
0.57,2028527
0.57,2032143
0.57,2032144
0.57,2032145
0.57,2035759
0.57,2035760
0.57,2035761
0.57,2035762
0.57,2039376
0.57,2039377
0.57,2039378
0.57,2039379
0.57,2039380
0.57,2042994
0.57,2042995
0.57,2042996
0.57,2042997
0.57,2046612
0.57,2046613
0.57,2046614
1,2028528
1,2028529
1,2028530
1,2032146
1,2032147
1,2032149
1,2035763
1,2035764
1,2035766
1,2035767
1,2039381
1,2039383
1,2039384
1,2032150
1,2032151
1,2035768
1,2039385
0.48,2047399
0.48,2047400
0.48,2051014
0.48,2051015
0.48,2051016
0.48,2054631
0.48,2058247
0.48,2058248
0.7,2053838
0.7,2053839
0.7,2053840
0.7,2057456
0.7,2057457
0.57,2050228
0.57,2053844
0.57,2053845
0.57,2057462
0.57,2057463
0.57,2061079
0.57,2061080
0.57,2061081
0.57,2064697
0.57,2064698
0.27,2050229
0.27,2050230
0.27,2050231
0.27,2053846
0.27,2053847
0.27,2057464
0.27,2057465
0.27,2061082
0.27,2064699
0.48,2057585
0.48,2057586
0.48,2061202
0.48,2061203
0.48,2064820
0.48,2064821
0.48,2064822
0.48,2068438
0.48,2068439
0.69,2086394
0.69,2090011
0.69,2090012
0.32,2071929
0.32,2075546
0.32,2079164
0.32,2086395
0.32,2086396
0.32,2086399
0.32,2090013
0.32,2090015
0.32,2090016
0.51,2071930
0.51,2071931
0.51,2071932
0.51,2075547
0.51,2075548
0.51,2075549
0.51,2079165
0.51,2086400
0.51,2090017
0.04,2079279
0.04,2079280
0.04,2082896
0.04,2082897
0.04,2082898
0.83,2072057
0.83,2082909
0.83,2082910
0.83,2086526
0.83,2086527
0.83,2086528
0.83,2090144
0.83,2090145
0.83,2090146
0.67,2108092
0.67,2108093
0.67,2108094
0.67,2111709
0.67,2111710
0.67,2111711
0.59,2093628
0.59,2093629
0.59,2097247
0.59,2100863
0.59,2100864
0.59,2104480
0.59,2104481
0.59,2104482
0.59,2108098
0.59,2108099
0.59,2108100
0.59,2111716
0.59,2111717
0.52,2093630
0.52,2093632
0.52,2093633
0.52,2093634
0.52,2097249
0.52,2097250
0.52,2097251
0.52,2100865
0.52,2100866
0.52,2100867
0.52,2100868
0.52,2100869
0.52,2104483
0.52,2104484
0.52,2104485
0.52,2104486
0.52,2108102
0.52,2108103
0.52,2111718
0.52,2111719
0.52,2111720
1,2100997
1,2100998
1,2104614
1,2104615
1,2104616
1,2108232
1,2108233
1,2111850
1,2111851
0.46,2115306
0.65,2115323
0.65,2115324
0.65,2115325
0.65,2118940
0.65,2118941
0.65,2118942
0.65,2118943
0.65,2122557
0.65,2122558
0.65,2122559
0.5,2118944
0.5,2118945
0.5,2122563
0.5,2122564
0.5,2122565
0.5,2126181
0.5,2126182
0.5,2126183
0.5,2129798
0.5,2129799
0.5,2133417
0.48,2115332
0.48,2115333
0.48,2115334
0.48,2115335
0.48,2118949
0.48,2118950
0.48,2118951
0.48,2118952
0.48,2122566
0.48,2122567
0.48,2122568
0.48,2122569
0.48,2122570
0.48,2126184
0.48,2126185
0.48,2126186
0.48,2126187
0.48,2129801
0.48,2129802
0.48,2129803
0.48,2129804
0.48,2133419
0.48,2133420
0.48,2133421
0.54,2115336
0.54,2118953
0.54,2122571
0.83,2147837
0.83,2147838
1,2144233
1,2147850
1,2136999
1,2137000
1,2137001
1,2140616
1,2140617
1,2144234
1,2144235
1,2147851
1,2147852
0.42,2140622
0.42,2140625
1,2137008
1,2137009
1,2140626
1,2137071
1,2137072
1,2140688
1,2140689
1,2144305
1,2144306
1,2155253
1,2155254
0.97,2158690
0.97,2173160
0.97,2176777
0.44,2173190
0.44,2173191
0.44,2176807
0.44,2176808
0.5,2158870
0.5,2158871
0.5,2162487
0.5,2162488
0.36,2180393
0.36,2180394
0.36,2184010
0.36,2184011
0.36,2187627
0.36,2187628
0.36,2191245
0.36,2191246
0.36,2194862
0.36,2194863
0.36,2198480
0.36,2198481
0.53,2198490
0.72,2198491
0.72,2198492
0.74,2191269
0.74,2194885
0.74,2194886
0.74,2194887
0.74,2198501
0.74,2198502
0.74,2198503
0.74,2198504
1,2187654
1,2187655
1,2191271
1,2191272
1,2194890
1,2198507
0.49,2180424
0.49,2180425
0.49,2180426
0.49,2180427
0.49,2184041
0.49,2184042
0.49,2184043
0.49,2184044
0.49,2187658
0.49,2187659
0.49,2187660
0.49,2187661
0.49,2187662
0.49,2191276
0.49,2191277
0.49,2191278
0.49,2191279
0.71,2184045
1,2184194
1,2184195
1,2187811
1,2187812
1,2191428
1,2191429
0.53,2202097
0.53,2202098
0.53,2205714
0.53,2205715
0.53,2209331
0.53,2209332
0.53,2212948
0.53,2212949
0.53,2216565
0.53,2216566
0.53,2220182
0.53,2220183
0.45,2202107
0.45,2202108
0.76,2202109
0.84,2202115
0.84,2202116
0.84,2202117
0.84,2205732
0.84,2205733
0.84,2205734
0.84,2205735
0.84,2209349
0.84,2209350
0.84,2209351
0.84,2209352
0.84,2212966
0.84,2212968
0.84,2212969
0.84,2212970
0.84,2216585
0.84,2216586
0.84,2220203
0.84,2220204
0.36,2202118
0.36,2202119
0.36,2202120
0.36,2202121
0.36,2205736
0.36,2205737
0.36,2205738
0.36,2209353
0.36,2209354
0.36,2209355
0.57,2209518
0.57,2213135
0.57,2213136
1,2209519
0.86,2206020
0.86,2209637
1,2223800
1,2223801
1,2227417
1,2227418
1,2231034
1,2231035
1,2234652
1,2238269
1,2238270
1,2241887
0.99,2245503
0.99,2249121
0.99,2252738
0.99,2256355
0.99,2256356
0.99,2259972
0.99,2259973
0.99,2263589
0.99,2263590
1,2245504
1,2252739
0.02,2267180
0.02,2267181
0.02,2267182
0.02,2267183
0.02,2267184
0.02,2270798
0.02,2270799
0.02,2270800
0.02,2270801
0.02,2270802
0.02,2274415
0.02,2274416
0.02,2274417
0.02,2274418
0.02,2274419
0.02,2278033
0.02,2278034
0.02,2278035
0.02,2278036
0.02,2281650
0.02,2281651
0.02,2281652
0.02,2281653
0.02,2281654
0.71,2267185
0.71,2267186
0.71,2267187
0.71,2270803
0.71,2270804
0.71,2274420
0.71,2274421
0.71,2274422
0.71,2278037
0.71,2278038
1,2267195
1,2267196
1,2270812
1,2270813
1,2270814
1,2274430
1,2274431
1,2278048
1,2278049
1,2281665
1,2281666
1,2281667
1,2285283
1,2285284
1,2285285
1,2285286
1,2278056
1,2281673
1,2285290
0.83,2267206
0.83,2267207
0.83,2270823
0.83,2270824
0.83,2274440
0.83,2274441
0.83,2274443
0.83,2278057
0.83,2278060
0.83,2281674
0.83,2281677
0.83,2281678
0.83,2285291
1,2274444
1,2278061
0.18,2288875
0.18,2288876
0.18,2288877
0.18,2288878
0.18,2288879
0.18,2292493
0.18,2292494
0.18,2292495
0.18,2292496
0.18,2292497
0.18,2296110
0.18,2296111
0.18,2296112
0.18,2296113
0.18,2296114
0.18,2299729
0.18,2299730
0.18,2299731
0.91,2288880
0.91,2288881
0.91,2288882
0.91,2288883
0.91,2288884
0.89,2288901
0.89,2288902
0.89,2288903
0.89,2292519
0.89,2292520
0.89,2296138
0.95,2288904
0.95,2288908
0.95,2292521
0.95,2292522
0.95,2292525
0.95,2296139
0.95,2296140
0.95,2296142
0.95,2296143
0.95,2299756
0.95,2299757
0.95,2299758
0.95,2299759
0.95,2299760
0.95,2303374
0.95,2303375
0.95,2303377
0.95,2303378
0.95,2306992
0.95,2306993
0.95,2306994
0.95,2306995
1,2303382
1,2306999
1,2307000
1,2303383
1,2303384
1,2307001
1,2307002
0.69,2310609
0.69,2310610
0.69,2310611
0.69,2310612
0.69,2314228
0.69,2314229
1,2310618
1,2310619
1,2343178
1,2343179
1,2346795
1,2346796
1,2350413
0.07,2346797
0.07,2350414
1,2354031
1,2357647
1,2357648
1,2361264
1,2361265
1,2361266
1,2364881
1,2364882
1,2364883
