prob,cell_id
0.01,1757291
0.01,1757292
0.01,1757293
0.01,1757294
0.01,1760909
0.01,1760910
0.01,1760911
0.01,1760912
0.01,1764526
0.01,1768144
0.13,1757295
0.16,1775377
0.16,1775378
0.16,1775379
0.16,1778995
0.16,1778996
0.16,1782612
0.16,1782613
0.16,1786230
0.16,1789847
0.16,1789850
0.16,1793467
0.16,1793468
0.28,1789851
0.28,1789852
0.28,1793469
0.01,1797033
0.01,1815122
0.01,1815123
0.01,1815124
0.01,1815125
0.02,1811511
0.02,1811512
0.02,1815128
0.02,1815129
0.02,1815130
0.03,1797042
0.03,1797043
0.03,1797044
0.03,1797045
0.03,1800661
0.03,1800662
0.03,1800663
0.03,1804278
0.03,1804279
0.03,1804281
0.03,1807895
0.03,1807896
0.03,1807897
0.03,1811513
0.16,1797046
0.16,1797047
0.16,1800664
0.16,1800665
0.16,1804282
0.16,1804283
0.16,1804284
0.16,1804285
0.16,1807900
0.16,1807901
0.16,1807902
0.16,1807903
0.16,1811519
0.16,1811520
0.16,1811521
0.16,1815137
0.16,1815138
0.16,1815139
0.11,1807908
0.11,1811525
0.11,1815140
0.11,1815141
0.11,1815142
0.11,1815143
0.04,1797057
0.04,1797058
0.04,1800674
0.04,1800675
0.04,1804291
0.04,1804292
0.04,1807909
0.04,1811526
0.44,1797087
0.44,1797088
0.44,1800704
0.44,1800705
0.44,1800706
0.44,1804322
0.44,1804323
0.04,1818681
0.07,1825966
0.07,1833201
0.07,1836819
0.07,1836823
0.16,1818739
0.16,1822355
0.16,1822356
0.16,1825972
0.16,1825973
0.16,1829590
0.16,1829591
0.16,1833207
0.16,1833208
0.16,1836824
0.16,1836825
0.31,1818740
0.31,1818741
0.31,1818742
0.31,1818743
0.31,1822357
0.31,1822360
0.31,1822361
0.42,1818744
0.42,1818746
0.42,1818747
0.42,1822362
0.42,1822363
0.42,1822364
0.42,1825979
0.42,1825980
0.42,1825981
0.42,1829597
0.42,1829598
0.63,1818757
0.63,1818758
0.63,1818759
0.63,1818760
0.63,1818761
0.63,1822376
0.63,1822377
0.5,1829647
0.5,1829648
0.5,1829649
0.5,1829650
0.5,1833265
0.5,1833266
0.5,1833267
0.5,1833268
0.5,1836883
0.5,1836884
0.5,1836885
0.11,1840403
0.11,1840404
0.11,1844020
0.11,1844021
0.11,1844022
0.11,1847636
0.11,1847637
0.11,1847638
0.11,1847639
0.11,1847640
0.11,1851254
0.11,1851255
0.11,1851256
0.11,1851257
0.11,1851258
0.11,1854872
0.11,1854873
0.11,1854874
0.11,1854875
0.06,1840405
0.06,1840406
0.06,1840407
0.06,1840408
0.06,1840409
0.06,1844023
0.06,1844024
0.06,1844025
0.06,1844026
0.06,1844027
0.06,1847641
0.01,1840419
0.01,1844037
0.01,1847654
0.01,1847655
0.01,1851272
0.01,1851273
0.01,1854890
0.13,1840431
0.13,1844049
0.13,1847666
0.13,1847667
0.13,1851283
0.13,1851284
0.13,1851285
0.13,1854900
0.13,1854901
0.38,1840432
0.38,1840433
0.38,1840435
0.38,1840436
0.38,1844050
0.38,1844053
0.38,1844054
0.38,1847668
0.38,1847671
0.38,1851289
0.5,1840437
0.5,1840438
0.5,1840439
0.5,1844055
0.5,1844056
0.5,1844058
0.5,1847672
0.5,1847673
0.5,1847674
0.5,1847675
0.5,1847676
0.5,1851290
0.5,1851291
0.5,1851292
0.5,1851293
0.5,1851294
0.43,1840441
0.43,1840442
0.43,1844059
0.43,1844060
0.43,1847677
0.32,1876576
0.32,1876577
0.03,1858508
0.03,1862125
0.41,1858517
0.41,1858518
0.41,1858519
0.41,1862135
0.41,1862136
0.41,1865752
0.41,1865753
0.41,1865754
0.41,1869370
0.41,1869371
0.41,1872987
0.41,1872988
0.41,1876605
0.41,1876606
0.59,1858590
0.59,1858591
0.59,1858592
0.59,1862207
0.59,1862208
0.59,1862209
0.36,1883825
0.36,1883826
0.36,1887442
0.36,1887443
0.36,1887444
0.36,1891059
0.36,1891060
0.36,1891061
0.36,1894676
0.36,1894677
0.36,1898293
0.36,1898294
0.3,1880209
0.3,1880210
0.3,1880211
0.3,1883827
0.3,1883828
0.3,1887445
0.3,1887446
0.3,1891062
0.3,1891063
0.3,1891064
0.3,1891065
0.3,1894681
0.3,1894682
0.3,1894683
0.3,1898298
0.3,1898299
0.3,1898300
0.29,1891068
0.29,1891069
0.29,1894685
0.29,1894686
0.29,1894687
0.29,1898302
0.29,1898303
0.29,1898304
0.44,1880222
0.44,1883839
0.44,1887457
0.44,1891075
0.44,1894692
0.44,1894693
0.44,1898310
0.7,1880223
0.7,1883840
0.7,1883841
0.7,1887458
0.7,1887459
0.7,1891076
0.7,1891077
0.7,1898311
0.59,1916380
0.59,1905529
0.59,1905530
0.59,1909146
0.59,1909147
0.59,1912764
0.59,1916381
0.53,1901916
0.53,1901917
0.53,1901918
0.53,1901919
0.53,1905533
0.53,1905534
0.53,1905535
0.53,1909151
0.53,1909152
0.53,1912769
0.53,1912770
0.53,1912771
0.53,1912772
0.53,1916389
0.56,1901920
0.56,1901921
0.56,1901922
0.56,1905537
0.56,1905538
0.56,1905539
0.56,1905540
0.56,1909155
0.56,1909156
0.56,1909157
0.56,1912773
0.56,1912774
0.56,1912775
0.56,1916390
0.56,1916391
0.56,1916392
0.56,1916393
0.56,1916394
0.56,1920008
0.56,1920009
0.56,1920010
0.56,1920011
0.56,1920012
0.55,1901925
0.55,1901926
0.55,1901927
0.55,1901928
0.55,1905542
0.55,1905543
0.55,1905544
0.55,1905545
0.55,1909160
0.55,1909161
0.55,1909162
0.55,1912777
0.55,1912778
0.55,1916395
0.8,1927234
0.8,1927237
0.8,1927238
0.8,1930854
0.8,1930855
0.8,1930856
0.76,1927239
0.76,1927242
0.76,1930858
0.76,1930859
0.76,1930860
0.76,1941710
0.76,1941711
0.76,1941712
0.76,1941713
0.7,1923626
0.7,1923627
0.7,1930864
0.7,1930865
0.7,1934481
0.7,1934482
0.7,1938099
0.7,1938100
0.7,1941714
0.7,1941715
0.7,1941717
0.7,1941718
0.81,1927248
0.81,1927249
0.81,1927250
0.81,1930866
0.81,1930867
0.81,1934483
0.81,1934484
0.81,1938101
0.81,1938102
0.81,1941719
0.58,1941803
0.58,1941804
1,1959797
1,1963414
0.93,1945327
0.93,1945328
0.93,1945329
0.93,1945330
0.93,1945331
0.93,1948945
0.93,1948946
0.93,1948947
0.93,1948948
0.93,1952565
0.93,1952566
0.93,1956183
0.93,1956184
0.93,1963415
0.86,1945332
0.86,1945333
0.86,1945334
0.86,1945335
0.86,1948950
0.86,1948951
0.86,1948952
0.86,1948953
0.86,1952567
0.86,1952568
0.86,1952569
0.86,1952570
0.86,1952571
0.86,1956185
0.86,1956187
0.86,1956188
0.94,1945336
0.94,1948954
0.02,1966983
0.02,1966984
0.02,1966985
0.02,1966986
0.02,1970600
0.02,1970601
0.02,1970602
0.02,1970603
0.02,1970604
0.02,1974218
0.02,1974219
0.02,1974220
0.02,1974221
0.02,1977835
0.02,1977836
0.02,1977837
0.02,1977838
0.02,1977839
0.02,1981453
0.02,1981454
0.02,1981455
0.02,1981456
0.02,1981457
1,1967028
1,1967029
1,1967031
1,1967032
1,1970646
1,1970648
1,1970649
1,1970650
1,1974266
1,1974267
1,1977881
1,1977882
1,1977883
1,1977884
1,1981500
1,1981501
1,1999583
1,1999584
1,1985117
1,1985118
1,1988734
1,1988735
0.98,2010435
0.98,2014053
0.98,2017677
0.98,2024911
0.98,2024912
0.98,2024913
0.39,2025678
0.39,2025679
0.39,2029295
0.39,2029296
0.39,2032912
0.39,2032913
0.42,2036536
0.42,2036537
0.42,2040153
0.42,2040154
0.01,2028459
0.01,2028460
0.01,2028461
0.01,2028462
0.01,2032076
0.01,2032077
0.01,2032078
0.01,2032079
0.01,2032080
0.01,2035694
0.01,2035695
0.01,2035696
0.01,2035697
0.01,2039311
0.01,2039312
0.01,2039313
0.01,2039314
0.01,2039315
0.01,2042929
0.01,2042930
0.01,2042931
0.01,2042932
0.01,2046546
0.01,2046547
0.01,2046548
0.01,2046549
0.01,2046550
0.92,2028527
0.92,2032143
0.92,2032144
0.92,2032145
0.92,2035759
0.92,2035760
0.92,2035761
0.92,2035762
0.92,2039376
0.92,2039377
0.92,2039378
0.92,2039379
0.92,2039380
0.92,2042994
0.92,2042995
0.92,2042996
0.92,2042997
0.92,2046612
0.92,2046613
0.92,2046614
0.96,2028528
0.96,2028529
0.96,2028530
0.96,2032146
0.96,2032147
0.96,2032149
0.96,2035763
0.96,2035764
0.96,2035766
0.96,2035767
0.96,2039381
0.96,2039383
0.96,2039384
0.98,2032150
0.98,2032151
0.98,2035768
0.98,2039385
0.41,2047399
0.41,2047400
0.41,2051014
0.41,2051015
0.41,2051016
0.41,2054631
0.41,2058247
0.41,2058248
0.99,2053838
0.99,2053839
0.99,2053840
0.99,2057456
0.99,2057457
0.95,2050228
0.95,2053844
0.95,2053845
0.95,2057462
0.95,2057463
0.95,2061079
0.95,2061080
0.95,2061081
0.95,2064697
0.95,2064698
1,2050229
1,2050230
1,2050231
1,2053846
