prob,cell_id
0.03,1983116
0.03,1983117
0.03,1983118
0.03,1983119
0.03,1983120
0.03,1986733
0.03,1986734
0.03,1986735
0.03,1986736
0.06,1983121
0.06,1986737
0.01,2026460
0.01,2026461
0.01,2026462
0.01,2026463
0.01,2030076
0.01,2030077
0.01,2030078
0.01,2030079
0.01,2030080
0.01,2033693
0.01,2033694
0.01,2033695
0.01,2033696
0.01,2033697
0.01,2037310
0.01,2037311
0.01,2037312
0.01,2037313
0.02,2026464
0.02,2026465
0.02,2026466
0.02,2026467
0.02,2026468
0.02,2030081
0.02,2030082
0.02,2030083
0.02,2030084
0.02,2030085
0.02,2033698
0.02,2033699
0.02,2033700
0.02,2033701
0.02,2037314
0.02,2037315
0.02,2037316
0.02,2037317
0.02,2037318
0.02,2040931
0.02,2040932
0.04,2026469
0.04,2026470
0.04,2026471
0.04,2026472
0.04,2026473
0.04,2030086
0.04,2030087
0.04,2030088
0.04,2030089
0.04,2033702
0.04,2033703
0.04,2033704
0.04,2033705
0.04,2037319
0.04,2037320
0.04,2037321
0.06,2026474
0.06,2026475
0.06,2026476
0.06,2026477
0.06,2030090
0.06,2030091
0.06,2030092
0.06,2030093
0.06,2030094
0.11,2026478
0.11,2026479
0.11,2026480
0.11,2026481
0.11,2026482
0.11,2030095
0.11,2030096
0.11,2030097
0.11,2030098
0.11,2030099
0.11,2026483
0.11,2026484
0.11,2026485
0.11,2026486
0.11,2026487
0.11,2030100
0.11,2030101
0.11,2030102
0.11,2030103
0.17,2026488
0.17,2026489
0.17,2026490
0.17,2026491
0.17,2030104
0.17,2030105
0.17,2030106
0.17,2030107
0.17,2030108
0.17,2033721
0.17,2033722
0.17,2033723
0.17,2033724
0.17,2037337
0.17,2037338
0.17,2037339
0.17,2037340
0.17,2037341
0.25,2026492
0.25,2026493
0.25,2026494
0.25,2026495
0.25,2030109
0.25,2030110
0.25,2033725
0.25,2037342
0.02,2026544
0.02,2026545
0.02,2026546
0.02,2026547
0.02,2030163
0.02,2037397
0.17,2048141
0.17,2048142
0.17,2048143
0.17,2048144
0.17,2051757
0.17,2051758
0.17,2051759
0.17,2051760
0.25,2048145
0.25,2048146
0.31,2048163
0.04,2048249
0.04,2048250
0.04,2048251
0.04,2051866
0.04,2051867
0.04,2051868
0.04,2055483
0.04,2055484
0.04,2059100
0.04,2059101
0.04,2062717
0.04,2062718
0.04,2066334
0.03,2069952
0.03,2069953
0.03,2069954
0.03,2069955
0.03,2073569
0.03,2073570
0.03,2073571
0.03,2073572
0.03,2077186
0.03,2077187
0.03,2077188
0.03,2077189
0.03,2080803
0.03,2080804
0.03,2080805
0.03,2084419
0.03,2084420
0.03,2084421
0.03,2084422
0.03,2088037
0.03,2088038
0.03,2088039
1,2088072
1,2073613
1,2073614
1,2077230
1,2077231
1,2080846
1,2080847
1,2084463
1,2084464
1,2088080
1,2088081
0.81,2073615
0.81,2073616
0.81,2073617
0.81,2073618
0.81,2073619
0.81,2077232
0.81,2077233
0.81,2077234
0.81,2077235
0.81,2080848
0.81,2080849
0.81,2080850
0.81,2080851
0.81,2080852
0.81,2084465
0.81,2084466
0.81,2084467
0.81,2084468
0.81,2084469
0.81,2088082
0.81,2088083
0.81,2088084
0.81,2088085
0.72,2077236
0.72,2077237
0.72,2077238
0.72,2080853
0.72,2080854
0.72,2080855
0.72,2080856
0.72,2080857
0.72,2084470
0.72,2084471
0.72,2084472
0.72,2084473
0.72,2088086
0.72,2088087
0.72,2088088
0.72,2088089
0.72,2088090
0.67,2084474
0.67,2088091
0.67,2088092
0.67,2088093
0.67,2088094
0.13,2091653
0.13,2091654
0.13,2091655
0.13,2095271
0.13,2095272
0.13,2098889
0.13,2102505
0.13,2106122
0.13,2109738
0.02,2091656
0.02,2091657
0.02,2091658
0.02,2091659
0.02,2091660
0.02,2095273
0.02,2095274
0.02,2095275
0.02,2095276
0.02,2095277
0.02,2098890
0.02,2098891
0.02,2098892
0.02,2098893
0.02,2102506
0.02,2102507
0.02,2102508
0.02,2102509
0.02,2102510
0.02,2106123
0.02,2106124
0.02,2106125
0.02,2106126
0.02,2109739
0.02,2109740
0.02,2109741
0.02,2109742
0.02,2109743
0.04,2091661
0.04,2091662
0.04,2091663
0.04,2091664
0.04,2091665
0.04,2095278
0.04,2095279
0.04,2095280
0.04,2095281
0.04,2098894
0.04,2098895
0.04,2098896
0.04,2098897
0.04,2098898
0.04,2102511
0.04,2102512
0.04,2102513
0.04,2102514
0.04,2102515
0.04,2106127
0.04,2106128
0.04,2106129
0.04,2106130
0.04,2106131
0.04,2109744
0.04,2109745
0.04,2109746
0.04,2109747
0.04,2109748
0.39,2091687
0.39,2091688
0.39,2095305
0.39,2098921
0.39,2102538
0.39,2106155
0.39,2109771
1,2091689
1,2098922
1,2102539
1,2109772
1,2091696
1,2091697
1,2095314
1,2098931
1,2102547
1,2106164
1,2109781
0.87,2091698
0.87,2091699
0.87,2091700
0.87,2091701
0.87,2091702
0.87,2095315
0.87,2095316
0.87,2095317
0.87,2095318
0.87,2095319
0.87,2098932
0.87,2098933
0.87,2098934
0.87,2098935
0.87,2102548
0.87,2102549
0.87,2102550
0.87,2102551
0.87,2102552
0.87,2106165
0.87,2106166
0.87,2106167
0.87,2106168
0.87,2106169
0.87,2109782
0.87,2109783
0.87,2109784
0.87,2109785
0.77,2091703
0.77,2091704
0.77,2091705
0.77,2091706
0.77,2091707
0.77,2095320
0.77,2095321
0.77,2095322
0.77,2095323
0.77,2098936
0.77,2098937
0.77,2098938
0.77,2098939
0.77,2098940
0.77,2102553
0.77,2102554
0.77,2102555
0.77,2102556
0.77,2102557
0.77,2106170
0.77,2106171
0.77,2106172
0.77,2106173
0.77,2109786
0.77,2109787
0.77,2109788
0.66,2091708
0.66,2091709
0.66,2091710
0.66,2091711
0.66,2095324
0.66,2095325
0.66,2095326
0.66,2095327
0.66,2095328
0.66,2098941
0.66,2098942
0.66,2098943
0.66,2098944
0.66,2098945
0.66,2102558
0.66,2102559
0.66,2102560
0.66,2102561
0.66,2106174
0.66,2106175
0.66,2106176
0.66,2106177
0.66,2106178
0.66,2109791
0.66,2109792
0.66,2109793
0.66,2109794
0.66,2109795
0.65,2091712
0.65,2095329
0.65,2095330
0.65,2098946
0.65,2098947
0.65,2098948
0.65,2102562
0.65,2102563
0.65,2102564
0.65,2102565
0.65,2102566
0.65,2106179
0.65,2106180
0.65,2106181
0.65,2106182
0.65,2106183
0.65,2109796
0.65,2109797
0.65,2109798
0.65,2109799
0.64,2102567
0.64,2109800
