prob,cell_id
0.44,435966
0.42,435967
0.42,435968
0.42,435969
0.41,432353
0.41,432354
0.41,435970
0.41,435971
0.4,435972
0.4,435973
0.4,435974
0.4,432357
0.4,432358
0.4,432359
0.4,435975
0.4,435976
0.4,432360
0.4,435977
0.4,435978
0.4,435979
0.39,435983
0.39,435984
0.38,432367
0.38,432368
0.38,435985
0.38,435986
0.37,435987
0.37,435988
0.37,435989
0.37,435990
0.46,446809
0.46,450426
0.44,446810
0.44,446811
0.44,450427
0.44,450428
0.44,450429
0.41,439577
0.41,439578
0.41,439579
0.41,443195
0.41,443196
0.41,446812
0.41,446813
0.41,446814
0.41,450430
0.41,450431
0.39,439580
0.39,439581
0.39,443197
0.39,443198
0.39,443199
0.39,446815
0.39,446816
0.39,450432
0.39,450433
0.39,450434
0.36,439582
0.36,439583
0.36,439584
0.36,443200
0.36,443201
0.36,446817
0.36,446818
0.36,446819
0.36,450435
0.36,450436
0.34,439585
0.34,439586
0.34,443202
0.34,443203
0.34,443204
0.34,446820
0.34,446821
0.34,450437
0.34,450438
0.34,450439
0.34,439587
0.34,439588
0.34,439589
0.34,443205
0.34,443206
0.34,446822
0.34,446823
0.34,450440
0.33,439590
0.33,439591
0.33,443207
0.33,443208
0.33,443209
0.33,450443
0.33,450444
0.34,439592
0.34,439593
0.34,439594
0.34,443210
0.34,443211
0.34,446827
0.34,446828
0.34,446829
0.34,450445
0.34,450446
0.35,439595
0.35,439596
0.35,443212
0.35,443213
0.35,443214
0.35,446830
0.35,450447
0.35,450448
0.35,450449
0.36,439597
0.36,439598
0.36,439599
0.36,443215
0.36,443216
0.36,446832
0.36,446833
0.36,446834
0.36,450450
0.36,450451
0.36,439600
0.36,439601
0.36,443217
0.36,443218
0.36,443219
0.36,446835
0.36,446836
0.36,450452
0.36,450453
0.34,439605
0.34,439606
0.34,443222
0.34,443223
0.34,443224
0.34,446840
0.34,446841
0.34,450457
0.34,450458
0.34,450459
0.35,439607
0.35,439608
0.35,443225
0.35,443226
0.35,446842
0.35,439609
0.35,439610
0.35,439611
0.35,443227
0.35,443228
0.35,443229
0.35,446846
0.35,450463
0.35,443230
0.35,443231
0.35,446847
0.35,446848
0.35,446849
0.35,450465
0.35,450466
0.35,446850
0.35,446851
0.35,450467
0.35,450468
0.35,450469
0.35,450470
0.35,450471
0.16,468494
0.16,468496
0.46,464879
0.46,464880
0.46,464881
0.46,468497
0.46,468498
0.45,457648
0.45,457649
0.45,461264
0.45,461265
0.45,461266
0.45,464882
0.45,464883
0.45,468499
0.45,468500
0.45,468501
0.45,454034
0.45,457650
0.45,457651
0.45,461267
0.45,461268
0.45,464884
0.45,464885
0.45,464886
0.45,468502
0.45,468503
0.45,454035
0.45,454036
0.45,457653
0.45,461269
0.45,461270
0.45,461271
0.45,464887
0.45,464888
0.45,468504
0.45,468505
0.45,468506
0.44,461272
0.44,461273
0.44,461274
0.44,464889
0.44,464890
0.44,464891
0.44,468507
0.44,468508
0.42,457659
0.42,461275
0.42,461276
0.42,464892
0.42,464893
0.42,468509
0.42,468510
0.42,468511
0.41,454043
0.41,454044
0.41,457660
0.41,457661
0.41,461277
0.41,461278
0.41,461279
0.41,464894
0.41,464895
0.41,464896
0.41,468512
0.41,468513
0.38,454045
0.38,454046
0.38,457662
0.38,457663
0.38,457664
0.38,461280
0.38,461281
0.38,464897
0.38,464898
0.38,464899
0.38,468514
0.38,468515
0.38,468516
0.35,454047
0.35,454048
0.35,454049
0.35,457665
0.35,457666
