prob,cell_id
0.41,4871484
0.42,4871492
0.42,4871493
0.42,4871494
0.42,4875107
0.42,4875108
0.42,4875109
0.42,4875110
0.42,4878723
0.02,4914908
0.02,4914909
0.02,4918525
0.02,4922142
0.17,4932993
0.17,4932994
0.17,4936609
0.17,4936610
0.01,4976405
0.01,4976406
0.01,4980021
0.01,4980022
0.01,4987256
0.05,5001768
0.05,5005384
0.05,5009000
0.05,5012616
0.16,5037928
0.16,5037930
0.16,5041544
0.16,5045160
0.16,5045161
0.02,5055973
0.02,5059589
0.37,5135532
0.01,5135533
0.01,5139149
0.01,5139150
0.01,5142765
0.01,5142766
0.01,5142767
0.01,5146382
0.01,5146383
0.01,5149999
0.01,5153615
0.08,5157232
0.08,5157233
0.08,5157234
0.08,5157235
0.08,5160849
0.08,5160850
0.08,5160851
0.08,5164466
0.01,5157236
0.01,5157237
0.01,5157238
0.01,5157239
0.01,5160852
0.01,5160853
0.01,5160854
0.01,5160855
0.1,5157244
0.61,5528278
0.61,5528279
0.61,5528280
0.61,5531896
0.61,5531897
0.81,5531898
0.73,5535513
0.73,5535514
0.73,5539131
0.73,5539132
0.74,5550012
0.74,5550013
0.74,5553629
0.74,5553630
0.11,5553639
0.11,5553640
0.11,5553641
0.29,5560858
0.29,5564475
0.29,5564476
0.29,5568092
0.29,5568093
0.29,5571710
0.48,5560859
0.48,5564477
0.48,5564478
0.48,5568094
0.48,5568095
0.48,5568096
0.48,5571711
0.48,5571712
0.48,5571713
0.48,5571714
0.03,5557247
0.03,5557248
0.03,5560865
0.03,5571715
0.01,5568115
0.01,5571733
0.01,5571734
1,5575327
1,5575328
1,5578945
0.5,5575329
0.5,5575330
0.5,5575331
0.5,5578946
0.5,5578948
0.5,5578949
0.3,5575332
0.37,5575341
0.37,5575342
0.06,5575343
0.06,5575344
0.06,5575345
0.06,5575346
0.06,5578962
0.06,5578963
0.03,5575347
0.03,5575349
0.03,5578964
0.03,5578965
0.03,5578967
0.03,5582582
0.03,5582583
0.03,5582584
0.03,5586199
0.03,5586200
0.03,5586201
0.03,5589818
0.03,5589819
1,5586211
1,5586212
1,5589828
1,5589829
1,5589830
0.55,5593445
0.55,5593446
0.55,5593447
1,5781478
1,5799506
1,5799507
0.58,5788710
0.37,5785095
0.37,5785096
0.37,5788713
0.37,5788714
0.37,5792331
0.71,5788724
0.71,5788725
0.71,5792342
0.01,5803124
0.01,5806742
0.01,5817593
0.01,5817595
0.17,5803128
0.17,5803129
0.17,5803130
0.17,5806746
0.17,5806747
0.17,5806748
0.17,5810364
1,5803134
1,5803135
1,5806752
1,5810370
1,5835662
1,5835663
1,5835664
1,5835665
0.75,5832048
0.75,5832049
0.75,5832050
0.75,5835666
0.75,5835667
0.73,5832051
0.73,5832052
0.73,5832053
0.73,5832054
0.73,5835670
0.73,5835671
0.65,5835672
1,5850122
1,5850123
1,5850124
0.06,5846508
0.06,5846509
0.06,5850125
0.06,5850126
0.06,5850127
0.21,5839284
0.21,5839285
0.21,5839286
0.21,5842902
0.21,5842903
0.21,5842904
1,5839287
1,5839288
1,5839289
1,5868201
1,5864584
1,5864585
1,5864586
1,5868202
1,5868203
0.03,5857354
0.03,5860971
0.03,5860972
0.03,5864589
0.02,5853740
0.02,5853741
0.02,5853742
0.02,5857358
0.02,5857359
0.02,5857360
0.02,5860976
0.02,5860977
0.02,5860978
0.02,5864595
0.02,5864596
0.02,5868212
0.02,5868213
1,5853746
1,5853747
1,5853748
1,5857364
1,5857365
1,5853749
0.14,5868239
0.14,5868240
0.14,5868241
0.51,5871818
0.51,5871819
0.51,5875435
0.51,5875436
0.03,5871820
0.03,5875439
0.03,5875440
0.03,5879056
0.03,5879057
0.03,5879058
0.03,5882674
0.03,5882675
0.03,5882676
1,5875441
1,5875442
1,5879059
1,5879060
0.57,5871829
