prob,cell_id
0.01,1006908
0.01,1006909
0.01,1006910
0.01,1010524
0.01,1010525
0.01,1010526
0.01,1010527
0.01,1014141
0.01,1014142
0.01,1014143
0.01,1017757
0.01,1017758
0.01,1017759
0.01,1017760
0.01,1021373
0.01,1021374
0.02,1006911
0.02,1006912
0.02,1006913
0.02,1006914
0.02,1010528
0.02,1010529
0.02,1014144
0.01,1006923
0.01,1006924
0.01,1006925
0.01,1010540
0.01,1010541
0.01,1014157
0.01,1014158
0.01,1017771
0.01,1017772
0.01,1017773
0.01,1017774
0.01,1021388
0.01,1021389
0.01,1021390
0.01,1025005
0.01,1025006
0.01,1028599
0.01,1028600
0.01,1028601
0.01,1032215
0.01,1032216
0.01,1032217
0.01,1032218
0.02,1028602
0.02,1028603
0.04,1046714
0.04,1046715
0.04,1046716
0.04,1050330
0.04,1050331
0.04,1050332
0.04,1053946
0.04,1053947
0.04,1053948
0.04,1057563
0.04,1057564
0.04,1057565
0.04,1061179
0.04,1061180
0.04,1061181
0.06,1064796
0.06,1064797
0.06,1064798
0.06,1068412
0.06,1068413
0.06,1068414
0.06,1068415
0.06,1072030
0.06,1072031
0.06,1075646
0.06,1075647
0.06,1075648
0.06,1079261
0.06,1079262
0.06,1079263
0.06,1079264
0.05,1079265
0.05,1079266
0.05,1079267
0.24,1090106
0.24,1093721
0.24,1093722
0.24,1097337
0.24,1097338
0.24,1097339
0.17,1082877
0.17,1086492
0.17,1086493
0.17,1090107
0.17,1090108
0.17,1090109
0.17,1090110
0.17,1093723
0.17,1093724
0.17,1093725
0.17,1093726
0.17,1097340
0.17,1097341
0.17,1097342
0.17,1097343
0.14,1082878
0.14,1082879
0.14,1082880
0.14,1086494
0.14,1086495
0.14,1086496
0.14,1086497
0.14,1090111
0.14,1090112
0.14,1090113
0.14,1093727
0.14,1093728
0.14,1093729
0.14,1093730
0.14,1097344
0.14,1097345
0.14,1097346
0.11,1082881
0.11,1082882
0.11,1082883
0.11,1082884
0.11,1086498
0.11,1086499
0.11,1086500
0.11,1090114
0.11,1090115
0.11,1093731
0.11,1097347
0.11,1097348
0.5,1108172
0.5,1108173
0.5,1111788
0.5,1111789
0.5,1111790
0.5,1115403
0.5,1115404
0.5,1115405
0.5,1115406
0.58,1104559
0.58,1104560
0.58,1108174
0.58,1108175
0.58,1108176
0.58,1108177
0.58,1111791
0.58,1111792
0.58,1115407
0.58,1115408
0.52,1100946
0.52,1100947
0.52,1100948
0.52,1104561
0.52,1104562
0.52,1104563
0.52,1104564
0.52,1108178
0.52,1108179
0.35,1100949
0.35,1100950
0.35,1100951
0.35,1104565
0.35,1104566
0.35,1104567
0.35,1104568
0.35,1108184
0.35,1111798
0.35,1111799
0.35,1111800
0.35,1111801
0.35,1115414
0.35,1115415
0.35,1115416
0.35,1115417
0.37,1100952
0.37,1100953
0.37,1100954
0.37,1100955
0.37,1104569
0.37,1104570
0.37,1104571
0.37,1104572
0.37,1108185
0.37,1108186
0.37,1108187
0.37,1111802
0.37,1111803
0.37,1115418
0.37,1115419
0.33,1100956
0.33,1100957
0.33,1100958
0.33,1104575
0.33,1108192
0.35,1100961
0.35,1100962
0.35,1100963
0.35,1104576
0.35,1104577
0.35,1104578
0.35,1104579
0.35,1108193
0.35,1108194
0.35,1108195
0.35,1108196
0.35,1111809
0.35,1111810
0.35,1111811
0.35,1111812
0.35,1115427
0.35,1115428
0.23,1100964
0.23,1100965
0.23,1104580
0.23,1104581
0.23,1115429
0.46,1133481
0.52,1119019
0.52,1122635
0.52,1126250
0.52,1126251
0.52,1129865
0.52,1129866
0.52,1129867
0.52,1129868
0.52,1133482
0.52,1133483
0.52,1133484
0.61,1119020
0.61,1119021
0.61,1119022
0.61,1122636
0.61,1122637
0.61,1126252
0.61,1126253
0.61,1126254
0.61,1129869
0.61,1129870
0.61,1129871
0.61,1133486
0.61,1133487
0.61,1133488
0.59,1126258
0.55,1119028
0.55,1119030
0.55,1122644
0.55,1122645
0.55,1122646
0.55,1126260
0.55,1126261
0.55,1126263
0.55,1133496
0.43,1119031
0.43,1119032
0.43,1119033
0.43,1119034
0.43,1122647
0.43,1122648
0.43,1122649
0.43,1122650
0.43,1126264
0.43,1126265
0.43,1126266
0.43,1126267
0.43,1129880
0.43,1129881
0.43,1129882
0.43,1133497
0.43,1133498
0.43,1133499
0.56,1119035
0.56,1122651
0.49,1122657
0.49,1122658
0.49,1126273
0.49,1126274
0.49,1129890
0.49,1129891
0.49,1133505
0.49,1133506
0.49,1133507
0.45,1119042
0.45,1119043
0.45,1119044
0.45,1119045
0.45,1122659
0.45,1122660
0.45,1122661
0.45,1126275
0.45,1126276
0.45,1126277
0.45,1126278
0.45,1129892
0.45,1129893
0.45,1129894
0.45,1133508
0.37,1119046
0.37,1122662
0.37,1126279
0.37,1129895
0.37,1129896
0.08,1144308
0.08,1144309
0.08,1147925
0.08,1147926
0.08,1147927
0.08,1151541
0.08,1151542
0.08,1151543
0.08,1151544
0.08,1155160
0.17,1147928
0.17,1147929
0.17,1147930
0.17,1147931
0.17,1151545
0.17,1151546
0.17,1151547
0.17,1151548
0.17,1155161
0.17,1155162
0.17,1155163
0.17,1155164
0.27,1147932
0.27,1147933
0.27,1147934
0.27,1147935
0.27,1151549
0.27,1151550
0.27,1151551
0.27,1155165
0.27,1155166
0.27,1155167
0.27,1155168
0.4,1144320
0.4,1147936
0.4,1147937
0.4,1147938
0.4,1147939
0.4,1151552
0.4,1151553
0.4,1151554
0.4,1151555
0.4,1155169
0.56,1144323
0.56,1144324
0.56,1144325
0.56,1144326
0.56,1147940
0.56,1147941
0.56,1147942
0.56,1151556
0.56,1151557
0.56,1151558
0.56,1151559
0.56,1155173
0.56,1155174
0.56,1155175
0.38,1137096
0.38,1137097
0.38,1140711
0.38,1140712
0.38,1140713
0.38,1144327
0.38,1144328
0.38,1144329
0.38,1147943
0.38,1147944
0.38,1147945
0.38,1151560
0.38,1151561
0.38,1151562
0.38,1155178
0.58,1137098
0.58,1137099
0.58,1137100
0.58,1140714
0.58,1140717
0.58,1144334
0.63,1137102
0.63,1137103
0.63,1140718
0.57,1137112
0.57,1140728
0.57,1140729
0.57,1144344
0.57,1144345
0.57,1147960
0.57,1147961
0.57,1151576
0.57,1151577
0.57,1151578
0.57,1155192
0.57,1155193
0.57,1155194
0.57,1137113
0.57,1137114
0.57,1144346
0.57,1147962
