prob,cell_id
0.51,479340
0.51,482957
0.25,497416
0.42,493801
0.42,497417
0.42,497418
0.42,497419
0.09,490185
0.09,490186
0.09,490187
0.09,493802
0.09,493803
0.09,493804
0.09,497420
0.09,497421
0.14,678063
0.14,678064
0.14,681680
0.75,678065
0.75,678066
0.8,678070
0.79,678071
0.79,678072
0.79,678073
0.75,678074
0.75,678075
0.75,678076
0.75,681692
0.74,678077
0.74,678078
0.74,678079
0.32,743250
1,1387059
1,1387060
1,1387061
0.84,1390333
0.84,1390334
0.84,1393950
0.84,1397566
0.84,1397567
0.84,1401183
0.08,1390680
0.08,1390681
0.08,1390683
0.08,1394297
0.08,1394298
0.08,1394299
0.08,1394300
0.08,1397914
0.08,1397915
0.08,1397916
0.08,1397917
0.08,1401531
0.08,1401532
0.08,1401533
0.08,1401534
0.08,1405148
0.08,1405149
0.08,1405150
0.08,1405151
0.98,1397922
0.98,1401535
0.98,1401536
0.98,1401537
0.98,1401538
0.98,1405152
0.98,1405153
0.98,1405154
0.98,1405155
0.96,1394307
0.96,1394308
0.96,1394309
0.96,1397923
0.96,1397924
0.96,1397925
0.96,1397926
0.96,1401539
0.96,1401540
0.96,1401541
0.96,1401542
0.96,1401543
0.96,1405156
0.96,1405157
0.96,1405158
0.96,1405159
0.96,1405160
0.97,1394310
0.97,1394311
0.97,1397927
0.97,1397928
0.97,1397929
0.97,1397930
0.97,1401544
0.97,1401545
0.97,1401546
0.97,1401547
0.97,1405161
0.97,1405162
0.97,1405163
0.97,1405164
1,1401548
1,1405165
1,1405166
1,1405172
1,1401557
1,1405173
1,1405174
1,1405175
1,1405176
1,1405177
1,1405178
1,1405179
1,1405180
1,1405181
1,1405182
1,1405183
0.55,1390724
0.55,1394341
0.55,1397958
0.55,1401575
0.55,1405192
0.67,1408406
0.67,1408407
0.49,1408412
0.49,1412029
0.49,1412030
0.49,1412031
0.49,1415646
0.49,1415647
0.49,1419263
0.49,1422879
0.49,1422880
0.54,1415980
0.54,1415981
0.54,1415982
0.54,1419597
0.54,1419598
0.54,1419599
0.54,1423213
0.54,1423214
0.54,1423215
0.54,1426830
0.54,1426831
0.91,1430447
0.91,1430448
0.91,1430449
0.91,1434064
0.91,1434065
0.91,1434066
0.91,1437682
0.91,1437683
0.91,1441299
0.91,1441300
0.91,1444916
0.91,1444917
0.85,1448534
0.85,1466618
0.85,1466619
0.8,1470235
0.8,1470236
0.8,1473852
0.8,1473853
0.8,1481086
0.8,1484703
0.94,1487840
0.94,1487843
0.94,1491456
0.94,1491457
0.94,1495073
0.94,1498689
0.57,1487844
0.86,1488320
0.86,1499169
0.69,1549296
0.69,1549297
1,1556853
1,1556854
1,1556855
1,1560470
1,1560471
1,1560472
1,1564086
1,1564087
1,1564088
1,1567703
1,1567704
1,1567705
1,1564089
0.73,1549808
0.73,1553425
0.73,1557040
0.73,1557041
0.73,1557042
0.73,1560657
0.73,1560658
0.73,1560659
0.73,1564273
0.73,1564274
0.73,1564275
0.73,1564276
0.73,1567890
0.73,1567891
0.73,1567892
0.71,1570964
0.71,1570965
0.71,1570966
0.71,1574581
1,1571319
1,1571320
1,1571321
1,1571322
1,1574936
1,1574937
1,1574938
1,1574939
1,1582197
1,1582198
1,1585814
1,1585815
1,1582199
1,1585816
0.69,1571506
0.69,1575122
0.69,1578739
0.69,1582356
0.69,1585973
0.57,1589043
0.57,1592659
0.57,1592660
1,1600276
1,1600277
1,1603892
1,1603893
1,1603894
1,1603895
1,1607509
1,1607510
1,1607511
1,1589431
1,1589432
1,1596662
1,1596663
1,1596664
1,1600279
1,1600280
1,1600281
1,1600282
1,1603896
1,1603897
1,1603898
1,1603899
1,1607512
1,1607513
1,1607514
1,1607515
1,1607516
1,1589433
1,1596670
1,1600283
1,1603900
1,1603901
1,1603902
1,1607517
1,1607518
1,1607519
1,1593055
1,1596671
1,1596672
1,1596673
1,1596674
1,1600287
1,1600288
1,1600291
1,1603905
1,1603906
1,1603907
1,1607522
1,1607523
1,1607524
1,1603908
1,1593205
1,1593207
1,1596822
1,1596823
1,1596824
1,1600439
1,1600440
1,1600441
1,1604058
0.68,1610737
0.68,1610738
0.68,1610739
0.68,1614354
1,1611126
1,1611127
1,1611128
1,1614745
0.85,1611129
0.85,1611130
0.85,1611131
0.85,1611132
0.85,1611133
0.85,1614746
0.85,1614747
0.85,1614748
0.85,1614749
1,1614750
0.67,1611294
0.67,1611295
0.67,1611296
0.67,1614911
0.67,1614912
0.67,1614913
0.78,1632432
0.78,1632433
0.78,1636049
0.78,1639665
1,1632852
1,1632853
1,1632854
1,1632855
1,1636469
1,1636470
1,1636471
1,1636472
1,1640086
1,1640087
1,1640088
1,1640089
1,1643704
1,1643705
1,1643706
1,1632856
1,1632857
1,1632858
1,1632859
1,1636473
1,1636474
1,1636475
1,1636476
1,1640090
1,1640091
1,1640092
1,1640093
1,1643707
1,1643708
1,1643709
0.37,1650510
0.37,1650511
0.37,1650512
0.37,1650513
0.37,1650514
0.37,1654127
0.37,1654128
0.37,1654129
0.37,1657743
0.37,1657744
0.37,1657745
0.37,1661360
0.37,1661361
0.37,1661362
0.37,1664977
0.37,1664978
0.37,1668593
0.37,1668594
0.68,1669026
0.68,1669027
0.68,1669028
1,1658180
1,1661797
0.63,1665550
0.63,1669167
0.42,1672210
0.42,1672211
0.42,1675826
0.42,1675827
0.42,1675828
0.42,1679443
0.42,1679444
0.42,1683059
0.42,1683060
0.42,1683061
0.42,1686676
0.42,1686677
0.42,1690292
0.42,1690293
0.64,1672643
0.64,1672644
0.64,1672645
0.64,1676261
0.57,1672646
0.57,1676262
0.54,1687230
0.41,1672784
0.77,1672785
0.77,1672786
0.77,1672788
0.77,1672789
0.88,1672790
0.88,1672791
0.88,1672792
0.88,1672793
0.25,1672794
0.25,1672795
0.25,1672796
0.83,1693909
0.83,1697525
0.83,1697526
0.83,1701142
0.83,1701143
0.83,1704758
0.83,1708375
0.85,1711991
0.85,1715608
0.85,1722841
0.85,1726458
0.85,1730074
0.85,1730075
0.15,1733686
0.15,1733687
0.15,1733688
0.15,1733689
0.15,1733690
0.15,1737303
0.15,1737304
0.15,1737305
0.15,1737306
0.15,1740919
0.15,1740920
0.15,1740921
0.15,1740922
0.15,1740923
0.15,1744536
0.15,1744537
0.15,1744538
0.15,1748153
0.15,1748154
0.15,1751769
0.15,1751770
0.15,1751771
0.61,1733691
0.61,1737307
0.08,1755381
0.08,1755382
0.08,1755383
0.08,1755384
0.08,1755385
0.08,1758998
0.08,1758999
0.08,1759000
0.08,1759001
0.08,1762614
0.08,1762615
0.08,1762616
0.08,1762617
0.08,1762618
0.08,1766231
0.08,1766232
0.08,1766233
0.08,1769847
0.08,1769848
0.08,1769849
0.95,1773464
0.95,1780697
0.86,1795159
0.86,1795160
0.86,1798775
0.89,1860362
0.89,1860363
0.89,1860364
0.89,1863978
0.89,1863979
0.89,1863980
0.89,1863981
0.89,1867595
0.89,1867596
0.89,1867597
0.66,1983112
0.66,1983113
0.66,1983114
0.66,1983115
0.66,1986728
0.66,1986729
0.66,1986730
0.66,1986731
0.66,1986732
0.66,1990345
0.66,1990346
0.66,1990347
1,1983116
1,1983117
1,1983118
1,1983119
1,1983120
1,1986733
1,1986734
1,1986735
1,1986736
1,1983121
1,1986737
0.65,2048145
0.65,2048146
0.17,2048163
0.02,2077236
0.02,2077237
0.02,2077238
0.02,2080853
0.02,2080854
0.02,2080855
0.02,2080856
0.02,2080857
0.02,2084470
0.02,2084471
0.02,2084472
0.02,2084473
0.02,2088086
0.02,2088087
0.02,2088088
0.02,2088089
0.02,2088090
1,2084474
1,2088091
1,2088092
1,2088093
1,2088094
0.04,2091703
0.04,2091704
0.04,2091705
0.04,2091706
0.04,2091707
0.04,2095320
0.04,2095321
0.04,2095322
0.04,2095323
0.04,2098936
0.04,2098937
0.04,2098938
0.04,2098939
0.04,2098940
0.04,2102553
0.04,2102554
0.04,2102555
0.04,2102556
0.04,2102557
0.04,2106170
0.04,2106171
0.04,2106172
0.04,2106173
0.04,2109786
0.04,2109787
0.04,2109788
0.02,2091712
0.02,2095329
0.02,2095330
0.02,2098946
0.02,2098947
0.02,2098948
0.02,2102562
0.02,2102563
0.02,2102564
0.02,2102565
0.02,2102566
0.02,2106179
0.02,2106180
0.02,2106181
0.02,2106182
0.02,2106183
0.02,2109796
0.02,2109797
0.02,2109798
0.02,2109799
0.64,2102567
0.64,2109800
0.64,2109801
0.15,2113400
0.15,2113401
0.15,2113402
0.15,2127865
0.15,2127866
0.15,2131482
1,2113408
1,2113409
1,2113410
1,2113411
1,2117026
1,2117027
1,2117028
1,2120644
1,2120645
1,2124261
1,2127878
1,2131495
0.02,2113412
0.02,2113413
0.02,2113414
0.02,2113415
0.02,2113416
0.02,2117029
0.02,2117030
0.02,2117031
0.02,2117033
0.02,2120646
0.02,2120647
0.02,2120648
0.02,2120649
0.02,2124262
0.02,2124263
0.02,2124264
0.02,2124265
0.02,2124266
0.02,2127879
0.02,2127880
0.02,2127881
0.02,2127882
0.02,2131496
0.02,2131497
0.02,2131498
0.02,2131499
0.32,2113417
0.32,2117034
0.32,2120650
0.31,2138705
0.01,2135095
0.01,2135096
0.01,2135097
0.01,2138712
0.01,2138713
0.01,2138714
0.01,2142328
0.01,2142329
0.01,2142330
0.01,2142331
0.01,2145944
0.01,2145945
0.01,2145946
0.01,2145947
0.01,2149561
0.01,2149562
0.01,2149563
0.01,2149564
0.01,2153178
0.01,2153179
0.01,2153180
0.01,2153181
0.01,2138724
0.01,2138725
0.01,2142341
0.01,2142342
0.01,2142343
0.01,2142344
0.01,2145958
0.01,2145959
0.01,2145960
0.01,2149574
0.01,2149575
0.01,2149576
0.01,2149577
0.01,2149578
0.01,2153191
0.01,2153192
0.01,2153193
0.01,2153194
0.01,2153195
0.7,2135112
0.7,2135113
0.7,2135114
0.7,2135115
0.7,2138730
0.7,2138731
0.7,2138732
0.33,2149585
0.33,2149586
0.33,2149587
0.33,2153201
0.33,2153202
0.33,2153203
0.33,2153204
0.35,2156795
0.35,2156796
0.35,2156797
0.35,2160412
0.35,2160413
0.35,2160414
0.35,2164030
0.35,2164031
0.35,2167646
0.35,2167647
0.35,2171263
0.35,2171264
0.35,2174880
0.35,2174881
0.64,2156808
0.64,2156809
0.64,2156810
0.64,2160425
0.64,2160426
0.64,2167658
0.64,2171274
0.64,2171275
0.64,2171277
0.64,2171278
0.64,2174891
0.64,2174892
0.64,2174894
0.64,2174895
1,2164049
1,2167664
1,2167665
1,2167666
1,2171279
1,2171280
1,2171281
1,2171282
1,2171283
1,2174896
1,2174897
1,2174898
1,2174899
1,2174900
0.1,2178454
0.1,2178455
0.1,2182071
0.1,2182072
0.1,2185687
0.1,2185688
0.1,2189304
0.1,2189305
0.1,2192922
0.29,2178484
0.29,2178485
0.29,2182101
0.01,2178513
0.01,2178514
0.01,2178515
0.01,2178516
0.01,2182129
0.01,2182130
0.01,2182131
0.01,2182132
0.01,2182133
0.01,2185746
0.01,2185747
0.01,2185748
0.01,2185749
0.01,2185750
0.01,2189363
0.01,2189364
0.01,2189365
0.01,2189366
0.01,2192981
