prob,cell_id
0.12,1466132
0.12,1466133
0.12,1466134
0.12,1466135
0.3,1860362
0.3,1860363
0.3,1860364
0.3,1863978
0.3,1863979
0.3,1863980
0.3,1863981
0.3,1867595
0.3,1867596
0.3,1867597
0.06,1965038
0.06,1965039
0.06,1965040
0.06,1965041
0.06,1965042
0.06,1968655
0.06,1968656
0.06,1972271
0.06,1972272
0.06,1975888
0.78,1983116
0.78,1983117
0.78,1983118
0.78,1983119
0.78,1983120
0.78,1986733
0.78,1986734
0.78,1986735
0.78,1986736
0.98,1983121
0.98,1986737
0.84,2048145
0.84,2048146
0.54,2048163
0.69,2088072
1,2084474
1,2088091
1,2088092
1,2088093
1,2088094
0.9,2091689
0.9,2098922
0.9,2102539
0.9,2109772
1,2091696
1,2091697
1,2095314
1,2098931
1,2102547
1,2106164
1,2109781
0.88,2102567
0.88,2109800
0.88,2109801
1,2113389
1,2120622
1,2127855
0.12,2127863
0.12,2127864
0.12,2131480
0.12,2131481
0.97,2113400
0.97,2113401
0.97,2113402
0.97,2127865
0.97,2127866
0.97,2131482
1,2113408
1,2113409
1,2113410
1,2113411
1,2117026
1,2117027
1,2117028
1,2120644
1,2120645
1,2124261
1,2127878
1,2131495
0.34,2113417
0.34,2117034
0.34,2120650
1,2138705
0.92,2135112
0.92,2135113
0.92,2135114
0.92,2135115
0.92,2138730
0.92,2138731
0.92,2138732
0.37,2149585
0.37,2149586
0.37,2149587
0.37,2153201
0.37,2153202
0.37,2153203
0.37,2153204
0.25,2156795
0.25,2156796
0.25,2156797
0.25,2160412
0.25,2160413
0.25,2160414
0.25,2164030
0.25,2164031
0.25,2167646
0.25,2167647
0.25,2171263
0.25,2171264
0.25,2174880
0.25,2174881
0.86,2156808
0.86,2156809
0.86,2156810
0.86,2160425
0.86,2160426
0.86,2167658
0.86,2171274
0.86,2171275
0.86,2171277
0.86,2171278
0.86,2174891
0.86,2174892
0.86,2174894
0.86,2174895
1,2164049
1,2167664
1,2167665
1,2167666
1,2171279
1,2171280
1,2171281
1,2171282
1,2171283
1,2174896
1,2174897
1,2174898
1,2174899
1,2174900
0.98,2178484
0.98,2178485
0.98,2182101
0.92,2178517
0.92,2178518
0.92,2178519
0.92,2178520
0.92,2178521
0.92,2182134
0.92,2182135
0.92,2182136
0.92,2185751
0.92,2189367
0.92,2189368
0.92,2189369
0.92,2192984
0.92,2192985
0.92,2192986
0.92,2196601
0.92,2196602
0.92,2196603
1,2200159
1,2200160
0.98,2200161
0.98,2200162
0.98,2200163
0.98,2200164
0.98,2203778
0.98,2203779
0.98,2203780
0.98,2203781
0.99,2200165
0.99,2200166
0.99,2200167
0.99,2200168
0.99,2200169
0.99,2203782
0.99,2203783
0.96,2200170
0.96,2200171
0.96,2200172
0.96,2200173
0.96,2200174
1,2200175
1,2214652
1,2214653
1,2214654
1,2214655
1,2218269
1,2218270
1,2218271
0.98,2214656
0.98,2214657
0.98,2218272
0.98,2218273
0.89,2207456
0.89,2211072
0.89,2211073
0.89,2214689
0.89,2214690
0.89,2218306
0.89,2218307
0.9,2200229
0.9,2200230
0.9,2200231
0.9,2203846
0.9,2203847
0.9,2207464
0.9,2211080
0.9,2211081
0.88,2200232
0.88,2203848
0.88,2203849
0.88,2207465
0.88,2207466
0.88,2207467
0.88,2211082
0.88,2211083
0.88,2211084
0.88,2214698
0.88,2214699
0.88,2214700
0.88,2214701
0.31,2211090
0.31,2214706
0.31,2214707
0.31,2218323
0.31,2218324
0.18,2211091
0.18,2214708
0.18,2214709
0.18,2218325
0.67,2221723
0.67,2225340
0.71,2232734
0.94,2221897
0.94,2221898
0.94,2225514
0.94,2229131
0.94,2232748
0.94,2239977
0.9,2221913
0.9,2221916
0.9,2221917
0.9,2225530
0.9,2229146
0.9,2229147
0.9,2232763
0.9,2232764
0.9,2236380
0.9,2236381
0.9,2239996
0.9,2239997
0.9,2239998
0.9,2239999
0.95,2221918
0.95,2221919
0.95,2221920
0.95,2221921
0.95,2225537
0.95,2225538
0.95,2229155
0.95,2232771
0.95,2236388
0.95,2240004
0.95,2240005
0.86,2232777
0.86,2232778
0.86,2236394
0.86,2236395
0.86,2236396
0.86,2240011
0.86,2240012
0.86,2240013
0.86,2240014
0.86,2221934
0.86,2221935
0.86,2225551
0.86,2225552
0.86,2229166
0.86,2229168
0.86,2229169
0.86,2232782
0.86,2232783
0.86,2232784
0.86,2232786
0.86,2236399
0.86,2236400
0.86,2236401
0.86,2240015
0.86,2240016
0.86,2240017
0.86,2240018
0.81,2221940
0.81,2229170
0.81,2229171
0.81,2229172
0.81,2232787
0.81,2232788
0.81,2232789
0.81,2236403
0.81,2236404
0.81,2236405
0.3,2221941
0.3,2221942
0.44,2261639
1,2258026
1,2258027
1,2261640
1,2261641
1,2261642
1,2261643
1,2254415
1,2258028
1,2258029
1,2258030
1,2258031
1,2261644
1,2261645
1,2261646
1,2261647
0.84,2250800
0.84,2250801
0.84,2250802
0.84,2250803
0.84,2254416
0.84,2254417
0.84,2254418
0.84,2254419
0.84,2258032
0.84,2258033
1,2254420
1,2254421
1,2254422
1,2254423
1,2254424
1,2258041
0.97,2250818
0.97,2250819
0.97,2254435
0.97,2254436
0.97,2254437
0.97,2258051
0.97,2258052
0.97,2258053
0.97,2258054
0.97,2258055
0.97,2261668
0.97,2261669
0.97,2261670
0.97,2261671
0.97,2261672
0.87,2243591
0.87,2243592
0.87,2243593
0.87,2258056
0.87,2261673
0.87,2261674
0.87,2261675
0.75,2243594
0.83,2250870
0.83,2254487
0.83,2258104
0.83,2258105
0.83,2261721
0.83,2261722
0.31,2254497
0.31,2254498
0.31,2254499
0.31,2258114
0.31,2258115
0.31,2258116
0.31,2258117
0.31,2261731
0.31,2261732
0.31,2261733
0.83,2283206
0.05,2279713
1,2272483
1,2272484
1,2276099
1,2276100
1,2276101
1,2279714
1,2279715
1,2279716
1,2279717
1,2283330
1,2283331
1,2283332
1,2283333
0.8,2265255
0.8,2268869
0.8,2268870
0.8,2268871
0.8,2268872
0.8,2272485
0.8,2272486
0.8,2272487
0.8,2276102
0.16,2265256
0.16,2265257
0.16,2265258
0.16,2265259
0.16,2268873
0.16,2268874
0.16,2283343
0.16,2283344
0.5,2265290
0.5,2265291
0.5,2265292
0.5,2268906
0.5,2268907
0.5,2268908
0.5,2268909
0.5,2268910
0.5,2272525
0.5,2272526
0.5,2272527
0.5,2276143
0.5,2276144
0.5,2279760
0.5,2283377
0.42,2265304
0.42,2265305
0.42,2265306
0.42,2265307
0.42,2265308
0.42,2268921
0.42,2268922
0.42,2268923
0.42,2268924
0.42,2272539
0.42,2272540
0.42,2272541
0.42,2279771
0.42,2279772
0.42,2283387
0.42,2283388
0.42,2283389
0.42,2283390
0.42,2283391
0.89,2265328
0.89,2265329
0.89,2268944
0.89,2268945
0.89,2272561
