prob,cell_id
0.75,479340
0.75,482957
0.23,497416
0.66,493801
0.66,497417
0.66,497418
0.66,497419
0.34,490185
0.34,490186
0.34,490187
0.34,493802
0.34,493803
0.34,493804
0.34,497420
0.34,497421
0.66,743250
1,1387059
1,1387060
1,1387061
0.4,1390680
0.4,1390681
0.4,1390683
0.4,1394297
0.4,1394298
0.4,1394299
0.4,1394300
0.4,1397914
0.4,1397915
0.4,1397916
0.4,1397917
0.4,1401531
0.4,1401532
0.4,1401533
0.4,1401534
0.4,1405148
0.4,1405149
0.4,1405150
0.4,1405151
0.86,1397922
0.86,1401535
0.86,1401536
0.86,1401537
0.86,1401538
0.86,1405152
0.86,1405153
0.86,1405154
0.86,1405155
0.72,1394307
0.72,1394308
0.72,1394309
0.72,1397923
0.72,1397924
0.72,1397925
0.72,1397926
0.72,1401539
0.72,1401540
0.72,1401541
0.72,1401542
0.72,1401543
0.72,1405156
0.72,1405157
0.72,1405158
0.72,1405159
0.72,1405160
0.97,1394310
0.97,1394311
0.97,1397927
0.97,1397928
0.97,1397929
0.97,1397930
0.97,1401544
0.97,1401545
0.97,1401546
0.97,1401547
0.97,1405161
0.97,1405162
0.97,1405163
0.97,1405164
1,1401548
1,1405165
1,1405166
1,1405172
1,1401557
1,1405173
1,1405174
1,1405175
1,1405176
1,1405177
1,1405178
1,1405179
1,1405180
0.89,1405181
0.89,1405182
0.89,1405183
0.76,1390724
0.76,1394341
0.76,1397958
0.76,1401575
0.76,1405192
0.15,1415980
0.15,1415981
0.15,1415982
0.15,1419597
0.15,1419598
0.15,1419599
0.15,1423213
0.15,1423214
0.15,1423215
0.15,1426830
0.15,1426831
0.4,1430447
0.4,1430448
0.4,1430449
0.4,1434064
0.4,1434065
0.4,1434066
0.4,1437682
0.4,1437683
0.4,1441299
0.4,1441300
0.4,1444916
0.4,1444917
1,1556853
1,1556854
1,1556855
1,1560470
1,1560471
1,1560472
1,1564086
1,1564087
1,1564088
1,1567703
1,1567704
1,1567705
1,1564089
0.21,1549808
0.21,1553425
0.21,1557040
0.21,1557041
0.21,1557042
0.21,1560657
0.21,1560658
0.21,1560659
0.21,1564273
0.21,1564274
0.21,1564275
0.21,1564276
0.21,1567890
0.21,1567891
0.21,1567892
1,1571319
1,1571320
1,1571321
1,1571322
1,1574936
1,1574937
1,1574938
1,1574939
1,1582197
1,1582198
1,1585814
1,1585815
1,1582199
1,1585816
0.35,1571506
0.35,1575122
0.35,1578739
0.35,1582356
0.35,1585973
0.7,1600276
0.7,1600277
0.7,1603892
0.7,1603893
0.7,1603894
0.7,1603895
0.7,1607509
0.7,1607510
0.7,1607511
0.61,1589431
0.61,1589432
0.61,1596662
0.61,1596663
0.61,1596664
0.61,1600279
0.61,1600280
0.61,1600281
0.61,1600282
0.61,1603896
0.61,1603897
0.61,1603898
0.61,1603899
0.61,1607512
0.61,1607513
0.61,1607514
0.61,1607515
0.61,1607516
1,1589433
1,1596670
1,1600283
1,1603900
1,1603901
1,1603902
1,1607517
1,1607518
1,1607519
1,1593055
1,1596671
1,1596672
1,1596673
1,1596674
1,1600287
1,1600288
1,1600291
1,1603905
1,1603906
1,1603907
1,1607522
1,1607523
1,1607524
0.77,1603908
0.66,1593205
0.66,1593207
0.66,1596822
0.66,1596823
0.66,1596824
0.66,1600439
0.66,1600440
0.66,1600441
0.66,1604058
1,1611126
1,1611127
1,1611128
1,1614745
1,1611129
1,1611130
1,1611131
1,1611132
1,1611133
1,1614746
1,1614747
1,1614748
1,1614749
1,1614750
0.21,1611294
0.21,1611295
0.21,1611296
0.21,1614911
0.21,1614912
0.21,1614913
0.78,1632852
0.78,1632853
0.78,1632854
0.78,1632855
0.78,1636469
0.78,1636470
0.78,1636471
0.78,1636472
0.78,1640086
0.78,1640087
0.78,1640088
0.78,1640089
0.78,1643704
0.78,1643705
0.78,1643706
1,1632856
1,1632857
1,1632858
1,1632859
1,1636473
1,1636474
1,1636475
1,1636476
1,1640090
1,1640091
1,1640092
1,1640093
1,1643707
1,1643708
1,1643709
1,1669026
1,1669027
1,1669028
1,1658180
1,1661797
0.17,1665550
0.17,1669167
0.35,1672643
0.35,1672644
0.35,1672645
0.35,1676261
0.21,1672646
0.21,1676262
0.01,1672784
0.25,1672785
0.25,1672786
0.25,1672788
0.25,1672789
0.35,1672790
0.35,1672791
0.35,1672792
0.35,1672793
0.26,1672794
0.26,1672795
0.26,1672796
0.24,1672801
0.24,1672802
