prob,cell_id
0.01,1368483
0.01,1368484
0.01,1368485
0.01,1368486
0.01,1372100
0.01,1372101
0.01,1372102
0.01,1372103
0.01,1375716
0.01,1375717
0.01,1375718
0.01,1375719
0.01,1379333
0.01,1379334
0.86,1390333
0.86,1390334
0.86,1393950
0.86,1397566
0.86,1397567
0.86,1401183
0.61,1408406
0.61,1408407
0.42,1408412
0.42,1412029
0.42,1412030
0.42,1412031
0.42,1415646
0.42,1415647
0.42,1419263
0.42,1422879
0.42,1422880
0.74,1462495
0.74,1466111
0.74,1466112
0.86,1466132
0.86,1466133
0.86,1466134
0.86,1466135
1,1487840
1,1487843
1,1491456
1,1491457
1,1495073
1,1498689
0.58,1487844
0.73,1509526
0.73,1509527
0.73,1509528
0.73,1513143
0.73,1513144
1,1527596
1,1527597
1,1531213
0.66,1549296
0.66,1549297
0.98,1570964
0.98,1570965
0.98,1570966
0.98,1574581
0.96,1589043
0.96,1592659
0.96,1592660
0.95,1610737
0.95,1610738
0.95,1610739
0.95,1614354
0.95,1632432
0.95,1632433
0.95,1636049
0.95,1639665
0.95,1650510
0.95,1650511
0.95,1650512
0.95,1650513
0.95,1650514
0.95,1654127
0.95,1654128
0.95,1654129
0.95,1657743
0.95,1657744
0.95,1657745
0.95,1661360
0.95,1661361
0.95,1661362
0.95,1664977
0.95,1664978
0.95,1668593
0.95,1668594
0.95,1672210
0.95,1672211
0.95,1675826
0.95,1675827
0.95,1675828
0.95,1679443
0.95,1679444
0.95,1683059
0.95,1683060
0.95,1683061
0.95,1686676
0.95,1686677
0.95,1690292
0.95,1690293
0.95,1693909
0.95,1697525
0.95,1697526
0.95,1701142
0.95,1701143
0.95,1704758
0.95,1708375
0.97,1711991
0.97,1715608
0.97,1722841
0.97,1726458
0.97,1730074
0.97,1730075
0.98,1733686
0.98,1733687
0.98,1733688
0.98,1733689
0.98,1733690
0.98,1737303
0.98,1737304
0.98,1737305
0.98,1737306
0.98,1740919
0.98,1740920
0.98,1740921
0.98,1740922
0.98,1740923
0.98,1744536
0.98,1744537
0.98,1744538
0.98,1748153
