prob,cell_id
0.08,1370182
0.08,1370183
0.08,1370184
0.08,1373800
0.08,1373801
0.08,1373802
0.08,1377419
0.08,1377420
0.08,1381038
0.11,1391893
0.11,1395510
0.11,1395511
0.11,1399127
0.11,1399128
0.11,1402745
0.11,1402746
0.11,1402747
0.11,1406363
0.11,1406364
0.11,1406365
0.18,1413592
0.18,1413593
0.18,1417210
0.18,1417211
0.18,1420827
0.18,1420828
0.18,1420829
0.18,1424445
0.18,1424446
0.18,1424447
0.18,1428064
0.18,1428065
0.15,1413594
0.15,1413595
0.15,1413596
0.15,1413597
0.15,1417212
0.15,1417213
0.15,1417214
0.15,1417215
0.15,1420831
0.15,1420832
0.15,1420833
0.15,1424448
0.15,1428066
0.01,1409981
0.01,1409982
0.01,1409983
0.01,1413598
0.01,1413599
0.01,1413600
0.01,1413601
0.01,1417216
0.01,1417217
0.01,1417218
0.01,1417219
0.01,1420834
0.01,1420835
0.01,1420836
0.01,1424452
0.01,1424453
0.25,1442533
0.25,1442534
0.25,1446150
0.25,1446151
0.15,1431683
0.15,1435299
0.15,1435300
0.15,1435301
0.15,1438916
0.15,1438917
0.15,1438918
0.15,1446156
0.31,1457002
0.31,1460619
0.31,1460620
0.31,1464236
0.31,1464237
0.31,1464238
0.31,1467854
0.31,1467855
0.31,1467856
0.34,1449768
0.34,1449769
0.34,1453386
0.34,1453387
0.34,1457003
0.34,1457004
0.34,1457005
0.34,1460621
0.34,1460622
0.34,1460623
0.34,1460624
0.34,1464239
0.34,1464240
0.34,1464241
0.34,1464242
0.34,1467859
0.34,1467860
0.11,1449773
0.11,1449774
0.11,1453390
0.11,1453391
0.11,1453392
0.11,1457008
0.11,1457009
0.11,1457010
0.11,1460626
0.11,1460627
0.11,1460628
0.11,1464243
0.11,1464246
0.11,1467861
0.11,1467862
0.41,1471474
0.41,1485945
0.41,1485946
0.44,1471475
0.44,1471478
0.44,1475096
0.44,1478714
0.44,1482332
0.44,1485947
0.44,1485949
0.44,1485950
0.34,1471479
0.34,1471480
0.34,1475097
0.34,1475098
0.34,1478715
0.34,1482333
0.34,1482336
0.34,1485951
0.34,1485954
0.28,1471486
0.28,1475102
0.28,1475103
0.28,1478719
0.28,1478720
0.28,1478721
0.28,1478722
0.28,1482337
0.28,1482338
0.28,1482339
0.28,1482340
0.28,1485955
0.28,1485958
0.13,1471487
0.13,1471488
0.13,1471489
0.13,1475105
0.13,1475106
0.13,1475107
0.13,1475108
0.13,1478723
0.13,1478724
0.13,1478725
0.13,1482341
0.13,1485959
0.13,1485960
0.59,1489567
0.59,1489568
0.59,1493185
0.59,1493186
0.53,1489569
0.53,1489571
0.53,1489572
0.53,1493187
0.53,1493188
0.53,1493189
0.53,1496807
0.53,1496808
0.53,1500424
0.53,1500425
0.53,1500426
0.53,1504042
0.53,1504043
0.53,1504044
0.53,1507660
0.53,1507661
0.53,1507662
0.35,1489575
0.35,1489576
0.35,1493193
0.35,1493194
0.35,1496809
0.35,1496810
0.35,1496811
0.35,1496812
0.35,1500427
0.35,1500428
0.35,1500429
0.35,1500431
0.35,1504046
0.35,1504047
0.35,1504048
0.35,1504049
0.35,1507664
0.35,1507665
0.35,1507666
0.35,1507667
0.14,1489577
0.14,1489578
0.14,1489579
0.14,1489580
0.14,1489581
0.14,1493196
0.14,1493197
0.14,1493198
0.14,1493199
0.14,1496815
0.14,1496816
0.14,1496817
0.14,1500432
0.14,1500433
0.14,1500434
0.14,1500435
0.14,1504050
0.14,1504051
0.14,1504052
0.14,1504053
0.14,1507668
0.14,1507669
0.14,1507670
0.14,1507671
0.05,1518423
0.05,1518424
0.05,1522040
0.05,1522041
0.05,1522042
0.05,1525657
0.05,1525658
0.04,1511190
0.04,1511191
0.04,1514807
0.04,1514808
0.04,1514809
0.04,1518425
0.04,1518426
0.67,1518512
0.67,1522129
0.67,1522130
0.67,1525747
0.67,1525748
0.54,1511278
0.54,1511279
0.54,1511280
0.54,1514896
0.54,1514897
0.54,1518513
0.54,1518514
0.54,1525749
0.14,1532891
0.14,1536507
0.14,1536508
0.14,1536509
0.14,1540124
0.14,1540125
0.14,1543742
0.14,1529274
0.14,1529275
0.14,1532892
0.14,1532893
0.73,1529364
0.73,1529365
0.73,1529366
0.73,1532983
0.73,1532984
0.73,1536600
0.73,1536601
0.73,1536602
0.73,1540218
0.73,1540219
0.73,1540220
0.73,1543836
0.73,1543837
0.73,1543838
0.73,1547454
0.73,1547455
0.73,1547456
0.22,1529380
0.22,1529381
0.22,1529382
0.22,1532998
0.22,1532999
0.22,1533000
0.22,1533001
0.22,1536617
0.22,1536618
0.22,1536619
0.22,1540236
0.22,1540237
0.22,1543854
0.22,1543855
0.22,1547472
0.22,1547473
0.19,1550972
0.19,1554588
0.19,1554589
0.19,1554590
0.19,1558205
0.19,1558206
0.19,1558207
0.19,1558208
0.19,1561822
0.19,1561823
0.19,1561824
0.19,1561825
0.19,1561826
0.19,1565440
0.19,1565441
0.19,1565442
0.19,1565443
0.19,1565444
0.19,1569058
0.19,1569059
0.19,1569060
0.19,1569061
0.24,1550973
0.24,1550974
0.24,1550975
0.24,1554591
0.24,1554592
0.24,1558209
0.24,1561827
0.78,1551071
0.78,1551072
0.78,1551073
0.78,1554689
0.78,1554690
0.78,1554691
0.78,1554692
0.78,1558307
0.78,1558308
0.78,1558309
0.78,1558310
0.78,1561928
0.78,1565546
0.78,1569164
0.32,1551091
