prob,cell_id
0.01,189942
0.01,193559
0.09,193562
0.11,193563
0.12,186329
0.12,186330
0.12,193564
0.12,193565
0.17,186331
0.17,189949
0.17,193566
0.14,186332
0.14,186333
0.14,189950
0.14,193567
0.14,193568
0.06,186334
0.06,189951
0.06,189952
0.06,193569
0.06,193570
0.02,186335
0.02,186336
0.02,189953
0.02,189954
0.02,193571
0.01,186337
0.01,186338
0.01,189955
0.01,193572
0.01,193573
1,204396
1,208013
1,200779
1,200780
1,204397
1,208014
1,208015
1,200781
1,200782
1,204398
1,204399
1,208016
0.97,197165
0.97,197166
0.97,200783
0.97,204401
0.82,197167
0.82,197168
0.82,200784
0.82,200785
0.82,204402
0.82,208020
0.75,197169
0.75,200786
0.75,200787
0.75,204403
0.75,204404
0.75,208021
0.73,197170
0.73,197171
0.73,200788
0.73,204405
0.73,204406
0.73,208023
0.74,197172
0.74,200789
0.74,200790
0.74,204407
0.74,208024
0.74,208025
0.75,197173
0.75,197174
0.75,200791
0.75,200792
0.75,204408
0.75,204409
0.75,208026
0.73,197175
0.73,200793
0.73,204411
0.69,200794
0.69,200795
0.69,204412
0.69,208029
0.69,208030
0.37,197178
0.37,197179
0.37,200796
0.37,200797
0.37,204413
0.37,204414
0.37,208031
0.37,208032
0.26,197182
0.26,200800
0.22,197183
0.22,197184
0.22,208037
0.19,197185
0.19,197186
0.19,200802
0.19,200803
0.19,204421
0.19,208038
0.13,197187
0.13,200804
0.13,200805
0.13,204422
0.13,208039
0.07,197188
0.07,197189
0.07,200806
0.07,204423
0.07,204424
0.07,208041
0.07,208042
0.02,204425
0.02,204426
0.02,208043
0.99,218863
0.99,218864
0.99,218865
0.99,211631
0.99,211632
0.99,215249
0.99,218866
0.99,218867
1,211633
1,215250
1,215251
1,218868
1,211635
1,215252
1,215253
1,218869
1,218870
0.51,211636
0.51,215254
0.51,218871
0.51,218872
0.14,211642
0.14,215260
0.03,211647
0.3,211648
0.3,211649
0.3,215266
0.3,215267
0.3,218883
0.3,218884
0.46,211650
0.46,215268
0.46,218885
0.46,218886
0.18,211655
0.18,211656
0.08,211659
0.08,215276
0.08,215277
0.01,211662
0.01,211663
0.01,215280
0.01,218897
0.01,218898
0.99,222482
0.99,226099
0.99,226100
0.99,229717
1,222483
1,222484
1,226101
1,229718
1,229719
1,222485
1,222486
1,226102
1,226103
1,229720
1,222487
1,222488
1,226104
1,226105
1,229721
1,229722
1,222489
1,229723
1,229724
0.02,229731
1,226115
1,229732
1,229733
0.98,226116
0.98,226117
0.98,229734
0.98,229735
0.46,226118
0.68,222502
0.68,222503
0.68,226121
0.68,229738
0.21,222504
0.21,226122
0.21,229739
0.21,229740
0.04,229750
0.04,229751
0.04,222517
0.04,229752
0.03,222518
0.03,222519
0.03,229753
0.03,229754
1,233336
1,236953
1,233337
1,233338
1,236954
1,236955
1,233339
1,233340
1,236956
1,236957
1,240573
1,240574
1,233341
1,236958
1,236959
1,240575
1,240576
1,233342
1,233343
1,236960
1,236961
1,240577
1,240578
1,233344
1,240579
1,240580
1,244197
1,240581
1,240582
1,244198
1,244199
1,233349
1,236965
1,236966
1,240583
1,244200
1,244201
1,233350
1,236967
1,236968
1,240584
1,240585
1,244202
1,244203
1,233351
1,233352
1,236969
1,236970
1,240586
1,240587
0.96,233353
0.96,233354
0.96,236971
0.96,240588
0.8,233355
0.8,233356
0.8,236972
0.8,236973
0.68,233357
0.68,236974
0.68,236975
0.23,233365
0.23,240600
0.23,244216
0.23,244217
0.16,233366
0.16,236983
0.16,236984
0.16,240601
0.16,244218
0.16,233367
0.16,233368
0.16,236986
0.16,240603
0.16,244221
0.2,233369
0.2,233370
0.2,236987
0.2,236988
0.2,240604
0.2,240605
0.2,244222
0.2,244223
0.17,233371
0.17,233372
0.17,236989
0.17,240606
0.17,240607
