prob,cell_id
0.25,764046
0.25,764047
0.25,764048
0.25,767661
0.25,767662
0.25,767663
0.25,771278
0.25,774891
0.25,774892
0.25,774893
0.77,760434
0.77,760435
0.77,760436
0.77,764049
0.77,764050
0.77,764051
0.77,767664
0.77,767665
0.77,767666
0.77,771279
0.77,771280
0.77,771281
0.77,774894
0.77,774895
0.77,774896
0.78,760437
0.78,760438
0.78,760439
0.78,764052
0.78,764053
0.78,764054
0.78,767667
0.78,767668
0.78,767669
0.78,771282
0.78,771283
0.78,771284
0.78,774897
0.78,774898
0.78,774899
0.81,760440
0.81,760441
0.81,760442
0.81,764055
0.81,764056
0.81,764057
0.81,764058
0.81,767670
0.81,767671
0.81,771285
0.81,771286
0.81,771287
0.81,771288
0.81,774900
0.81,774901
0.81,774902
0.81,774903
0.82,760443
0.82,760444
0.82,760445
0.82,760446
0.82,764059
0.82,764060
0.82,764061
0.82,767674
0.82,767675
0.82,767676
0.82,771290
0.82,771291
0.82,774904
0.82,774905
0.82,774906
0.13,789353
0.78,778509
0.78,778510
0.78,778511
0.78,782124
0.78,782125
0.78,782126
0.78,785739
0.78,785740
0.78,785741
0.78,789354
0.78,789355
0.78,789356
0.79,778512
0.79,778513
0.79,778514
0.79,782127
0.79,782128
0.79,782129
0.79,785742
0.79,785743
0.79,785744
0.79,785745
0.79,789357
0.79,789358
0.79,789359
0.79,789360
0.82,778515
0.82,778516
0.82,778517
0.82,778518
0.82,782130
0.82,782131
0.82,782132
0.82,782133
0.82,785746
0.82,785747
0.82,785748
0.82,789361
0.82,789362
0.82,789363
0.83,778519
0.83,778520
0.83,778521
0.83,782134
0.83,782135
0.83,782136
0.83,785749
0.83,785750
0.83,785751
0.83,789364
0.83,789365
0.84,778522
0.84,778523
0.84,778524
0.84,782137
0.84,782138
0.84,782139
0.84,785752
0.84,785753
0.83,778525
0.83,778526
0.83,778527
0.83,782140
0.83,782141
0.83,782142
0.82,778528
0.82,778529
0.82,778530
0.82,778531
0.82,782143
0.82,782144
0.82,782145
0.82,782146
0.82,785760
0.82,785761
0.82,778532
0.82,778533
0.82,782147
0.82,782148
0.82,785762
0.82,785763
0.82,785764
0.82,789379
0.78,792960
0.78,792961
0.78,792962
0.78,796574
0.78,796575
0.78,796576
0.78,796577
0.78,800190
0.78,800191
0.78,800192
0.78,803805
0.78,803806
0.78,803807
0.78,807420
0.78,807421
0.78,807422
0.79,792963
0.79,792964
0.79,792965
0.79,796578
0.79,796579
0.79,796580
0.79,800193
0.79,800194
0.79,800195
0.79,803808
0.79,803809
0.79,807423
0.8,792966
0.8,792967
0.8,792968
0.8,796581
0.8,796582
0.8,796583
0.8,800196
0.8,792969
0.8,792970
0.8,792971
0.8,796584
0.8,796585
0.8,796586
0.8,800202
0.81,792972
0.81,792973
0.81,792974
0.81,792975
0.81,796587
0.81,796588
0.81,796589
0.81,796590
0.81,800203
0.81,800204
0.81,800205
0.83,792976
0.83,792977
0.83,792978
0.83,796591
0.83,796592
0.83,796593
0.83,800206
0.83,800207
0.83,800208
0.5,807442
0.85,807443
0.85,792992
0.85,792993
0.85,792994
0.85,796607
0.85,796608
0.85,796609
0.85,800224
0.85,792995
0.85,792996
0.85,792997
0.85,796610
0.85,796611
0.85,796612
0.85,800225
0.85,800226
0.85,800227
0.87,792998
0.87,792999
0.87,793000
0.87,793001
0.87,796613
0.87,793009
0.87,793010
0.86,793011
0.86,793012
0.86,793013
0.86,793014
0.86,796626
0.86,796627
0.86,796628
0.86,796629
0.86,800243
0.86,800244
0.86,793015
0.86,793016
0.86,796630
0.86,796631
0.86,800245
0.86,800246
0.86,800247
0.84,800252
0.84,800253
0.84,800254
0.84,803867
0.84,803868
0.84,803869
0.84,807484
0.83,793025
0.83,793026
0.83,793027
0.83,796639
0.83,796640
0.83,796641
0.83,796642
0.83,800255
0.83,800256
0.83,800257
0.83,803870
0.83,803871
0.83,803872
0.83,807485
0.83,807486
0.83,807487
0.74,811025
0.74,811026
0.74,814640
0.74,814642
0.74,818255
0.74,818256
0.74,818257
0.74,821870
0.74,821871
0.74,821872
0.74,825485
0.74,825486
0.74,825487
0.77,811029
0.77,811030
0.77,814643
0.77,814644
0.77,814645
0.77,814646
0.77,818258
0.77,818259
0.77,818260
0.77,818261
0.77,821873
0.77,821874
0.77,821875
0.78,811031
0.78,811032
0.78,811033
0.78,811034
0.78,814647
0.78,814648
0.78,814649
0.78,818262
0.85,811058
0.85,811059
0.85,814673
0.85,814674
0.85,814675
0.89,811102
0.89,811103
0.89,814718
0.88,814719
0.88,814720
0.88,818335
0.88,818336
0.88,821951
0.89,829187
0.89,829188
0.89,829189
0.89,832803
0.89,832804
0.89,836419
0.85,832805
0.85,836420
0.85,836421
0.85,840035
0.85,840036
0.85,840037
0.85,840038
0.85,843652
0.85,843653
0.82,829195
0.82,832810
0.82,840039
0.82,843654
0.76,829199
0.76,829201
0.76,829202
0.76,832815
0.76,832816
0.76,832817
0.76,836430
0.76,836431
0.76,836432
0.76,840045
0.76,840046
0.76,840047
0.76,840048
0.76,843662
0.76,843663
0.76,829206
0.76,829207
0.76,829208
0.76,832822
0.76,832823
0.76,832824
0.76,836437
0.76,836438
0.76,836439
0.76,840053
0.76,840054
0.76,843669
0.76,843670
0.85,847262
0.85,850877
0.88,847269
0.88,847270
0.88,847271
0.88,847272
0.88,850886
0.88,850887
0.84,847274
0.84,847275
0.84,850888
0.84,850889
0.84,850890
0.84,854503
0.84,854504
0.84,854505
0.84,854506
0.84,858119
0.84,858120
0.84,858121
0.84,861735
0.84,861736
0.79,847276
0.79,847278
0.79,850891
0.79,850892
0.79,850893
0.79,850894
0.79,854507
0.79,854508
0.79,854509
0.79,858122
0.79,858123
0.79,858124
0.79,861737
0.79,861738
0.79,861740
0.76,847279
0.76,847280
0.76,847281
0.76,847282
0.76,850895
0.76,850896
0.76,850897
0.76,854510
0.76,854511
0.76,854512
0.76,858127
0.76,858128
0.76,861741
0.76,861742
0.76,861743
0.77,847283
0.77,847284
0.77,847285
0.77,850898
0.77,850899
0.77,850900
0.77,854513
0.77,854514
0.77,854515
0.77,854516
0.77,858129
0.77,858130
0.77,858131
0.77,861744
0.76,847286
0.76,847287
0.76,847288
0.76,850901
0.76,850902
0.76,850903
0.76,850904
0.76,854517
0.76,854518
0.76,854519
0.76,858132
0.76,858133
0.76,858134
0.76,861747
0.76,861748
0.76,861749
0.75,847291
0.75,847292
