prob,cell_id
0.01,1064796
0.01,1064797
0.01,1064798
0.01,1068412
0.01,1068413
0.01,1068414
0.01,1068415
0.01,1072030
0.01,1072031
0.01,1075646
0.01,1075647
0.01,1075648
0.01,1079261
0.01,1079262
0.01,1079263
0.01,1079264
0.02,1090106
0.02,1093721
0.02,1093722
0.02,1097337
0.02,1097338
0.02,1097339
0.02,1082877
0.02,1086492
0.02,1086493
0.02,1090107
0.02,1090108
0.02,1090109
0.02,1090110
0.02,1093723
0.02,1093724
0.02,1093725
0.02,1093726
0.02,1097340
0.02,1097341
0.02,1097342
0.02,1097343
0.01,1082878
0.01,1082879
0.01,1082880
0.01,1086494
0.01,1086495
0.01,1086496
0.01,1086497
0.01,1090111
0.01,1090112
0.01,1090113
0.01,1093727
0.01,1093728
0.01,1093729
0.01,1093730
0.01,1097344
0.01,1097345
0.01,1097346
0.01,1082881
0.01,1082882
0.01,1082883
0.01,1082884
0.01,1086498
0.01,1086499
0.01,1086500
0.01,1090114
0.01,1090115
0.01,1093731
0.01,1097347
0.01,1097348
0.04,1108172
0.04,1108173
0.04,1111788
0.04,1111789
0.04,1111790
0.04,1115403
0.04,1115404
0.04,1115405
0.04,1115406
0.06,1104559
0.06,1104560
0.06,1108174
0.06,1108175
0.06,1108176
0.06,1108177
0.06,1111791
0.06,1111792
0.06,1115407
0.06,1115408
0.05,1100946
0.05,1100947
0.05,1100948
0.05,1104561
0.05,1104562
0.05,1104563
0.05,1104564
0.05,1108178
0.05,1108179
0.03,1100949
0.03,1100950
0.03,1100951
0.03,1104565
0.03,1104566
0.03,1104567
0.03,1104568
0.03,1108184
0.03,1111798
0.03,1111799
0.03,1111800
0.03,1111801
0.03,1115414
0.03,1115415
0.03,1115416
0.03,1115417
0.04,1100952
0.04,1100953
0.04,1100954
0.04,1100955
0.04,1104569
0.04,1104570
0.04,1104571
0.04,1104572
0.04,1108185
0.04,1108186
0.04,1108187
0.04,1111802
0.04,1111803
0.04,1115418
0.04,1115419
0.03,1100956
0.03,1100957
0.03,1100958
0.03,1104575
0.03,1108192
0.04,1100961
0.04,1100962
0.04,1100963
0.04,1104576
0.04,1104577
0.04,1104578
0.04,1104579
0.04,1108193
0.04,1108194
0.04,1108195
0.04,1108196
0.04,1111809
0.04,1111810
0.04,1111811
0.04,1111812
0.04,1115427
0.04,1115428
0.02,1100964
0.02,1100965
0.02,1104580
0.02,1104581
0.02,1115429
0.04,1133481
0.05,1119019
0.05,1122635
0.05,1126250
0.05,1126251
0.05,1129865
0.05,1129866
0.05,1129867
0.05,1129868
0.05,1133482
0.05,1133483
0.05,1133484
0.06,1119020
0.06,1119021
0.06,1119022
0.06,1122636
0.06,1122637
0.06,1126252
0.06,1126253
0.06,1126254
0.06,1129869
0.06,1129870
0.06,1129871
0.06,1133486
0.06,1133487
0.06,1133488
0.07,1126258
0.07,1119028
0.07,1119030
0.07,1122644
0.07,1122645
0.07,1122646
0.07,1126260
0.07,1126261
0.07,1126263
0.07,1133496
0.05,1119031
0.05,1119032
0.05,1119033
0.05,1119034
0.05,1122647
0.05,1122648
0.05,1122649
0.05,1122650
0.05,1126264
0.05,1126265
0.05,1126266
0.05,1126267
0.05,1129880
0.05,1129881
0.05,1129882
0.05,1133497
0.05,1133498
0.05,1133499
0.03,1119035
0.03,1122651
0.05,1122657
0.05,1122658
0.05,1126273
0.05,1126274
0.05,1129890
0.05,1129891
0.05,1133505
0.05,1133506
0.05,1133507
0.05,1119042
0.05,1119043
0.05,1119044
0.05,1119045
0.05,1122659
0.05,1122660
0.05,1122661
0.05,1126275
0.05,1126276
0.05,1126277
0.05,1126278
0.05,1129892
0.05,1129893
0.05,1129894
0.05,1133508
0.04,1119046
0.04,1122662
0.04,1126279
0.04,1129895
0.04,1129896
0.02,1144304
0.02,1144305
0.02,1144306
0.02,1144307
0.02,1147921
0.02,1147922
0.02,1147923
0.02,1147924
0.02,1151537
0.02,1151538
0.02,1151539
0.02,1151540
0.02,1144308
0.02,1144309
0.02,1147925
0.02,1147926
0.02,1147927
0.02,1151541
0.02,1151542
0.02,1151543
0.02,1151544
0.02,1155160
0.04,1147928
0.04,1147929
0.04,1147930
0.04,1147931
0.04,1151545
0.04,1151546
0.04,1151547
0.04,1151548
0.04,1155161
0.04,1155162
0.04,1155163
0.04,1155164
0.04,1147932
0.04,1147933
0.04,1147934
0.04,1147935
0.04,1151549
0.04,1151550
0.04,1151551
0.04,1155165
0.04,1155166
0.04,1155167
0.04,1155168
0.05,1144320
0.05,1147936
0.05,1147937
0.05,1147938
0.05,1147939
0.05,1151552
0.05,1151553
0.05,1151554
0.05,1151555
0.05,1155169
0.06,1144323
0.06,1144324
0.06,1144325
0.06,1144326
0.06,1147940
0.06,1147941
0.06,1147942
0.06,1151556
0.06,1151557
0.06,1151558
0.06,1151559
0.06,1155173
0.06,1155174
0.06,1155175
0.04,1137096
0.04,1137097
0.04,1140711
0.04,1140712
0.04,1140713
0.04,1144327
0.04,1144328
0.04,1144329
0.04,1147943
0.04,1147944
0.04,1147945
0.04,1151560
0.04,1151561
0.04,1151562
0.04,1155178
0.06,1137098
0.06,1137099
0.06,1137100
0.06,1140714
0.06,1140717
0.06,1144334
0.07,1137102
0.07,1137103
0.07,1140718
0.08,1137112
0.08,1140728
0.08,1140729
0.08,1144344
0.08,1144345
0.08,1147960
0.08,1147961
0.08,1151576
0.08,1151577
0.08,1151578
0.08,1155192
0.08,1155193
0.08,1155194
0.07,1137113
0.07,1137114
0.07,1144346
0.07,1147962
0.07,1144353
0.07,1147969
0.07,1151584
0.07,1151585
0.07,1155200
0.07,1155201
