prob,cell_id
0.03,4450057
0.03,4450058
0.03,4453674
0.03,4453675
0.03,4457291
0.03,4457292
0.03,4460908
0.03,4460909
0.03,4464525
0.03,4464526
0.03,4468142
0.03,4468143
0.1,4471759
0.1,4471760
0.1,4475377
0.1,4478994
0.1,4482611
0.1,4486228
0.1,4486229
0.1,4489846
0.15,4497079
0.15,4500696
0.15,4500697
0.15,4504313
0.15,4504314
0.15,4507930
0.15,4507931
0.15,4511547
0.15,4511548
0.17,4493463
0.17,4497080
0.17,4497081
0.24,4515165
0.24,4518782
0.24,4522399
0.24,4522400
0.24,4526016
0.24,4526017
0.24,4529633
0.24,4529634
0.24,4533250
0.24,4533251
0.27,4547717
0.27,4551335
0.27,4554952
0.3,4536867
0.3,4536868
0.3,4540484
0.3,4540485
0.3,4544101
0.3,4544102
0.3,4547718
0.3,4547719
0.3,4554953
0.34,4558569
0.34,4562187
0.34,4565804
0.34,4569421
0.34,4576656
0.37,4558570
0.37,4565805
0.37,4565806
0.37,4569422
0.37,4569423
0.37,4573040
0.37,4573041
0.37,4576658
0.38,4580273
0.42,4580275
0.42,4580276
0.42,4583892
0.42,4583893
0.42,4587509
0.42,4587510
0.42,4591127
0.42,4591128
0.42,4594744
0.42,4594745
0.45,4601978
0.45,4605594
0.45,4605595
0.45,4609211
0.45,4609212
0.45,4612828
0.45,4612829
0.45,4616445
0.45,4616446
0.44,4598361
0.44,4598362
0.44,4601979
0.44,4605596
0.44,4609213
0.43,4620062
0.43,4620063
0.43,4623680
0.43,4627297
0.43,4627298
0.43,4630914
0.43,4630915
0.43,4634532
0.43,4634533
0.43,4638149
0.43,4638150
0.4,4641767
0.4,4641768
0.4,4645384
0.4,4645385
0.4,4649001
0.4,4649002
0.4,4649003
0.4,4652619
0.4,4652620
0.4,4656237
0.4,4656238
0.4,4659854
0.4,4659855
0.4,4663472
0.4,4663473
0.4,4667089
0.4,4667090
0.4,4670707
0.4,4674324
0.4,4674325
0.4,4677942
0.4,4681559
0.4,4681560
0.47,4685177
0.47,4688794
0.47,4692411
0.47,4692412
0.47,4696029
0.47,4703264
0.58,4688795
0.58,4692413
0.58,4696030
0.58,4699647
0.58,4699648
0.58,4703265
0.6,4706881
0.6,4710499
0.6,4714116
0.6,4717733
0.6,4721350
0.6,4721351
0.63,4706882
0.63,4710500
0.63,4717734
0.69,4724966
0.69,4724967
0.69,4724968
0.69,4728583
0.69,4728584
0.69,4732201
0.69,4732202
0.69,4735818
0.69,4735819
0.69,4739436
0.69,4739437
0.69,4743053
0.69,4743054
0.71,4746671
0.71,4746672
0.71,4750288
0.71,4750289
0.71,4753905
0.71,4753906
0.71,4757521
0.71,4757522
0.71,4757523
0.71,4761139
0.71,4761140
0.71,4764756
0.71,4764757
0.67,4771990
0.67,4775607
0.67,4779225
0.67,4782842
0.67,4786459
0.67,4786460
0.73,4768373
0.73,4775608
0.7,4790076
0.7,4790077
0.7,4793694
0.7,4797311
0.7,4800928
0.7,4804545
0.7,4804546
0.69,4815395
0.69,4819012
0.69,4822629
0.69,4826246
0.69,4826247
0.67,4808162
0.67,4808163
0.67,4811778
0.67,4811779
0.67,4811780
0.67,4815396
0.67,4815397
0.67,4819013
0.67,4822630
0.41,4829863
0.41,4829864
0.41,4833480
0.41,4833481
0.41,4837098
0.41,4837099
0.41,4840715
0.41,4840716
0.41,4844332
0.41,4844333
0.41,4847949
0.41,4847950
0.72,4866034
0.4,4851566
0.4,4851567
0.4,4855183
0.4,4855184
0.4,4858801
0.4,4858802
0.4,4862418
0.4,4862419
0.4,4866035
0.4,4866036
1,4887735
0.5,4869653
0.5,4873270
0.97,4891351
0.97,4891352
0.97,4894969
0.97,4894970
0.97,4898586
0.97,4898587
0.97,4902203
0.97,4902204
0.97,4905820
0.97,4905821
0.97,4905822
0.97,4909438
0.97,4909439
0.4,4891353
0.4,4891354
0.4,4891355
0.4,4891356
0.4,4894971
0.4,4894972
0.4,4894973
0.4,4898588
0.4,4898589
0.4,4898590
1,4913055
1,4913056
1,4916673
1,4916674
1,4920290
1,4920291
1,4920292
1,4923908
1,4923909
1,4927526
1,4927527
0.62,4923910
0.62,4927528
1,4945610
1,4931144
1,4934762
1,4938379
1,4941993
1,4941994
1,4941995
1,4941996
1,4941997
1,4945611
1,4945612
1,4945613
1,4945614
1,4949228
1,4949229
1,4949230
1,4949231
1,4949232
0.78,4931145
0.78,4934763
0.78,4938380
0.78,4945615
0.77,4952846
0.77,4952847
0.77,4952848
0.77,4952849
0.77,4956465
0.77,4956466
0.77,4956467
0.77,4960083
0.77,4960084
0.77,4963702
0.77,4967319
0.77,4970937
0.93,4952850
0.93,4956468
0.93,4960085
0.93,4960086
0.93,4963703
0.93,4967320
0.93,4967321
0.93,4970938
0.93,4970939
1,4974555
1,4974556
1,4974557
1,4978173
1,4978174
1,4978175
1,4981790
1,4981791
1,4981792
1,4985408
1,4985409
1,4985410
1,4989025
1,4989026
1,4989027
1,4992642
1,4996259
1,4999876
1,4999877
1,5003493
1,5003494
1,5007111
1,5007112
1,5010727
1,5010728
1,5010729
1,4992643
1,4992644
1,4996260
1,4996261
1,4999878
1,5003495
1,5003496
1,5007113
0.68,5014345
0.68,5014346
0.68,5017962
0.68,5017963
0.68,5021579
0.68,5021580
0.68,5025197
0.68,5025198
0.68,5028814
0.68,5028815
0.68,5032432
0.68,5032433
0.76,5050518
1,5036049
1,5036050
1,5039666
1,5039667
1,5043284
1,5046901
1,5046902
1,5050519
0.41,5054135
0.41,5057753
1,5054136
1,5057754
1,5061371
1,5061372
1,5064989
1,5064990
1,5068606
1,5068607
1,5072224
1,5072225
1,5083075
1,5083076
1,5086692
1,5086693
1,5090310
1,5090311
1,5075842
1,5075843
1,5075844
1,5075845
1,5079459
1,5079460
1,5079461
1,5083077
1,5083078
1,5083079
1,5083080
1,5086694
1,5086695
1,5086696
1,5086697
1,5090315
1,5093927
1,5093928
1,5097544
1,5097545
1,5097546
1,5101162
1,5101163
1,5104779
1,5104780
1,5108397
1,5108398
1,5112014
1,5112015
0.7,5093932
0.7,5097550
0.7,5104785
0.7,5108401
0.7,5108402
0.7,5108403
0.7,5112018
0.7,5112019
0.7,5112020
0.89,5093933
0.89,5093934
0.89,5097551
0.89,5097552
0.89,5101168
0.89,5101169
0.89,5101170
0.89,5101171
0.89,5101172
0.89,5104786
0.89,5104787
0.89,5104788
0.89,5104789
0.89,5108404
0.89,5108405
0.89,5108406
0.89,5112021
0.89,5112022
0.89,5112023
0.38,5093938
0.38,5093939
0.38,5093940
0.38,5093941
0.38,5097557
0.38,5097558
0.38,5101173
0.38,5101174
0.38,5101175
0.38,5101176
0.38,5104790
0.38,5104791
0.38,5104792
0.38,5104793
0.38,5108408
0.38,5108409
0.38,5108410
0.38,5108411
0.38,5112026
0.38,5112027
0.38,5112028
1,5115632
1,5115633
1,5119250
1,5119251
1,5122866
1,5122867
1,5122868
1,5126484
1,5126485
1,5130101
1,5130102
1,5130103
1,5115635
1,5115636
1,5115637
1,5115638
1,5119253
1,5119254
1,5119255
1,5122872
1,5122873
1,5126489
1,5126490
1,5130107
1,5130108
1,5115639
1,5115640
1,5115641
1,5115642
1,5119256
1,5119257
1,5119258
1,5119259
1,5122874
1,5122876
1,5122877
1,5126491
1,5126492
1,5126494
1,5130109
1,5130110
1,5115643
1,5115644
1,5115645
1,5115646
1,5119260
1,5119261
1,5122878
1,5122879
1,5126495
1,5126496
1,5126497
1,5130113
1,5130114
1,5130115
1,5140952
1,5144570
1,5151803
1,5151804
1,5151805
1,5133718
1,5133719
1,5133720
1,5137336
1,5137337
1,5140953
1,5140954
1,5144571
1,5144572
1,5144573
1,5148188
1,5148189
1,5148190
1,5148191
1,5148192
1,5151806
1,5151807
1,5151808
1,5151809
1,5133725
1,5137341
1,5137342
1,5137343
1,5140959
1,5140960
1,5140961
1,5144577
1,5144578
1,5148193
1,5148194
1,5148195
1,5151810
1,5151811
1,5151812
1,5133726
1,5133727
1,5133728
1,5133730
1,5137344
1,5140965
1,5144579
1,5144582
1,5148199
1,5148200
1,5151816
1,5151817
1,5133731
1,5133732
1,5137348
1,5137349
1,5137350
1,5140966
1,5144583
1,5151818
1,5155420
1,5155421
1,5155422
1,5155423
1,5159037
1,5159038
1,5159039
1,5159040
1,5162655
1,5162656
1,5155424
1,5155425
1,5155426
1,5159041
1,5162661
1,5162662
1,5166278
1,5166279
1,5169895
1,5169896
1,5169897
0.98,5155428
0.98,5155429
0.98,5162663
0.98,5162664
0.98,5162665
0.98,5166280
0.98,5166281
0.98,5166282
0.98,5166283
0.98,5169898
0.98,5169899
0.98,5169900
0.98,5169901
1,5155433
1,5155434
1,5155435
1,5159050
1,5159051
1,5159052
1,5159053
1,5162667
1,5162669
1,5162670
1,5166286
1,5166287
1,5166288
1,5169902
1,5169903
1,5169904
1,5169905
1,5155436
1,5159054
1,5162671
1,5162672
1,5166289
1,5180744
1,5180745
1,5180746
1,5184361
1,5184362
1,5184363
1,5187979
1,5187980
1,5187981
1,5191596
1,5191597
1,5191598
1,5191599
1,5173512
1,5173513
1,5173514
1,5173515
1,5177129
1,5177130
1,5177131
1,5177132
1,5180747
1,5180748
1,5180749
1,5180750
1,5184364
1,5184365
1,5184366
1,5184367
1,5187982
1,5187983
1,5187984
1,5187985
1,5191600
1,5191601
1,5191602
1,5191603
0.94,5173516
0.94,5173517
0.94,5173518
0.94,5173519
0.94,5177133
0.94,5177134
0.94,5177135
0.94,5177136
0.94,5180751
0.94,5180752
0.94,5180753
0.94,5180754
0.94,5184368
0.94,5184369
0.94,5184370
0.94,5184371
0.94,5187986
0.94,5187987
0.94,5187988
0.94,5187989
0.94,5191604
0.94,5191605
0.94,5191606
0.94,5191607
0.92,5173520
0.92,5173521
0.92,5173522
0.92,5173523
0.92,5177137
0.92,5177138
0.92,5177139
0.92,5177140
0.92,5180755
0.92,5180756
0.92,5180757
0.92,5184372
0.92,5184373
0.92,5184374
0.92,5184375
0.92,5184376
0.92,5187990
0.92,5187991
0.92,5187992
0.92,5187993
0.92,5191608
0.92,5191609
0.92,5191610
0.92,5191611
1,5184377
1,5187994
1,5187995
1,5187996
1,5187997
1,5191612
1,5191613
1,5191614
1,5191615
1,5198829
1,5198830
1,5202446
1,5202447
1,5206063
1,5206064
1,5206065
1,5209681
1,5209682
1,5209683
1,5195213
1,5195214
1,5195215
1,5195216
1,5198831
1,5198832
1,5198833
1,5198834
1,5202448
1,5202449
1,5202450
1,5202451
1,5206066
1,5206067
1,5206068
1,5206069
1,5209684
1,5209685
1,5209686
1,5209687
1,5195217
1,5195218
1,5195219
1,5195220
1,5198835
1,5198836
1,5202452
1,5202453
1,5202454
1,5202455
1,5206070
1,5206071
1,5206072
1,5206073
1,5209688
1,5209689
1,5209690
1,5209691
1,5195221
1,5195222
1,5195223
1,5195224
1,5198839
1,5198840
1,5198841
1,5198842
1,5202456
1,5202457
1,5202458
1,5202459
1,5206074
1,5206075
1,5206076
1,5206077
1,5209692
1,5209693
1,5209694
1,5209695
1,5195225
1,5195226
1,5195227
1,5195228
1,5198843
1,5198844
1,5202460
1,5202461
1,5202462
1,5202464
1,5206078
1,5206079
1,5206081
1,5209696
1,5209697
1,5209698
1,5195229
1,5195230
1,5195231
1,5198847
1,5198848
1,5198849
1,5202465
1,5202466
1,5206082
1,5213303
1,5213304
1,5216921
1,5216922
1,5220539
1,5224156
1,5224157
1,5227773
1,5227774
1,5227775
1,5213305
1,5213306
1,5213307
1,5213308
1,5216923
1,5216924
1,5216925
1,5216926
1,5220540
1,5220541
1,5220542
1,5220543
1,5224158
1,5224159
1,5224160
1,5224161
1,5227776
1,5227777
1,5227778
1,5227779
1,5213309
1,5213310
