prob,cell_id
0.36,1408406
0.36,1408407
0.35,1462495
0.35,1466111
0.35,1466112
0.74,1466132
0.74,1466133
0.74,1466134
0.74,1466135
0.77,1860362
0.77,1860363
0.77,1860364
0.77,1863978
0.77,1863979
0.77,1863980
0.77,1863981
0.77,1867595
0.77,1867596
0.77,1867597
0.89,1965038
0.89,1965039
0.89,1965040
0.89,1965041
0.89,1965042
0.89,1968655
0.89,1968656
0.89,1972271
0.89,1972272
0.89,1975888
0.92,1965046
1,1983116
1,1983117
1,1983118
1,1983119
1,1983120
1,1986733
1,1986734
1,1986735
1,1986736
1,1983121
1,1986737
0.04,1983135
0.04,1983136
0.04,1983137
0.04,1983138
0.04,1986751
0.04,1986752
0.04,1986753
0.04,1986754
0.04,1986755
0.04,1990368
0.04,1990369
0.04,1990370
0.04,1990371
0.04,1993987
0.04,1993988
0.68,2026488
0.68,2026489
0.68,2026490
0.68,2026491
0.68,2030104
0.68,2030105
0.68,2030106
0.68,2030107
0.68,2030108
0.68,2033721
0.68,2033722
0.68,2033723
0.68,2033724
0.68,2037337
0.68,2037338
0.68,2037339
0.68,2037340
0.68,2037341
0.72,2026492
0.72,2026493
0.72,2026494
0.72,2026495
0.72,2030109
0.72,2030110
0.72,2033725
0.72,2037342
0.45,2026544
0.45,2026545
0.45,2026546
0.45,2026547
0.45,2030163
0.45,2037397
0.83,2048141
0.83,2048142
0.83,2048143
0.83,2048144
0.83,2051757
0.83,2051758
0.83,2051759
0.83,2051760
0.88,2048145
0.88,2048146
0.75,2048163
1,2088072
0.68,2073613
0.68,2073614
0.68,2077230
0.68,2077231
0.68,2080846
0.68,2080847
0.68,2084463
0.68,2084464
0.68,2088080
0.68,2088081
0.82,2073615
0.82,2073616
0.82,2073617
0.82,2073618
0.82,2073619
0.82,2077232
0.82,2077233
0.82,2077234
0.82,2077235
0.82,2080848
0.82,2080849
0.82,2080850
0.82,2080851
0.82,2080852
0.82,2084465
0.82,2084466
0.82,2084467
0.82,2084468
0.82,2084469
0.82,2088082
0.82,2088083
0.82,2088084
0.82,2088085
0.42,2077236
0.42,2077237
0.42,2077238
0.42,2080853
0.42,2080854
0.42,2080855
0.42,2080856
0.42,2080857
0.42,2084470
0.42,2084471
0.42,2084472
0.42,2084473
0.42,2088086
0.42,2088087
0.42,2088088
0.42,2088089
0.42,2088090
1,2084474
1,2088091
1,2088092
1,2088093
1,2088094
1,2091689
1,2098922
1,2102539
1,2109772
1,2091696
1,2091697
1,2095314
1,2098931
1,2102547
1,2106164
1,2109781
