prob,cell_id
0.02,1551071
0.02,1551072
0.02,1551073
0.02,1554689
0.02,1554690
0.02,1554691
0.02,1554692
0.02,1558307
0.02,1558308
0.02,1558309
0.02,1558310
0.02,1561928
0.02,1565546
0.02,1569164
0.05,1572782
0.05,1576399
0.05,1576400
0.05,1580014
0.05,1580017
0.05,1580018
0.05,1583632
0.05,1583634
0.05,1583635
0.05,1583636
0.05,1587252
0.05,1587253
0.09,1608957
0.02,1590869
0.02,1590870
0.02,1590871
0.02,1594487
0.02,1594488
0.02,1594489
0.02,1598105
0.02,1598106
0.02,1601723
0.02,1605340
0.02,1608958
0.18,1616184
0.18,1619801
0.18,1619802
0.18,1623418
0.18,1623419
0.18,1623420
0.18,1627036
0.18,1627038
0.18,1630653
0.18,1630654
0.18,1630655
0.15,1616185
0.15,1616186
0.15,1619803
0.15,1619804
0.15,1623421
0.15,1627039
0.15,1627040
0.15,1630657
0.15,1630658
0.15,1630660
0.02,1612573
0.02,1612574
0.02,1612575
0.02,1616192
0.02,1616193
0.02,1619810
0.02,1619811
0.02,1623427
0.02,1623428
0.02,1623429
0.02,1627044
0.02,1627045
0.02,1627046
0.02,1630661
0.02,1630662
0.02,1630663
0.02,1637810
0.02,1637811
0.02,1641428
0.02,1641429
0.02,1645046
0.02,1645047
0.02,1645048
0.02,1648664
0.02,1648665
0.02,1648666
0.12,1648679
0.12,1648680
0.27,1637879
0.27,1641496
0.27,1645114
0.27,1648731
0.27,1648732
0.27,1645115
0.27,1645119
0.27,1648733
0.27,1648734
0.27,1648735
0.27,1648736
0.27,1648737
0.13,1634271
0.13,1634272
0.13,1634273
0.13,1634274
0.13,1637889
0.13,1637890
0.13,1637891
0.13,1637892
0.13,1641506
0.13,1641507
0.13,1641508
0.13,1641509
0.01,1634275
0.01,1634278
0.01,1637895
0.01,1641512
0.01,1641513
0.01,1645129
0.01,1645130
0.01,1648747
0.01,1648748
0.06,1652282
0.06,1652283
0.06,1652284
0.06,1655901
0.06,1655902
0.06,1655903
0.06,1659519
0.06,1659520
0.06,1659521
0.06,1663137
0.06,1663138
0.06,1663139
0.06,1666755
0.06,1666756
0.06,1670374
0.14,1666757
0.14,1670375
0.21,1652296
0.21,1652297
0.21,1652298
0.21,1655914
0.21,1655915
0.18,1663159
0.21,1666779
0.09,1652349
0.09,1652350
0.09,1655966
0.09,1655967
0.09,1655968
0.09,1659583
0.09,1659584
0.09,1663201
0.09,1663202
0.09,1663204
0.09,1666818
0.09,1666819
0.09,1666820
0.09,1666821
0.09,1666822
0.09,1670437
0.09,1670438
0.09,1670439
0.09,1670440
0.18,1673993
0.18,1677611
0.18,1681229
0.18,1681230
0.18,1684846
0.18,1684848
0.18,1688464
0.18,1692082
0.2,1684907
0.2,1688524
0.2,1692141
0.2,1692142
0.05,1674093
0.05,1677711
0.05,1695699
0.05,1699316
0.05,1699317
0.05,1702934
