prob,cell_id
0.05,1487844
0.01,1509493
0.01,1509494
0.01,1509495
0.01,1509496
0.01,1513109
0.01,1513110
0.01,1513111
0.01,1513112
0.01,1516725
0.01,1516726
0.01,1516727
0.01,1516729
0.01,1520342
0.01,1520343
0.01,1523958
0.01,1523959
0.01,1509497
0.01,1509498
0.01,1509499
0.01,1509500
0.01,1513113
0.01,1513114
0.01,1513115
0.01,1513116
0.01,1516730
0.01,1516731
0.01,1516732
0.01,1516733
0.01,1520346
0.01,1520347
0.01,1520348
0.01,1520349
0.02,1527558
0.02,1527559
0.02,1527560
0.02,1527561
0.02,1531175
0.02,1531176
0.02,1531177
0.02,1531178
0.02,1534791
0.02,1534792
0.02,1534793
0.02,1534794
0.02,1538407
0.02,1538408
0.02,1538409
0.02,1538410
0.02,1538411
0.02,1542024
0.02,1542025
0.02,1542026
0.02,1542027
0.02,1545640
0.02,1545641
0.02,1545642
0.02,1545643
0.02,1545644
0.04,1527562
0.04,1527563
0.04,1527564
0.04,1527565
0.04,1527566
0.04,1531179
0.04,1531180
0.04,1531181
0.04,1531182
0.04,1534795
0.04,1534796
0.04,1534797
0.04,1534798
0.04,1538412
0.04,1538413
0.04,1538414
0.04,1538415
0.04,1542028
0.04,1542029
0.04,1542030
0.04,1542031
0.04,1545645
0.04,1545646
0.04,1545647
0.04,1545648
0.04,1527567
0.04,1527568
0.04,1527569
0.04,1527570
0.04,1531183
0.04,1531184
0.04,1531185
0.04,1531186
0.04,1534799
0.04,1534800
0.04,1534801
0.04,1534802
0.04,1534803
0.04,1538416
0.04,1538417
0.04,1538418
0.04,1538419
0.04,1542032
0.04,1542033
0.04,1542034
0.04,1542035
0.04,1542036
0.04,1545649
0.04,1545650
0.04,1545651
0.04,1545652
0.06,1527571
0.06,1527572
0.06,1527573
0.06,1527574
0.06,1531187
0.06,1531188
0.06,1531189
0.06,1531190
0.06,1534804
0.06,1534805
0.06,1534806
0.06,1538420
0.06,1538421
0.06,1538422
0.06,1538423
0.06,1545653
0.07,1527596
0.07,1527597
0.07,1531213
0.03,1549255
0.03,1549256
0.03,1552872
0.03,1556488
0.03,1556489
0.03,1560104
0.03,1560105
0.03,1563719
0.03,1563720
0.03,1563721
0.03,1563722
0.03,1567335
0.03,1567336
0.03,1567337
0.03,1567338
0.03,1549257
0.03,1549258
0.03,1549259
0.03,1549260
0.03,1552873
0.03,1552874
0.03,1552875
0.03,1552876
0.03,1552877
0.03,1556490
0.03,1556491
0.03,1556492
0.03,1556493
0.03,1560106
0.03,1560107
0.03,1560108
0.03,1560109
0.03,1560110
0.03,1563723
0.03,1563724
0.03,1563725
0.03,1563726
0.03,1567339
0.03,1567340
0.03,1567341
0.03,1567342
0.03,1567343
0.08,1549261
0.08,1549262
0.08,1549263
0.08,1549264
0.08,1552878
0.08,1552879
0.08,1552880
0.08,1552881
0.08,1556494
0.08,1556495
0.08,1556496
0.08,1556497
0.08,1560111
0.08,1560112
0.08,1560113
0.08,1560114
0.08,1563727
0.08,1563728
0.08,1563729
0.08,1563730
0.08,1567344
0.08,1567345
0.08,1567346
0.08,1567347
0.13,1549265
0.13,1549266
0.13,1549267
0.13,1549268
0.13,1549269
0.13,1552882
0.13,1552883
0.13,1552884
0.13,1552885
0.13,1556498
0.13,1556500
0.13,1556501
0.13,1556502
0.13,1560115
0.13,1563731
0.13,1563732
0.13,1567348
0.13,1567349
0.34,1549296
0.34,1549297
0.1,1570952
0.1,1570953
0.1,1570954
0.1,1570955
0.1,1574568
0.1,1574569
0.1,1574570
0.1,1574571
0.1,1578185
0.1,1578186
0.1,1578187
0.1,1578188
0.1,1581801
0.1,1581802
0.1,1581803
0.1,1581804
0.1,1585418
0.1,1585419
0.1,1585420
0.1,1585421
0.06,1570956
0.06,1570957
0.06,1570958
0.06,1570959
0.06,1574572
0.06,1574573
0.06,1574574
0.06,1574575
0.06,1574576
0.06,1578189
0.06,1578190
0.06,1578191
0.06,1578192
0.06,1581805
0.06,1581806
0.06,1581807
0.06,1581808
0.06,1581809
0.06,1585422
0.06,1585423
0.06,1585424
0.06,1585425
0.12,1570960
0.12,1570961
0.12,1570962
0.12,1570963
0.12,1574577
0.12,1574578
0.12,1574579
0.12,1574580
0.12,1578193
0.12,1578194
0.12,1578195
0.12,1581810
0.12,1581811
0.12,1585426
0.12,1585427
0.12,1585428
0.21,1570964
0.21,1570965
0.21,1570966
0.21,1574581
0.01,1589026
0.01,1589027
0.01,1589028
0.01,1589029
0.01,1592643
0.01,1592644
0.01,1592645
0.01,1596261
0.01,1596262
0.01,1599878
0.01,1603493
0.01,1603494
0.01,1603495
0.01,1607110
0.01,1607111
0.03,1589030
0.03,1589031
0.03,1589032
0.03,1589033
0.03,1592646
0.03,1592647
0.03,1592648
0.03,1592649
0.03,1592650
0.03,1596263
0.03,1596264
0.03,1596265
0.03,1596266
0.03,1599879
0.03,1599880
0.03,1599881
0.03,1599882
0.03,1599883
0.03,1603496
0.03,1603497
0.03,1603498
0.03,1603499
0.03,1607112
0.03,1607113
0.03,1607114
0.03,1607115
0.03,1607116
0.09,1589034
0.09,1589035
0.09,1589036
0.09,1589037
0.09,1592651
0.09,1592652
0.09,1592653
0.09,1592654
0.09,1596267
0.09,1596268
0.09,1596269
0.09,1596270
0.09,1599884
0.09,1599885
0.09,1599886
0.09,1599887
0.09,1603500
0.09,1603501
0.09,1603502
0.09,1603503
0.09,1607117
0.09,1607118
0.09,1607119
0.09,1607120
0.2,1589038
0.2,1589039
0.2,1589040
0.2,1589041
0.2,1589042
0.2,1592655
0.2,1592656
0.2,1592657
0.2,1592658
0.2,1596271
0.2,1596272
0.2,1596273
0.2,1596274
0.2,1596275
0.2,1599888
0.2,1599889
0.2,1599890
0.2,1599891
0.2,1603504
0.2,1603505
0.2,1603506
0.2,1603507
0.2,1607121
0.2,1607122
0.2,1607123
0.24,1589043
0.24,1592659
0.24,1592660
0.02,1610727
0.02,1610728
0.02,1614344
0.02,1617959
0.02,1617960
0.02,1617961
0.02,1621575
0.02,1621576
0.02,1621577
0.02,1625191
0.02,1625192
0.02,1625193
0.02,1625194
0.02,1628807
0.02,1628808
0.02,1628809
0.02,1628810
0.06,1610729
0.06,1610730
0.06,1610731
0.06,1610732
0.06,1614345
0.06,1614346
0.06,1614347
0.06,1614348
0.06,1614349
0.06,1617962
0.06,1617963
0.06,1617964
0.06,1617965
0.06,1621578
0.06,1621579
0.06,1621580
0.06,1621581
0.06,1621582
0.06,1625195
0.06,1625196
