prob,cell_id
0.11,1489567
0.11,1489568
0.11,1493185
0.11,1493186
0.05,1489569
0.05,1489571
0.05,1489572
0.05,1493187
0.05,1493188
0.05,1493189
0.05,1496807
0.05,1496808
0.05,1500424
0.05,1500425
0.05,1500426
0.05,1504042
0.05,1504043
0.05,1504044
0.05,1507660
0.05,1507661
0.05,1507662
0.19,1518512
0.19,1522129
0.19,1522130
0.19,1525747
0.19,1525748
0.05,1511278
0.05,1511279
0.05,1511280
0.05,1514896
0.05,1514897
0.05,1518513
0.05,1518514
0.05,1525749
0.16,1529364
0.16,1529365
0.16,1529366
0.16,1532983
0.16,1532984
0.16,1536600
0.16,1536601
0.16,1536602
0.16,1540218
0.16,1540219
0.16,1540220
0.16,1543836
0.16,1543837
0.16,1543838
0.16,1547454
0.16,1547455
0.16,1547456
0.22,1551071
0.22,1551072
0.22,1551073
0.22,1554689
0.22,1554690
0.22,1554691
0.22,1554692
0.22,1558307
0.22,1558308
0.22,1558309
0.22,1558310
0.22,1561928
0.22,1565546
0.22,1569164
0.21,1572782
0.21,1576399
0.21,1576400
0.21,1580014
0.21,1580017
0.21,1580018
0.21,1583632
0.21,1583634
0.21,1583635
0.21,1583636
0.21,1587252
0.21,1587253
0.06,1605245
0.06,1608863
0.06,1608864
0.25,1608957
0.13,1590869
0.13,1590870
0.13,1590871
0.13,1594487
0.13,1594488
0.13,1594489
0.13,1598105
0.13,1598106
0.13,1601723
0.13,1605340
0.13,1608958
0.07,1612481
0.07,1612482
0.07,1616099
0.07,1616100
0.07,1619717
0.07,1619718
0.07,1623335
0.07,1623336
0.07,1623337
0.07,1626953
0.07,1626954
0.07,1626955
0.07,1630571
0.07,1630572
0.07,1630573
0.07,1630574
0.4,1616184
0.4,1619801
0.4,1619802
0.4,1623418
0.4,1623419
0.4,1623420
0.4,1627036
0.4,1627038
0.4,1630653
0.4,1630654
0.4,1630655
0.34,1616185
0.34,1616186
0.34,1619803
0.34,1619804
0.34,1623421
0.34,1627039
0.34,1627040
0.34,1630657
0.34,1630658
0.34,1630660
0.04,1612573
0.04,1612574
0.04,1612575
0.04,1616192
0.04,1616193
0.04,1619810
0.04,1619811
0.04,1623427
0.04,1623428
0.04,1623429
0.04,1627044
0.04,1627045
0.04,1627046
0.04,1630661
0.04,1630662
0.04,1630663
0.04,1612593
0.04,1612594
0.04,1616211
0.04,1616212
0.04,1619829
0.04,1619830
0.07,1634190
0.07,1634191
0.07,1634192
0.07,1637808
0.07,1637809
0.07,1641427
0.19,1637810
0.19,1637811
0.19,1641428
0.19,1641429
0.19,1645046
0.19,1645047
0.19,1645048
0.19,1648664
0.19,1648665
0.19,1648666
0.35,1648679
0.35,1648680
0.46,1637879
0.46,1641496
0.46,1645114
0.46,1648731
0.46,1648732
0.46,1645115
0.46,1645119
0.46,1648733
0.46,1648734
0.46,1648735
0.46,1648736
0.46,1648737
0.28,1634271
0.28,1634272
0.28,1634273
0.28,1634274
0.28,1637889
0.28,1637890
0.28,1637891
0.28,1637892
0.28,1641506
0.28,1641507
0.28,1641508
0.28,1641509
0.08,1634275
0.08,1634278
0.08,1637895
0.08,1641512
0.08,1641513
0.08,1645129
0.08,1645130
0.08,1648747
0.08,1648748
0.01,1634296
0.01,1634297
0.01,1634298
0.01,1634299
0.01,1637914
0.01,1637915
0.01,1637916
0.01,1641532
0.01,1641533
0.01,1641534
0.01,1645150
0.01,1645151
0.01,1645152
0.01,1648768
0.01,1648769
0.01,1648770
0.22,1652282
0.22,1652283
0.22,1652284
0.22,1655901
0.22,1655902
0.22,1655903
0.22,1659519
0.22,1659520
0.22,1659521
0.22,1663137
0.22,1663138
0.22,1663139
0.22,1666755
0.22,1666756
0.22,1670374
0.31,1666757
0.31,1670375
0.41,1652296
0.41,1652297
0.41,1652298
0.41,1655914
0.41,1655915
0.4,1663159
0.42,1666779
0.19,1652349
0.19,1652350
0.19,1655966
0.19,1655967
0.19,1655968
0.19,1659583
0.19,1659584
0.19,1663201
0.19,1663202
0.19,1663204
0.19,1666818
0.19,1666819
0.19,1666820
0.19,1666821
0.19,1666822
0.19,1670437
0.19,1670438
0.19,1670439
0.19,1670440
0.34,1673993
0.34,1677611
0.34,1681229
0.34,1681230
0.34,1684846
0.34,1684848
0.34,1688464
0.34,1692082
0.33,1684907
0.33,1688524
0.33,1692141
0.33,1692142
0.14,1674093
0.14,1677711
0.33,1695700
0.33,1702935
0.33,1706553
0.33,1706554
0.33,1710171
0.33,1710172
0.55,1706583
0.55,1710200
0.55,1710201
0.55,1695733
0.55,1695734
0.55,1699349
0.55,1699350
0.55,1699351
0.55,1699352
0.55,1702966
0.55,1702967
0.55,1702968
0.55,1702969
0.55,1706584
0.55,1706585
0.55,1706586
0.55,1706587
0.55,1710202
0.55,1710203
0.58,1702970
0.38,1710227
0.35,1713789
0.35,1713790
0.35,1717407
0.35,1721024
0.35,1721025
0.35,1724642
0.35,1728260
0.35,1731878
0.32,1713818
0.32,1713819
0.32,1731906
0.32,1731907
0.32,1731908
0.04,1713820
0.04,1728291
0.04,1728292
0.04,1728293
0.04,1728294
0.04,1731909
0.04,1731910
0.04,1731911
0.04,1731912
0.28,1728295
0.28,1728296
0.28,1731913
0.28,1731914
0.28,1731915
0.28,1731916
0.39,1728301
0.39,1728302
0.39,1728303
0.39,1731917
0.39,1731918
0.39,1731919
0.45,1724686
0.45,1724687
0.45,1724688
0.45,1724689
0.45,1724690
0.45,1728304
0.45,1728305
0.45,1728306
0.45,1728307
0.42,1721073
0.42,1721074
0.42,1721075
0.42,1721076
0.42,1724691
0.42,1724692
0.42,1724693
0.42,1724694
0.42,1728310
0.42,1728311
0.42,1728312
0.42,1731927
0.42,1731928
0.42,1731929
0.42,1731930
0.24,1713844
0.24,1713845
0.24,1717462
0.24,1717463
0.24,1721080
0.24,1721081
0.24,1724698
0.24,1728313
0.24,1728314
0.24,1728315
0.24,1728316
0.24,1731931
0.24,1731932
0.24,1731933
0.14,1728361
0.33,1764436
0.33,1764437
0.33,1768053
0.33,1768054
0.33,1771670
0.33,1771671
0.33,1771672
0.24,1757295
0.11,1793397
0.11,1793398
0.11,1793399
0.11,1793400
0.33,1775369
0.45,1789846
0.5,1775377
0.5,1775378
0.5,1775379
0.5,1778995
0.5,1778996
0.5,1782612
0.5,1782613
0.5,1786230
0.5,1789847
0.5,1789850
0.5,1793467
0.5,1793468
0.53,1789851
0.53,1789852
0.53,1793469
0.01,1797021
0.01,1797022
0.01,1797023
0.01,1800637
0.01,1800638
0.01,1800639
0.01,1800640
0.01,1800641
0.01,1804255
0.01,1804256
0.01,1804257
0.01,1804258
0.01,1804259
0.01,1807873
0.01,1807874
0.01,1807875
0.01,1807876
0.01,1811491
0.01,1811492
0.01,1811493
0.01,1811494
0.01,1815108
0.01,1815109
0.01,1815110
0.01,1815111
0.01,1815112
0.13,1797046
0.13,1797047
0.13,1800664
0.13,1800665
0.13,1804282
0.13,1804283
0.13,1804284
0.13,1804285
0.13,1807900
0.13,1807901
0.13,1807902
0.13,1807903
0.13,1811519
0.13,1811520
0.13,1811521
0.13,1815137
0.13,1815138
0.13,1815139
0.05,1807908
0.05,1811525
0.05,1815140
0.05,1815141
0.05,1815142
0.05,1815143
0.56,1797079
0.56,1797080
0.61,1797085
0.61,1797086
0.61,1804321
0.61,1807938
0.61,1807939
0.61,1811555
0.61,1811556
0.69,1797087
0.69,1797088
0.69,1800704
0.69,1800705
0.69,1800706
0.69,1804322
0.69,1804323
0.13,1818726
0.13,1818727
0.13,1818728
0.13,1818729
0.13,1822344
0.13,1822345
0.13,1822346
0.13,1822347
0.13,1825962
0.13,1825963
0.13,1825964
0.13,1825965
0.13,1829579
0.13,1829581
0.13,1829582
0.13,1829583
0.13,1833197
0.13,1833198
0.13,1833199
0.13,1833200
0.13,1836815
0.13,1836816
0.13,1836817
0.13,1836818
0.05,1818739
0.05,1822355
0.05,1822356
0.05,1825972
0.05,1825973
