prob,cell_id
0.23,1390333
0.23,1390334
0.23,1393950
0.23,1397566
0.23,1397567
0.23,1401183
0.49,1408406
0.49,1408407
0.11,1408412
0.11,1412029
0.11,1412030
0.11,1412031
0.11,1415646
0.11,1415647
0.11,1419263
0.11,1422879
0.11,1422880
0.6,1462495
0.6,1466111
0.6,1466112
0.79,1466132
0.79,1466133
0.79,1466134
0.79,1466135
0.02,1484198
0.52,1487840
0.52,1487843
0.52,1491456
0.52,1491457
0.52,1495073
0.52,1498689
0.41,1509526
0.41,1509527
0.41,1509528
0.41,1513143
0.41,1513144
0.63,1527596
0.63,1527597
0.63,1531213
0.35,1755381
0.35,1755382
0.35,1755383
0.35,1755384
0.35,1755385
0.35,1758998
0.35,1758999
0.35,1759000
0.35,1759001
0.35,1762614
0.35,1762615
0.35,1762616
0.35,1762617
0.35,1762618
0.35,1766231
0.35,1766232
0.35,1766233
0.35,1769847
0.35,1769848
0.35,1769849
0.45,1773460
0.45,1773461
0.45,1773462
0.45,1773463
0.45,1777076
0.45,1777077
0.45,1777078
0.45,1777079
0.45,1777080
0.45,1780693
0.45,1780694
0.45,1780695
0.45,1780696
0.45,1784309
0.45,1784310
0.45,1784311
0.45,1784312
0.45,1784313
0.45,1787926
0.45,1787927
0.45,1787928
0.45,1791542
0.45,1791543
0.45,1791544
0.39,1773464
0.39,1780697
0.42,1795154
0.42,1795155
0.42,1795156
0.42,1795157
0.42,1795158
0.42,1798771
0.42,1798772
0.42,1798773
0.42,1798774
0.42,1802388
0.42,1802389
0.42,1802390
0.42,1806004
0.42,1806005
0.42,1806006
0.42,1806007
0.42,1809621
0.42,1809622
0.42,1813237
0.94,1795159
0.94,1795160
0.94,1798775
0.13,1816845
0.13,1816846
0.13,1816847
0.13,1816848
0.13,1820461
0.13,1820462
0.13,1820463
0.13,1820464
0.13,1820465
0.13,1824078
0.13,1824079
0.13,1824080
0.13,1824081
0.13,1824082
0.13,1827695
0.13,1827696
0.13,1827697
0.13,1827698
0.13,1831311
0.13,1831312
0.13,1834928
0.5,1816849
0.5,1816850
0.5,1816851
0.5,1816852
0.5,1816853
0.5,1820466
0.5,1820467
0.5,1820468
0.5,1824083
0.5,1824084
0.5,1827699
0.99,1816854
0.18,1838535
0.18,1838536
0.18,1838537
0.18,1838538
0.18,1838539
0.18,1842152
0.18,1842153
0.18,1842154
0.18,1842155
0.18,1845768
0.18,1845769
0.18,1845770
0.18,1845771
0.18,1845772
0.18,1849385
0.18,1849386
0.18,1849387
0.18,1849388
0.18,1853002
0.18,1853003
0.18,1853004
0.18,1853005
0.47,1838540
0.47,1838541
0.47,1838542
0.47,1838543
0.47,1842156
0.47,1842157
0.47,1842158
0.47,1845773
0.47,1845774
0.81,1838544
0.62,1856614
0.62,1856615
0.62,1856616
0.62,1856617
0.62,1860230
0.62,1860231
0.62,1860232
0.62,1860233
0.62,1860234
0.62,1863847
0.62,1863848
0.62,1863849
0.62,1863850
0.62,1867463
0.62,1867464
0.62,1867465
0.62,1867466
0.62,1871080
0.62,1871081
0.62,1871082
0.62,1871083
0.62,1874697
0.78,1856618
0.78,1856619
0.78,1856620
0.78,1860235
0.78,1860236
0.78,1863851
0.04,1860362
0.04,1860363
0.04,1860364
0.04,1863978
0.04,1863979
0.04,1863980
0.04,1863981
0.04,1867595
0.04,1867596
0.04,1867597
0.45,1878309
0.45,1878310
0.45,1878311
0.45,1878312
0.45,1881925
0.45,1881926
0.45,1881927
0.45,1881928
0.45,1881929
0.45,1885542
0.45,1885543
0.45,1885544
0.45,1885545
0.45,1889158
0.45,1889159
0.45,1889160
0.45,1889161
0.45,1892775
0.45,1892776
0.45,1892777
0.45,1896392
0.45,1896393
0.89,1878313
0.91,1900008
0.91,1900009
0.91,1900010
0.91,1903625
0.91,1907241
0.91,1907242
0.91,1910858
0.91,1910859
0.91,1914474
0.91,1914475
0.91,1918091
0.56,1921703
0.56,1921704
0.56,1921705
0.56,1921706
0.56,1921707
0.56,1925320
0.56,1925321
0.56,1925322
0.56,1925323
0.56,1928936
0.56,1928937
0.56,1928938
0.56,1928939
0.56,1928940
0.56,1932553
0.56,1932554
0.56,1932555
0.56,1936169
0.56,1936170
