prob,cell_id
0.02,1733691
0.02,1737307
1,1773464
1,1780697
0.22,1795154
0.22,1795155
0.22,1795156
0.22,1795157
0.22,1795158
0.22,1798771
0.22,1798772
0.22,1798773
0.22,1798774
0.22,1802388
0.22,1802389
0.22,1802390
0.22,1806004
0.22,1806005
0.22,1806006
0.22,1806007
0.22,1809621
0.22,1809622
0.22,1813237
1,1795159
1,1795160
1,1798775
0.58,1816849
0.58,1816850
0.58,1816851
0.58,1816852
0.58,1816853
0.58,1820466
0.58,1820467
0.58,1820468
0.58,1824083
0.58,1824084
0.58,1827699
1,1816854
0.17,1838540
0.17,1838541
0.17,1838542
0.17,1838543
0.17,1842156
0.17,1842157
0.17,1842158
0.17,1845773
0.17,1845774
1,1838544
1,1856618
1,1856619
1,1856620
1,1860235
1,1860236
1,1863851
0.18,1878309
0.18,1878310
0.18,1878311
0.18,1878312
0.18,1881925
0.18,1881926
0.18,1881927
0.18,1881928
0.18,1881929
0.18,1885542
0.18,1885543
0.18,1885544
0.18,1885545
0.18,1889158
0.18,1889159
0.18,1889160
0.18,1889161
0.18,1892775
0.18,1892776
0.18,1892777
0.18,1896392
0.18,1896393
1,1878313
1,1900008
1,1900009
1,1900010
1,1903625
1,1907241
1,1907242
1,1910858
1,1910859
1,1914474
1,1914475
1,1918091
1,1921703
1,1921704
1,1921705
1,1921706
1,1921707
1,1925320
1,1925321
1,1925322
1,1925323
1,1928936
1,1928937
1,1928938
1,1928939
1,1928940
1,1932553
1,1932554
1,1932555
1,1936169
1,1936170
1,1936171
1,1936172
1,1939786
1,1939787
1,1939788
1,1939789
1,1943403
1,1943404
1,1943405
1,1947019
1,1947020
1,1947021
1,1950636
1,1950637
1,1950638
1,1954252
1,1954253
1,1954254
1,1957869
1,1957870
1,1957871
1,1961486
1,1961487
1,1965102
1,1965103
1,1965104
1,1968719
1,1968720
1,1968721
1,1972335
1,1972336
1,1972337
1,1975952
1,1975953
1,1975954
1,1979569
1,1979570
0.22,1983121
0.22,1986737
1,1983185
1,1983186
1,1983187
1,1986802
1,1986803
1,1986804
1,1990419
1,1990420
1,1994035
1,1994036
1,1994037
1,1997652
1,1997653
1,2001268
1,2001269
1,2001270
1,2001271
0.37,2004839
0.37,2004840
0.37,2004841
0.37,2004842
0.37,2008458
0.37,2008459
0.37,2012075
0.37,2012076
0.37,2015692
1,2004885
1,2004886
1,2004887
1,2004888
1,2008502
1,2008503
1,2008504
1,2012118
1,2012119
1,2012120
1,2012121
1,2015735
1,2015736
1,2015737
1,2019351
1,2019352
1,2019353
1,2019354
1,2022968
1,2022969
1,2022970
1,2022971
0.01,2026446
0.01,2026447
0.01,2026448
0.01,2026449
0.01,2026450
0.01,2030062
0.01,2030063
0.01,2030064
0.01,2030065
0.01,2030066
0.01,2033679
0.01,2033680
0.01,2033681
0.01,2033682
0.01,2033683
0.01,2037296
0.01,2037297
0.01,2037298
0.01,2037299
0.01,2040912
0.01,2040913
0.01,2040914
0.01,2040915
0.01,2040916
0.01,2044529
0.01,2044530
0.01,2044531
0.01,2044532
0.31,2026451
0.31,2026452
0.31,2026453
0.31,2026454
0.31,2030067
0.31,2030068
0.31,2030069
0.31,2030070
0.31,2030071
0.31,2033684
0.31,2033685
0.31,2033686
0.31,2033687
0.31,2037300
0.31,2037301
0.31,2037302
0.31,2037303
0.31,2037304
0.31,2040917
0.31,2040918
0.31,2040919
0.31,2040920
0.31,2044533
0.31,2044534
0.31,2044535
0.31,2044536
0.31,2044537
0.35,2026455
0.35,2026456
0.35,2026457
0.35,2026458
0.35,2026459
0.35,2030072
0.35,2030073
0.35,2030074
0.35,2030075
0.35,2033688
0.35,2033689
0.35,2033690
0.35,2033691
0.35,2033692
0.35,2037305
0.35,2037306
0.35,2037307
0.35,2037308
0.35,2037309
0.35,2040921
0.35,2040922
0.35,2040923
0.35,2040924
0.35,2040925
0.35,2044538
0.35,2044539
0.35,2044540
0.35,2044541
0.79,2026460
0.79,2026461
