prob,cell_id
0.04,1079265
0.04,1079266
0.04,1079267
0.1,1082881
0.1,1082882
0.1,1082883
0.1,1082884
0.1,1086498
0.1,1086499
0.1,1086500
0.1,1090114
0.1,1090115
0.1,1093731
0.1,1097347
0.1,1097348
0.42,1104559
0.42,1104560
0.42,1108174
0.42,1108175
0.42,1108176
0.42,1108177
0.42,1111791
0.42,1111792
0.42,1115407
0.42,1115408
0.38,1100946
0.38,1100947
0.38,1100948
0.38,1104561
0.38,1104562
0.38,1104563
0.38,1104564
0.38,1108178
0.38,1108179
0.25,1100949
0.25,1100950
0.25,1100951
0.25,1104565
0.25,1104566
0.25,1104567
0.25,1104568
0.25,1108184
0.25,1111798
0.25,1111799
0.25,1111800
0.25,1111801
0.25,1115414
0.25,1115415
0.25,1115416
0.25,1115417
0.31,1100961
0.31,1100962
0.31,1100963
0.31,1104576
0.31,1104577
0.31,1104578
0.31,1104579
0.31,1108193
0.31,1108194
0.31,1108195
0.31,1108196
0.31,1111809
0.31,1111810
0.31,1111811
0.31,1111812
0.31,1115427
0.31,1115428
0.21,1100964
0.21,1100965
0.21,1104580
0.21,1104581
0.21,1115429
0.39,1119020
0.39,1119021
0.39,1119022
0.39,1122636
0.39,1122637
0.39,1126252
0.39,1126253
0.39,1126254
0.39,1129869
0.39,1129870
0.39,1129871
0.39,1133486
0.39,1133487
0.39,1133488
0.41,1126258
0.39,1119028
0.39,1119030
0.39,1122644
0.39,1122645
0.39,1122646
0.39,1126260
0.39,1126261
0.39,1126263
0.39,1133496
0.29,1119031
0.29,1119032
0.29,1119033
0.29,1119034
0.29,1122647
0.29,1122648
0.29,1122649
0.29,1122650
0.29,1126264
0.29,1126265
0.29,1126266
0.29,1126267
0.29,1129880
0.29,1129881
0.29,1129882
0.29,1133497
0.29,1133498
0.29,1133499
0.4,1119042
0.4,1119043
0.4,1119044
0.4,1119045
0.4,1122659
0.4,1122660
0.4,1122661
0.4,1126275
0.4,1126276
0.4,1126277
0.4,1126278
0.4,1129892
0.4,1129893
0.4,1129894
0.4,1133508
0.34,1119046
0.34,1122662
0.34,1126279
0.34,1129895
0.34,1129896
0.25,1137098
0.25,1137099
0.25,1137100
0.25,1140714
0.25,1140717
0.25,1144334
0.38,1137102
0.38,1137103
0.38,1140718
0.37,1137112
0.37,1140728
0.37,1140729
0.37,1144344
0.37,1144345
0.37,1147960
0.37,1147961
0.37,1151576
0.37,1151577
0.37,1151578
0.37,1155192
0.37,1155193
0.37,1155194
0.51,1144353
0.51,1147969
0.51,1151584
0.51,1151585
0.51,1155200
0.51,1155201
0.51,1155202
0.53,1137121
0.53,1137122
0.53,1137123
