prob,cell_id
0.01,1041148
0.01,1044764
0.01,1044765
0.01,1044766
0.01,1044767
0.01,1041149
0.01,1044768
0.01,1044769
0.01,1044770
0.01,1088222
0.03,1616184
0.03,1619801
0.03,1619802
0.03,1623418
0.03,1623419
0.03,1623420
0.03,1627036
0.03,1627038
0.03,1630653
0.03,1630654
0.03,1630655
0.01,1616185
0.01,1616186
0.01,1619803
0.01,1619804
0.01,1623421
0.01,1627039
0.01,1627040
0.01,1630657
0.01,1630658
0.01,1630660
0.06,1637879
0.06,1641496
0.06,1645114
0.06,1648731
0.06,1648732
0.07,1645115
0.07,1645119
0.07,1648733
0.07,1648734
0.07,1648735
0.07,1648736
0.07,1648737
0.06,1706583
0.06,1710200
0.06,1710201
0.12,1702970
0.09,1829647
0.09,1829648
0.09,1829649
0.09,1829650
0.09,1833265
0.09,1833266
0.09,1833267
0.09,1833268
0.09,1836883
0.09,1836884
0.09,1836885
0.16,1854871
0.2,1876576
0.2,1876577
0.01,1858490
0.01,1858491
0.17,1880194
0.14,1905529
0.14,1905530
0.14,1909146
0.14,1909147
0.14,1912764
0.14,1916381
0.07,1927234
0.07,1927237
0.07,1927238
0.07,1930854
0.07,1930855
0.07,1930856
0.17,1927239
0.17,1927242
0.17,1930858
0.17,1930859
0.17,1930860
0.17,1941710
0.17,1941711
0.17,1941712
0.17,1941713
0.01,1959797
0.01,1963414
0.03,1945327
0.03,1945328
0.03,1945329
0.03,1945330
0.03,1945331
0.03,1948945
0.03,1948946
0.03,1948947
0.03,1948948
0.03,1952565
0.03,1952566
0.03,1956183
0.03,1956184
0.03,1963415
0.17,1945332
0.17,1945333
0.17,1945334
0.17,1945335
0.17,1948950
0.17,1948951
0.17,1948952
0.17,1948953
0.17,1952567
0.17,1952568
0.17,1952569
0.17,1952570
0.17,1952571
0.17,1956185
0.17,1956187
0.17,1956188
0.05,1945336
0.05,1948954
0.03,1970645
0.06,1967028
0.06,1967029
0.06,1967031
0.06,1967032
0.06,1970646
0.06,1970648
0.06,1970649
0.06,1970650
0.06,1974266
0.06,1974267
0.06,1977881
0.06,1977882
0.06,1977883
0.06,1977884
0.06,1981500
0.06,1981501
0.02,1974363
0.41,1999583
0.41,1999584
0.08,2017670
0.07,2010435
0.07,2014053
0.4,2017677
0.4,2024911
0.4,2024912
0.4,2024913
0.59,2025678
0.59,2025679
0.59,2029295
0.59,2029296
0.59,2032912
0.59,2032913
0.24,2028527
0.24,2032143
0.24,2032144
0.24,2032145
0.24,2035759
0.24,2035760
0.24,2035761
0.24,2035762
0.24,2039376
0.24,2039377
0.24,2039378
0.24,2039379
0.24,2039380
0.24,2042994
0.24,2042995
0.24,2042996
0.24,2042997
0.24,2046612
0.24,2046613
0.24,2046614
0.37,2028528
0.37,2028529
0.37,2028530
0.37,2032146
0.37,2032147
0.37,2032149
0.37,2035763
0.37,2035764
0.37,2035766
0.37,2035767
0.37,2039381
0.37,2039383
0.37,2039384
0.03,2032150
0.03,2032151
0.03,2035768
0.03,2039385
0.33,2053838
0.33,2053839
0.33,2053840
0.33,2057456
0.33,2057457
0.56,2057585
0.56,2057586
0.56,2061202
0.56,2061203
0.56,2064820
0.56,2064821
0.56,2064822
0.56,2068438
0.56,2068439
0.14,2086394
0.14,2090011
0.14,2090012
0.82,2072057
0.82,2082909
0.82,2082910
0.82,2086526
0.82,2086527
0.82,2086528
0.82,2090144
0.82,2090145
0.82,2090146
0.09,2108092
0.09,2108093
0.09,2108094
0.09,2111709
0.09,2111710
0.09,2111711
0.25,2093628
0.25,2093629
0.25,2097247
0.25,2100863
0.25,2100864
0.25,2104480
0.25,2104481
0.25,2104482
0.25,2108098
0.25,2108099
0.25,2108100
0.25,2111716
0.25,2111717
0.25,2093630
0.25,2093632
0.25,2093633
0.25,2093634
0.25,2097249
0.25,2097250
0.25,2097251
0.25,2100865
0.25,2100866
0.25,2100867
0.25,2100868
0.25,2100869
0.25,2104483
0.25,2104484
0.25,2104485
0.25,2104486
0.25,2108102
0.25,2108103
0.25,2111718
0.25,2111719
0.25,2111720
0.97,2100997
0.97,2100998
0.97,2104614
0.97,2104615
0.97,2104616
0.97,2108232
0.97,2108233
0.97,2111850
0.97,2111851
0.19,2115323
0.19,2115324
0.19,2115325
0.19,2118940
0.19,2118941
0.19,2118942
0.19,2118943
0.19,2122557
0.19,2122558
0.19,2122559
0.26,2118944
0.26,2118945
0.26,2122563
0.26,2122564
0.26,2122565
0.26,2126181
0.26,2126182
0.26,2126183
0.26,2129798
0.26,2129799
0.26,2133417
0.26,2115332
0.26,2115333
0.26,2115334
0.26,2115335
0.26,2118949
0.26,2118950
0.26,2118951
0.26,2118952
0.26,2122566
0.26,2122567
0.26,2122568
0.26,2122569
0.26,2122570
0.26,2126184
0.26,2126185
0.26,2126186
0.26,2126187
0.26,2129801
0.26,2129802
0.26,2129803
0.26,2129804
0.26,2133419
0.26,2133420
0.26,2133421
0.45,2133454
0.45,2133455
0.28,2144233
0.28,2147850
0.32,2136999
0.32,2137000
0.32,2137001
0.32,2140616
0.32,2140617
0.32,2144234
0.32,2144235
0.32,2147851
0.32,2147852
0.15,2137008
0.15,2137009
0.15,2140626
0.66,2137071
0.66,2137072
0.66,2140688
0.66,2140689
0.66,2144305
0.66,2144306
0.61,2155253
0.61,2155254
0.11,2191269
0.11,2194885
0.11,2194886
0.11,2194887
0.11,2198501
0.11,2198502
0.11,2198503
0.11,2198504
0.51,2187654
0.51,2187655
0.51,2191271
0.51,2191272
0.51,2194890
0.51,2198507
0.23,2180424
0.23,2180425
0.23,2180426
0.23,2180427
0.23,2184041
0.23,2184042
0.23,2184043
0.23,2184044
0.23,2187658
0.23,2187659
0.23,2187660
0.23,2187661
0.23,2187662
0.23,2191276
0.23,2191277
0.23,2191278
0.23,2191279
1,2184194
1,2184195
1,2187811
1,2187812
1,2191428
1,2191429
0.61,2202109
0.53,2202115
0.53,2202116
0.53,2202117
0.53,2205732
0.53,2205733
0.53,2205734
0.53,2205735
0.53,2209349
0.53,2209350
0.53,2209351
0.53,2209352
0.53,2212966
0.53,2212968
0.53,2212969
0.53,2212970
0.53,2216585
0.53,2216586
0.53,2220203
0.53,2220204
0.56,2209519
0.44,2206020
0.44,2209637
0.12,2245504
0.12,2252739
0.36,2274444
0.36,2278061
0.09,2288880
0.09,2288881
0.09,2288882
0.09,2288883
0.09,2288884
0.4,2303383
0.4,2303384
0.4,2307001
0.4,2307002
0.54,2310618
0.54,2310619
0.48,2343178
0.48,2343179
0.48,2346795
0.48,2346796
0.48,2350413
0.6,2346797
0.6,2350414
0.04,2361216
0.04,2364833
0.86,2354031
0.86,2357647
0.86,2357648
0.86,2361264
0.86,2361265
0.86,2361266
0.86,2364881
0.86,2364882
0.86,2364883
0.86,2372118
0.77,2372119
0.45,2368721
0.45,2368722
0.45,2372338
0.45,2372339
0.87,2375736
0.35,2390429
0.35,2390430
0.35,2394046
0.35,2394047
0.35,2394048
0.86,2397441
0.86,2411910
0.86,2415527
0.45,2397664
0.45,2404901
0.45,2408517
0.45,2408518
0.45,2408519
0.45,2412135
0.45,2412136
0.04,2419140
0.04,2419143
0.04,2419144
0.04,2422757
0.04,2422758
0.04,2426375
0.04,2429992
0.04,2433612
0.04,2437230
0.04,2437231
0.82,2437232
0.73,2423193
0.73,2423194
0.73,2426810
0.73,2426811
0.08,2451688
0.08,2451689
0.08,2451690
0.08,2455304
0.08,2455305
0.08,2455306
0.08,2455307
0.08,2455308
0.08,2458921
0.08,2458922
0.08,2458923
0.39,2440841
0.39,2440842
0.39,2440843
0.39,2444458
0.39,2444459
0.39,2444460
0.39,2444461
0.39,2448076
0.39,2448077
0.39,2451691
0.39,2451692
0.39,2451693
0.39,2455309
0.39,2455310
0.39,2455311
0.39,2455312
0.39,2458928
0.39,2458929
0.39,2458930
0.47,2444695
0.47,2444696
0.47,2448312
0.47,2448313
0.47,2448314
0.47,2451929
0.47,2451930
0.47,2451931
0.15,2462538
0.15,2473390
0.15,2477007
0.15,2480624
0.07,2462539
0.07,2466156
0.07,2469773
0.07,2480625
0.01,2462553
0.01,2462554
0.01,2462555
0.01,2462556
0.01,2466171
0.01,2466173
0.01,2466174
0.01,2469790
0.01,2469791
0.01,2473407
0.01,2473408
0.01,2477024
0.01,2477025
0.01,2480641
0.01,2480642
0.04,2495341
0.04,2498958
0.04,2498959
0.04,2502575
0.04,2502576
0.16,2505963
0.16,2505964
0.16,2509580
0.16,2509581
0.16,2509582
0.16,2513199
0.16,2513200
0.16,2516817
0.16,2520434
0.16,2524052
0.82,2509583
0.82,2516818
0.82,2520435
0.82,2520436
0.82,2524053
0.45,2509810
0.45,2509811
0.45,2513427
0.45,2513428
0.45,2517045
0.64,2527569
0.64,2527570
0.64,2527571
0.64,2531187
0.64,2531188
0.64,2534804
0.64,2534805
0.64,2538421
0.64,2538422
0.63,2527649
0.63,2531265
0.63,2531266
0.63,2534882
0.63,2534883
0.63,2538500
0.63,2542117
0.63,2545732
0.63,2545733
0.63,2545734
0.63,2545735
0.36,2527669
0.36,2531286
0.36,2534903
0.36,2534904
0.36,2538520
0.36,2538521
0.36,2542137
0.36,2542138
0.36,2545754
0.36,2545755
0.69,2527670
0.69,2531287
0.12,2549267
0.12,2549268
0.12,2552888
0.12,2556501
0.12,2556502
0.12,2556503
0.12,2556504
0.12,2560118
0.12,2560119
0.12,2560120
0.12,2560121
0.12,2563736
0.12,2563737
0.12,2563738
0.12,2567354
0.12,2567355
0.12,2567356
0.01,2549276
0.01,2549277
0.01,2549278
0.01,2552894
0.01,2552895
0.01,2567363
0.01,2567364
0.3,2567378
0.3,2567379
0.3,2567380
0.3,2567381
0.24,2563837
0.24,2567452
0.24,2567453
0.24,2567454
0.24,2567455
0.34,2549371
0.34,2549372
0.34,2552988
0.34,2552989
0.34,2556604
0.34,2556605
0.34,2556606
0.34,2560221
0.34,2560222
0.34,2560223
0.34,2563838
0.34,2563839
0.34,2563840
0.34,2567456
0.36,2549603
0.36,2553216
0.36,2553217
0.36,2553218
0.36,2556833
0.36,2556834
0.36,2556835
0.36,2564072
0.36,2567689
0.6,2553221
0.6,2556838
0.6,2556839
0.6,2560456
0.6,2560457
0.6,2564073
0.6,2564074
0.6,2567690
0.6,2567691
0.13,2571000
0.13,2571001
0.13,2571002
0.13,2571003
0.13,2574617
0.13,2574618
0.13,2574619
0.13,2574620
0.13,2578234
0.13,2578235
0.13,2578236
0.13,2581851
0.13,2581852
0.13,2581853
0.13,2585469
0.13,2585470
0.49,2571050
0.49,2571051
0.49,2571052
0.49,2574667
0.49,2574668
0.49,2574669
0.49,2578285
0.49,2578286
0.49,2578287
0.49,2581902
0.49,2581903
0.49,2581904
0.49,2585520
0.49,2585521
0.49,2589138
0.49,2589139
0.05,2571069
0.05,2571070
0.05,2571072
0.05,2574686
0.05,2578303
0.05,2578304
0.05,2581920
0.05,2581921
0.05,2585538
0.05,2589155
0.74,2571308
0.05,2592698
0.05,2592699
0.05,2592700
0.24,2610863
0.24,2610864
0.94,2600243
0.94,2600244
0.94,2600245
0.94,2603860
0.94,2603861
0.94,2603862
0.94,2607477
0.94,2607478
0.94,2607479
0.94,2611094
0.94,2611095
0.94,2611096
0.19,2614353
0.19,2614354
0.19,2617970
0.19,2617971
0.19,2621587
0.19,2621588
0.19,2625205
0.19,2625206
0.19,2628822
0.19,2628823
0.19,2632439
0.19,2632440
0.06,2614460
0.06,2618077
0.06,2621694
0.06,2625312
0.06,2625337
0.06,2625338
0.06,2625339
0.06,2625340
0.06,2625341
0.06,2628955
0.06,2628956
0.06,2628957
0.06,2628958
0.06,2632572
0.06,2632573
0.06,2632574
0.06,2632575
0.06,2632576
0.89,2628959
0.89,2628960
0.89,2632577
0.89,2632578
0.89,2632579
0.89,2632580
0.89,2632581
0.68,2614711
0.68,2614712
0.68,2614713
0.68,2618328
0.68,2618329
0.68,2618330
0.68,2621946
0.59,2629410
0.59,2633027
0.59,2633028
0.17,2629411
0.17,2633029
0.01,2636189
0.01,2636190
0.01,2636191
0.01,2636192
0.01,2636193
0.01,2639806
0.01,2639807
0.01,2639808
0.01,2639809
0.01,2639810
0.01,2643424
0.01,2643425
0.01,2643426
0.01,2643427
0.01,2643428
0.01,2647042
0.01,2647043
0.01,2647044
0.01,2647045
0.01,2650662
0.01,2657897
0.02,2636194
0.02,2636195
0.02,2636196
0.02,2636197
0.02,2636198
0.02,2639811
0.02,2639812
0.02,2639813
0.02,2639814
0.02,2639815
0.02,2643429
0.02,2643430
0.02,2643431
0.02,2643432
0.02,2647046
0.02,2647047
0.02,2647048
0.02,2647049
0.02,2647050
0.02,2650663
0.02,2650664
0.02,2650665
0.02,2650666
0.02,2650667
0.02,2654280
0.02,2654281
0.02,2654282
0.02,2654283
0.02,2654284
0.02,2657898
0.02,2657899
0.02,2657900
0.02,2657901
0.02,2657902
0.06,2636199
0.06,2636200
0.06,2636201
0.06,2636202
0.06,2636203
0.06,2639816
0.06,2639817
0.06,2639818
0.06,2639819
0.06,2639820
0.06,2643433
0.06,2643434
0.06,2643435
0.06,2643436
0.06,2643437
0.06,2647051
0.06,2647052
0.06,2647053
0.06,2647054
0.06,2647055
0.06,2650668
0.06,2650669
0.06,2650670
0.06,2650671
0.06,2650672
0.06,2654285
0.06,2654286
0.06,2654287
0.06,2654288
0.06,2654289
0.06,2657903
0.06,2657904
0.06,2657905
0.06,2657906
0.87,2647056
0.87,2647057
0.87,2650673
0.87,2650674
0.87,2650675
0.87,2650676
0.87,2654290
0.87,2654291
0.87,2654292
0.87,2654293
0.87,2654294
0.87,2657907
0.87,2657908
0.87,2657909
0.87,2657910
0.87,2657911
0.69,2657912
0.21,2661490
0.21,2661491
0.21,2661492
0.21,2661493
0.21,2661494
0.21,2665108
0.21,2665109
0.21,2665110
0.21,2665111
0.21,2668725
0.21,2668726
0.21,2668727
0.21,2668728
0.21,2668729
0.21,2672344
0.21,2672345
0.21,2672346
0.21,2675959
0.21,2675962
0.21,2675963
0.21,2679577
0.21,2679578
0.21,2679579
0.21,2679580
0.14,2665116
0.14,2668730
0.14,2668733
0.14,2668734
0.14,2672347
0.14,2672350
0.14,2672351
0.14,2675964
0.14,2675965
0.14,2675966
0.14,2675967
0.14,2675968
0.14,2679581
0.14,2679582
0.14,2679583
0.14,2679584
0.09,2661501
0.09,2661502
0.09,2661503
0.09,2665117
0.09,2665118
0.09,2665119
