prob,cell_id
0.18,1489567
0.18,1489568
0.18,1493185
0.18,1493186
0.11,1489569
0.11,1489571
0.11,1489572
0.11,1493187
0.11,1493188
0.11,1493189
0.11,1496807
0.11,1496808
0.11,1500424
0.11,1500425
0.11,1500426
0.11,1504042
0.11,1504043
0.11,1504044
0.11,1507660
0.11,1507661
0.11,1507662
0.29,1518512
0.29,1522129
0.29,1522130
0.29,1525747
0.29,1525748
0.13,1511278
0.13,1511279
0.13,1511280
0.13,1514896
0.13,1514897
0.13,1518513
0.13,1518514
0.13,1525749
0.36,1529364
0.36,1529365
0.36,1529366
0.36,1532983
0.36,1532984
0.36,1536600
0.36,1536601
0.36,1536602
0.36,1540218
0.36,1540219
0.36,1540220
0.36,1543836
0.36,1543837
0.36,1543838
0.36,1547454
0.36,1547455
0.36,1547456
0.4,1551071
0.4,1551072
0.4,1551073
0.4,1554689
0.4,1554690
0.4,1554691
0.4,1554692
0.4,1558307
0.4,1558308
0.4,1558309
0.4,1558310
0.4,1561928
0.4,1565546
0.4,1569164
0.45,1572782
0.45,1576399
0.45,1576400
0.45,1580014
0.45,1580017
0.45,1580018
0.45,1583632
0.45,1583634
0.45,1583635
0.45,1583636
0.45,1587252
0.45,1587253
0.03,1590770
0.03,1594388
0.03,1594389
0.03,1598005
0.03,1598006
0.03,1598007
0.03,1598008
0.03,1598009
0.03,1601624
0.03,1601625
0.03,1601626
0.03,1601627
0.03,1605243
0.03,1605244
0.03,1608862
0.14,1605245
0.14,1608863
0.14,1608864
0.51,1608957
0.43,1590869
0.43,1590870
0.43,1590871
0.43,1594487
0.43,1594488
0.43,1594489
0.43,1598105
0.43,1598106
0.43,1601723
0.43,1605340
0.43,1608958
0.03,1590886
0.03,1590887
0.03,1590888
0.03,1594504
0.03,1594505
0.03,1598121
0.03,1598122
0.03,1598123
0.03,1601739
0.03,1601740
0.03,1605357
0.03,1605358
0.03,1608975
0.03,1608976
0.24,1612481
0.24,1612482
0.24,1616099
0.24,1616100
0.24,1619717
0.24,1619718
0.24,1623335
0.24,1623336
0.24,1623337
0.24,1626953
0.24,1626954
0.24,1626955
0.24,1630571
0.24,1630572
0.24,1630573
0.24,1630574
0.56,1616184
0.56,1619801
0.56,1619802
0.56,1623418
0.56,1623419
0.56,1623420
0.56,1627036
0.56,1627038
0.56,1630653
0.56,1630654
0.56,1630655
0.56,1616185
0.56,1616186
0.56,1619803
0.56,1619804
0.56,1623421
0.56,1627039
0.56,1627040
0.56,1630657
0.56,1630658
0.56,1630660
0.48,1612573
0.48,1612574
0.48,1612575
0.48,1616192
0.48,1616193
0.48,1619810
0.48,1619811
0.48,1623427
0.48,1623428
0.48,1623429
0.48,1627044
0.48,1627045
0.48,1627046
0.48,1630661
0.48,1630662
0.48,1630663
0.1,1612591
0.1,1612592
0.1,1616207
0.1,1616208
0.1,1616209
0.1,1616210
0.1,1619825
0.1,1619826
0.1,1619827
0.1,1619828
0.1,1623443
0.1,1623444
0.1,1623445
0.1,1623446
0.1,1627061
0.1,1627062
0.1,1627063
0.1,1630678
0.1,1630679
0.1,1630680
0.1,1630681
0.16,1612593
0.16,1612594
0.16,1616211
0.16,1616212
0.16,1619829
0.16,1619830
0.25,1634190
0.25,1634191
0.25,1634192
0.25,1637808
0.25,1637809
0.25,1641427
0.38,1637810
0.38,1637811
0.38,1641428
0.38,1641429
0.38,1645046
0.38,1645047
0.38,1645048
0.38,1648664
0.38,1648665
0.38,1648666
0.5,1648679
0.5,1648680
0.66,1637879
0.66,1641496
0.66,1645114
0.66,1648731
0.66,1648732
0.64,1645115
0.64,1645119
0.64,1648733
0.64,1648734
0.64,1648735
0.64,1648736
0.64,1648737
0.57,1634271
0.57,1634272
0.57,1634273
0.57,1634274
0.57,1637889
0.57,1637890
0.57,1637891
0.57,1637892
0.57,1641506
0.57,1641507
0.57,1641508
0.57,1641509
0.52,1634275
0.52,1634278
0.52,1637895
0.52,1641512
0.52,1641513
0.52,1645129
0.52,1645130
0.52,1648747
0.52,1648748
0.2,1634296
0.2,1634297
0.2,1634298
0.2,1634299
0.2,1637914
0.2,1637915
0.2,1637916
0.2,1641532
0.2,1641533
0.2,1641534
0.2,1645150
0.2,1645151
0.2,1645152
0.2,1648768
0.2,1648769
0.2,1648770
0.44,1652282
0.44,1652283
0.44,1652284
0.44,1655901
0.44,1655902
0.44,1655903
0.44,1659519
0.44,1659520
0.44,1659521
0.44,1663137
0.44,1663138
0.44,1663139
0.44,1666755
0.44,1666756
0.44,1670374
0.53,1666757
0.53,1670375
0.58,1652296
0.58,1652297
0.58,1652298
0.58,1655914
0.58,1655915
