prob,cell_id
0.06,2025678
0.06,2025679
0.06,2029295
0.06,2029296
0.06,2032912
0.06,2032913
0.15,2047399
0.15,2047400
0.15,2051014
0.15,2051015
0.15,2051016
0.15,2054631
0.15,2058247
0.15,2058248
0.53,2057585
0.53,2057586
0.53,2061202
0.53,2061203
0.53,2064820
0.53,2064821
0.53,2064822
0.53,2068438
0.53,2068439
0.91,2072057
0.91,2082909
0.91,2082910
0.91,2086526
0.91,2086527
0.91,2086528
0.91,2090144
0.91,2090145
0.91,2090146
1,2100997
1,2100998
1,2104614
1,2104615
1,2104616
1,2108232
1,2108233
1,2111850
1,2111851
0.11,2137071
0.11,2137072
0.11,2140688
0.11,2140689
0.11,2144305
0.11,2144306
0.43,2155253
0.43,2155254
0.09,2158870
0.09,2158871
0.09,2162487
0.09,2162488
1,2184194
1,2184195
1,2187811
1,2187812
1,2191428
1,2191429
0.12,2209518
0.12,2213135
0.12,2213136
0.47,2209519
0.19,2343178
0.19,2343179
0.19,2346795
0.19,2346796
0.19,2350413
0.03,2346797
0.03,2350414
0.1,2361216
0.1,2364833
0.89,2354031
0.89,2357647
0.89,2357648
0.89,2361264
0.89,2361265
0.89,2361266
0.89,2364881
0.89,2364882
0.89,2364883
0.89,2372118
0.18,2372119
0.65,2368721
0.65,2368722
0.65,2372338
0.65,2372339
0.11,2375734
0.11,2375735
0.11,2379351
0.11,2379352
0.11,2379353
0.11,2382968
0.11,2382969
0.11,2382970
0.34,2375736
0.62,2390429
0.62,2390430
0.62,2394046
0.62,2394047
0.62,2394048
0.32,2411908
0.32,2411909
0.32,2415525
0.32,2415526
0.44,2397441
0.44,2411910
0.44,2415527
0.66,2397664
0.66,2404901
0.66,2408517
0.66,2408518
0.66,2408519
0.66,2412135
0.66,2412136
0.21,2419138
0.21,2419139
0.21,2422755
0.21,2422756
0.21,2426372
0.21,2426373
0.21,2426374
0.21,2429988
0.21,2429989
0.21,2429990
0.21,2429991
0.21,2433605
0.21,2433606
0.21,2433607
0.21,2437223
0.21,2437224
0.37,2419140
0.37,2419143
0.37,2419144
0.37,2422757
0.37,2422758
0.37,2426375
0.37,2429992
0.37,2433612
0.37,2437230
0.37,2437231
0.44,2437232
0.22,2423193
0.22,2423194
0.22,2426810
0.22,2426811
0.38,2451688
0.38,2451689
0.38,2451690
0.38,2455304
0.38,2455305
0.38,2455306
0.38,2455307
0.38,2455308
0.38,2458921
0.38,2458922
0.38,2458923
0.64,2440841
0.64,2440842
0.64,2440843
0.64,2444458
0.64,2444459
0.64,2444460
0.64,2444461
0.64,2448076
0.64,2448077
0.64,2451691
0.64,2451692
0.64,2451693
0.64,2455309
0.64,2455310
0.64,2455311
0.64,2455312
0.64,2458928
0.64,2458929
0.64,2458930
0.66,2444695
0.66,2444696
0.66,2448312
0.66,2448313
0.66,2448314
0.66,2451929
0.66,2451930
0.66,2451931
0.46,2462538
0.46,2473390
0.46,2477007
0.46,2480624
0.39,2462539
0.39,2466156
0.39,2469773
0.39,2480625
0.07,2473635
0.07,2473636
0.07,2473637
0.07,2477252
0.07,2477253
0.07,2477254
0.07,2480869
0.07,2480870
0.07,2480871
0.19,2484241
0.19,2484242
0.19,2487858
0.19,2487859
0.19,2491475
0.19,2491476
0.19,2495092
0.19,2495093
0.19,2498709
0.19,2498710
0.19,2502327
0.19,2502328
0.37,2495341
0.37,2498958
0.37,2498959
0.37,2502575
0.37,2502576
0.1,2523945
0.24,2505944
0.24,2505945
0.24,2505946
0.24,2509562
0.24,2509563
0.24,2513179
0.24,2513180
0.24,2516797
0.24,2520414
0.24,2520415
0.24,2524031
0.24,2524032
0.32,2505963
0.32,2505964
0.32,2509580
0.32,2509581
0.32,2509582
0.32,2513199
0.32,2513200
0.32,2516817
0.32,2520434
0.32,2524052
0.19,2509583
0.19,2516818
0.19,2520435
0.19,2520436
0.19,2524053
0.69,2509810
0.69,2509811
0.69,2513427
0.69,2513428
0.69,2517045
0.09,2545649
0.09,2545650
0.09,2545651
0.84,2527569
0.84,2527570
0.84,2527571
0.84,2531187
0.84,2531188
0.84,2534804
0.84,2534805
0.84,2538421
0.84,2538422
0.09,2534809
0.09,2538426
0.09,2538427
0.09,2542043
0.09,2542044
0.09,2545659
0.09,2545660
0.09,2545661
0.65,2527669
0.65,2531286
0.65,2534903
0.65,2534904
0.65,2538520
0.65,2538521
0.65,2542137
0.65,2542138
0.65,2545754
0.65,2545755
0.03,2527670
0.03,2531287
0.08,2549266
0.26,2549267
0.26,2549268
0.26,2552888
0.26,2556501
0.26,2556502
0.26,2556503
0.26,2556504
0.26,2560118
0.26,2560119
0.26,2560120
0.26,2560121
0.26,2563736
0.26,2563737
0.26,2563738
0.26,2567354
0.26,2567355
0.26,2567356
0.09,2552889
0.09,2567362
0.34,2549276
0.34,2549277
0.34,2549278
0.34,2552894
0.34,2552895
0.34,2567363
0.34,2567364
0.57,2567378
0.57,2567379
0.57,2567380
0.57,2567381
0.61,2549371
0.61,2549372
0.61,2552988
0.61,2552989
0.61,2556604
0.61,2556605
0.61,2556606
0.61,2560221
0.61,2560222
0.61,2560223
0.61,2563838
0.61,2563839
0.61,2563840
0.61,2567456
0.62,2549603
0.62,2553216
0.62,2553217
0.62,2553218
0.62,2556833
0.62,2556834
0.62,2556835
0.62,2564072
0.62,2567689
0.53,2553221
0.53,2556838
0.53,2556839
0.53,2560456
0.53,2560457
0.53,2564073
0.53,2564074
