prob,cell_id
0.56,1066501
0.56,1066502
0.56,1070119
0.56,1070120
0.02,1066503
0.02,1066504
0.02,1070121
0.02,1088222
0.24,1352082
0.03,1391893
0.03,1395510
0.03,1395511
0.03,1399127
0.03,1399128
0.03,1402745
0.03,1402746
0.03,1402747
0.03,1406363
0.03,1406364
0.03,1406365
0.25,1413592
0.25,1413593
0.25,1417210
0.25,1417211
0.25,1420827
0.25,1420828
0.25,1420829
0.25,1424445
0.25,1424446
0.25,1424447
0.25,1428064
0.25,1428065
0.08,1431683
0.08,1435299
0.08,1435300
0.08,1435301
0.08,1438916
0.08,1438917
0.08,1438918
0.08,1446156
0.24,1449768
0.24,1449769
0.24,1453386
0.24,1453387
0.24,1457003
0.24,1457004
0.24,1457005
0.24,1460621
0.24,1460622
0.24,1460623
0.24,1460624
0.24,1464239
0.24,1464240
0.24,1464241
0.24,1464242
0.24,1467859
0.24,1467860
0.04,1471479
0.04,1471480
0.04,1475097
0.04,1475098
0.04,1478715
0.04,1482333
0.04,1482336
0.04,1485951
0.04,1485954
0.2,1489569
0.2,1489571
0.2,1489572
0.2,1493187
0.2,1493188
0.2,1493189
0.2,1496807
0.2,1496808
0.2,1500424
0.2,1500425
0.2,1500426
0.2,1504042
0.2,1504043
0.2,1504044
0.2,1507660
0.2,1507661
0.2,1507662
0.53,1616184
0.53,1619801
0.53,1619802
0.53,1623418
0.53,1623419
0.53,1623420
0.53,1627036
0.53,1627038
0.53,1630653
0.53,1630654
0.53,1630655
0.36,1637879
0.36,1641496
0.36,1645114
0.36,1648731
0.36,1648732
0.37,1645115
0.37,1645119
0.37,1648733
0.37,1648734
0.37,1648735
0.37,1648736
0.37,1648737
0.04,1706583
0.04,1710200
0.04,1710201
0.44,1702970
0.16,1858590
0.16,1858591
0.16,1858592
0.16,1862207
0.16,1862208
0.16,1862209
0.27,1880298
0.58,1905623
0.47,1902006
0.47,1902007
0.47,1905624
0.48,1941803
0.48,1941804
0.07,1945327
0.07,1945328
0.07,1945329
0.07,1945330
0.07,1945331
0.07,1948945
0.07,1948946
0.07,1948947
0.07,1948948
0.07,1952565
0.07,1952566
0.07,1956183
0.07,1956184
0.07,1963415
0.11,1945336
0.11,1948954
0.76,1945420
0.76,1945421
0.17,1970645
0.85,1974363
0.64,1999583
0.64,1999584
0.27,1985117
0.27,1985118
0.27,1988734
0.27,1988735
0.81,2017670
0.66,2010435
0.66,2014053
0.66,2017677
0.66,2024911
0.66,2024912
0.66,2024913
0.12,2036536
0.12,2036537
0.12,2040153
0.12,2040154
0.65,2028527
0.65,2032143
0.65,2032144
0.65,2032145
0.65,2035759
0.65,2035760
0.65,2035761
0.65,2035762
0.65,2039376
0.65,2039377
0.65,2039378
0.65,2039379
0.65,2039380
0.65,2042994
0.65,2042995
0.65,2042996
0.65,2042997
0.65,2046612
0.65,2046613
0.65,2046614
0.49,2028528
0.49,2028529
0.49,2028530
0.49,2032146
0.49,2032147
0.49,2032149
0.49,2035763
0.49,2035764
0.49,2035766
0.49,2035767
0.49,2039381
0.49,2039383
0.49,2039384
0.53,2032150
0.53,2032151
0.53,2035768
0.53,2039385
0.43,2047399
0.43,2047400
0.43,2051014
0.43,2051015
0.43,2051016
0.43,2054631
0.43,2058247
0.43,2058248
1,2053838
1,2053839
1,2053840
1,2057456
1,2057457
1,2050228
1,2053844
1,2053845
1,2057462
1,2057463
1,2061079
1,2061080
1,2061081
1,2064697
1,2064698
0.61,2050229
0.61,2050230
0.61,2050231
0.61,2053846
0.61,2053847
0.61,2057464
0.61,2057465
0.61,2061082
0.61,2064699
1,2057585
1,2057586
1,2061202
1,2061203
1,2064820
1,2064821
1,2064822
1,2068438
1,2068439
0.78,2086394
0.78,2090011
0.78,2090012
0.74,2071929
0.74,2075546
0.74,2079164
0.74,2086395
0.74,2086396
0.74,2086399
0.74,2090013
0.74,2090015
0.74,2090016
0.92,2071930
0.92,2071931
0.92,2071932
0.92,2075547
0.92,2075548
0.92,2075549
0.92,2079165
0.92,2086400
0.92,2090017
0.5,2079279
0.5,2079280
0.5,2082896
0.5,2082897
0.5,2082898
1,2072057
1,2082909
1,2082910
1,2086526
1,2086527
1,2086528
1,2090144
