prob,cell_id
0.13,1706583
0.13,1710200
0.13,1710201
0.11,1695733
0.11,1695734
0.11,1699349
0.11,1699350
0.11,1699351
0.11,1699352
0.11,1702966
0.11,1702967
0.11,1702968
0.11,1702969
0.11,1706584
0.11,1706585
0.11,1706586
0.11,1706587
0.11,1710202
0.11,1710203
0.06,1702970
0.01,1710227
0.03,1695758
0.03,1695759
0.03,1695760
0.03,1699376
0.03,1699377
0.03,1702992
0.03,1702993
0.03,1706610
0.03,1710228
0.06,1713789
0.06,1713790
0.06,1717407
0.06,1721024
0.06,1721025
0.06,1724642
0.06,1728260
0.06,1731878
0.2,1713818
0.2,1713819
0.2,1731906
0.2,1731907
0.2,1731908
0.12,1713820
0.12,1728291
0.12,1728292
0.12,1728293
0.12,1728294
0.12,1731909
0.12,1731910
0.12,1731911
0.12,1731912
0.11,1728295
0.11,1728296
0.11,1731913
0.11,1731914
0.11,1731915
0.11,1731916
0.1,1728301
0.1,1728302
0.1,1728303
0.1,1731917
0.1,1731918
0.1,1731919
0.08,1724686
0.08,1724687
0.08,1724688
0.08,1724689
0.08,1724690
0.08,1728304
0.08,1728305
0.08,1728306
0.08,1728307
0.08,1721073
0.08,1721074
0.08,1721075
0.08,1721076
0.08,1724691
0.08,1724692
0.08,1724693
0.08,1724694
0.08,1728310
0.08,1728311
0.08,1728312
0.08,1731927
0.08,1731928
0.08,1731929
0.08,1731930
0.06,1713844
0.06,1713845
0.06,1717462
0.06,1717463
0.06,1721080
0.06,1721081
0.06,1724698
0.06,1728313
0.06,1728314
0.06,1728315
0.06,1728316
0.06,1731931
0.06,1731932
0.06,1731933
0.07,1713886
0.07,1713887
0.07,1713888
0.07,1717504
0.07,1717505
0.07,1717506
0.07,1717507
0.07,1721123
0.07,1721124
0.07,1721125
0.07,1724740
0.07,1724741
0.07,1724742
0.07,1728357
0.07,1728358
0.07,1728359
0.07,1728360
0.07,1731975
0.07,1731976
0.07,1731977
0.07,1731978
0.44,1728361
0.16,1735495
0.33,1749981
0.33,1753598
0.28,1739139
0.28,1742757
0.28,1746373
0.28,1746374
0.28,1749989
0.28,1749990
0.28,1749991
0.28,1753607
0.28,1753608
0.18,1735522
0.18,1735523
0.18,1735524
0.18,1739140
0.18,1739141
0.18,1742758
0.36,1735593
0.36,1735594
0.36,1735595
0.36,1739210
0.36,1739211
0.36,1739212
0.36,1739214
0.36,1742828
0.36,1742829
0.36,1746446
0.27,1764436
0.27,1764437
0.27,1768053
0.27,1768054
0.27,1771670
0.27,1771671
0.27,1771672
0.39,1764438
0.39,1768055
0.39,1768056
0.39,1771673
0.37,1757215
0.37,1757216
0.37,1760834
0.37,1760835
0.37,1764452
0.37,1764453
0.37,1771688
0.37,1771689
0.37,1771690
0.33,1760840
0.33,1760841
0.33,1764457
0.33,1764458
0.33,1768073
0.33,1768074
0.33,1768075
0.33,1771691
0.18,1757224
0.18,1757225
0.18,1760842
0.07,1764479
0.07,1764480
0.07,1764481
0.07,1768097
0.07,1768098
0.07,1768099
0.07,1771713
0.07,1771714
0.07,1771715
0.07,1771716
0.07,1771717
0.34,1757280
0.34,1757281
0.34,1760897
0.34,1760898
0.34,1760899
0.34,1764515
0.34,1764516
0.34,1768131
0.34,1768132
0.34,1768133
0.34,1771749
0.34,1771750
0.34,1771751
0.38,1757282
0.38,1757283
0.38,1757284
0.38,1760901
0.38,1760902
0.38,1764518
0.38,1764519
0.38,1768136
0.38,1768137
0.38,1768138
0.38,1768139
0.38,1771754
0.38,1771755
0.38,1771756
0.38,1771757
0.27,1757287
0.27,1757288
0.27,1760904
0.27,1760905
0.27,1760907
0.27,1760908
0.27,1764522
0.27,1764524
0.27,1764525
0.27,1768140
0.27,1768141
0.27,1768142
0.27,1768143
0.27,1771759
0.53,1757291
0.53,1757292
0.53,1757293
0.53,1757294
0.53,1760909
0.53,1760910
0.53,1760911
0.53,1760912
0.53,1764526
0.53,1768144
0.67,1757295
0.26,1775282
0.49,1775288
0.49,1775289
0.49,1775290
0.49,1778905
0.49,1778906
0.49,1778907
0.49,1778908
0.49,1782523
0.49,1782524
0.49,1782525
0.49,1786140
0.49,1786141
0.49,1786142
0.49,1786143
0.49,1789757
0.49,1789758
0.49,1789759
0.49,1789760
0.49,1793375
0.49,1793376
0.49,1793377
0.48,1786148
0.45,1786149
0.33,1775301
0.33,1775302
0.33,1775303
0.33,1778919
0.33,1778920
0.33,1778921
0.33,1782537
0.33,1782538
0.33,1786155
0.33,1786156
0.33,1789772
0.33,1789773
0.33,1789774
0.33,1793388
0.33,1793389
0.33,1793390
0.33,1793391
0.33,1793392
0.2,1793397
0.2,1793398
0.2,1793399
0.2,1793400
0.08,1778934
0.08,1782551
0.08,1782552
0.08,1786168
0.08,1786169
0.08,1786170
0.08,1789785
0.08,1789786
0.08,1789787
0.08,1789788
0.08,1793403
0.08,1793404
0.08,1793405
0.01,1782553
0.01,1782556
0.01,1782557
0.01,1786171
0.01,1786172
0.01,1786173
0.01,1786174
0.01,1789789
0.01,1789790
0.01,1789791
0.01,1789792
0.01,1793406
0.01,1793407
0.01,1793408
0.01,1793409
0.01,1793410
0.09,1778940
0.09,1778941
0.09,1778942
0.09,1778943
0.09,1782558
0.09,1782559
0.09,1782560
0.09,1782561
0.09,1786175
0.09,1786176
0.09,1786177
0.09,1786178
0.09,1786179
0.09,1789793
0.09,1789794
0.09,1789795
0.09,1789796
0.09,1793411
0.09,1793412
0.09,1793413
0.09,1793414
0.16,1775326
0.16,1775327
0.16,1775328
0.16,1775329
0.16,1775330
0.16,1778944
0.16,1778945
0.16,1778946
0.16,1778947
0.16,1778948
0.16,1782562
0.16,1782563
0.16,1782564
0.16,1782565
0.16,1786180
0.16,1786181
0.16,1789797
0.16,1789798
0.16,1789799
0.16,1793415
0.16,1793416
0.2,1775331
0.2,1775332
0.2,1775333
0.2,1775334
0.2,1778949
0.2,1778950
0.2,1778951
0.2,1778952
0.2,1782566
0.2,1782567
0.2,1782568
0.2,1782569
0.2,1782570
0.2,1786186
0.2,1786187
0.2,1786188
0.12,1775335
0.12,1775336
0.12,1775337
0.12,1775338
0.12,1775339
0.12,1778953
0.12,1778954
0.12,1778955
0.12,1778956
0.12,1778957
0.12,1782571
0.12,1782572
0.12,1782574
0.12,1786189
0.12,1786190
0.12,1786191
0.12,1786192
0.12,1789807
0.12,1789808
0.12,1789809
0.12,1789810
0.12,1793424
0.12,1793425
0.12,1793426
0.12,1793427
0.12,1793428
0.45,1786205
0.45,1789822
0.45,1789823
0.45,1793439
0.45,1793440
0.45,1793441
0.35,1775354
0.35,1775355
0.35,1775356
0.35,1775357
0.35,1778973
0.35,1778974
0.35,1782590
0.35,1782591
0.35,1782592
0.35,1786206
0.35,1786207
0.35,1786208
0.35,1786209
0.35,1786210
0.35,1789826
0.35,1789827
0.46,1775358
0.46,1775359
0.46,1775360
0.46,1778975
0.46,1778976
0.46,1782593
0.46,1782594
0.65,1775369
0.75,1789846
0.79,1775377
0.79,1775378
0.79,1775379
0.79,1778995
0.79,1778996
0.79,1782612
0.79,1782613
0.79,1786230
0.79,1789847
0.79,1789850
0.79,1793467
0.79,1793468
0.8,1789851
0.8,1789852
0.8,1793469
0.04,1796967
0.04,1796968
0.04,1796969
0.04,1796970
0.04,1800586
0.04,1800587
0.04,1804204
0.04,1807822
0.04,1815057
0.04,1815058
0.15,1796971
0.15,1796972
0.15,1796973
0.15,1796974
0.15,1800588
0.15,1800589
0.15,1811442
0.15,1811443
0.15,1811444
0.15,1811445
0.15,1815059
0.15,1815060
0.15,1815061
0.15,1815062
0.15,1815063
0.35,1796975
0.35,1796976
0.35,1796977
0.35,1796978
0.35,1815064
0.59,1796996
0.59,1807850
0.42,1800616
0.42,1800617
0.42,1800618
0.42,1800619
0.42,1804233
0.42,1804234
0.42,1804235
0.42,1804236
0.42,1807851
0.42,1807852
0.42,1807853
0.42,1807854
0.42,1811468
0.42,1811469
0.42,1811470
0.42,1811471
0.42,1811472
0.42,1815086
0.42,1815087
0.42,1815088
0.42,1815089
0.17,1797011
0.17,1797012
0.17,1797013
0.17,1797014
0.17,1800628
0.17,1800629
0.17,1800630
0.17,1800631
0.17,1800632
0.17,1804246
0.17,1804247
0.17,1804248
0.17,1804249
0.17,1804250
0.17,1807864
0.17,1807865
0.17,1807866
0.17,1807867
0.17,1811482
0.17,1811483
0.17,1811484
0.17,1811485
0.17,1815102
0.15,1797015
0.15,1797016
0.15,1797017
0.15,1797018
0.15,1797019
0.15,1800633
0.15,1800634
0.15,1800635
0.15,1800636
0.15,1804251
0.15,1804252
0.15,1804253
0.15,1804254
0.15,1807868
0.15,1807869
0.15,1807870
0.15,1807871
0.15,1807872
0.15,1811487
0.15,1811488
0.15,1811489
0.15,1811490
0.15,1815105
0.15,1815106
0.15,1815107
0.14,1797021
0.14,1797022
0.14,1797023
0.14,1800637
0.14,1800638
0.14,1800639
0.14,1800640
0.14,1800641
0.14,1804255
0.14,1804256
0.14,1804257
0.14,1804258
0.14,1804259
0.14,1807873
0.14,1807874
0.14,1807875
0.14,1807876
0.14,1811491
0.14,1811492
0.14,1811493
0.14,1811494
0.14,1815108
0.14,1815109
0.14,1815110
0.14,1815111
0.14,1815112
0.26,1797024
0.26,1797025
0.26,1797026
0.26,1797028
0.26,1800642
0.26,1800643
0.26,1804260
0.26,1804261
0.26,1807877
0.26,1807878
0.26,1811495
0.36,1797029
0.36,1797030
0.36,1797031
0.36,1797032
0.46,1797033
0.46,1815122
0.46,1815123
0.46,1815124
0.46,1815125
0.49,1811511
0.49,1811512
0.49,1815128
0.49,1815129
0.49,1815130
0.5,1797042
0.5,1797043
0.5,1797044
0.5,1797045
0.5,1800661
0.5,1800662
0.5,1800663
0.5,1804278
0.5,1804279
0.5,1804281
0.5,1807895
0.5,1807896
0.5,1807897
0.5,1811513
0.63,1797046
0.63,1797047
0.63,1800664
0.63,1800665
0.63,1804282
0.63,1804283
0.63,1804284
0.63,1804285
0.63,1807900
0.63,1807901
0.63,1807902
0.63,1807903
0.63,1811519
0.63,1811520
0.63,1811521
0.63,1815137
0.63,1815138
0.63,1815139
0.59,1807908
0.59,1811525
0.59,1815140
0.59,1815141
0.59,1815142
0.59,1815143
0.54,1797057
0.54,1797058
0.54,1800674
0.54,1800675
0.54,1804291
0.54,1804292
0.54,1807909
0.54,1811526
0.81,1797079
0.81,1797080
0.87,1797087
0.87,1797088
0.87,1800704
0.87,1800705
0.87,1800706
0.87,1804322
0.87,1804323
0.01,1829512
0.01,1833130
0.01,1836747
0.01,1836748
0.47,1818673
0.47,1818674
0.47,1818675
0.47,1822291
0.47,1825908
0.47,1825909
0.47,1825911
0.47,1829526
0.47,1829527
0.47,1829528
0.47,1829529
0.64,1818680
0.64,1822297
0.64,1822298
0.64,1825913
0.64,1825914
0.64,1825915
0.64,1825916
0.64,1829530
0.64,1829531
0.84,1818681
0.71,1825934
0.71,1829550
0.71,1829551
0.71,1833167
0.71,1836785
0.71,1836787
0.52,1818702
0.52,1818703
0.52,1822318
0.52,1822319
0.52,1822320
0.52,1825935
0.52,1825936
0.52,1825937
0.52,1825938
0.52,1829552
0.52,1829553
0.52,1829554
0.52,1829555
0.52,1829556
0.52,1833170
0.52,1833171
0.52,1833172
0.52,1833173
0.52,1833174
0.52,1836788
0.52,1836789
0.52,1836790
0.52,1836791
0.41,1818708
0.41,1829563
0.41,1829564
0.41,1833180
0.41,1833181
0.41,1833182
0.41,1833183
0.41,1836797
0.41,1836798
0.41,1836799
0.41,1836800
0.28,1818723
0.28,1818724
0.28,1822339
0.28,1822340
0.28,1822341
0.28,1822342
0.28,1822343
0.28,1825957
0.28,1825958
0.28,1825959
0.28,1825960
0.28,1825961
0.28,1829577
0.28,1829578
0.28,1833195
0.28,1833196
0.28,1836813
0.28,1836814
0.44,1818726
0.44,1818727
0.44,1818728
0.44,1818729
0.44,1822344
0.44,1822345
0.44,1822346
0.44,1822347
0.44,1825962
0.44,1825963
0.44,1825964
0.44,1825965
0.44,1829579
0.44,1829581
0.44,1829582
0.44,1829583
0.44,1833197
0.44,1833198
0.44,1833199
0.44,1833200
0.44,1836815
0.44,1836816
0.44,1836817
0.44,1836818
0.59,1818739
0.59,1822355
0.59,1822356
0.59,1825972
0.59,1825973
0.59,1829590
0.59,1829591
0.59,1833207
0.59,1833208
0.59,1836824
0.59,1836825
0.7,1818740
0.7,1818741
0.7,1818742
0.7,1818743
0.7,1822357
0.7,1822360
0.7,1822361
0.74,1818744
0.74,1818746
0.74,1818747
0.74,1822362
0.74,1822363
0.74,1822364
0.74,1825979
0.74,1825980
0.74,1825981
0.74,1829597
0.74,1829598
0.79,1818757
0.79,1818758
0.79,1818759
0.79,1818760
0.79,1818761
0.79,1822376
0.79,1822377
0.94,1829647
0.94,1829648
0.94,1829649
0.94,1829650
0.94,1833265
0.94,1833266
0.94,1833267
0.94,1833268
0.94,1836883
0.94,1836884
0.94,1836885
0.21,1854840
0.21,1854841
0.41,1854871
0.9,1840403
0.9,1840404
0.9,1844020
0.9,1844021
0.9,1844022
0.9,1847636
0.9,1847637
0.9,1847638
0.9,1847639
0.9,1847640
0.9,1851254
0.9,1851255
0.9,1851256
0.9,1851257
0.9,1851258
0.9,1854872
0.9,1854873
0.9,1854874
0.9,1854875
0.81,1840405
0.81,1840406
0.81,1840407
0.81,1840408
0.81,1840409
0.81,1844023
0.81,1844024
0.81,1844025
0.81,1844026
0.81,1844027
0.81,1847641
0.67,1840410
0.67,1840411
0.67,1840412
0.67,1840413
0.67,1844028
0.67,1844029
0.67,1844030
0.67,1844031
0.67,1847646
0.67,1847647
0.67,1847648
0.67,1847649
0.67,1851265
0.67,1851266
0.67,1851267
0.67,1854882
0.67,1854883
0.67,1854884
0.44,1840414
0.44,1840416
0.44,1840417
0.44,1840418
0.44,1844032
0.44,1844033
0.44,1844034
0.44,1844035
0.44,1844036
0.44,1847650
0.44,1847651
0.44,1847652
0.44,1847653
0.44,1851268
0.44,1851269
0.44,1851270
0.44,1851271
0.44,1854885
0.44,1854886
0.44,1854887
0.44,1854888
0.44,1854889
0.61,1840431
0.61,1844049
0.61,1847666
0.61,1847667
0.61,1851283
0.61,1851284
0.61,1851285
0.61,1854900
0.61,1854901
0.76,1840432
0.76,1840433
0.76,1840435
0.76,1840436
0.76,1844050
0.76,1844053
0.76,1844054
0.76,1847668
0.76,1847671
0.76,1851289
0.77,1840437
0.77,1840438
0.77,1840439
0.77,1844055
0.77,1844056
0.77,1844058
0.77,1847672
0.77,1847673
0.77,1847674
0.77,1847675
0.77,1847676
0.77,1851290
0.77,1851291
0.77,1851292
0.77,1851293
0.77,1851294
0.69,1840441
0.69,1840442
0.69,1844059
0.69,1844060
0.69,1847677
0.94,1876576
0.94,1876577
0.92,1858490
0.92,1858491
0.86,1858499
0.86,1858500
0.86,1858502
0.86,1862119
0.86,1862120
0.86,1865737
0.86,1869355
0.86,1872972
0.86,1872973
0.26,1858503
0.26,1858504
0.26,1858505
0.26,1858506
0.26,1858507
0.26,1862122
0.26,1862123
0.26,1862124
0.26,1865738
0.26,1865739
0.26,1865740
0.26,1865741
0.26,1865742
0.26,1869356
0.26,1869357
0.26,1869358
0.26,1869359
0.26,1872974
0.26,1872975
0.26,1872976
0.26,1876591
0.26,1876592
0.26,1876593
0.73,1858517
0.73,1858518
0.73,1858519
0.73,1862135
0.73,1862136
0.73,1865752
0.73,1865753
0.73,1865754
0.73,1869370
0.73,1869371
0.73,1872987
0.73,1872988
0.73,1876605
0.73,1876606
0.97,1858590
0.97,1858591
0.97,1858592
0.97,1862207
0.97,1862208
0.97,1862209
0.94,1880194
0.87,1883825
0.87,1883826
0.87,1887442
0.87,1887443
0.87,1887444
0.87,1891059
0.87,1891060
0.87,1891061
0.87,1894676
0.87,1894677
0.87,1898293
0.87,1898294
0.75,1880209
0.75,1880210
0.75,1880211
0.75,1883827
0.75,1883828
0.75,1887445
0.75,1887446
0.75,1891062
0.75,1891063
0.75,1891064
0.75,1891065
0.75,1894681
0.75,1894682
0.75,1894683
0.75,1898298
0.75,1898299
0.75,1898300
0.7,1891068
0.7,1891069
0.7,1894685
0.7,1894686
0.7,1894687
0.7,1898302
0.7,1898303
0.7,1898304
0.8,1880223
0.8,1883840
0.8,1883841
0.8,1887458
0.8,1887459
0.8,1891076
0.8,1891077
0.8,1898311
0.93,1880298
0.7,1919967
0.94,1916380
0.94,1905529
0.94,1905530
0.94,1909146
0.94,1909147
0.94,1912764
0.94,1916381
0.87,1901916
0.87,1901917
0.87,1901918
0.87,1901919
0.87,1905533
0.87,1905534
0.87,1905535
0.87,1909151
0.87,1909152
0.87,1912769
0.87,1912770
0.87,1912771
0.87,1912772
0.87,1916389
0.8,1901920
0.8,1901921
0.8,1901922
0.8,1905537
0.8,1905538
0.8,1905539
0.8,1905540
0.8,1909155
0.8,1909156
0.8,1909157
0.8,1912773
0.8,1912774
0.8,1912775
0.8,1916390
0.8,1916391
0.8,1916392
0.8,1916393
0.8,1916394
0.8,1920008
0.8,1920009
0.8,1920010
0.8,1920011
0.8,1920012
0.76,1901925
0.76,1901926
0.76,1901927
0.76,1901928
0.76,1905542
0.76,1905543
0.76,1905544
0.76,1905545
0.76,1909160
0.76,1909161
0.76,1909162
0.76,1912777
0.76,1912778
0.76,1916395
0.06,1923580
0.06,1923581
0.06,1923582
0.06,1923583
0.06,1923584
0.06,1927198
0.06,1927199
0.06,1927200
0.06,1927201
0.06,1930816
0.06,1930817
0.06,1930818
0.06,1930819
0.06,1934433
0.06,1934434
0.06,1934435
0.06,1934436
0.06,1934437
0.06,1938051
0.06,1938052
0.06,1938053
0.06,1938054
0.06,1941668
0.06,1941669
0.06,1941670
0.06,1941671
0.06,1941672
0.79,1923585
0.79,1927202
0.79,1927203
0.79,1930820
0.79,1930821
0.79,1934438
0.79,1938055
0.79,1938056
0.79,1941673
0.79,1941674
0.92,1927233
0.92,1930850
0.92,1930851
0.93,1927234
0.93,1927237
0.93,1927238
0.93,1930854
0.93,1930855
0.93,1930856
0.94,1927239
0.94,1927242
0.94,1930858
0.94,1930859
0.94,1930860
0.94,1941710
0.94,1941711
0.94,1941712
0.94,1941713
0.88,1923626
0.88,1923627
0.88,1930864
0.88,1930865
0.88,1934481
0.88,1934482
0.88,1938099
0.88,1938100
0.88,1941714
0.88,1941715
0.88,1941717
0.88,1941718
0.86,1927248
0.86,1927249
0.86,1927250
0.86,1930866
0.86,1930867
0.86,1934483
0.86,1934484
0.86,1938101
0.86,1938102
0.86,1941719
1,1941803
1,1941804
0.6,1945272
0.6,1945273
0.6,1945274
0.6,1945275
0.6,1945276
0.6,1948890
0.6,1948891
0.6,1948892
0.6,1948893
0.6,1948894
0.6,1952508
0.6,1952509
0.6,1952510
0.6,1952511
0.6,1956125
0.6,1956126
0.6,1956127
0.6,1956128
0.6,1956129
0.6,1959743
0.6,1959744
0.6,1959745
0.6,1959746
0.6,1963360
0.6,1963361
0.6,1963362
0.6,1963363
0.6,1963364
0.32,1945286
0.32,1945287
0.32,1945288
0.32,1945289
0.32,1945290
0.32,1948904
0.32,1948905
0.32,1948906
0.32,1948907
0.32,1952521
0.32,1952522
0.32,1952523
0.32,1952524
0.32,1952525
0.32,1956139
0.32,1956140
0.32,1956141
0.32,1956142
0.32,1959757
0.32,1959758
0.32,1959759
0.32,1959760
0.32,1963374
0.32,1963375
0.32,1963376
0.32,1963377
0.32,1963378
0.97,1945291
0.97,1948908
0.97,1948909
0.97,1952526
0.97,1952527
0.97,1956143
0.97,1956144
0.97,1959761
0.97,1959762
0.97,1963379
0.93,1959797
0.93,1963414
0.95,1945327
0.95,1945328
0.95,1945329
0.95,1945330
0.95,1945331
0.95,1948945
0.95,1948946
0.95,1948947
0.95,1948948
0.95,1952565
0.95,1952566
0.95,1956183
0.95,1956184
0.95,1963415
0.94,1945332
0.94,1945333
0.94,1945334
0.94,1945335
0.94,1948950
0.94,1948951
0.94,1948952
0.94,1948953
0.94,1952567
0.94,1952568
0.94,1952569
0.94,1952570
0.94,1952571
0.94,1956185
0.94,1956187
0.94,1956188
0.96,1945336
0.96,1948954
0.86,1966978
0.86,1966979
0.86,1966980
0.86,1966981
0.86,1966982
0.86,1970596
0.86,1970597
0.86,1970598
0.86,1970599
0.86,1974213
0.86,1974214
0.86,1974215
0.86,1974216
0.86,1974217
0.86,1977831
0.86,1977832
0.86,1977833
0.86,1977834
0.86,1981448
0.86,1981449
0.86,1981450
0.86,1981451
0.86,1981452
0.9,1966983
0.9,1966984
0.9,1966985
0.9,1966986
0.9,1970600
0.9,1970601
0.9,1970602
0.9,1970603
0.9,1970604
0.9,1974218
0.9,1974219
0.9,1974220
0.9,1974221
0.9,1977835
0.9,1977836
0.9,1977837
0.9,1977838
0.9,1977839
0.9,1981453
0.9,1981454
0.9,1981455
0.9,1981456
0.9,1981457
0.97,1966987
0.97,1966988
0.97,1966989
0.97,1966990
0.97,1966991
0.97,1970605
0.97,1970606
0.97,1970607
0.97,1970608
0.97,1974222
0.97,1974223
0.97,1974224
0.97,1974225
0.97,1974226
0.97,1977840
0.97,1977841
0.97,1977842
0.97,1977843
0.97,1977844
0.97,1981458
0.97,1981459
0.97,1981460
0.97,1981461
0.98,1966992
0.98,1966993
0.98,1966994
0.98,1966995
0.98,1970609
0.98,1970610
0.98,1970611
0.98,1970612
0.98,1970613
0.98,1974227
0.98,1974228
0.98,1974229
0.98,1974230
0.98,1974231
0.98,1977845
0.98,1977846
0.98,1981462
0.98,1981463
0.89,1966996
0.95,1967028
0.95,1967029
0.95,1967031
0.95,1967032
0.95,1970646
0.95,1970648
0.95,1970649
0.95,1970650
0.95,1974266
0.95,1974267
0.95,1977881
0.95,1977882
0.95,1977883
0.95,1977884
0.95,1981500
0.95,1981501
0.36,1985061
0.36,1985062
0.36,1985063
0.36,1985064
0.36,1985065
0.36,1988679
0.36,1988680
