prob,cell_id
0.01,729820
0.01,729821
0.01,729822
0.01,733439
0.01,733440
0.01,733441
0.01,737058
0.01,737059
0.01,737060
0.01,740677
0.01,740678
0.01,740679
0.01,776923
0.01,776924
0.01,776925
0.01,776926
0.01,773308
0.01,773309
0.01,776927
0.01,776928
0.01,776929
0.01,773310
0.01,773311
0.01,773312
0.01,773313
0.01,776930
0.01,776931
0.01,776932
0.02,773314
0.02,773315
0.02,773316
0.02,776933
0.02,776934
0.02,776935
0.01,769708
0.01,769709
0.01,773327
0.01,773328
0.01,773329
0.01,776946
0.01,776947
0.01,762474
0.01,766091
0.01,766092
0.01,766093
0.01,769710
0.01,769711
0.01,769712
0.01,769713
0.01,773330
0.01,773331
0.01,762475
0.01,762476
0.01,762477
0.01,766094
0.01,766095
0.01,766096
0.01,762478
0.01,762479
0.01,791381
0.01,791382
0.01,791383
0.01,787766
0.01,787767
0.01,791384
0.01,791385
0.01,791386
0.02,780532
0.02,784149
0.02,784150
0.02,784151
0.02,787768
0.02,787769
0.02,787770
0.02,791387
0.02,791388
0.02,791389
0.02,780533
0.02,780534
0.02,780535
0.02,784152
0.02,784153
0.02,784154
0.02,787771
0.02,787772
0.02,787773
0.02,791390
0.02,791391
0.02,791392
0.03,780538
0.03,784157
0.03,784158
0.03,787776
0.03,787777
0.03,791394
0.03,791395
0.03,791396
0.03,780539
0.03,780540
0.03,780541
0.03,780542
0.03,784159
0.03,784160
0.03,784161
0.03,787778
0.03,787779
0.03,791397
0.03,791398
0.03,780543
0.03,780544
0.03,780545
0.03,784162
0.03,784163
0.03,784164
0.03,787783
0.03,780552
0.03,780553
0.03,780554
0.03,784171
0.03,784172
0.03,784173
0.03,784174
0.03,787793
0.03,780555
0.03,780556
0.03,780557
0.03,784175
0.03,784176
0.03,784177
0.03,787794
0.03,787795
0.03,787796
0.03,791413
0.03,791414
0.03,791415
0.02,780560
0.02,780561
0.02,784178
0.02,787797
0.02,787799
0.02,791416
0.02,791417
0.02,791418
0.02,791419
0.02,780562
0.02,780563
0.02,780564
0.02,784181
0.02,784182
0.02,784183
0.02,787800
0.02,787801
0.02,787802
0.02,791420
0.02,791421
0.01,795000
0.01,795001
0.01,795002
0.01,798619
0.01,798620
0.01,798621
0.01,802238
0.01,802239
0.01,802240
0.01,805857
0.01,805858
0.01,805859
0.01,805860
0.01,809476
0.01,809477
0.01,809478
0.01,809479
0.02,795003
0.02,795004
0.02,795005
0.02,798622
0.02,798623
0.02,798624
0.02,802241
0.02,802242
0.02,802243
0.02,805861
0.03,795006
0.03,795008
0.03,795009
0.03,798627
0.03,798628
0.03,802246
0.03,802247
0.03,795010
0.03,795011
0.03,795012
0.03,798629
0.03,798630
0.03,798631
0.03,802248
0.03,802249
0.03,802250
0.04,795013
0.04,795014
0.04,795015
0.04,798632
0.04,798633
0.04,795036
0.04,795037
0.04,795038
0.04,798655
0.04,798656
0.04,798657
0.01,816583
0.01,816584
0.01,816585
0.01,816586
0.01,820202
0.01,820203
0.01,820204
0.01,823821
0.01,823822
0.01,823823
0.01,816587
0.01,816588
0.01,816589
0.01,820205
0.01,820206
0.01,820207
0.01,820208
0.01,823827
0.01,812972
0.01,812973
0.01,816590
0.01,816591
0.01,816592
0.01,820209
0.01,820210
0.01,820211
0.01,823828
0.01,823829
0.01,823830
0.01,827446
0.01,827447
0.01,827448
0.01,827449
0.01,813004
0.01,813005
0.01,813006
0.01,816623
0.01,816624
0.01,816625
0.01,820242
0.01,820243
0.01,820244
0.01,823861
0.01,823862
0.01,823863
0.01,827480
0.01,827481
0.01,827482
0.01,813007
0.01,813008
0.01,813009
0.01,816626
0.01,816627
0.01,816628
0.01,820245
0.01,820246
0.01,820247
0.01,823864
0.01,823865
0.01,823866
0.01,827483
0.01,827484
0.01,827485
0.01,813010
0.01,813011
0.01,813012
0.01,816629
0.01,816630
0.01,816631
0.01,820248
0.01,820249
0.01,820250
0.01,820251
0.01,823867
0.01,823868
0.01,823869
0.01,813096
0.01,813097
0.01,813098
0.01,816715
0.01,816716
0.01,816717
0.01,820334
0.01,820335
0.01,820336
0.01,823953
0.01,823954
0.01,823955
0.01,827572
0.01,827573
0.01,827574
0.04,813099
0.04,813100
0.04,816718
0.04,816719
0.04,820337
0.04,823956
0.04,827575
